衛藤美紗希,おはようございまーす
清美,なっ、何故ですか！？
こずえ,さんにんで……めがねするぅー
マキノ,三人で……ははぁ、ちょっと待っていてね
清美,マキノさん？
マキノ,お待たせ、春菜さんから度が入っていないものを借りてきたわ
こずえ,めがねぇー……
マキノ,そう急かさないで。はい
こずえ,えへー……めがねぇー
清美,似合ってますよ、こずえちゃん！
こずえ,こずえと……まきのときよみ……えへー……めがねでおそろいー
マキノ,やはりね
清美,おそろい？
マキノ,理由は分からないけれど、こずえさんは三人で眼鏡をかけたかったのよ
清美,ああ、私のを貸しちゃうと……
マキノ,そう、清美さんだけ眼鏡でなくなってしまう。だから嫌がったのね
こずえ,めがねゆにっと……えへー……
マキノ,まあ、こずえさんが楽しそうでなによりね
清美,そうですね！……あ、そうだ！
マキノ,どうかしたの？
清美,マキノさんとこずえちゃんに、これを！
こずえ,なにこれぇー？
清美,私手作りの腕章です！おそろいのこれを付けて、二人も事務所の風紀を守る超☆風紀委員に……
こずえ,やぁー
マキノ,丁重にお断りするわ
清美,そんな！？
こずえちゃんはNを特訓するまでもなくバハ枠,確信
棟方愛海,あー……
白菊ほたる,あ、あの……愛海ちゃん？
愛海,あー、ほたるちゃんおはよー……
ほたる,あ、うん、おはよう……その……
愛海,どうかしたのー……？
ほたる,えっと……何で手と本体でそんなに元気に差が出てるの？
愛海,……聞いてくれるかいほたるちゃん
ほたる,う、うん……ちょっと、気になるかな……？
愛海,ではお話しましょう、聞くも涙、語るも涙の物語……
ほたる,…………
アナスタシア,ニェート、いいえ、そんな深い話ではありません
愛海,あっ
ほたる,アーニャちゃん。裕子ちゃんも
堀裕子,愛海ちゃんの元気が無い理由、このエスパーユッコにはビビッときてるよ！ズバリ……
アーニャ,アツミはさっきプロデューサーから揉み禁止令を出されました。それだけです
裕子,ああっ、言われた！
ほたる,ああ、そうなんだ。……
愛海,うう、ほたるちゃんの視線が痛い……
アーニャ,自業自得です、アツミ。ランコが泣いていましたよ
愛海,うん……正直、自分でも途中からやりすぎた感が否めない……
アーニャ,後で謝りましょう。私もついて行きましょうか？
愛海,……ううん、一人でいける……
ほたる,こ、心を込めて謝れば、きっと許してくれるよ
愛海,そうかなあ……っていうかそもそも、あたし蘭子ちゃんの言葉分かんないし……
裕子,なら、私が通訳でついてってあげるよ！
愛海,裕子ちゃん？
裕子,私がテレパシーで蘭子ちゃんの心を読むの！そしたら許してくれるか分かるでしょ？
ほたる,それ、通訳って言わないんじゃ……
愛海,……裕子ちゃん、ありがとう。あたし、行ってくるよ！
裕子,エスパーユッコにお任せあれ！
愛海,じゃあアーニャちゃんほたるちゃん、また後でね！
ほたる,が、頑張ってね！
アーニャ,アツミ、武運を祈ります
愛海,…………
裕子,ごめんね……ごめんね愛海ちゃん
愛海,いや、あたしこそつき合わせてごめん……
アーニャ,アー……結局、許してもらえなかったのですか？
裕子,ううん……私がテレパシー出来なかった……
アーニャ,何と言われたのですか？。……難問ですね
裕子,くうっ……エスパーユッコは……無力……！
ほたる,…………
結城晴,…………
大原みちる,…………
鷺沢文香,…………
晴,…………
みちる,…………
文香,…………
晴・みちる・文香,…………すごい気まずい…………
晴,何なんだこれ……何で部屋に三人もいて誰も何も喋らないんだ……？
みちる,部屋の中でリフティングなんて……でもお小言なんかで会話を始めたくないですし……
文香,ああ、パンの食べかすがポロポロと……でも小言なんかで以下略……
晴・みちる・文香,……誰でもいいから何か喋って……
晴,…………あっ
文香,あ…………
みちる,おお、いきなり大チャンス！ボールを投げ返すついでに何か会話を……
文香,…………
晴,…………
文香,…………はい
晴,…………サンキュ
文香,…………
晴,…………
みちる,…………
晴・みちる・文香,…………しくじった…………
晴,今のは会話を始める絶好のタイミングだった……
文香,何でもいいから質問してみるべきでした……好きな食べ物とか
みちる,くうううう…………むぐっ！？
晴,？
文香,……みちるさん？
みちる,ん……んぐっ……！？
文香,も、もしかして、パンが喉に……！？
晴,なにぃっ！？
文香,は、晴ちゃん！急いでお水を！
晴,お、おう！
みちる,ふい～、死ぬかと思いました……
文香,突然苦しみだすから驚きましたよ……
晴,本当にな、ったく……
みちる,いやあ、あんなに会話が無いとどうにも気まずくて……
文香,あ……みちるさんも……気にしてらしたんですか……？
晴,なんだ、じゃあ皆同じか
みちる,あ、あはははは。じゃあ、改めて三人でお話しましょうか
文香,そう……ですね。まずは無難に、好きな食べ物とか……
晴,あ、みちるはいいぜ。もう分かりきってるし
みちる,なにをー！？ひどい言い草ですね！いいですか？パンと一口に言っても様々な……
これにて全終了ー、くぅ疲！,白目
