星輝子,ﾌﾋ…もうすぐ私たちの生配信だな…
幸子,名前は知ってますけど…
輝子,だったら…大丈夫…
幸子,判定の基準甘くないですか？
輝子,なんとか全巻…やり終えたな…
小梅,文庫版も…入れられたね…
幸子,……え、もしかしてこれで終わりですか？窓の外でどこかが爆発したりしないんですか？
輝子,そうだよ…？
小梅,じゃあね…お疲れ…
幸子,え、ホントに終わりなんですか？ムキムキマッチョマンの外国人が部屋に乱入して知らないところ担ぎ出されたりしませんよね？
小梅,だから…そうだって…
輝子,今日はもうゆっくり休んでくれ…
幸子,あれ？乃々さんは？
輝子,ﾌﾋ…後ろにいるぞ…
幸子,乃々さ……え？…………ちょっと！ボクの机と椅子にキン消しでドミノ作るのやめてください！！使えないじゃないですか！！！
小梅,ナイスツッコミ…だね…
輝子,じゃあ今度こそ帰るから…
幸子,え！？終わりですか！？もう一回撮り直しませんか！？あの！！ちょっと待ってくださああぁぁぁ……。平和的なドッキリすぎてリアクションできませええええええんっっっっ！！！
隣の部屋でのあにゃんとⅡ世を読んでいる前川みく,うっせえにゃ！！！！
