※ヴァリアスハートというオリジナルユニットのシリーズものです,特に過去作を読む必要はありません
千佳,へー、そうなんだ！
心,あたたかーい目で見守ってあげよう☆
千佳,うん！
梨沙,ちょっとそこ、聞こえてるわよ！というかなによその気持ち悪い目つき！
心,ニコニコ
千佳,にこにこ
飛鳥,温かい目、らしいよ？。………。ふむ
梨沙,飛鳥ー。さっきからスマホで写真撮りまわってるけど、なにしてるの？
飛鳥,日常風景を収めているのさ
梨沙,日常風景？
飛鳥,――というわけさ
梨沙,なるほど。静岡のお母さんが、飛鳥が普段どういうところで働いているか気になるって言ったのね
飛鳥,あぁ。そして、口で説明するより、写真に撮って絵にしたほうが伝わりやすいと判断した
梨沙,ふーん。あ、じゃあアタシもとっとく？超セクシーでかわいい同僚として紹介しなさいよ
飛鳥,心配しなくとも、キミのことはすでに電話で話してある
梨沙,なんて？
飛鳥,我が道を往く姫
梨沙,へー、姫かあ。なかなかいいじゃない、それ♪
飛鳥,……ところで、心さんは？先ほどまでここにいたはずだが
梨沙,そういえばそうね。どこ行ったのかしら
心,話は聞かせてもらいました
梨沙,帰ってきたと思ったら白スーツ着てる
心,さあさあ、ぜひ普段着のSHINをお撮り下さい
飛鳥,まったくもって日常のあなたとかけ離れているんだが
心,超絶ビューティーなアダルト美女がそばにいるとわかれば、お母様も安心するかと思って
梨沙,誰よそれ
心,あ、なんなら録音もする？はぁとのオトナな声をお母様にお届けしちゃうぞ☆
飛鳥,……写真に写りたいならいつもの服装にしてくれ
心,ちぇっ、つまんないのー
飛鳥,はあ……早いところ撮り終わって、母さんに送信しないと――
薫,お写真とってるのー？
仁奈,仁奈も写りたいですよ！
晴,お、なんだなんだ？
光,記念写真でも撮るのか？
こずえ,しゃしん……とるー
飛鳥,………
梨沙,騒いでたらみんな集まってきちゃったわね
心,いっそ集合写真にしちゃうか☆。ほらちびっ子どもー、ちゃんと列作って並ぶんだぞー♪
梨沙,ここまで来ちゃったんだし、全員まとめて撮っちゃいなさいよ。ふふっ
飛鳥,まったく、これのどこが日常風景だというんだ……。………。けど……個性あふれるメンツの予想外の行動に驚き、刺激されるという点では……まさしくボクの日常そのものか
梨沙,ぶつぶつ言ってないで早くしなさいよー
飛鳥,あぁ、理解わか。ほら、今のままだと入りきらないから、両端の晴と光はもっと中央に寄って――
P,あれ、みんなで集合写真か？なら俺が撮るよ。飛鳥も列に入っていいぞ
飛鳥,……そうさせてもらうよ。当初の予定とは異なったけど……これで、ボクが元気にやっていることは伝わるかな
心,おはよー……
飛鳥,あぁ、おはよう心さん……ん？
心,どうかした？はぁとの顔になんかついてる？
飛鳥,何かついているわけではないけど……顔全体が赤い
心,んー……多分、外の寒さのせいじゃないかな
飛鳥,声にも張りがない……少し失礼するよ
心,わお、いきなりおでこ触るなんてだいたーん……
飛鳥,……やはり熱があるようだ。今日のレッスンは休んだ方がいいんじゃないかな
心,えー……せっかく来たのに……。はぁと、全然元気に動け……あれ、なんか身体が重い？
飛鳥,……とりあえず、Pに連絡させてもらうよ。少し楽になるまで、ここで休ませておいてくれってさ
心,あー……なんかごめんね、迷惑かけて。ここのベッド、結構柔らかいね
飛鳥,そうなのかい
心,うん、そう。……実はね、朝起きた時から身体が重かったんだ。でも咳は出てなかったから、薬飲んだだけで事務所に来ちゃった
飛鳥,無理を押す必要はないのに……仕事が入っているならともかく、今日はレッスンしかなかったはずだ
心,あはは、まったくもってド正論だね……。でも、どうしても動かずにはいられなかったっていうか
飛鳥,……なぜ？
心,なぜって……そりゃあ、やっぱり。今がすっごく楽しいからかな。憧れのアイドルになれて、やりたかった仕事も少しずつできるようになってきて……だから、ついついはしゃいで無理しちゃうんだよね。家族にも心配かけてる身だし、今頑張らなくていつ頑張るんだー、って感じ。進んで進んで進み続ける。それがしゅがーはぁと流だ☆……なんて言って、本当にダウンしたらただのバカなんだけどね。あーあ……
飛鳥,……そんなことはないさ
心,え？
飛鳥,すごいな。ボクにはとても届かない……あなたのように、自分を信じて全力で走り続けるなんて、できない
心,飛鳥ちゃん……。……ちょっと、こっちに顔近づけてくれる？
飛鳥,ん……こうかい
心,うん、そうそう……。ていっ
飛鳥,あいたっ
心,なーにができないだ、勝手に後ろ向きに決めつけんな♪。ほとんど毎日、レッスンやったりお仕事行ったりしてるんだよ？そんなの、走れない奴にできるわけないじゃん
飛鳥,でも
心,でも、は禁止。難しく考えすぎずに、自分のやりたいようにやればいいの♪。それに……自分をまだ信じられなくても、他に信じられるものが近くにあるだろ☆
飛鳥,信じられる、もの
心,そ。飛鳥ちゃん流に言うなら……キミをこのセカイへ導いた、運命の人ってところかな
飛鳥,………。なるほど……確かに、それならボクにも信じられる。病人に元気づけられるなんてね……まったくもって、ボクは未熟者。青い果実だ
心,いいってことよ☆たまにはこっちも、大人らしいところ見せないとな
飛鳥,……お返しと言ってはなんだが、あとで食べやすい料理でも作ってくるよ
心,お、それは楽しみ……なに作ってくれるの？
飛鳥,チャーハンがゆ
心,え、なにそれ
飛鳥,チャーハン風味のおかゆさ。意外とイケるよ
心,はぁと、ふっかーつ☆
梨沙,もう大丈夫なの？昨日早退したって聞いたけど
心,おう☆チャーハンがゆが効いたみたい♪。ね、飛鳥ちゃん♪
飛鳥,……それはよかった
梨沙,？なんかうれしそうね、飛鳥
飛鳥,別に、なんでもないさ。……今日も頑張ろう
梨沙,………
飛鳥,どうかしたかい
梨沙,……ハートさんの熱が移った？飛鳥がストレートに頑張ろうだなんて
飛鳥,別に、そういうわけじゃないから心配無用だよ
梨沙,ふーん……ま、いいけどね
心,んじゃ、今日もスウィーティーにいこー！
飛鳥,………
梨沙,………
心,いやここは乗るとこじゃないかなぁ！？
飛鳥,ボクの世界観に合わない
梨沙,単純にバカっぽい
心,キミ達ホントに可愛げがないよねぇ……
P,三人とも、そろそろお仕事の時間だぞー
心,レッツゴースウィーティー！はい、復唱！
飛鳥,れっつごー
梨沙,すうぃーてぃー
心,しょうがない今日はこれで勘弁してやるぞ☆
P,………。仲良しだな
今年ももうすぐ終わりなので、この1年で書いたヴァリアスハートシリーズの過去作貼っておきます,最初の方はしゅがはさんいないですが同一世界線の話なので
いっぱい書き散らした,小並感
