モバP,以下、P
凛,えっと…その…今更ながら物凄く言い辛いことなんだけど…
まゆ,Pさん。あの事件、実は―――
杏,テレビの企画だったんだ
P,え？
ちひろ,まずは、これを見てください。普通に頼み込んでもOKしてくれそうに無かったので
凛,私達みんなで一芝居打って、プロデューサーをアイドルにしようとしたんだ
P,え？じゃあ、きらりの怒りは？
きらり,あれは時子ちゃんが作った台本をそのまま読んだだけだにぃ
芳乃,あの時のきらりさんの演技は凄かったのでしてー
早苗,まさかこんな事になるなんて思わなくて…
アイドル一同,本当にすみませんでした！
P,じゃあ、俺は嫌われていなかったんだな
まゆ,Pさんのことを嫌うなんてありえません。まゆはずっとPさんの味方です
P,きらりんルームに入っても良いんだな？
きらり,勝手に入るのはNGだけど、今回は特別☆サービスだにぃ～
早苗,良かったわね。Pくん
P,は、はい！。ここがきらりんルーム…。俺がずっと焦がれていた空間。ぬほおおおおおおおおおおおおおおおおおおおおお！！ハピハピすりゅううううううううううううう！！これが夢！現実！希望！絶望！愛！憎悪！友情！嫉妬！羨望！宗教！哲学！倫理！神！この世の全てを手に入れても埋められなかった虚無が埋められていくぅぅぅぅぅぅぅぅぅう！！！ハピハピが！ハピハピが俺の脳を侵喰していくぅぅぅぅっぅ！！瞬きなんてしたくない！一瞬でもハピハピが視界から消えるなんて耐えられない！息を吐きたくない！呼吸器からハピハピが出て行ってしまう！酸素を吸うぐらいならハピハピを入れてやる！何も聞きたくない！音を聞くぐらいなら耳からハピハピを入れる！うおおおお！全身の穴という穴よ！開け―――！ハピハピを吸入するんじゃああああああ！！ひにゃあああああ！！ハッピハッピガー！！！ハッピハッピガー！！パパ聞きじゃねえーよ！！もうハピハピが入らないよおおおおおおおおおおおお！！馬鹿になっちゃう！馬鹿になっちゃうよ！でも良いんだもん！もうアイドルなんてもうやらない！プロデューサーもやめてやる！このままハピハピするんだぁ！もう金もいらない！世界最高の女もいらない！土地もマンションも自家用ジェットも艦隊もビルも国も欲しけりゃくれてやる！この世の全てを机の下に置いてきた！！！俺はきらりんルームがあればいいんだっ―――。きらりんルウウウウウウウウウウウウウウムサイコ――――――――――――――――！！！！
きらり,
杏,
くるみ,
早苗,
凛,
まゆ,
芳乃,
あい,
友紀,
ヘレン,これが……世界
ちひろ,だめだこりゃ
