向井拓海,冒頭のおたよりだ
友紀,これは良いチョイスしてきたねー
李衣菜,そうですか？えへへー
友紀,今日のおたよりはこんなとこだねー
李衣菜,はーい
拓海,この後はクイズコーナーだが、前回が難しすぎたとゲストに不評だったので簡単になってる
李衣菜,クイズですか……？私、野球に関するクイズを出されてもぜんぜんわかんないですよ？
友紀,大丈夫、今日のは相当簡単に出来てるから。安心していいよ
李衣菜,ホントですかー？
拓海,もしクソ難しかったらあのカンペ殴っていいからな
李衣菜,わかりました。グーでいきます、グーで
友紀,カンペさんが怯えてるからその辺で
李衣菜,はーい
拓海,ンじゃ、いったんCMな
前川みく,許してにゃん♪
友紀,許してにゃん♪
拓海,ゆ、ゆ、許して……にゃん♪……って、何だよこの茶番はよォォォ！！？
みく,恥ずかしがっちゃだめにゃ！
友紀,この恥ずかしがり屋さんめー
拓海,うるっせぇよ！！！恥ずかしいに決まってんだろがァァァ！！！。アァ！？ひ、姫川・向井のヒットエンドラジオォォォ！！！？
友紀,声裏返ったね
みく,裏返ったにゃあ
拓海,…………
友紀,……ふふっ
拓海,笑ってんじゃねえよ！！！つーか本当に採用してんじゃねーよあのジングル！！！
友紀,許してにゃ～ん(笑)
拓海,お前後で覚えとけよコラ
李衣菜,私もああいうのを収録するんですか……？
友紀,大丈夫、あんなにネタ方向には寄せないから
李衣菜,ほっ
友紀,というわけで次のコーナーはクイズDEシンデレラだよー。はい、ヘソ曲げてる人。読んで
拓海,このコーナーは、毎回ゲストにちなんだ野球関連のクイズを出題します。見事正解した場合にはスタッフが用意した景品をプレゼントーだってよー
李衣菜,すっごい棒読みだ
友紀,というわけでクイズのお時間です。さっきも言ったけど難易度は落としてあります
李衣菜,おー
友紀,さらに今回は野球素人の李衣菜ちゃんがゲストなので、3問中1問正解できればクリアになります
李衣菜,おお！
友紀,ちなみに今回の景品はですね……おいしそうなシュークリームです
李衣菜,おおお！！！
拓海,声のテンション上がってきたな
友紀,というわけで頑張って正解してね
李衣菜,はーい！
友紀,というわけで第1問。問題読み上げるね
１シーズンに打率3割、本塁打30本、,
李衣菜,トリプルスリー……何か聞いたことありますね
拓海,流行語大賞にもなったな
友紀,バッターの記録だね
李衣菜,打率、本塁打……わかりましたよ
友紀,お、早くもわかっちゃった？
李衣菜,ええ！この多田李衣菜、もう流れは読めました
拓海,んじゃ答えてもらうか
李衣菜,3割、30本、300打点ですね！
友紀,ファイナルアンサー？
李衣菜,ファイナルアンサー！
友紀,不正解です
李衣菜,溜めなしで即答！？
拓海,惜しくもなんともねえから溜めもねえよ
李衣菜,えぇ！？惜しくないんですか！？
友紀,ゴメン、全く惜しくなかった。答えはね、こちらです
李衣菜,とう……るい？
拓海,その様子だと盗塁知らなかったか？
李衣菜,盗塁ってなんですか？
友紀,簡単に言うと、味方のヒットとか相手のミス以外で次の塁に進むことだよ
李衣菜,へー
拓海,あとな、去年のセリーグの打点王が記録したのが107打点だ
李衣菜,あれ、そんなもんなんですか
友紀,300打点とか3シーズンがかりで届くかどうかだよ
李衣菜,みくちゃんのパワプロだと、4番バッターが328打点とかなってたから……てっきり本当のプロ野球選手もそのぐらいやれるのかなって
拓海,李衣菜、それはみくが悪いわ
友紀,みくちゃん、絶対手動操作してるよねソレ
李衣菜,勘違いしちゃいましたよ
友紀,それじゃあ第二問、拓海ちゃん読んで
拓海,あいよ。えー、2018年現在、日本プロ野球は全何球団で構成されているか次の4択から選びなさい
友紀,これはさっきのより簡単だね
拓海,問題は李衣菜がわかるかどうかなんだが……
李衣菜,わかんないですね
友紀,え゛
李衣菜,でも常識的に考えれば、多分答えが見えてくると思うんですよ
拓海,ほう
李衣菜,①なんですけど、プロリーグが6球団ってのはいくらなんでも少なすぎると思うんですよ。③番の18ってのは、たしかサッカーだったような……
友紀,そうすると残ったのは？
李衣菜,12か24なんですけど、24だとたぶん多過ぎると思うんです。だから、②番の12球団です！
友紀,……ファイナルアンサー？
李衣菜,ファイナルアンサー！
友紀,…………正解！おめでとー！
李衣菜,やーりぃ！
拓海,いい推察してたな
李衣菜,そうでしょうそうでしょう！
友紀,18球団がサッカーっていうのは見事大正解だったね。おみごと
李衣菜,えへへー♪
友紀,というわけで、ご褒美タイムだよー。はいシュークリーム
李衣菜,わ～！おいしそうですね、いただきます！
拓海,どうだ？旨ぇか？
李衣菜,ん～！クリスピー生地の中に甘さ後引くクリームでとっても美味しいです！
友紀,これアレだね、プロデューサーがこの間買ってきた奴だね
拓海,某パパのアレだな……それにしてもうめぇな
李衣菜,おいしいですね
友紀,おいしいねぇ……あ、以上クイズDEシンデレラのコーナーでした。はーい、エンディングのお時間ですよ
李衣菜,あっという間でしたねー
拓海,そうだな
友紀,李衣菜ちゃん、今日の収録をしてみて感想は何かあるかな？
李衣菜,野球知らないのにこのラジオ来ちゃいましたけど、意外とどうにかなるもんですね
拓海,それな
李衣菜,私もちょっと野球を観てみようかなーって思いました
友紀,おお！観る気になってくれた？
李衣菜,そうですねー。1回球場に行ってみたいです
拓海,一回生で観てみるといいかもな
友紀,臨場感が違うからねー。今度一緒に東京ドーム行こうよ、チケット用意してあげるからさ
拓海,キャッツファンに引きずり込む気マンマンだろテメエ
友紀,何か問題でも？
拓海,コイツ……。ンじゃそろそろ締めるぞ。姫川・向井のヒットエンドラジオ！ここまでのお相手は向井拓海と！
友紀,姫川友紀と！
李衣菜,多田李衣菜でしたー！
友紀,それじゃあみんな、また次回もよろしくー！
拓海,あばよ！！！
李衣菜,ところでみくちゃんが応援してるオリックスって人気球団なんですか？
友紀,噂によると、ファンが3人しか居ないらしいよ
李衣菜,えっ！？みくちゃんはその内の一人！？
拓海,ウソ教えてんじゃねえよ
