浅利七海,お邪魔するのれすよ～
飛鳥,やぁ
七海,飛鳥ちゃんも、来てたんれすね
P,暇そうだったから、もしかして来るかなと思って。声かけてみたんだ
友紀,あ、ほーくすが見れるから？
飛鳥,…どう捉えようが、キミの勝手だよ
友紀,ふっふっふ。飛鳥ちゃんも、だんだん野球に染まってきたね？
飛鳥,キミがそう思いたいのならば、そういうことにしてくれ。ボクは、ボクの心の声に従ったまでさ
七海,ん～？。飛鳥ちゃんと球場…いまいちピンとこない組み合わせれす…
P,それ浅利さんが言う？
飛鳥,…フッ。そのくだりは既に通った道だよ、七海
七海,あ、そうなんれすかぁ
飛鳥,前は美玲とだったな
七海,じゃあこの辺は全部カットれすね！
P,カメラなんか回ってないけど？。お前はどこ向いて喋ってんの
七海,宣伝乙なのれす。…さて。どうでもいい無駄話はここまでにして、早速中に乗り込むのれす
友紀,おぉっ！やる気満々だねぇ、七海ちゃん！
七海,この磯の香りが、七海に元気をくれるのれすよ！
友紀,よっしゃー！探しに行こう、七海ちゃん！
七海,待っているのれす、お魚～～！！
友紀,球場探検だぁー！！
P,元気だなー
飛鳥,まさに水を得た魚、なんて
P,野球を得た友紀か…なるほど。さて、俺らはさっさと席に着いてようか
飛鳥,あぁ
P,ほら、買って来た
飛鳥,あぁ、ありが……これは？
P,もつ煮
飛鳥,もつ
P,マリンと言ったらこれだよなぁ
飛鳥,へぇ…
P,なんか久しぶりに食った気がする。…ビールも飲めたら最高だったんだけど
飛鳥,…フフッ。お目付け役は大変だね……っと、あちちっ
P,はは、猫舌？
飛鳥,……油断しただけさ。しかし、唐突なお誘いだったね
P,うん。そもそも、浅利さんが突然だったというか何というか
飛鳥,その辺りの詳しい事情を、ボクは知らないワケだが
P,…そういや言ってなかったっけ
飛鳥,まぁ、ボクも訊かないまま来たことだしね
P,んー…掻い摘んで話すとだな。幕張に出没する謎の魚の情報を、浅利さんが耳にしたらしいんだよ
飛鳥,魚？
P,おう。まりんスタジアムを中心に現れる、謎の魚。最近巷で有名なんだけど
飛鳥,謎の…。UMAとか、そういう類かい？
P,うーん……まぁ…近い、と言えば近い、ような
飛鳥,？随分濁すんだね
P,…見た方が早いよ、これは。今日も多分出てくるから
飛鳥,ほう
P,浅利さん…こないだお仕事一緒になった時に、ユッキとも仲良くしてもらったらしくってさ
飛鳥,あぁ…ガーナで
P,そうそう
飛鳥,ふむ。知り合いが球場に詳しそうだったから、当たってみたという具合か
P,球場→野球→友紀、ってな感じで連想してみたらしい
飛鳥,フフッ…野球アイドルとしては、随分光栄な話じゃないか
P,うんうん。イメージがちゃんと浸透してるのは、良いことだな。……で、どっから聞いたのか分かんないけど。俺がちなロってことも聞きつけたらしい
飛鳥,ちな？
P,あ、気にしないで良いから。ろってファンってこと
飛鳥,はぁ…
P,一体どこで知ったんだ…？やっぱ友紀が発信源かな…、うーん…。まあいいや。とにかく、ターゲットに詳しいであろう人間が、うちの事務所に２人もいるぞ…ってことらしくって
飛鳥,成程ね
P,それでうちに乗り込んで協力を仰ぎに来たっていう流れかな
飛鳥,蛇の道はヘビ、ということか
P,魚だけどね
飛鳥,…うん、大体理解ったよ
P,なら良かった
飛鳥,つまり今回のボクは、話の本筋には無関係でいられるというワケだね
P,お、おう？
飛鳥,アイツめ…仙台での恨み、ボクは忘れないぞ…！
P,…大変だったんだな、うん。話題を変えよう。まりん、来てみてどう？
飛鳥,そうだな…。…風
P,？
飛鳥,今日の、この風。海、潮風。特有の、潮の香り。……悪くないね
P,…。お気に召したのなら、何よりだよ
飛鳥,相変わらず、独特な空気感をしているね。球場ってヤツは
P,ん、今日で２回目か
飛鳥,あぁ。前回は、友紀と美玲に付いて宮城まで
P,その時はどうだった？
飛鳥,何と言うか…新鮮だったよ。すごく。２人がかなりヒートアップしていた分…ボクは比較的、冷静に見ていた覚えがある
P,ふむふむ
飛鳥,それでもふと掌を見たら、汗が滲んでいたような。不思議な時間だった
P,…ほぉ、珍しい
飛鳥,周囲の声や音に包まれていると、自然と心が躍るような、あの感覚。こちらとあちら、それぞれの観客席が一体となって声をかけるあの熱気。最初は、ただの傍観者でいるつもりで同行しただけなのに。…いつの間にか試合の行方を見守っていたのは、ボクの意思が弱かったためだろうか
P,…いや、きっと…
飛鳥,あぁ。おそらく、ノーだね。それ程までに胸が昂る、奇妙な時間だったんだ。もしかしたら…ステージを見る観客席の興奮に、似ているのかもしれない
P,似てる？
飛鳥,…いつものボクは魅せる側であって、向こうの視点に立ったことはなかったけれど。歌に想いを乗せて、オーディエンスは声を上げる。ソレを受けて、選手はグラウンドで躍動する…。声援は力になり、雄姿は勇気を生む。そんなエネルギーの循環やループを感じずにはいられなかった。歓声がくれる煌めきは、ボクにも覚えがあるからね
P,それで、似てる…か
飛鳥,そう。カタチは違えど…ボクらが舞台上でやっていることと、同じなのかもしれない。声を張る周囲の皆が、なんだかステージから見ているファンと重なって見えたようで。そんな新たな発見に、また１つ出会うことができた。…なんて。そんなことを想いながら、今日は此処に馳せ参じている次第さ
P,…。…ふふ、あっはっはっ！
飛鳥,…何か
P,いや、ちょっと面白くて。…はっはは
飛鳥,…フン。野球を語るボクは、そんなに滑稽だったかい
P,いや、そういう意味じゃなくって。いつぞやのユッキと、おんなじようなこと言ってるからさ
飛鳥,……
P,こんな２人でも出てくる答えは一緒なんだなって思ったら、ちょっと嬉しくて
飛鳥,…偶然だよ、きっと
P,今の、友紀にも言ってやると良いんじゃないかな
飛鳥,フム
P,きっと、喜ぶと思うけど
飛鳥,……。…フフ、止めておくよ
P,えー、なんで？
飛鳥,調子に乗ってキャッチボールに誘われる回数が増えるのは、これ以上は御免だからね
P,…そっか
飛鳥,あぁ、そうさ。……それに
P,お？
飛鳥,…何度か考え直してみたけれど。ボクはやっぱり、野球を好きにはなれそうにないから。そもそも、運動は全般的に好かない。体育の授業だってそう。汗水垂らして身体を虐めて、一体何の意味があるんだい？
P,…うーん
飛鳥,スポーツマンシップだとか根性論だとか。そんなもの、何の役に立つんだ…って。そんな偏見で、塗り固めていたように思う
P,…じゃあ、あの２人に最近よく付き合ってるのは？
飛鳥,あぁ…最初は、ほんの気まぐれだったよ。ひょんなことから興味が湧いて、イロハ程度なら触ってみようと思ってね
P,いろは、ねぇ
飛鳥,外で身体を動かすのも、たまにだったら悪くない。…決して上手にはできないけれど。この世にムダな知識なんてない。もしかしたら、何かの役に立つかもしれないと。そう思えるようにもなったから
P,神崎さんとの会話とか？
飛鳥,……何の話かな。兎に角。識らないセカイを覗いてみる、良いきっかけかもしれないと感じてのことさ
P,ま、色々と興味を持ってみるのは良いことだよな
飛鳥,イグザクトリィ。そういうこと。そして…。観て、聞いて、感じたことは２つ。野球には…いや、スポーツには。それら特有の、情熱と興奮が潜んでいるんだということ
P,…うん。そうじゃなきゃ、みんな続けてないよな
飛鳥,当たり前のことかもしれないけれど…触れてみなければ気付けなかった。経験１つで見え方がこんなに変わるなんて、なかなか侮れないじゃないか。２つ目。それでも、彼女ほど専念するまでには至らないかな
P,やっぱ体力的に？
飛鳥,それもあるけど…。正直、友紀の野球談議には全く付いていけなくてね
P,だよね
飛鳥,チームのフロントの不満なんか語られても、ボクにはさっぱりだよ
P,…ご苦労さま
飛鳥,だけど…話を聞いてやるだけなら、ボクにだってできる。キャッチボールだって、全然上手くはできないけれど。続けばそれなりに…本当にそれなりに、少しは楽しいかなとも、最近は思う
P,…へぇ
飛鳥,あれ程の熱意を以って臨むことはないが…ボクなりに付き合っていけたら、それで良いかな。結論としては。好きにはなれないが、気分次第で付き合ってやるのもやぶさかではない…、といったところさ
P,…つまり今まで通りってことか
飛鳥,今ぐらいが丁度良いんだよ、ボクは
P,相変わらず回りくどいやつ…
飛鳥,フフッ、褒め言葉として受け取っておこう
P,まぁ…その人なりの距離感で触れているのが、一番楽しいよな
飛鳥,ご理解頂けて、嬉しい限りだよ。…そうだね、距離感。おかげで今、こうしてキミと２人いられるというのも…
P,？
飛鳥,……いいや、何でもないよ
友紀,…あ！プロデューサーに飛鳥ちゃん、みっけ！
P,おう、お疲れさん
友紀,うん、ただいま！
飛鳥,見つかったかい？例の魚とやらは
七海,…見つからなかったのれす
飛鳥,それは残念
友紀,でもね？魚じゃないけど、色々見つけてきたんだ！
七海,れす！。お土産れす、飛鳥ちゃん！
飛鳥,…ボクに？
七海,はい！。もつ煮なのれす！
飛鳥,もつ
七海,れす！
友紀,マリンといったらもつ煮、って聞いてたからさ！
P,流石、分かってるね
友紀,合わせてビールをグイっとね！…はぁ～っ！球場で飲むビール、最っ高～～！
P,…ずるい
飛鳥,…また、もつか
友紀,それとさ！ショップ見つけて、グッズ買っちゃったんだ！
P,ほう
友紀,ほら見て、イシカワ選手のタオル！
P,やるじゃん
友紀,いえーい！
飛鳥,イシカワ？
七海,ごえもんさんっていうらしいれす。友紀さんが熱弁してくれました
P,いや、ゴエモンは本名じゃないけどね
友紀,いやぁ…イシカワ良いよねぇ。コントロールも良いし、牽制とか細かいところもきっちりできててさ！
P,飄々と完投してるイメージだよな、安定感あるというか
友紀,ストレートも変化球もキレてるし、なにより必殺のシンカー！打つのは苦労しそうだよね…
P,ふふふ、うちの２枚看板の１人だからな
友紀,うんうん、あたしも好きだよっ！
P,シンカーといえば…あれ、誰から習ったのか本人はよく覚えてないらしいね
友紀,へぇ～…いつの間にか投げてたってこと？
P,いつの間にというより、昔遊びで投げてた変化球を試してみたら……
飛鳥,…長くなりそうだな
七海,ジュースもあるれすよ～？
飛鳥,あぁ、ありがとう
友紀,…まぁ正直さー、今年はピリッとしてないし
P,うっ
友紀,エース２人とは言うけど、どっちも打たれてちゃあ今年の順位も頷けるっていうかー
P,うぅ
友紀,中継ぎも中継ぎだけどさー、やっぱ先発が踏ん張って試合を作れないとね…
飛鳥,よく理解らないが、すごくダメージを受けている
七海,ホットドッグ美味しいのれす。飛鳥ちゃんもどうれすか
飛鳥,…いいや、ボクはもう結構さ
友紀,つまりね？イシカワもそろそろ、新天地で気持ちを切り替える時期なんじゃないかなーって！
P,なにがつまりなんだ
友紀,打てないとこにいるより、勝てるチームにいる方が投手も嬉しいんじゃないかって思うわけよ
P,…そっちだって言う程勝ててねーくせに
友紀,キャッツはいつでも、イシカワを待ってるからねっ！
P,お前ぇ！それが本音か！！
友紀,ふんっ！ほんとはキャッツにいる筈のピッチャーだもんねー
P,あってめ、まーだドラフトの時のこと根に持ってんのか！
友紀,ふーんだ
P,そっちだってコバヤシいなかったら今ヤバかったろ！
友紀,２位でコバヤシ獲ってたから最強だもん！
P,だったらこっちが１位で獲ってるわ！
友紀,あぁっズルい！すぐそういうこと言うー！
飛鳥,…プロデューサーも大概だな
七海,さっきから何の話をしてるんれすか？
飛鳥,さあね
七海,ふーん…？
飛鳥,…ん？
七海,あっ…！。友紀さん、ねぇ友紀さん！
P,イシカワはキャッツ嫌いだから移籍なんてしないんですぅー
友紀,なにさ！鷹には主砲あげるのにキャッツにはくれないの！？
P,好きでくれてやった訳じゃねーよ！！ていうか、その話題を蒸し返すんじゃない！
友紀,べー！プロデューサーなんか、主力取られまくってずっと落ち込んでれば良いんだっ！
P,何てこと言うんだお前！こちとらようやく持ち直してきたところなんだぞ！精神的にも！戦力的にも！！
飛鳥,…
七海,……。…友紀さんってば！
友紀,ふぇ？どしたの、七海ちゃん
七海,痴話喧嘩は帰ってからやってくらさい！
友紀,ちわっ…、、
P,…そんなんじゃないから
七海,いいれすから！あれ、あれを見てくらさい
友紀,んー、あれって？オギノがまた膝でも痛めてるの？
P,縁起でもないこと言うな！…あっ。出た
友紀,出たね…
飛鳥,…何だい？あの動いてる丸いのは
友紀,魚だよ？
七海,お魚さんれすか！？
友紀,うん
飛鳥,…足が生えてるんだが
友紀,そうだね！
七海,チョウチンアンコウみたいれすね
友紀,うん！
P,友紀、お前知ってたんだ
友紀,うん、知ってるよ？
P,浅利さんには黙ってたの？
友紀,まぁ…すっごいワクワクしてたし、ネタバラシしちゃうのも何だかなぁって思って…
P,なるほど
七海,…ふぉぉ
飛鳥,七海？どうし……
七海,でっかいお魚さんれすね～！
飛鳥,良いのか、魚で…
P,浅利さん的にはオッケーらしいなぁ
七海,こうしちゃいられません！下に降りて捕まえに…！
P,ちょっ、ストップストップ！
七海,止めないでくらさい！
友紀,一般人がグラウンドに入っちゃ、ダメだよ七海ちゃん！？。そりゃ、できるんならあたしも行きたいけど…
P,おいコラ
飛鳥,キミは単に入りたいだけだろう
七海,ぬぬぬ…だったら、この釣竿で！
飛鳥,…釣竿？
七海,はいなのれす
P,そんなの持ってきてたっけ
七海,最近の釣竿はコンパクトなんれすよ！
友紀,七海ちゃんの釣竿、すっごいんだよね？
七海,それはもう！こ～んなにおっきいお魚を、これ一本で釣り上げたこともあるんれすから！
P,…はは。それはそれは
飛鳥,それ以上いけない
P,アレを捕まえるんなら、網の方が良いような気がするけど
友紀,あ、オールスターの時みたいに？
七海,タモ網れすか？持ってきてるのれす
友紀,あるの！？
飛鳥,周到だね…
P,…まぁ、薄々気付いてるかとも思うけどさ。あの魚、捕まえるのはちょっとね
七海,…釣っちゃダメなんれすか？
P,残念ながら
友紀,マスコットを捕まえるのは、流石にアウトだよねぇ…
P,ごめんね、隠してた訳じゃないんだけど
七海,しゅーん…
P,一回は海に帰ったらしいけど。またやって来たんだ
七海,その時に、釣りに行けば良かったれす…
友紀,ポジティブだね
P,あくまでも捕まえる気でいるのか…
飛鳥,…そんなに気を落とすことはないさ、七海
七海,うん…
飛鳥,あの妙ちきりんも、見ていればなかなかコミカルじゃないか
P,妙ちきりんて
友紀,そうだよ、あの細い足でシャカシャカ走って……
七海,へ
飛鳥,…は？
P,おっ、脱いだ
友紀,脱いだねぇ
P,第３形態だ
七海,えぇ…
飛鳥,…あれが、中身？
友紀,中身というか、本体？
七海,口から出てきたれすよね今…
飛鳥,脱皮、というか
P,骨だな、完全に
七海,ショッカーの戦闘員みたいれす…
友紀,あれが第３形態だね
七海,…今までのが、第２なんれすか？
友紀,そうみたい
飛鳥,…第１形態は？
P,スクリーンに映ったチョウチンアンコウ…だったような気が
七海,…そっちを釣りたかったれす
P,頑なに釣り上げようとするその執念は一体どこから
飛鳥,野球界には、奇天烈なヤツらしかいないのか…？
友紀,…あ、なんか落としてった。タオルかな
七海,…うん。あの子は流石に、釣れないれすね！
友紀,え？
七海,そうと決まれば、後は野球を観て帰るのれす！
友紀,おぉー！
七海,友紀さん！七海は、どこを見てれば良いんれすか？
飛鳥,…意気込んでた割に、随分あっさりなんだね
P,あんまり未練はないのかな
七海,大丈夫れす！。骨と皮だけの子に用事はねーれすから！
P,えぇ…
飛鳥,辛辣…
友紀,でも確かに、食べても美味しくなさそう
七海,もっと大きなお魚が、七海を待ってるのれすよ！！
