ゲッサンミリオンのユニット,アイル＋紗代子・百合子
紗代子,また3人でヒソヒソ話して……！なんなの、もう！
ジュリア,だ、だから顔を近づけるのは！
瑞希,おはようございます。少し遅れ……どうかされたのですか？
百合子,み、瑞希さん！
ジュリア,お、おお、ミズキか。どうかっていうか……
紗代子,あ、聞いてよ、瑞希ちゃん。みんなったら私を仲間はずれにしてひそひそ話を
瑞希,……
紗代子,瑞希ちゃん？
翼,おーい？
瑞希,あ、すみません。ちょっと気を失っていたようです
ジュリア,さすがのミズキでも、か
瑞希,それでどうして高山さんはそのメガネをかけているのですか？
紗代子,え？
百合子,み、瑞希さん！？
翼,怒られちゃうよ！
紗代子,瑞希ちゃんは私のメガネが違うって、分かるの……
瑞希,はい。というより、分からない人がいないのではないかと
紗代子,……良かった
翼,……え？
紗代子,だって、せっかく勇気を出してメガネを変えたのに誰も触れてくれないんだもん
百合子,それってどういう……
紗代子,ほら、私って髪型も顔も地味でしょ。だから、メガネでも変えればそんな自分を変えられるかなって
瑞希,高山さん……
紗代子,でも、みんな気付いてくれなかった。もしかして、私のことなんて気にしてないんじゃないかって……
ジュリア,サヨ、それは違うぜ
紗代子,えっ
ジュリア,あたしらだって気付いてたさ、サヨのメガネが変わっていたことには
紗代子,じゃあ、どうして触れてくれなかったの？
ジュリア,大したことじゃないからさ！だって、メガネを変えてもサヨはサヨだろ？
紗代子,……！
ジュリア,あたしらは目でサヨを見ているんじゃない。心で見ているんだ！だからメガネが変わったぐらいで騒がなかったそれだけだよ
紗代子,ジュリア……！
翼,いや、さすがにそれは無理があるよ……
紗代子,そうだよね……私は私だもんね。ごめんね、こんなくだらないことを気にしちゃって
翼,えー……
百合子,しーっ！
瑞希,その話でいくと私は……
百合子,瑞希さんも、しーっ！
ジュリア,これで万事解決だな！それじゃミズキも来たことだしレッスン始めるか！
翼,えー、なんかちょっと疲れちゃったし、休憩してからにしましょうよー
百合子,いや、私たち何もしてないからね
瑞希,高山さんはレッスン用のメガネを持ってきているのですか？
紗代子,ううん。今日は一日これで過ごす予定だったから
ジュリア,いや、出来れば外してほしいんだが
百合子,ですね。レッスン中に目があったら笑っちゃいそうですし
紗代子,笑うって……そんなに似合ってないの？
瑞希,似合っていたらアイドルとして失格ではないかと
翼,というか、そのお笑い鼻メガネってちゃんと度が入ってるんですね。特注品ですか？
紗代子,……お笑い……鼻メガネ？何のこと
翼,何のことって、今、紗代子ちゃんが付けているメガネのことですよ～
百合子,えっ……もしかして
ジュリア,なぁ、サヨ。この鏡を見てくれないか……
紗代子,う、うん……。えええええええええええええええ！？！？。なにこれ！？なんなの？なんなのなの！？これはなに！？私はメガネ！？誰はどこ！？
ジュリア,お、おちつけ！
百合子,紗代子さん、もってきたはずのメガネはいつまで間違いなくつけてましたか？
紗代子,え、えーっと、劇場に来て、みんなをこの部屋で待ってて、気づいたらうとうとしちゃって、で、そのあとに百合子が来たから……
瑞希,ここに来た時、どなたか先客は？
紗代子,確か亜美ちゃんと真美ちゃんが……あっ
ジュリア,なるほど
百合子,あの２人が……
紗代子,ううっ、居眠りさえしなければ……！
瑞希,亜美さん達なら先ほど見かけましたが
紗代子,どこで！
瑞希,ホールです。今から遊びに行くところだと
紗代子,ありがとう！ごめん、ちょっと用事できたから！
ジュリア,おー。ほどほどになー
百合子,良かった、紗代子さんは普通のメガネを買ってたんですね
ジュリア,ああ、あんなメガネを本気で選んでいるのかと思ってちょっと頭が痛かったからな
翼,あのー、いいんですか？
瑞希,何がですか、伊吹さん
翼,紗代子ちゃんに亜美ちゃん達を追いかけさせて
ジュリア,しょうがないだろ。あのままじゃレッスンできないし
翼,いや、そうじゃなくて……。紗代子ちゃん、お笑い鼻メガネを付けたまま外に飛び出しましたよ
百合子,……
瑞希,……
ジュリア,……あっ
このあと、,お笑い鼻メガネアイドル高山紗代子
タイトルを盛大に誤字って恥ずかしい,紗代子→サヨ
