結城晴,うーっす
友紀,初めてで３本打っただけでもすごいと思うけど
晴,マジか……うおぉ、やりづれえ……
友紀,リトライはするんだね……
相葉夕美,お疲れさまですっ♪
友紀,あ、夕美ちゃんに飛鳥ちゃん！
二宮飛鳥,やあ
友紀,やほー！レッスン帰り？
飛鳥,そんなところだね
夕美,ミステリックガーデン、久々のレッスンでしたっ
友紀,いいねー！ユニット活動、頑張ってるねぇ
夕美,えへへ♪
飛鳥,キミたちは、デスクで何を？これはどういう状況なんだい
友紀,今、晴ちゃんとゲームしててさ！
飛鳥,へぇ、珍しい
夕美,２人で一緒に座って画面見てるなんて、仲良しだね
友紀,いいでしょ～？晴ちゃん良い匂いするんだ
晴,おい！気持ち悪いこと言うな友紀！気が散るだろ！
友紀,へへー
晴,ったく……うぁっ、スカった
夕美,ゲーム……野球の？
友紀,そうそう！これなんだけど
飛鳥,これは……成程
夕美,あ、見たことあるよこれ！クマのだねっ
飛鳥,ハチミツ飲むヤツだな
友紀,２人とも知ってるんだ？
夕美,なんとなくね？やったことはないんだけど……
飛鳥,同じく。ボクはネットで知った
友紀,じゃあ話が早いね！
飛鳥,サービス、終了してしまうんだろう？昨日聞いたよ
夕美,へぇ……じゃあ、もうやれなくなっちゃうの？
友紀,うん。最後にやっておこうかなって思ってさ
夕美,終わっちゃうのは……ちょっとさみしいね
飛鳥,あぁ。どうにも他人事として切り捨てられないな
友紀,やっぱそう思う？だよねー
晴,その話、また掘り返すのかよ……っおりゃ！どうだ！
友紀,おぉー！やったね
晴,どーよ、これくらいヨユーだぜッ
夕美,すごーい！流石だね！
飛鳥,反射神経と動体視力が重要と見ている。晴は適任だね
晴,だろ？任せとけって！
友紀,１回ポシャってるんだけどね……。言わないでおこう
飛鳥,？何か言ったかい？
友紀,何でもないっ
晴,次はどいつだ？かかってこい
友紀,２人はどう？やってみない？
夕美,う、うーん……
飛鳥,やらない……と、言いたいところだが
友紀,だが？
飛鳥,ここで出会ったのも何かの縁だろう。ボクの中のボクが、今日くらいは悪くないと言っている気がする
友紀,おお！
飛鳥,普段のボクなら絶対に断っているだろうけれど、事情が事情だ。電子の波に消える前に、記憶に残しておくことにしようか
友紀,そうこなくっちゃ！夕美ちゃんは？
夕美,やってみたいのは山々なんだけど……私、これから用事があって
友紀,ちゃちゃーっとやってけば？ワンプレイならすぐ終わるし
夕美,そう？なら、ちょっとだけ……
晴,っくぁーーー！？なんだお前！変なボール投げるんじゃねえ！！。ダメだ……初見殺しすぎる……
友紀,ドンマイ
飛鳥,では夕美さん、お先にどうぞ
夕美,うん、やってみる！。……私も同じ気持ちだよ、飛鳥ちゃん
飛鳥,ふむ？
夕美,花びらが散っちゃう前に、いちばん綺麗に咲いてる瞬間を見ておきたいもんね
飛鳥,……ああ。終わりの刻が理解っていればこそ、より輝いて感じられるモノもあるだろう
夕美,最後にひと花、咲かせてあげたいっ
晴,おい、なんか始まったぞ
友紀,うんうん、ユニット間の熱い友情タッグだね
晴,絶対違うと思う
夕美,私たちだって、いつかは終わりが来ちゃうのかもしれないし
飛鳥,永遠に続くものなんて、存在しないさ
夕美,だからこそ、それまでの時間、今を大事にしていきたいよ
飛鳥,フフ。その言い方だと、ボクらまで休止するのが確定しているようだね
夕美,あ。そ、そっか、違うよ？そういう意味じゃなくってね？
飛鳥,大丈夫、理解ってるさ。そう簡単に終了したりしないだろう、此方は
友紀,攻めるなぁ
晴,やめろやめろ、色んな方向に矛先を向けるのは
飛鳥,もちろんそうなったとしても、ボクらはボクららしく、最後まで歩き続けるだけだ
夕美,だねっ！
友紀,二宮と相葉が言うと、言葉の重みが違うね……
夕美,そうかなぁ
晴,そうなんだよ！なぁ、やめとこうぜこの話も。誰かに怒られる前にサ
飛鳥,そう
晴,何なんだよみんなさっきから……怖くて仕方ねえよ、イエローどころか下手すりゃ一発退場だろ
夕美,よぉし、頑張っちゃうからねっ
飛鳥,健闘を祈るよ
夕美,えいっ。あれっ
飛鳥,なんだこれは
晴,わかるぜ、その気持ち
夕美,む、難しいね……やあっ
友紀,やっぱ最初は難易度低い方からやった方が……
飛鳥,ボールが加速している……これがマグヌス効果か
友紀,違うんじゃないかな
晴,理不尽だよな。こっちは普通にスイングしてるだけなのに、あんな球放るなんてよ
友紀,まぁ……だからこそやりがいがある、って見方もできるし……
飛鳥,難易度がおかしいとのウワサは本当だったんだね……
晴,えー！そうだったのかよ
飛鳥,子供向けとは到底思えないレベル、とは話に聞いていた。特に最後の２人が
晴,嘘だろ……全クリできんのかな……
友紀,……飛鳥ちゃん、それもネットで見たの？
飛鳥,？そうだけど、それが？
友紀,その……あんまり変な影響受けないようにね
飛鳥,ああ、それなら大丈夫さ。板まで踏み込んだことはまだ無いから
友紀,あ、そう？なら良いんだけど
晴,なんかまた怪しい話してないか……？
友紀,だいじょぶだいじょぶ、こっちの話だから！
晴,ホントかよ……
夕美,やった！クリアっ♪
晴,えっ？！
友紀,え、すごっ
飛鳥,あそこから巻き返したのか……
夕美,ギリギリだったけど、何とかなったよ！ぶいっ
晴,スッゲー！夕美、天才かよ！
友紀,すごいすごい！夕美ちゃん、才能あるんじゃない？！
夕美,えへへ
晴,くっそー！オレ２本しか打てなかったのに！なあ、どうやったんだ！？
夕美,えっとね……。ノルマ達成無理だなって途中でわかっちゃったから、Ｆ５押したのっ
飛鳥,あっ
友紀,あー
晴,？なんだそれ
飛鳥,いつの間に……
友紀,ずるい大学生だ……
夕美,だ、だって、時間短縮って大事じゃない？！
友紀,失敗しても一応経験値は入るんだけどね……
夕美,ほら、私たちは今の時間を大切にしないとっ
友紀,そこに繋げていくんだ
飛鳥,物は言いようだな
晴,？？よくわかんねーけど、スゲーな！。オレ、もっかい勝負する
友紀,リベンジ？
晴,おう。負けっぱなしでいられるか、良いだろ飛鳥？
飛鳥,ご自由に
夕美,頑張ってね！慣れればどうってことないよっ
飛鳥,フフ。２周も打ってた人は言うことが違うな
夕美,に、２周もやってないもん
友紀,じゃあ３周？
夕美,違いますー！もう、２人ともからかわないでよぅ……
友紀,あはは、ゴメンゴメン
飛鳥,だが、攻略法としてはあながち間違いでも無いような気がするな。効率重視で、プレイヤー側の経験値を積む方にシフトしていく方が、結果的にてっとり早いかもしれない
友紀,え、そこまでガチで極めにいく……？
飛鳥,何を言う。どうせやるのなら、徹底的にだよ
夕美,げ、ゲームって奥が深いんだね……
砂塚あきら,……あの、失礼しまーす
夕美,あ！あきらちゃんっ
あきら,あ、ハイ。どーもデス
飛鳥,やあ
友紀,どしたの？入ってくれば？
あきら,ええと……良いんデスかね。なんだか立て込んでるのかな、って
友紀,そんなことないよ？おいでおいで
あきら,はあ、そーデスか
夕美,そんなに改まらなくても良いのに
あきら,んー……その、まだちょっと慣れてなくって
友紀,わかるー！ルームに入る時って、なんか職員室みたいだよね
あきら,そうかな……それとはちょい違うような……近い、のかな……？。ところで。Ｐサンかちひろサン、いません？
飛鳥,いや、今日は見ていないけれど
友紀,２人とも留守だよ？プロデューサーは外回りで、ちひろさんは社長の付き添いで出掛けちゃった
あきら,ありゃ。タイミング悪かったかな
夕美,何か用事？
あきら,渡したいものあったんデスけど。まぁ、机に置いておけばいいか……
友紀,書類？
あきら,ハイ。配信とかチャンネルの収益について、事務所通すのと通さないのとで色々あるから、契約書諸々に目を通してハンコついて欲しいって。Ｐサンから宿題出されてましてね。このご時世、大事デスからね。契約とか
飛鳥,あぁ、確かに
夕美,大事だね
友紀,ね
晴,やめろやめろやめろ、その話題が１番闇深いわ
夕美,そうかな？
晴,そうだよ！
あきら,お。どこかで聞いたことある曲だと思ったら、なつかしいのやってる！
友紀,あきらちゃんも知ってるんだね！
あきら,当然。実況主としてはハズせないタイトルだったよね、森でホームランをダービーするやつ
晴,そんなに人気だったのか……
あきら,一部の界隈でねー。人気っていうよりは……まぁ、話題性？面白そうなのには喰い付いとけ、みたいな
飛鳥,あぁ……うん。大体察したよ
夕美,やったこともあるんだ？
あきら,まあ、ちょっとだけ。数年前に
友紀,へへ、同じだね
あきら,あ、そうなんデスか
友紀,ちょっとやってみようと思っただけだったのに、妙にハマっちゃってさぁ
あきら,自分も、ＦＰＳの息抜きで。配信中にＵＲＬ貼られたりとかされたっけ、あれは面白かった
友紀,ハランデ……いや、何でもない
あきら,今やってるってことは、サービス終了する話もご存じで？
友紀,そうそう！またやりたくなっちゃって
あきら,なるほど。納得。みんなで攻略中ってところデスか？見たところ、中盤は突破したようデスけど
晴,おう！コツ掴めば、楽勝だったぜ
飛鳥,やはり試行回数が肝か
あきら,かもね。トライ＆エラーが基本っしょ、こういうのは
晴,タイミングに慣れてきたら、打てるようになったな
あきら,それは何より。でも、こっからが本当の勝負だよ
晴,うへぇ、やっぱり？
飛鳥,流石。詳しいね
あきら,あ、いや。なんかスミマセン、急に偉そうに……
晴,なんでそこで謝るんだ
飛鳥,ふむ……順番的にはボクの出番だが、キミはどうだい？
あきら,……え、自分？いや、いいデスよ別に
友紀,えー！やっていけばいいのにー
あきら,でも……
飛鳥,……まあいいか。ならば晴、交代だ
晴,おーう
飛鳥,フクロウか。相手にとって不足はない……！
晴,鳥対決だな！
飛鳥,わざわざ言わなくてもいいんだよ……
夕美,もしかして、忙しかった？私もこれから、用事があって帰っちゃうんだけど
あきら,いえ、そういうワケでは。暇の極みデスね
夕美,なら、遊んでいけばいいよっ
友紀,そうそう！
あきら,んー……居ても良いんデスかね、自分
友紀,もっちろん！
夕美,遠慮しないで♪
あきら,遠慮というか、何というか……
夕美,？
あきら,なんか皆で攻略してる途中っぽい空気なのに、そのグループに自分が入るのはどうなのかな、みたいな
友紀,細かいこと気にしないの！
飛鳥,おい、なんなんだこれは
晴,やっぱりマンガで読んだことあるぞ、こういう魔球。ジグザグするヤツ
飛鳥,さっきから掠りもしないんだが
晴,投げる側の台詞だったら超カッコよかったんだけどな、それ
友紀,ていうかさ。あたしは、特に攻略目指してる訳じゃなくって、みんなでワイワイやりたいだけなんだよね
あきら,はぁ……？
友紀,そりゃ、クリアできれば１番良いけど。それよりも、まずは楽しんでからでしょ？
あきら,……確かに
友紀,あたしがたまたま始めただけなのにこうして盛り上がってくれて、こういうの、なんかすっごく嬉しいよね。みんな良い感じに熱中できてるし、人数多い方が楽しいしさ。もう１人いれば、絶対楽しいと思うのになー
夕美,苦戦してるみたいだし、ゲーマーとして助けるつもりでっ
友紀,折角の機会だし、やれる内に遊んでおかない？どう？
あきら,……なら、お言葉に甘えて
夕美,やったね！
友紀,イエーイ！
あきら,な、なんで２人がハイタッチしてるんデスか……
夕美,え？うーん……なんでだろ。アハハ
友紀,ノリだよノリ！あきらちゃんも、はい！
あきら,え、ぁ、っとと……。……ほんっと、変な人ばっか。へへ
飛鳥,ぐっ……
晴,１周回って清々しいな、このゲーム。どうするよ？
飛鳥,どうするもこうするもない……もう１回だ
友紀,ハイハーイ！次は、あきらちゃんがやるってさ！
あきら,ドモ……
晴,お、来たな
飛鳥,ム。待ってくれ、今リトライしてしまったんだが
あきら,ああ、ならその回終わってからでいいデスよ。その間に自分は……。……あー
夕美,うーん、なんだかこっち見てるのも楽しそうだなぁ……
友紀,用事の方、行かなくていいの？
夕美,んー……大丈夫、ギリギリまで居るね
あきら,……ん、んん。コホン
友紀,どうかした？
あきら,えぇと、その……
夕美,？
あきら,……もし、もし良ければなんデスけど。写真、一緒に映ってもらっても……なんて
晴,写真？
あきら,ハイ。ＳＮＳに上げたいなと思って。駄目、デスかね
夕美,私は気にしないけど。ね？
晴,オレも
飛鳥,ボクの惨めなスコアで良ければ、いくらでも撮るがいい
友紀,あはは……あっ、あたしも撮っていいよ！
あきら,そ、そーデスか。よかった……。ありがとうございます。それじゃ、遠慮なく。アイドル垢が良いかな。ええと、#ゲーム#ホームラン#ひさしぶり#ダービー#開幕#苦戦中後は……
晴,なあ、何かアドバイスくれよあきら。コイツどうすりゃ倒せる？
あきら,え？うーんと……ブレてる軸の真ん中狙うしかないんじゃないかな。投げてから着弾までは遅い方デスし
友紀,ボールをよく見てタイミング合わせないとね
あきら,てかこの感じ、もしかしてステ強化してない？そういう縛りでやってたりする？
晴,え！この熊パワーアップすんの？！早く言えよ！
あきら,あ、知らなかった系か。なるほど
友紀,そういえば教えてなかったっけ。メンゴメンゴ
あきら,スピードとパワー上げておけば何とかなるかも。困ったらハチミツ、これ常識ね。#ハチミツください
飛鳥,なに、平気さ。もしもの時には、必殺のキーがあるからね
あきら,必殺？
飛鳥,教えてあげようか？Ｆ５というんだけれど
夕美,ちょ、飛鳥ちゃん！
あきら,……ふふっ、何デスかそれ。強制終了とかウケる！
夕美,余計なこと言うんじゃなかった……
晴,なーなー。さっきから言ってるボタンって、何のことだ？
友紀,えーっと……試しに押してみた方が早いんじゃないかな
晴,どれ？
夕美,い、今押しちゃダメだよっ？！
晴,え、そうなの
飛鳥,問題ない。既に、クリア不可能な域まで達しているからね……
友紀,ありゃ
あきら,あははは。確かに、これはもう駄目そうデスね
飛鳥,もういいよ、交代だ。あきら、キミの実力を見せてくれ
あきら,あんまり買い被らないで……あそうだ、最後に。#事務所のみんなで……っと。へへ、送信っ
晴,送ったのか？
あきら,ハイ。気になったら、後で見ておいて
晴,ん、今見るよ。どれだ？
あきら,名前でアカウント検索すれば一発だと思う。あ、もし良ければ、ついでにフォローよろしくね。フォロバするし
晴,えーっと。す、な、づ、か……。……たくさん出てきたんだけど。どれなんだよ
あきら,あそっか、ファッション垢にゲーム垢もあるから。併せてよろしく
飛鳥,ちゃっかりしているな……
晴,これか？いや、こっちかな
夕美,見せて見せてっ
友紀,あたしも見たーい！
晴,ちょ、待てよ、押すなって……
あきら,さてそれじゃあ……まぁ、よろしくお願いします……っと
