モバP,うーん、ロックか……
P,ロックンロールと叫ぶことは、抑圧された性欲からの叫びなのかもしれない。そう思い始めたら眠ることができなかった……昨日の輝子の件もある。メタルはハードロックの延長線上というらしいし、ロック好きの李衣奈と輝子には通じるところがあるのかもしれない。李衣菜はよくロックンロールと言っていたのだ、このままでは……。このままでは、バンドメンバーを巻き込んでロックロールなレッスンを始めてしまうかも知れない！……輝子の件もあるというのにどうすれば……
李衣菜,おーい？Pさーん？
P,んお！？どうした李衣菜？
李衣菜,どうかしてるのはPさんの方ですよ。疲れが溜まっているんですか？仮眠室で休みますか？
P,溜まっている……仮眠室……休む……だと！？。まさか……このまま仮眠室でロックンロールするつもりなのか！？そこまで溜まっていたのか！？
李衣菜,ちひろさんがコンビニから戻ってくるまでだけでも布団に行きましょうよ
P,李衣菜……おまえ……俺でいいのか？
李衣菜,Pさん？もちろん、私はPさんがいいんですよ！だから、Pさんが元気ないと困りますからね。早く元気になってくださいね！
P,…………そうか、ならば俺も腹を括ろう
李衣菜,あれ？なんでエナチャを飲んで……
P,俺が必ず満足させてやるからな！！
李衣菜,えっ！？いきなりお姫さまだっこ！？なんで私も！？えぇっ、ちょ、なんで服を脱いで…ぎゃあああああああああああああああああ
P,うぐっ……まさか俺の勘違いだったとは。ちひろさんが戻ってきていなかったら危なかった……李衣菜も途中から嫌がらなくなったからてっきり……
輝子,つくえのしたにいる
P,もしかしたら、輝子も性欲が溜まっているわけではないのかもな……俺の勘違いか
輝子,やぁ、P……えっ！？その顔…どうした？襲われたか？
P,いや、どちらかというと襲った側……ちひろさんから激しい注意をしてもらっただけさ！
輝子,は、激しいちゅー！？ほ、ほんとうなのかっ！？
P,ちゅー、じゃなくて、ちゅういだ。なんでそんな聞き間違い……はっ！？。ちゅーと注意なんて普通は聞き間違えない…なのに聞き間違えてしまうということは……輝子はやはりっ！？。性欲が溜まっているのか。ちゅーと注意なんて、まるで思春期の男子的間違えじゃないか。つまり溜まっているということだ。やっぱり俺の勘違いではなかったというのか……
輝子,そ、そうか…Pはちゅーされたわけじゃ、ないのか……よかった……
P,っ！？俺がキスされていないと知って安堵しているのか？これはもしや……。俺がちゅーされたら、困ることでもあったのかな？
輝子,うぇ！？え、えっと…それは……フ…フハハハ、ゴートゥヘーーールッ！！！
P,すまんすまん、いじわる言ったな
輝子,べつに…いい……フヒッ
P,それより、キノコはどうだ？
輝子,ねぇ、P。キノコたちがこんなにツヤツヤ…喜んでる…フヒ…
P,それは輝子がキノコを愛でているからさ
輝子,P…キノコと同じように私を愛でてもい……///
P,……
輝子,P…急に座ると足が……っ！？
P,さっきちひろさんにかなり怒られたからな……今は、今はこれでなんとかしてくれ……。俺のキノコで
輝子,そ、そんな…Pの……ナメコじゃ……ない！？
P,そう、前回俺が輝子に俺のキノコを自慢した時に言われた言葉はナメコ。ナメコを見せたところで今の輝子は満足してくれないだろう。しかし！今回は違う。俺はさっきエナチャを飲んだばかり……エナドリ成分には、こう言う効果もあるのだよ……
輝子,も、もしかして……タケリタケ！？
P,ん？タケリタケ？
輝子,キノコにカビが寄生して奇形になったもののこと……これは…どうしたら……
P,…………なら、そのカビを取り除かないとな
輝子,でも…もとの硬さは失われて…触ると崩れるんだ……
P,安心しろ、輝子。俺のキノコがそんなボロボロに見えるか？
輝子,あっ……///すごく……しっかりしてる……///
P,さぁ、早くそのキノコから胞子を出すために奉仕してくれ
輝子,う、うん…///
片桐早苗,おーい、P君はここにいるかーい？
P,……大丈夫、きっと大丈夫。前も似たような状況があっただろうし、その時はなんとかなったから大丈夫。はい、俺はここにいますよ
早苗,いたいた、ちょっと李衣奈ちゃんのこで聞きたいことがあってねー
P,その件でしたらちひろさんに……
早苗,そう、ちひろさんから聞いたの
P,え？
早苗,どういうことかはP君から詳しーく聞いてくださいって言われてね～
P,えっと、その……
早苗,さて…詳しい話はあっちの仮眠し……
輝子,つくえのしたでしている
P,
早苗,……それじゃ、いこっか
P,はい。もう俺はダメかもしれない……結局俺は……
森久保乃々,underthePの机
P,乃々か……そういえば、乃々にも勘違いで酷いことしたよな……。……
乃々,っ！？
P,なぁ、乃々。そのままでいいから聞いてくれないか？
乃々,……いいですけど
P,俺さ、また勘違いでいろいろやってしまったんだよ。前回も勘違いで乃々に酷いことしたのにな……
乃々,プロデューサーさん……
P,結局、まだまだ俺はアイドル達のこと何にもわかってあげられていないんだよ。これじゃ、みんなのプロデューサー失格だよな
乃々,…………
P,うぉっ！？何故急に股間を触る！？
乃々,ぷ、プロデューサーさんが、触って欲しいから椅子に座ったのかと思いまして……
P,ち、違うよ、俺は乃々と顔を合わせるのが恥ずかしくてそれで……
乃々,では、私も酷い勘違いを、してしまいましたけど……私は、プロデューサーのアイドル失格ですか？
P,乃々…お前……
乃々,わ、私たちは、違う人間なんですから、完全な意思疎通なんてできません。大切なのは、相手のことをわかろうとする意思です……って漫画にありました……
P,相手のことをわかろうとする意思……
乃々,プロデューサーさんは、いつも全力で私たちのことを……わかろうとして、悩んでくれています。そういうの……嬉しい、です。だから、プロデューサー失格なんて言わないで欲しいんですけど
P,乃々……ありがとう。気が楽になったよ
乃々,でも、プロデューサーさんの勘違いは酷すぎると思うんですけど
P,ははっ、それをいわれるとな……
乃々,それで、今回はどんな勘違いをしたんですか？
P,あぁ、それは……。……ってなことさ
乃々,……こんな勘違いをする時って、いつもプロデューサーさんが働き続けているときですよね
P,確かに、そうだな
乃々,えっと……その……勘違いの原因って……///
P,ん？どうした？
乃々,プロデューサーさんの……///
P,俺の？
乃々,性欲が溜まっているから、だと思うんですけど///
P,。乃々の指摘を受けてから、対策はばっちりだ。おかげで盛大な勘違いをすることも減ってきた……
輝子,つくえのしたにいる
P,俺の性欲のせいで勘違いをすることはなくなった……だが……。よっこらせっと
輝子,っ！？
P,あの輝子の手を思い出すと、性欲が溜まってしまうのだ……だからこれは仕方ないよな。輝子もノリノリだったし、キノコの世話だもんな
輝子,わぁ…Pのナメコ、元に戻ったんだね。これならもう…大丈夫、カワイイ
P,
