松枝泰平,３７
喪黒,天然有機青汁は健康にいいんです。これを飲むことで、松枝さんの野菜不足は解消されるでしょう
松枝,確かに……
喪黒,それ以外にも、天然有機青汁には特別な作用があります。あなたにピッタリの……
松枝,何ですか、それは？
喪黒,実はですねぇ……。この青汁はダイエットにも効果があるんですよ
松枝,そ、そうなんですか！？
喪黒,ええ。天然有機青汁を飲み続けるだけで、松枝さんはみるみる痩せて健康な体形になれます
松枝,マジっすか！？
喪黒,本当ですよ。野菜不足は解消され、ダイエットにも効果があり、そのおかげでピッチャーとしても立ち直れる……
松枝,そこまで言われると……。この青汁、欲しくなってきましたよ……
喪黒,じゃあ、あなたにこの天然有機青汁を無料でプレゼントしますよ
松枝,えっ、いいんですか！？こんな高そうなものを、ただで貰うなんて……
喪黒,これは私からの気持ちですよ。平成の怪物であるあなたの復活を願ってのことですから……
松枝,ありがとうございます！帰ったらさっそく、この青汁飲んでみますよ
喪黒,そりゃあ、どうも……。あと、私の連絡先も渡しておきますよ
喪黒が松枝に渡したメモには、BAR,魔の巣
松枝,ハァーーーッ……。やっぱり青汁はまずいな……
キャッチャー,松枝さん、今日はいつもより球が速いですね……
森木,もしかすると、平成の怪物はまだ健在かもしれんな……
ソフトビジョンの選手,松枝さん……。気のせいか、少し痩せたように見えますけど……
松枝,ハハハ、そう見えるか？もしかすると、あれのおかげかもしれんな
ソフトビジョンの選手,ダイエットでも始めたんですか？
松枝,まあな……。今日の試合、楽しみにしてくれよ
テロップ,交流戦中部クロコダイルズ―福岡ソフトビジョンファルコンズ
実況,バッターは4番の柳本です！さあ松枝、どう乗り切るか……
審判,ストライーーーク！！バッターアウト！！
松枝,えーーと……。BAR魔の巣という店は……。ここか……
BAR,魔の巣
喪黒,お待ちしていましたよ。松枝さん。松枝さん。この間の試合も、実に鮮やかな投球でしたねぇ
松枝,いやぁ、何もかもあの天然有機青汁のおかげですよ！！
喪黒,見たところ……、松枝さんは前よりもスリムな体形になったようですなぁ
松枝,分かりますか？最近では、人に会うたびによく言われるんですよ
喪黒,どうです？天然有機青汁の効果は本物だったでしょう？
松枝,もちろんですよ！まさか、あの青汁を飲むだけで本当に痩せるなんて……。もう、びっくりです！！
喪黒,天然有機青汁は、数ある青汁の中でも特別なものなのです
松枝,いやぁ……。今の俺は、天然有機青汁なしの生活は考えられません
喪黒,だったら、松枝さん……。あなたには、約束していただきたいことがあります
松枝,約束！？
喪黒,そうです。あなたが愛飲する青汁は、この天然有機青汁だけにしてください
松枝,変わった約束ですけど……。まあ、いいでしょう……
テロップ,セ・リーグ中部クロコダイルズ―横浜シューティングスターズ
審判,ストライーーーク！！バッターアウト！！
オーナー,松枝君。君に、健康食品会社からCM出演の依頼が来ているぞ
松枝,俺がCMに出るんですか？
オーナー,ああ。何でも、君を青汁のCMに出したいとのことだ
松枝,えっ……！？
オーナー,ダイエットに成功し、ピッチャーとして復活した君には打ってつけの仕事だ
松枝,困ったな……。オーナーの頼みとあれば、断れそうな雰囲気ではないな……
オーナー,どうだね、引き受けてくれるか？
松枝,わ、分かりました……
森木,松枝。今度の試合では、そろそろお前を登板させようと思う。お前にとって甲子園は思い出の地だろう？
松枝,はい。だから、この試合……。何が何でも勝って見せますよ
喪黒,松枝泰平さん……。あなた約束を破りましたね
松枝,も、喪黒さん……！！。ああっ！！
喪黒,私はあなたに言ったはずですよ。天然有機青汁以外の青汁は、絶対に服用してはいけない……と
松枝,だ、だって喪黒さん……。青汁のCM出演は、球団オーナーからの頼みもあったものだから……
喪黒,弁解は無用です。約束を破った以上、あなたには罰を受けて貰うしかありません！！。ドーーーーーーーーーーーン！！！
松枝,ギャアアアアアアアアア！！！
テロップ,セ・リーグ中部クロコダイルズ―関鉄パンサーズ
松枝,何だか、眠くなってきたな……
中部側ベンチ,お、おい……！！こ、これ……！！
関鉄側ベンチ,い……、一体何が起きたんやあっ！！
喪黒,地上にいる動物は、主に肉食、草食、雑食に分類することができますが……。人間は雑食動物と言えるでしょう
