III号戦車J型,ﾌﾞﾛﾛﾛﾛ…
エリカ,……なんてこと…！。……。あっ、た、隊長！大変なことが。嘘…嘘よ…。……エレファントと、あと直下のいるヤークトパンターです。了解…。はい、指定のポイントに移動します…。……全車！隊長と合流するからついてきなさい！。…ん？直下、こんなときにふざけるのはやめなさいよ。……ところで直下、あんたのヤークトパンターって履帯の重さどんくらいあったかしら。足の悪い地帯を進むのよ、重要な情報なの。知らないってのは通らないわよ？あんたいっつも履帯が重いって愚痴ってるじゃない。……答えて。ぜ、全速前進！！！逃げるわよ！！！！！
まほ,合流ポイントに到着した。そちらの状況を報告せよ。了解…確認した。こちらから見えて…ん？
ぴよたん,ふんふ～ん♪今度のは軽そうぴよ～♪
まほ,曲がれエリカァアアアアア！！！！直線上にモンスターがいるぞ！！！。泣くなエリカ。大丈夫、大丈夫だか…。なっ…！。う、撃った…
小梅,事故、これは事故です。外に出てる方が悪いんです。あの日の私のような、不幸な、そう不幸な事故なんです…
小梅車砲手,あはは…私人殺しになっちゃった…あはは…
小梅車装填手,違う違う違う私じゃない私は装填しただけ装填しただけ装填しただけ
小梅車操縦手,私は関係ない関係ない関係ない関係ない関係ない関係ない関係ない
まほ,くっ…。……安心しろ、西住流が優秀な弁護士を用意してやるか…ら…
砲弾,ｷﾞｭﾙﾙﾙﾙﾙｯ
ぴよたん,危ないぴよ～。おイタをしたのは…誰？
エリカ,片手で…受け止めた…！？
まほ,…なんてことだ
小梅,……ッ！九時の方向に全速で逃げて！アイツを引き付ける！
操縦手,もうなるようになれええ！
まほ,小梅！
ぴよたん,オシオキでゴザルよ～
エリカ,どいたわ！今のうちに！
小梅,さようなら隊長…どうか、ご無事で…
まほ,……すまない。いくらモンスターといえど女子高生だ。虫とかいそうな森の中に好んで入ってくるとは考えられない
エリカ,まあ…そうなんでしょうけど…
まほ,このまま逃げ切る。小梅たちの想いを無駄にするわけには絶対にいかん！生き残るぞエリカ！
エリカ,は、はい…(なーんか忘れてるような…)
まほ,むっ、なにやら開けた場所に出たな
エリカ,ええ。にしても、ここどこなんでしょ…う…
大洗戦車たち,よう
まほ,
みほ,はい砲撃
まほ,ふふ…ふふふ…我が黒森峰女学院戦車道連合隊長にして次期西住流家元と名高い私が、あの程度の砲撃でくたばると思ってかみほ…
操縦手,な、なんとか逃げ切れた…
装填手,もう帰りたいよぉ…
まほ,泣くな！フラッグ車さえ生きていれば負けることはない！フラッグ車さえ狩ればどんなに戦車が残っていようと勝ちなんだ！まだ、まだやれる！
砲手,あはは、もう無理ッスよ。あそこ見てくださいよぉ。あはは
まほ,……
ねこにゃー,ラストバトルだにゃー
ももがー,忍者戦法(物理)も残り一両じゃ意味ないももね
ぴよたん,暇になったし、サクッと終わらせちゃうぴよ
まほ,クソが…！
操縦手,あわわ…
ねこにゃー,さて、と…
装填手,ひいいっ来るう！
まほ,ふふっ、ふふふははは！！！愚か者め！一つに固まりおって！おかげで奴らを抹消することができる！砲手！
砲手,はいっ！
まほ,奴の鞄をなんとかして撃ち抜け！爆発炎上させるぞ！
砲手,で、できませんよ！できたとしてもあの子たち死んじゃいますって！
まほ,素手で戦車を叩き潰す存在を人間とは呼ばん！故になんとかなる！安心しろ西住流の権力と金を使ってなんとしても守ってやるから！！！
装填手,隊長がおかしくなったぁ！
砲手,もう素直に降参しましょうよ！こんな試合、経歴にゃ傷にも汚点にもなりませんってぇ！
まほ,ええい、どけ！
砲手,あう
まほ,死ねオラーーーーーーッ！！！！！！
ねこにゃー,ん？あの軌道……。あー、なるほど考えたねぇ
まほ,や、やったか！？
ねこにゃー,あーあ、服がボロボロだにゃー
ももがー,ひどいことするもも
ぴよたん,オシオキが必要ぴよ
まほ,ば、バカな…。…………ビューティフル
審判,お、大洗女子学園の勝利…
しほ,…………
ねこにゃー,西住隊長！
みほ,はい
ねこにゃー,見つけたにゃ！ボクの戦車道！
みほ,よかったね
沙織,みぽりんが生徒会に戦車道を強要されたときのあの目になってる…
麻子,気持ちはわかる
華,お腹すきました
優花里,嘘です戦車が筋肉より弱いなんてこれはきっと悪い夢だそうに違いないんです
まほ,ドイツに行きます
しほ,なぜですか？まあ、先日の大敗もありますし、海外をその目で見て来るのもいいクスリになりそうですね
まほ,ドイツの医学薬学を駆使して世界最高峰の筋肉を身に着けるためです
しほ,寂しいとは決して言いませんけどまあ向こうでも健康管理を怠らず……って、え？
まほ,あの試合を通し、私は本当に大切なものを知りました
しほ,あの、まほ…ちょっと落ち着いて
まほ,それは、筋肉です。筋肉に勝る戦車などありません。それをようやく悟ったんです
しほ,
まほ,それでは、お元気で。お母様…
菊代,奥様、アマゾンから電動マッサージ器届きましたよ…って、奥様！？気絶してる！？
