モバマスより塩見周子と小早川紗枝,きつね
Ｐ,……材料は？
大将,ギンギー
Ｐ,……ま、まあともかく、お言葉に甘えて飲ませて貰おうかな。じゃあ大将、冷酒とマグロぶつ、あと鴨の燻製を。お、うまい。新鮮なマグロだな
周子,どれどれ……んおっ、ほんとだ！
Ｐ,綺麗に切ってるのもいいけど、こう大雑把にぶつ切りしてるのもいいよな。食い応えがあって
周子,そうそう、お醤油をざぶんとくぐらせて……んーまぐろ食べてるって感じ～！
Ｐ,さて、鴨の燻製の方は、と。いい色が出てるなー。う、うまい！鶏肉より旨味が濃くて噛み応えがある……。燻製にしてるから、味が更にぎゅっと濃縮されてる感じだな！
周子,どれどれ……おお濃厚……！。脂身の部分もいいねーこれ。ぷりぷりしてて、肉のとこよりトロッとしてる感じ
Ｐ,そして追って頂く冷酒が……。ウマイ！
周子,どれどれ
Ｐ,どれどれじゃねーよ
周子,ちっ、流れで誤魔化せなかった……。お酒なー。あたしはあと二年かー
Ｐ,その時になったら奢ってやるよ
周子,おっマジか。めっさ高いとこ今から調べとこ
Ｐ,手加減して！？
周子,にしても……そうか。プロデューサーさんはあたしの成人も祝ってくれるんや
Ｐ,？当たり前だろ。アイドルやってりゃ二年なんてすぐだぞ
周子,二年後も……か。んっふふ♪
Ｐ,なんだよ急に笑って
周子,なんでもー。燻製もいっちょ貰うね
Ｐ,最後の一切れー！？
周子,京都にいた頃は、二年後どころか二ヶ月先のことも考えてなかったけど。いやぁ人は変わるもんやねぇ。どなたさんのおかげなのやら。重畳重畳♪
紗枝,――ぷはぁ
Ｐ,お、食ったか
周子,どう紗枝ちゃん、おつまみ分けてもらう？
紗枝,せっかくやけど、それには及びまへん。ひとつ、しばらくぶりに頂きたいもんがありましてなぁ。大将はん～。ねずてん、ありますやろか？
大将,あるよ
Ｐ,……ねずてん？
紗枝,鼠の天麩羅のことどす♪
周子,ネズミ！？
Ｐ,こ、これが……ねずてん……？
周子,ほぼ丸揚げやん……
紗枝,これこれ♪人間はんのお店では、こればっかりは出してくれへんでな～
Ｐ,そりゃそうだろ……
周子,だってネズミだもの……
紗枝,ちゃあんと清潔にしたもん使とるし、おいしいんやけどなぁ。ではでは
Ｐ,あっ
紗枝,ひとくちでぇ……
周子,あっあっあっ
紗枝,あ～～～～～～～んっ
Ｐ・周子,あっああっあああっ
紗枝,――はぁんむっ♡
Ｐ・周子,食べた！！
紗枝,ん～っ♡こればっかりはやめられへんな～♡
周子,……思い出した。狐の大好物ってもともとネズミの天ぷらなんだって
Ｐ,マジかよ
周子,でもそれだとお稲荷さんにお供えする時長持ちしないのと、殺生が禁じられてたかどうだかで……。それで代用品におあげさんなんだって。父さんが言ってた
Ｐ,ほぉ～……
周子,すっかり慣れてたけど、紗枝ちゃんもれっきとした狐なんやなぁ
Ｐ,うーん……
周子,プロデューサーさん？
Ｐ,紗枝、それうまいのか？
紗枝,それはもう、うち小まい頃から大好きだったんよ～
Ｐ,よかったら、一つ食わせてくれないか？
周子,ちょ
Ｐ,男は度胸！なんでも試してみるものさ！大将とっくりもう一本！
周子,うわー酔ってきてんなー
紗枝,んー、ほんまやったら独り占めしたいとこやけど……ほかならぬプロデューサーはんの頼みやったら。お塩をぱぱっと振りかけてー……はぁい、あ～んどすえ♡
Ｐ,あーん。はむっ、はふほふ、熱っ……
周子,……
Ｐ,うまい！！
周子,マジで！？
Ｐ,肉がジューシーでホクホクしてて、塩が旨味を最高に引き上げてる……。鶏？豚？いやどれにも似てないな。食感はチキンに似てるけど、より淡白で噛めば噛むほど味が出る。しかも骨ごとサクサクいけるとは！やわらかい肉とスナックめいた骨が一緒になって食感が楽しい。頭を落としてるんだな。モツも綺麗に抜いて下ごしらえしてるから、えぐみや臭みが全く無いんだ。丁寧な職人芸……一匹まるまる頂ける、こんなうまい肉の天ぷらがあったとは……
周子,……あたしネズミ料理の食レポしてる人間生まれて初めて見たわ
紗枝,周子はんもおひとついかがどすか～？
周子,えぇ～？あたしもぉ～？うそぉ～ん？。もらうわ
紗枝,ままま、もう一杯～
Ｐ,おっとっとすいませんね……
周子,現役アイドルに挟まれてお酌されるなんて、そうそう体験できないよ～？
Ｐ,ちげぇねぇ
周子,おっ、いい飲みっぷりじゃーん♪大将ー、もう一本お願ーい
大将,あいよ
Ｐ,おお、すまんすまん。いやー飲んだなぁ……
周子,いい気分になってきたっぽいじゃん。いつもこんなペースなん？
Ｐ,いつも飲むのは楓さんと茄子さんとちひろさんだぞ
周子,ごめん愚問だったわ
Ｐ,まあせっかくだから甘えさせてくれ……。大将、鮎の塩焼きください
大将,あいよ
周子,うりうり吐いちゃいなよぉ、どの子が本命なんだよぉ～
紗枝,ほれほれ～往生しいや～
Ｐ,うぐぐぐ……俺は、そんな目でアイドルを見たことは……
周子,う～っそだぁぁ～～。可愛い女の子をたっくさんプロデュースしとるんやろー？。結婚したい子とかー、カノジョにしたい子とかー、仕事の上ではそういうオトコとしての視点も不可欠やろがーい
紗枝,やろが～い♪
Ｐ,ん～～～～。そういう、お前、そういうのはなぁ。そんななぁ、私情みたいなのはなぁ。無いです。ありません
周子,まーまー、一個人の見解でいいからさー。どうなのさそっちから見てうちのアイドルはー
Ｐ,見解……それはうちのアイドルをどう見ているかという意味でよろしいか？
周子,えっあっはい
Ｐ,よーしわかったわかりました。ちょっと長くなるぞーいいかーいいなーよし
紗枝,あららぁ
Ｐ,――であるからしてお嫁さんにしたいアイドルナンバーワンは信頼と実績の響子がいるわけだけどそれに留まらず家庭的という意味では例えば美嘉それに新進気鋭のまゆも全く引けを取っていないわけであって。もうすごいよね。完璧だわ。あんな子らを嫁に貰えたらそりゃ人生もうゴールインと考えているファンがどれほどいることかという――
紗枝,プロデューサーはんは、酔ってまうとあれやなぁ
周子,うちのアイドル超可愛いモードに入るんやな……
Ｐ,――もちろんそれに留まらず色んな方面の魅力を持つアイドルは沢山いて、お嫁さんではなく多彩な距離感やポジションを持ってて、もう凄い。みんな凄い。かわいかったりかっこよかったりパッションだったりとだな、それぞれの持つ個性が遺憾なく発揮されていて、俺はそのほんの手助けをさせてもらっているに過ぎず――
周子,大将、おみずおみず
大将,あいよ
Ｐ,――で、美穂のな、たぬき要素がだ、アイドル活動そのものに関わってるか？という話で。ないっ！正体は全然関係ないのだ！つまり美穂は、ただ自分自身の努力と可愛さだけでここまでの人気を勝ち取ったんだ！。個性派アイドルがたくさんいる中での、可愛い一本のストロングスタイル！これに惚れずして何に惚れる！？
紗枝,ふむふむ～
Ｐ,キュートという意味では紗枝もかわいいよね、ほんとかわいい
紗枝,こん？
Ｐ,上から下まで絵に描いたようなはんなり京美人……一目見たらハッてなる……。もふもふ耳と尻尾も可愛い要素に満ち満ちているが、美穂と同じくきつね部分はアイドル活動に持っていったりはしない。あくまで本人の雅な所作、歌や舞い、トークでファンを獲得している……すごい……えらい……。あとプライベートではちょっとお茶目だったりするところも大変いいと思う……
紗枝,うふふ、なんやもぉお上手なんやからぁ。そないおだてたかて、なーんも出まへんえ？おあがりやす♡
Ｐ,やったー天ぷら出た！
周子,ははぁ……職業倫理の塊っていうか、アイドルバカっていうか……。ま、それもプロデューサーさんらしいのかもしんないけどね
Ｐ,いや自分は傍観者ですーみたいな顔してるけどお前も超素敵だからな？
周子,んぉ
Ｐ,だってスカウトしたの俺だもん。この眼は節穴じゃないぞ
周子,いやいや、ここであたしに矛先向けるのはどうなん？
Ｐ,その黒い瞳はどうだよ。綺麗すぎか？目が合うたびドキッとするわ
周子,あー、えっとね？飲みすぎなんやからその辺に
Ｐ,スカウトした時は黒い髪だったけど、今の髪色になってから更に瞳とのコントラストが凄い。美白だし。モノクロ映画のめちゃくちゃ綺麗なフィルム見てるみたい
周子,ちょっとちょっと――
Ｐ,紗枝とはまた違う京美人っていうの？シュッとしてて洒脱で、見てて憧れるよな。かっこいいっていうか綺麗っていうか
周子,ちょっ、紗枝ちゃん、見てないでさ
紗枝,あらぁ～
Ｐ,あとなー、色々やっぱり世話になってるしなー。なんかヘンテコなこと起こった時とかさ。お前のアシストにどれだけ助けられたか、この機会だからはっきり
周子,ていや！！
Ｐ,グワーッ！？
周子,あーびっくりした！もうなんなんさっきから！酔ってるんか！
紗枝,酔ってはるやないの～
Ｐ,ククク……照れる周子ちゃんも可愛いぜ……
周子,無敵かこの人！？
紗枝,まぁまぁプロデューサーはん。周子はんも恥ずかしがってはるし、その辺で堪忍したっておくれやす？
Ｐ,照れ周子かわいくない？
紗枝,はいな。えろうかいらしなぁとうちも思います～♪
周子,挟み撃ちしてくんのやめーや！もう！大将お茶！
大将,あいよ
Ｐ,むぅ……
周子,とんだ流れ弾だわ……あーなんか顔あっつい
紗枝,そないなこと言うて、まんざらでもなかったんちゃいます？
楓,普段こういうこと言いませんものね、この人
Ｐ,…………周子、紗枝
周子,うい
紗枝,はいな？
Ｐ,楓さんが見える。夢か？飲み過ぎた？
楓,夢でもＶＲでもない、りあーるの楓ですよ♪
周子,びっくりしたわ。どしたの今日は、たまたま通りがかったとか？
楓,ええ。瑞樹さんや茄子ちゃん達と飲んでたんですけど、こっちの方から面白そうな気配がしたから……。二次会に行く途中で、ちょっと寄ってみたんです
紗枝,自由自在どすなぁ
Ｐ,……頭がクラクラする……
楓,あらいけない。くらくらするなら、楽～にしててください
Ｐ,うぅ……
楓,……ふふっ♪これほど酔ってるのを見るのはいつぶりかしら
周子,楓さん達と飲む時はこんなんじゃないの？
楓,それが自制しちゃうんですよ。私や茄子ちゃんが大体えらいことになっちゃうから
周子,なっちゃうんかい
楓,せっかくなので私も……大将、私もこの人と同じお酒を常温で。それとギンギーとマタデーをお願いしますね
大将,あいよ
楓,あ、ズンドコベロンチョあります？
大将,新鮮なのが入ってるよ
楓,じゃあそれ刺身で♪
紗枝,今夜はずいぶん珍しいもん置いてはりますなぁ
周子,なにがなにやらわからんわもう
Ｐ,ぐむむ……
周子,そういえば楓さんってさ、プロデューサーさんと一番付き合い長いんでしょ？
楓,ええ。部署立ち上げ以来になるでしょうか
紗枝,うちらはまだ新参の方やさかい、もう沢山のあいどるがおらはったけど……。はじめの頃いうんは、どないな感じやったかなぁ思うんどす
楓,そうねぇ……。私がいて、この人とちひろさんがいて。芳乃ちゃんが来て、茄子ちゃんが入って、美嘉ちゃん、みくちゃん、こずえちゃん……。でもＰさんは、最初からこんな感じでしたよ
Ｐ,楓さん
楓,はい、楓です♪
Ｐ,長い話になるでしょ。聞いて楽しいもんでもなし
周子,ありゃ、ＮＧ？
楓,そうみたいです。私にとっては楽しい思い出なんだけど――。あ、お呼びがかかってしまいました。そろそろここはお開きかしら
周子,プロデューサーさーん、しっかりしなってー
Ｐ,むむむん……
楓,ふふっ、本当に珍しい……。一枚撮っておきましょう
紗枝,このままじゃあきまへんなぁ。大将、いっぺん気付けにやってみておくれやす
周子,気付けに？それって……
大将,へぇ、気付けになるってぇのは……。こんな顔のことですかい？
周子,ぶっ！！
Ｐ,
楓,あら気絶
紗枝,あやや……やりすぎてもうた
周子,……どうする？あたしプロデューサーさんち知らないよ
楓,引き受けましょうか？夜が明けますけど
周子,それはやめといた方がいい気がする
紗枝,ん～～……。寮で寝かしておけばええんとちゃいます？
Ｐ,…………。…………なんで？
芳乃,お目覚めでしてー？
まゆ,朝ごはんできましたよぉっ♡
みく,もーＰチャン！お酒はほどほどにしなきゃダメでしょー！
響子,お味噌汁、しじみにしておいたんです。ちょっとでも楽になればいいんだけど……
Ｐ,え！？あれ！？ナニコレ！？
周子,おはよーさーん……ああやっとお目覚めかぁ
紗枝,ゆうべのこと、忘れはったんどすか？
Ｐ,ゆうべ……ああそうか、俺はついつい飲み過ぎて……
こずえ,くー……
Ｐ,こずえがくっついてるし
美穂,……みんな、おはよぉ……
Ｐ,あ
美穂,。ぽこ
周子,あ、腰抜かした
美穂,ぷっぷろっぷろっぷっ、プロデューサーさん！！？。ななななんでっここにっ、やだ私まだ寝癖ついてっ、ぽこーっ！！
Ｐ,待て落ち着け美穂！俺もなにがなんだかわからない！
菜帆,ほんとに覚えてないみたいですね～
周子,あたしら一生懸命ここまで運んだのにねー
紗枝,酔ってもうて前後不覚のプロデューサーはんをな～
Ｐ,そんなに
周子,じゃあアレは覚えてないの？酔った勢いでまゆちゃんに抱き着いたやつ
まゆ,素敵な瞬間でした……♡
菜帆,私達でお風呂に入れてあげたこと、お忘れですか～？
小梅,私とあの子と、スリラーを踊ったことは……？
輝子,一緒にマタンゴごっこもしたな……フフ……
Ｐ,ん？さては俺死んだ方がいいやつだな？こずえ介錯頼む
こずえ,しをうけいれたまえよー……
芳乃,ご心配なくー。ただの冗談ですゆえー
こずえ,すべてながいよるのゆめー……
まゆ,うふふっ。本当にそうしてくれてもいいんですよ？
美穂,か、顔洗ってきましたっ！
みく,寝癖はなんとかなったけど耳と尻尾出てるにゃ！
美穂,ぽこーっ！？
Ｐ,なんやかんやあって女子寮を出た。不覚だった……まさかあんなに飲み過ぎてしまうとは。途中楓さんもいた気がするし。大丈夫だよな？出るとこ誰かに見られてないよな？。……ふぅ。とりあえず、家帰ってシャワー浴びよ……
P,ん？なんだこれ、服のすそに葉っぱが一枚……
Ｐ,んお！？封筒になった！？。……中になんか入ってる
いつもお世話様です褒めてくれておおきに♡／周子,隅にキスマーク
今後トモ不相變御厚情之程偏奉願候／紗枝,達筆筆文字
Ｐ,ん、なんだ？オマケもあるな。マッサージ券て。…………これからもがんばるかぁ
周子,お酒かぁ
紗枝,あら、気にならはります？
周子,んー、どうだろ。身近に恐ろしい酒豪が少なくとも二人いるわけだし、ぶっちゃけおっかないわ。でも、飲まなきゃ出ない本音ってのもあると思えば、嗜むに越したことはないのかなーって
紗枝,うふふ。周子はんがかいらしいいうこととか、どすなぁ
周子,ていや
紗枝,こんっ♪
周子,ま……ともあれ、二年先。もうちょっとしっかり考えてみるかぁ
