トレーナー,よし、今日はここまで。クールダウンのストレッチをしたら帰ってよし
裕子,たまたま乗ったバスがこんな少数の長距離バスだったとは……
ほたる,このままじゃ完全に夜になってしまいますね……ごめんなさい
裕子,ほたるちゃんが謝ることないですよ。待ってても仕方ないですし、来た道を歩いてみましょう
ほたる,どれくらい歩いたんでしょう……？すっかり夕暮れですね……
裕子,それにしてもすごい景色ですねー。携帯あったら絶対撮ってましたよ。ここは脳裏に焼き付けておいて、無事帰ったらサイキック念写を……
ほたる,裕子さんはこんな状況でも……変わらないんですね
裕子,ん？どういうことですか？
ほたる,何度も危ない目にあって……いまも帰れるか不安なのに……
裕子,まぁ何とかなりますって！サイキックテレパシーも送り続けてるので、そのうち誰かがやってくるかも知れませんし！
ほたる,私は……そんな風に思えないです……巻き込んでしまってごめんなさい
裕子,ですから謝らないでいいですよ。ほら、この夕日を見れば元気がわいて……ん？
ほたる,なんだか……急に空気が湿気て……？
裕子,わわ！晴れてるのに、雨が降ってきました！サイキック天気雨です！
ほたる,あぅ……どんどん強くなってます……
裕子,あ！ちょっと先に小屋みたいなものがありますよ！ひとまずあそこへ！。お地蔵様と小さな祠ですね
ほたる,夕立みたいですから……しばらくここにいましょう
裕子,そうですね……お邪魔します、少しの間雨宿りさせてください！
ほたる,となりのトトロで、見たことある気がします……
裕子,あ、私も同じこと思ってました！
ほたる,でも……ここに、傘を渡してくれる人は来ません……
裕子,まぁ夕立ならすぐに止むでしょう。そんなに気に病むことないですよ！
ほたる,裕子さんは……本当に強いですね。私の不幸も……まるで気にしないですし……
裕子,私は別に不幸だなんて思ってないですよ？
ほたる,だって……現にいまも不幸の最中じゃないですか……
裕子,そうですかね？ここに来れなかったら、綺麗な夕日も見れなかったですし。私はほたるちゃんと一緒にいる時間が楽しいですよっ！
ほたる,私と一緒なのに……楽しい……？
裕子,その通り！今日は私のサイキックパワーが暴走してしまいましたが、それも含めて面白かったじゃないですか！ほたるちゃんはつまらなったですか？
ほたる,でも……私といると、いつか本当に怪我とか……
裕子,意外と強情ですね！ほたるちゃんといても不幸になんかなってません！今日のトラブルは、私のサイキックパワーが原因ですからね！むしろ謝るのは私のほうですよ
ほたる,そんなこと……ないです……私のせいなので、謝るのは私です……
裕子,もう……わかりました！では私のサイキックが本物だということを認めさせればいいんですね！
ほたる,え……どうするんですか……？
裕子,見ててください！……エスパーユッコ、全力最大、サイキックパワーッ！！
ほたる,あれ……？雨が……。晴れちゃった……え、あれって……わぁ、綺麗……！
裕子,やっと笑ってくれましたね！私のサイキックは、みんなを笑顔にするためにあるんです！。どうですか？エスパーユッコの真の実力、思い知りましたか！これは認めざるおえないですね！
ほたる,す、すごい……
裕子,これでほたるちゃんが不幸にさせているわけじゃないって証明されましたね。まぁ、本当はそんなこと関係ないんですけど
ほたる,関係ない、ですか……？
裕子,私以外のみんなも、きっとほたるちゃんともっと仲良くなりたいと思ってますから
ほたる,それはどういう……
裕子,さて、また歩きましょう！無断外泊になったら寮監さんに怒られちゃいますからね
ほたる,う……なんとか避けたいですけど……間に合いますかね……
裕子,何とかなりますって……ん、あれ車じゃないですか！？こっちに向かってきてます！
ほたる,待って……あの車はもしかして、事務所の……
巴,おぉ、おったぞ！二人とも無事じゃ！
ありす,ほたるさん！裕子さん！大丈夫ですかー！
モバＰ(以下Ｐ),お前ら落ち着け！窓から顔出すな！
ありす,ほたるさん！心配しましたよ！
巴,これで一安心じゃな
ほたる,なんで……みんなが……？
裕子,みなさんどうしてここに！？あ、私のサイキックテレパシーが届いたんですね！
Ｐ,残念ながらお前のテレパシーは受信はできなかった
ありす,ほたるさんに何度も電話してみても繋がらなくて、やっと繋がったらバスの運転手さんが出たんです
巴,乗客の忘れもんだろう言うとって、この路線は人も滅多に乗らんから誰かすぐわかったけぇ、降りた場所聞いて急いで向かってきたんじゃ
裕子,なんで私も一緒ってわかったんですか？
Ｐ,確認のために運転手にその子の特徴聞いたら、2人の女の子が乗車してきて、そのうち1人がサイキックダイブとか叫んでたなんて言ってな。そりゃ裕子しかいないわな
裕子,そういうことですか……
Ｐ,裕子の携帯も仲良くバスの中に落ちてたそうだ。だからこそ、すぐにお前らの安否を確認できなくて焦ったが……何とか見つかってほっとしてるよ
ほたる,でも、そもそもどうして私に電話を……？
ありす,ほたるさんが先に帰った後、巴さんと2人で話したんです
巴,わしらは、ほたるが必要以上に馴れ合わんようにしとると分かってたから、そうしてたんじゃ
ありす,でも、やっぱりそれはよくないって思います
ほたる,よくない……？
巴,お前が前の事務所で何があったかは何となく聞いとるし、それでみんなから距離を取ろうとしようる気持ちも分かるんじゃ
ありす,それでも、私たちは仲間ですから。もっとほたるさんのことを知りたいし、私のこともほたるさんに知ってもらいたいんです
巴,不幸が何じゃ！そげなもの怖がってたら、ホンマの仲間じゃないからの！
ありす,だから、まずはみんなで食事でもしようと電話を……ほたるさん！？どこか痛むんですか！
ほたる,ち、違います……ぐすっ……私、これからみんなの傍にいても……い、いいんですか……？
巴,なに言っとるんじゃ！
ありす,そんなの当然です！
ほたる,うぅ……はいっ、よろしくお願いします……！
裕子,ほたるちゃん……うん、やっぱり心配いらなかったよ！よかったね……ぐすっ
Ｐ,裕子もありがとな。ほらハンカチ
裕子,ありがとうございます……ヂーン！
Ｐ,あーもう台無しだよ……よし、そろそろ車乗れー。携帯回収したらみんなで飯行くぞ！
裕子,やったー！麺類以外にしましょう！スプーン使えるもので！
巴,時間も遅くなってきとるし、ファミレスでええじゃろ？
ありす,プロデューサーのお財布の負担も少なくてすみますし
Ｐ,俺が出すのは確定なのね……まぁそのつもりだったし、ファミレスにするぞ
裕子,ほたるちゃんはどこか行きたいお店ありますか？
ほたる,私は……。私は……みんなと一緒なら、どこだって嬉しいです！
