出身地：イギリス,ロンドンより少し北
ケイト,いつも大変デスネ。無理は禁物デスヨ？。プロデューサーにはとっても感謝してマスからね
P,こちらこそ、頑張ってるケイトは励みになるよ
ケイト,そうデスカ？フフ。一緒に頑張りマショウね！
P,それはそうと、調子は大丈夫？
ケイト,？見てて気になるトコロでもアリマスカ？
P,このあとのレッスンルームの使用許可取ったって聞いたよ。自主練するの？
ケイト,アー、ハイ。少し振り返りをしたいなって
P,熱心で前向きなのはいいけど、ケイトこそ無理は禁物だからね
ケイト,Thanks。大丈夫デスヨ
P,ふむ……
キャシー,あ、ケイトねーさんだ。やほー
美羽,お疲れ様です！
瑛梨華,お疲れSA・MA・DE・SU☆
ケイト,ハァイ！
美羽,自主練ですか！むむ、じゃあ、私も……！
瑛梨華,瑛梨華たちはこのあと打ち合わせだゾ☆O・CHI・TSU・KE！
美羽,あ、その雑誌わたしも読みましたよ！
ケイト,Oh、ホントデスか？ステキな三人デシタね！
美羽,はい！みんなかわいいなぁって……なかでも有香ちゃんが！
ケイト,Yeah！私もそう思いマシタ！
今月号は,カワイイの最前線
今もっとも,キュート
瑛梨華,カワイイって奥深いよねー
美羽,難しいですね！でもそこがいいというか
キャシー,ケイトねーさんはさ、岡目八目って言葉、知ってる？
ケイト,オカメ……ハチモク？
美羽,ひょっとこのマネならできますよ！
瑛梨華,オカメってたぶんそういうことじゃNA・I・ZO！
キャシー,アハハ！
ケイト,私を見ていて、何か気づくことがあったとイウことデスか？
キャシー,んー……そうだね。……ごめん、うまい言葉が思いつかないや
ケイト,Oh、ザンネンデス
キャシー,あ、でもね。ケイトねーさんはなんていうかな、もっと担当のプロデューサー頼ったらいいんじゃないかなって思うよ
ケイト,…………プロデューサーを？
キャシー,うん
ケイト,……ンー、そうしマスネ♪
瑛梨華,ケイトさんそういうオトナな反応、美羽にも教えてあげて！この子最近Paのプロデューサーとイイ感じになってるのに、二人になるとすぐボケようとするから！
美羽,えっ、わっ、わたしは今関係ないでしょ！？
キャシー,ギャグが悪いよギャグがー
美羽,そんなぁー！
ケイト,ふっ、はぁっ……ハッ！。mmm……
美里,こんばんはぁ。頑張ってるねぇ〜
ケイト,Oh、ミサト。お疲れ様デス！
美里,今やってる曲、難しいもんねぇ
ケイト,そうなんデスよね。でも楽しいデスヨ！
美里,それならいいけどぉ……
ケイト,？
美里,ね、区切りついたなら少しおしゃべりでもどう？。何の話しよっか。何でもいいよぉ？最近の楽しかったコトでも。お仕事の話でも。故郷の話でも……。今悩んでることでも♪。何かがたりない、ねぇ
ケイト,Yeah。もっともっとステキなアイドルに、ってネ♪
美里,そっかぁ。でもケイトは今でもじゅうぶん可愛いし素敵よ？
ケイト,Thanks
美里,でも、もっとってムズかしいよねぇ
ケイト,ソウなんデス。最近とくに、いろんな子のいろんなカワイイに触れてて、学びもイッパイデス。私も……！
美里,んー……。ね、プロデューサーさんはそのへんのこと、何て言ってるのぉ？
ケイト,プロデューサーがデスカ？
美里,うん
ケイト,……あまりちゃんと相談していなかったカモ、デスネ
美里,え、そうなのぉ？なんで？。私だったら聞くよぉ？“カワイイ”だって“ステキ”だって、“もっとアイドルらしく”だって、プロデューサーにまず意見聞きたくならない？。担当してくれて、自分のことを誰より考えてくれて、しかもイチバン身近な異性でしょ？
ーそれ,trialanderror
ケイト,……私、これまでにもいろんなコトバをもらってマシタ。でも
美里,うん
ケイト,今回のコト、ちゃんと聞けてませんデシタ
美里,そっかぁ。うんうん
ケイト,……聞かなきゃ、デスネ！
美里,そうだよぉ。きっといいコトバ、もらえるよぉ！
キャシーが,もっとプロデューサーを頼っていい
美里,実は今ここに来たの、Coのプロデューサーさんに会ったからなんだぁ
ケイト,ヘッ？
美里,さっき廊下ですれ違って。挨拶だけのつもりだったんだけど、うろうろしてたから気になって
ケイト,……それって、もしかして
美里,ケイトの様子を見に行ったんだけど、夢中で踊ってるところだったから声かけるのやめたって。もしよければ区切りついたところで声かけてあげて、だって。いきなり私に言うんだよぉ？おかしいよね
ケイト,ホントデスヨ！
美里,でも、そういうところ含め、Coチームのプロデューサーさんだよねぇ
ケイト,……ミサト、ひとつ聞いていいデスカ？
美里,いいよぉ♪
ケイト,ミサトは、私と、Coのプロデューサーって……ドウ、見えマスカ？
美里,とってもお似合いだと思うなぁ。好きとか恋してるとかってとってもセンサイで、アイマイだと思うんだぁ。でも一緒にいる姿は知ってて、とってもイイ関係だなぁ〜って思うし、それってとってもステキだし、それはそれでいいと思うの。その質問をケイトからしてくるってことがねぇ、それがとってもイイなぁって。きっとケイトは好きなんだよね
ケイト,……そういう話、ちゃんと彼としたコトはないデス
美里,だよねぇ。“Oneofthebest”だっけ。英語ってそういう言い方するでしょぉ？。アイマイな素敵さだってあるもんねぇ。でも一歩近くに寄るからこそ、感じられる素敵さもあると思うんだぁ。そしたらもっと素敵な何かが広がってそう、って思うから。ふふ。ケイトもそんな顔するんだねぇ♪
ケイト,エ、mm……モウ、ミサト！
美里,楽しくて、幸せで、素敵な今ならそれはもう恋だし、それってとっても素敵じゃない？。とびっきりのカワイイを、一度プロデューサーにちゃんと見せてあげようよぉ♪
ケイト,お疲れ様デス
千夏,ケイト、最近いろいろ試行錯誤中みたいね
P,千夏さんもそう思いますか
千夏,ええ
P,最近のケイトは本当にいいですよ。何かが噛み合うちょっと前、みたいなところだと思うんですよ
千夏,本当に信頼してるのね
P,なんというか、“様になってきている”のがわかるんですよ。ファンとの握手会ではキュートで可愛い笑顔で。ライブのステージではカッコよくて華やかで。レッスン時は懸命で凛々しい姿で。プライベートでは優しい表情で。こうありたいこんな姿なら素敵をイメージして、やってみて、アドバイスをちゃんと活かして、どんどんよくなっていってる。きっとそんなケイトの姿を見て、こんな風になりたいって思った子もいるはず。そのくらい魅力的だし、どこかできっと、彼女の魅力が加速度的に広がるタイミングがきます。それは決して遠くない
千夏,フフ。たいした自信だこと
P,……ま、僕がそんな彼女に見合った仕事をもっと取ってこないとって話なんですけどね
千夏,それで最近、企画書をまとめたり外回りしたり忙しくしてるのね
P,もちろん他のみんなのことも含めてですよ？千夏さんだって今度ライブなんだし
千夏,どうかしら。私のことなんて放ったらかしなのかと思ったわ
P,ちょっと、そんなわけないでしょ、千夏さん
千夏,ふぅん
P,千夏さんってば
千夏,……でも確かに、ケイトはふだんの表情もよくなってる感じがするわ
P,でしょう。もともと端正で綺麗な顔立ちだけど、それだけじゃなくて。アイドルをやりだしてからアイドルらしく、女の子らしく、素敵な表情がもっともっと魅力的になっていってる
千夏,プロデュースへの熱い想いは相変わらずね。そういうところ、あなたも魅力的よ
P,あはは、ありがとうございます
千夏,……でもね。もう少し、本人と話してあげてもいいかも
P,……というと
千夏,今の言葉、ちゃんとケイト本人に話してあげなさいよ。きっと何より彼女の励みになるわよ。しっかりしてる、頼もしくて凛々しい子だと思ってるんでしょう。でもあの子もまだ20歳の女の子なのよ
P,千夏さんだって23歳だし、近いところありますよね
千夏,異国の地で、偶然あなたに見つけられて、一緒に寄り添って歩んできたあなたが。彼女のここ一番の試行錯誤の今、信じて見守ってるだけ……なんてロマンに欠けるわよ？
P,いろいろ話してはいるつもりだったんですけど……そういうものですかね
千夏,そういうものよ。彼女の運命的な出逢いを彩ってきたのはあなたよ。もっと向き合ってあげなさい。そろそろ行くわね。今日もお疲れ様
P,あ、ああ。お疲れ様
千夏,そうそう、ひとつ教えてあげる
P,？
千夏,壁に耳あり障子に目ありって諺、あれ英語圏にもあるんですって。“Thewallshaveears.”って言うらしいわよ。目の言及はないけれど、耳はそのままなのね
P,……？
千夏,ウワサ話は誰がどこで聞いてるかわからないから、気をつけてね。フフッ。それじゃ
ケイト,……お、お疲れ様デス
P,あ、ケイトお疲れ。戻ってたんだね
ケイト,は、ハイ
P,？
ケイト,あ、いや、なんでも……ないデス。……
P,ケイト？
ケイト,……プロデューサー、チョット変な質問してイイデスカ？
P,？いいよ？
ケイト,……プロデューサーは、“一目惚れって信じますか？”
P,…………また唐突な話だね
ケイト,どう、デショウ
P,んー……。そうだね、“いつだってあると思ってる”かな
ケイト,！。……アリガトウゴザイマス！
P,……求めてた答えだった？
ケイト,Yes！バッチリデス！。フフ、Thankyouverymuch、プロデューサー♪。……ね、プロデューサー。少しゆっくりお話シマセンカ？。ホッ……ハッ！！！
ベテトレ,そこまでー！休憩！
ケイト,ハイッ
ベテトレ,いい感じになってきたなケイト。抑揚もあって綺麗な動きができてる。反復の甲斐があったな
ケイト,Oh、アリガトウゴザイマス！
ルキトレ,はいタオル！うまくなりましたね！バッチリですよケイトさん！
ケイト,Thankyou！だんだん曲の魅力もわかってきました。私とってもこの曲好きデス！
ルキトレ,うんうん、ですよね！やっぱりそういう愛着って大事ですよ！スキとステキって近いですからね！
ケイト,Hownice！イイコトバデスね！
ルキトレ,でしょー♪
ベテトレ,こらこらバカな話はあとだ。お前はあっちのグループもフォローしてやれ
ルキトレ,わ、ごめんなさい！すぐ行きます！
ケイト,戻りマシター
ちひろ,おかえりなさい
小梅,お、お疲れ様……あの、ケイトさん、このあいだの雑誌、また続きが出たんだけど、読む……？
ケイト,エ、mmm……エット、あの、今度のは怖さは抑えめデスカ……？
小梅,あ……うん、ふふ、きっと大丈夫だよ……
ケイト,……ホントに？
菲菲,ケイトー、このあいだ話してた料理が載ってる本、あったヨー！
ケイト,Wow、アリガトウゴザイマス！
菲菲,一緒に食べてみたいネ。いちどふぇいふぇいが作ってみるカー？
ケイト,ホントデスカ？フフ、じゃあお願いしマス♪お手伝いしマスよ？
惠,ケイト、これ昨日話してた旅行プランの資料よ。参考になるかしら
ケイト,Oh！もうデキたんデスか？惠は仕事が早いデスネ、感謝デス！
惠,お仕事のスケジュールもあるし、またプロデューサー込みで話したいところね
ケイト,Yes！そうしまショ♪。プロデューサー、お菓子もらったんでおすそわけシマス！ハイッ
P,ん？ムグッ！……こら、いきなり放り込まない
ケイト,エヘヘ、ゴメンナサイ
P,……あ、でもおいしい
ケイト,デショ？
P,いちご味かな？おもしろいね、ありがとう
ケイト,よかったデス。ドウイタシマシテ♪
杏,……ケイトと比奈って同い年だよね
比奈,ええ、まあ
杏,ケイトはハツラツとしてるなぁ……。若さだよ若さ
比奈,そっスねぇ……
杏,だらしないなぁ比奈は
比奈,杏ちゃんがそれ言うんスか
ライラ,おふたりともー、レッスンの時間でございますよー。だらだらさんはまた後にしてくださいー
比奈,あーもうそんな時間……了解っス
杏,やだ〜〜〜〜〜
比奈,こらこら、子どもみたいな反応しないの
ライラ,おふたりともー
比奈,はいすいません、行くっス行くっス
杏,ライラはその一斗缶どこから持ってきたの
ライラ,アキハ博士がくれましたですよー。ロボで使わなかったものだとか。反響するからいい音がしますですねー
杏,やめて近くで叩かないで、行くから行くから
ケイト,私デスカ？プロデューサー、イイデスヨネ？
P,いいよ、ぜひぜひ
ケイト,私に憧れて英語の勉強を？Wow、うれしいデス！じゃあ私もアナタのガンバリを応援シマスネ♪。彼女、喜んでくれたデショウカ？
P,じゅうぶんだと思うよ、彼女には素敵な思い出になっただろうね
ケイト,……プロデューサーがそう言うなら、安心デス♪。カワイイって言ってくれるのは、特にうれしいデスネ
P,やっぱりそういうもの？
ケイト,もちろんデス！フフ、私も女の子デスヨ？それに。プロデューサーは、カッコイイ私とカワイイ私のどっちが好きデスか？
P,答えに困る質問だなぁ……俺からはどっちも大事だよ、としか
ケイト,フフッ、プロデューサーは優しいデスネ。プロデューサー、今日のネクタイもキマってマスネ！
P,え、そう？ありがとう
ケイト,Yeah、いつものもイイデスケド、今日のNavycolorもGoodaccent！
P,あ、ありがとう
ケイト,プロデューサー、チョットイイデスカ？
P,ん？
ケイト,イェイ♪
P,どうしたの急に、写真なんて
ケイト,故郷の母が、プロデューサーってどんな人？って言ってマシタ。だから一枚送っちゃおうって♪
P,えぇ……大丈夫？俺変な顔してなかったかな？
ケイト,フフッ、バッチリデシタよ！。いつもアリガトウゴザイマス、プロデューサー♪
P,……こちらこそ？
ケイト,……それとも、もう一枚撮っておきマスカ？
