うひゃー、daでなんで２９万だしたりするの、いやがらせなの。やめようぜ頼むから,震
灯織,どうしよう汗を吸ったYシャツ欲しいって言ったら引かれないかな変な事に使うって思われないかなというかなんでYシャツなのYシャツ欲しいって変態みたいなのになんで今日に限ってYシャツなの猫のキーホルダーとか赤いヘアゴムとかもっと別のでいいじゃないああでも当たるし当たってるし心配で眠れなかったし黒猫通り過ぎたしスマホが突然県外になったりしたしもうどうしようもないプロデューサーにもらわないとYシャツもらわないとああでも
はづき,え、えっと……灯織さん？大丈夫ですか？
灯織,はづきさん
はづき,は、はい？
灯織,……絶対に、引かないでくださいね？
はづき,は、はぁ？
P,せめてジャージ用意させて！スーツはやめさせて！
夏葉,ええ、じゃあ今度からもってきてちょうだい
P,ああ、わかったよ……全く。トレーニング好きだなぁ
夏葉,ふふっ。じゃあ明日からメニューを……って、灯織？どうしたの？
P,ん？灯織？今日は午後からレッスンじゃ……
灯織,……プロデューサー！
P,うわっ！？。え、何。どうしたんだ灯織。というか今汗かいてるから離れｔ
灯織,そのYシャツを私にください……！
P,ひぃっ！？
夏葉,え？
はづき,はい？
灯織,……
P,え、えっと、灯織？ちょっと握る力を弱めてくれないかなぁ？皺になっちゃうからさ？
灯織,ください
P,いや、えっと、洗濯するから大丈夫だぞ？別に洗ってくれなくても
灯織,洗うんじゃないんです。このYシャツが欲しいんです
P,いや、欲しいって言われても汗だくだしさ
灯織,かまいません
P,あのな？さっき走ってきたばっかでな？
灯織,かまいません
P,こんなことしても幸せにはなれないぜ？放そうぜ？
灯織,……私は。このYシャツで幸せになるんです
P,
はづき,
夏葉,。待ちなさい！そのYシャツは！
灯織,はい？
夏葉,ﾋｯ
はづき,灯織さん！落ち着いてください！なんでYシャツが
灯織,これがないと幸せになれないんです
はづき,ひっ！？
P,灯織！落ち着いて！な！？というか俺これから仕事だから！離してぇ！
灯織,……らなきゃ
P,いや、何をつぶやいて
灯織,はぎとらなきゃ
P,ランナウェイ。うおおおおおお！逃げるが勝ちィィィイイイイイ！
灯織,まってくださいプロデューサー！
はづき,……行っちゃいましたね……。……夏葉さん？大丈夫ですか？
夏葉,
はづき,大丈夫じゃなさそう……。……寝ちゃいましょう
灯織,待ってくださいプロデューサー！
P,捕まえたら何するつもりなんだ！
灯織,そのYシャツをもらいます！
P,そんな子じゃなかっただろ！？
灯織,だってそうしないと幸せになれないんです！
P,幸せの形は人それぞれだとニーチェも言っている！水平化の時代なんて終わったんだ！
灯織,関係ありません！それがないと幸せになれないんです！
P,だからなんでだよ！誰に言われたんだ！
灯織,メルマガに書いてありました！
P,バカにしてんのか！？
灯織,プロデューサーこそバカにしてるんですか！？
P,俺が悪いの！？。というか足速ェ！こんな足速かったか！？。というかおっさんにはこの全力疾走つらいんだけど！夏葉に連れ出されたばっかなんだけど！？。このままだと剥かれて……
モバP,なあ、シャニP
P,なんですかモバPさん
モバP,やつらにYシャツを渡しちゃダメだぞ
P,はぁ？
モバP,やつらはそれこそハイエナのようにやってくる。欲しいものを得るためなら手段を択ばずに、だ
P,えっと、Yシャツが奪われるとかあるんですか？
モバP,……むしろ、着たまま剥かれる
P,そんな事ありえな
モバP,……本当なんだ
P,は、はひ。いやだぁあああああああ！剥かれるのはいやだぁあああああああああ！！！。絶対にマトモな目に合わない！あの目は絶対にダメなやつじゃん！
灯織,我慢してくださいプロデューサー！男の人でしょう！？
P,男でも女でも剥かれたら嫌だろぉおおおおお！。チクショウ！ジリジリ追い付いてきてる！引き離せない……！どうにか最初にリードは稼いだが時間の問題だ。次の曲がり角でどうにか！
甘奈,おはよー！ってプロデューサーさんめっちゃいそいでる？
甜花,？プロデューサー、さん……？
千雪,どうしたんですか？そんなに慌てて。汗だくになってますよ？
P,神よどうしてこんなことをしたのですか
甜花,えっと……プロデューサーさん、大丈夫……？
P,甜花ァ！
甜花,ふぇっ！？
P,お前に伝えなきゃいけない事がある！とても大切な話なんだ！
甘奈・千雪,
甜花,ふぇぇぇぇ！？
P,いいか、よーく聞いてくれ
甘奈,プロデューサー！なにもこんなところで！
千雪,そうですプロデューサーさん！……せ、せめて高校を卒業してから……！
P,今じゃなきゃダメなんだッ！！
アルスト,
P,そのために走ってきた！頼むよ！
甘奈,え、ええっと
千雪,そんな……
甜花,あぅぅ……///
P,いいか、甜花。お前にしかできないことだ
甜花,本当に……甜花でいいの……？
P,ああ、甜花じゃないとダメだ！
甜花,ふぇぇ……///
P,あのな。後ろから灯織が追いかけてきてるから足止めを頼みたい
甜花,ふぇっ？
甘奈,えっ？
千雪,？？？
P,頼む、甜花にしかできないんだ！
甜花,え、あ、えっと
P,頼んだぞ！
甜花,……プロデューサーさん……？。……どうしちゃったんだろう……なーちゃん、千雪さん、わか……ひぃっ！？
甘奈,ふふふふ甜花ちゃんにそんないたずらしちゃうんだープロデューサーさん
千雪,うふふふふプロデューサーさんに後で詳しくお話きかないとね……？
甜花,あ、えっと、二人ともおちついて……！
灯織,
甜・甘・千,！
灯織,すみません！プロデューサーはどこへ行きましたか？
甘・千,
甜花,
灯織,どこに、いきましたか？
甘奈,あっち！あっちにいった！
千雪,うんあっちよ！走っていったわ！
灯織,ありがとうございます
甘・千,……。なんだったの今の……
P,うぉおおおおお！まだ追ってくるゥウウウウ！。繁華街だし巻けるだろって思ってたら普通にぴったりついてきたよマジでどうなってるんだ灯織。クソッ、また足止めを頼むしか……！
恋鐘,プロデューサー？どうしたと？
摩美々,そんなに急いで何してるんですかー？
霧子,えっと、ジョギング、ですか？
P,これダメなやつ！！
恋鐘・摩美々・霧子,？
P,なんでだよ！？普通なら咲耶か三峰あたりがうまく収める流れだろ！？どうしてこうなった！
恋鐘,むっ、うちらやと不満やと？
摩美々,……大層なご挨拶ですねー
霧子,え、えっと、どうしたんですか？プロデューサーさん
P,もっと強キャラだせよ！ドジっ子といたずらっ子と天使じゃねぇか！いたずらっ子はかろうじてボケだけど他は天然ボケと良い人だから止めようがないじゃねーか！
恋鐘・摩美々,
恋鐘,何か知らんけどそげんいうなら止めちゃるばい！
摩美々,そこまでいわれるとー、さすがに引けませんねー
霧子,え、ええっととりあえず話を
P,ああじゃあ止めてくれよ！？絶対だぞ！？頼んだからな！？止められなかったら三人でプリキュア踊ってた動画ばらまくからな！？
恋鐘,ええよ！けど後でほえ面かかんでよ！？
摩美々,もし止められたらプロデューサーさんも一緒にプリキュア踊ってもらいますからねー
霧子,まって！私関係ないよ！プロデューサーさんもなんでまだ持ってるんですか？！///
P,じゃあ灯織のことは頼んだぞ！アデュー！
霧子,あっ、プロデューサーさん……！
恋鐘,失礼なこといいよるばい……べつに、年下の子の事なんて簡単に止められると
摩美々,年下じゃなくてもー、止められる自信はありますケドねー
霧子,えっと……なんであんなに急いでたのかな
恋鐘・摩美々,さぁ？
霧子,大丈夫かな……
摩美々,とりあえずー、プロデューサーには私と一緒に初代を
灯織,
恋・摩・霧,！
灯織,。
恋・摩・霧,
灯織,プロデューサー、どこ？
恋鐘,え、あっ
灯織,どこ？
摩美々,お、落ち着きなよー。プロデューサーなら
灯織,どこ？
摩美々,ﾋｯ
灯織,どこにいったの？
摩美々,
恋鐘,あっち！あっちにむかったとよ！
灯織,ありがとう
恋鐘,……
摩美々,……ふっ……ぐすっ……
霧子,え、えええ。摩美々ちゃん、大丈夫？
摩美々,霧子ぉ……
恋鐘,霧子ぉ……
霧子,わ、わ。大丈夫だから。もう怖い人は行っちゃったから。泣かないで、ね？
P,くっそぉおおおお！どうしろってんだよぉおおおおお！
灯織,渡せば済むだけですよ！
P,渡したら幸せになっちゃうんだろ！？無理じゃん！？
灯織,！？私に幸せになってほしくないんですか！？
P,普通に考えて汗だくのYシャツで幸せになるとかありえないから！
灯織,幸せにしてくれないんですか？！
P,やめて誤解されちゃうぅううううう！！！
Ｐ,なんで！？これまで良い感じで絆育んでたじゃん！？どうしてそうなるの！？なんで誤解しか生まれないの？！
灯織,誤解なんてありません！プロデューサーがYシャツをくれれば問題ないんです！
P,でも剥くんだろ！？
灯織,当たり前じゃないですか！
P,いやじゃああああああああああ！！
灯織,お願いします！
P,じゃあ止まってくれよ！
灯織,止まったら追い付けないじゃないですか！
P,当たり前だろ絶対逃げるわ！
灯織,じゃあ止まれません！
P,うぉおおおおお！！。しかしもうそこまで体力はない！どうにか……どうにかできないか！？。！。あれは！
めぐる,とぉー！
リング,はいったやで
真乃,ナイッシュー！
めぐる,えっへへー！ありがとー！
真乃,めぐるちゃん、本当になんでもできちゃうんだね！すごい！
めぐる,いっぱい助っ人してるからね！それよりも真乃も付き合わせてごめんね。大丈夫だった？
真乃,うん！レッスンまではまだ時間あるし、公園でリフレッシュしようと思ってたから
ピーちゃん,ぽぉっぽるぅ～？
真乃,ピーちゃんもめぐるちゃんに会えてうれしいって
めぐる,おー。ありがとね、ピーちゃん！
ピーちゃん,くるっぽー
めぐる,どうせなら灯織も誘えたらな。天気も良かったし
真乃,ううん、それがね、誘ってみたんだけど既読つかなくて……忙しかったのかな？
めぐる,多分、レッスンしてるのかも？事務所についたら聞いてみようよ
P,うぉおおおおおおおおおおおおおおおおおおおおおおおおおお！！！！
めぐる・真乃,
P,二人とも！ここにいたのか！
めぐる,え、えっと、プロデューサー？
P,なんでもいい！早く灯織を止めてくれ！
真乃,ほわっ？灯織ちゃんですか？もう事務所にいるんじゃ……？
P,頼む！頼れるのはもう二人だけなんだ！
真乃,ほわわっ！？
めぐる,プロデューサー！おちついて！真乃びっくりしてるから！
真乃,え、えっと、プロデューサーさん、苦しいです
P,頼む！これまで犠牲者が！
果穂,樹里ちゃん！ちょこ先輩！今日はありがとうございます！
樹里,べ、別に暇だっただけだよ。礼を言われるようなもんじゃねーし
智代子,えへへー、私もちょうどレッスンまで時間あったからね。それに前にやったときも楽しかったし！
果穂,えへへ。実は今日、とっておきのを用意してあるんです！
智代子・樹里,とっておき？
果穂,なんと……じゃじゃーん！ジャスティスVの変身ベルトを持ってきました！
智代子,おぉ！本格的！
果穂,しかもですね！
ベルト,ｼﾞｬｽﾃｨｽ
果穂,変！身！
ベルト,ｷﾞｭｨｨｲｲﾝ。ｼﾞｬｽﾃｨｽﾀｲﾑ。ｼﾞｬｽﾃｨｽﾚｯﾄﾞ！
果穂,ジャスティスレッド！参上です！
樹里,おー！今のは結構いい出来になってるんだなぁ。兄貴が持ってるのは光るだけだったんだぜ？
智代子,こういうのはずっと進化するものだからね！
果穂,他にもこのベルトにすごい機能があって！。あ……
樹里,？どうした、果穂？
果穂,……今日、夏葉さんと、凛世さんとも遊びたかったです……
樹里,あー、それはしゃーねーよ。夏葉は朝から仕事だったし、凛世は確か……なんだっけ、茶会？だっけ。それぞれやることがあったんだしな
果穂,……はい
樹里,あー……。でもほら、今日はアタシたちと目いっぱい遊べばいいだろ？それに。今日は帰りには凛世も事務所に寄るって言ってたし、どうせならみんなで帰りに何か甘いものでも食べにいこうぜ。な？
果穂,！。樹里ちゃん……！ありがとうございます！
樹里,いいよ。それよりもうそろそろ公園……って、智代子？どうした？
智代子,……あれプロデューサーさんじゃない？走って入っていったみたいだけど
めぐる,お願いだから落ち着いてよー！灯織が何したの！
P,追いかけられてるんだ！
真乃,ほわっ！？灯織ちゃんにですか？
めぐる,え、なんでそうなったの？
P,Yシャツが欲しいって言われてさぁ、これで幸せになるとか言っててさぁ！
めぐる,……灯織が？
真乃,冗談でも、ちょっとダメなんじゃ……
P,本当なんだって！信じてくれよ！
果穂,プロデューサーさん！
P,この声は……！
樹里,おいおい何してるんだよ、仕事はどうしたんだ？
智代子,もしかして何かあったんですか？
P,なんでだよ
樹里,いきなりなんでだよってなんだよ
P,いやさぁ！凛世いないじゃん！？なんでだよ！？
樹里,なんだよ、凛世なら家の用事でいねーぞ
P,ドチクショウ！なんで強キャラばっかいないんだよ！どうしたんだ女神様！大爆笑してんじゃねーか！
樹里,はぁ？強キャラとか何なんだよ一体
果穂,プロデューサーさん！
P,どうした果穂？もうそろそろ灯織が
果穂,はいっ！
P,……ん？これは……
果穂,変身ベルトです
P,えっと……？
果穂,一緒に遊びましょう！
P,
真乃,ほわっ、果穂ちゃんこれすごいね！これしゃべるんだ
めぐる,わぁー！かっこいいよ果穂ちゃん！
果穂,えへへ……なんて言ってもヒーローですから！
智代子,私今日は大幹部じゃなくてピンクがやりたいなー！衣装もピンクだし！
P,いやいやいやいや遊んでる場合じゃ
灯織,プロデュサァアアアアアアアアアアアアア！
全員,
P,あ、あははは、おしまいだ。もう、足も、残ってない
樹里,は？え、プロデューサー？
灯織,。
P・真・め・樹・智,
果穂,わぁー！
灯織,
P,いや、灯織待て！落ち着け！
果穂,灯織さーん！
樹里,ダメだ！果穂もどってこい！おいってば！
智代子,ダメだよ樹里ちゃん！あれはもうイっちゃってる人の目だよぉ！
果穂,灯織さん！すごいです！悪の大幹部みたいです！
灯織,。果穂
果穂,へ？
灯織,プロデューサーに大事な話があるから
果穂,は……はひ
灯織,
果穂,ふぇぇ
P・真・め・樹・チョコ,怖ぁあああああああああああ？！
P,え、わざわざ目線合わせる必要あった？！あのクッソ怖い顔でハイライト消えてたらさすがに小学生じゃ悲鳴あげるぞ！？
真乃,ほわ！？灯織ちゃん！？一体どうしたの！？
めぐる,灯織！？灯織だよね！？間違いないよね！？
樹里,あばばばばばばばばばば
智代子,灯織ちゃんってこんな子だっけ！？
灯織,ようやく……ようやくプロデューサーからYシャツを……。プロデューサー
P,ランナウェイ
真乃,待ってください逃げちゃダメです！
樹里,お前をお呼びだぞ逃げるなよ
智代子,果穂ちゃんあんなになっちゃったんですから責任とってください！
めぐる,謝って！なにかは知らないけど灯織に謝って！
P,いやだぁああああ！離せぇえええええ！おうちかえるぅううううううううう！！！
真乃,帰っちゃダメです！
めぐる,そうだよ！謝ろう！？灯織の事だから謝れば許してくれるよ！
P,無理だもん！剥かれるもん！絶対剥かれて幸せにせざるを得なくなるもん！
樹里,何いってるんだよ！？幸せにさせられるとかありえねーだろ！？
灯織,プロデューサー……幸せにしてくれるんですよね……？
智代子,絶対プロデューサーの痴情のもつれじゃないですか！男の人なら責任とってくださいよ！
P,しらないもん！俺しらないもん！童貞で彼女いない歴更新してるのにどうやって痴情をおこすんだよバカじゃねーの！？
智代子,灯織ちゃんに手を出したんじゃないんですか！？
P,んなわけあるか！？
智代子,じゃあなんであんなになってるんですか！？
灯織,プロデューサー……はやくYシャツを……？
P,だいたい朝夏葉のとこから逃げてすぐにハイライトなくしてたんだって！わけわかんねーよ！
樹里,こっちこそ知らねーよ……！はやく行ってやれってば……！
真乃,わたしたちを置いて逃げるんですか……！
めぐる,そうだよ！逃げたら男らしくないよ！
灯織,……。！。……
Ｐ,うるせぇえええ！どうせ灯織は俺しか狙わねぇよ！邪魔しない限り狙われないんだから逃げてもいいんだよ！
めぐる,灯織から逃げちゃダメー！
真乃,そうですよ！だから早く灯織ちゃんと！
灯織,真乃
真乃,ほわっ？
灯織,
真乃,え、えっと、灯織ちゃん？どうしたの？プロデューサーさんなら……
灯織,Yシャツ、ちょうだい？
真乃,
P・めぐる,
樹里・チョコ,
果穂,うぇぇん……
ピーちゃん,ぽぉっぽるぅ～
P,で？結局、よく当たるメルマガのせいで？こうなったってのは本当か？
灯織,はい……
P,そのせいで夜も眠れなかったって？
灯織,……はい
P,追いかけまわしてたのはなんで？
灯織,……その
P,まぁ深夜テンションというか。確実に徹夜してリミッター外れてたんだろう
灯織,……すみません
P,俺は別にいいよ。でも……
果穂,うぇえええええ！
智代子,怖かったねー！大丈夫だから！もう大丈夫だから！もう怖い灯織さんはいないから！
樹里,あ、ああそうだ！こんどまた灯織が悪の大幹部に乗っ取られてもアタシたちが守ってやるから！
真乃,うぅ……
めぐる,真乃、大丈夫だよ。灯織は正気に戻ったから。大丈夫
P,さすがにこれはやばすぎるから後で謝ろうな？
灯織,返す言葉もありません……
P,まぁ、そろそろ事務所だし。はづきさんに言って今日のレッスンは休みにしてもらおう。あと、夏葉のフォローもしないとな
灯織,プロデューサー……本当に、今回はご迷惑を……
P,いいよ
灯織,でも
P,怖かったけど、怖かっただけだよ。俺にはまぁ、理解はできなかったさ。いくら当たるって言ってもそれはただのメルマガ。つまり信じる信じないは灯織次第なんだ。たまたま俺が信じなかっただけで。灯織にとって、それは必死になるだけの理由だったんだろう？じゃあ、別に気にしないよ
灯織,プロデューサー……
P,さぁ、そろそろつくぞ。ひとまずはづきさんにも謝らないとな。ただ今戻りました！遅くなってすみま……え？
灯織,お疲れ様です。はづきさ……？
恋鐘,うわぁあああああ！灯織がひどいことしたあああああああ！
摩美々,霧子ぉ……！
霧子,よしよし。大丈夫だよ。大丈夫だから……！
甘奈,甜花ちゃん、大丈夫だよ。プロデューサーさんはあとでしかってあげるからね。ほら、大丈夫だから
千雪,私もプロデューサーさんに怒ってあげるから、そんなに震えないで。ね？怖い灯織ちゃんも今はいないから
甜花,うぇぇぇぇぇ
夏葉,ふ……ふふふ……一番怖いのは……幽霊じゃなくて人間……ふふふ……
はづき,すぴー……
P・灯織,……
樹里,ほら、事務所に……どうしたんだよプロデューサー？早く入れって
果穂,うっ……ぐすっ……うぇぇ
智代子,ほら、果穂ちゃん、お鼻ちーんしよう！お鼻ちーん！
めぐる,ほら！ついたよ！お菓子も一緒にたべよう！
真乃,めぐるちゃん……ありがと……
P・灯織,……
Ｐ,灯織
灯織,はい
P,逃げるか
灯織,そうしましょう
本当はこんなの書いてる場合じゃないんでしょうけどね……ｾｰｶﾂﾋ、ｳ、ｱﾀﾏｶﾞ,無職なう
正直途中まで道筋を全然考えてなくて,追いかけっこがはじまるかなってくらい
霧子,プロデューサーさんと、名前
咲耶,パパって呼びたい……
甜花,……落ち着く。また、一緒に、寝たい
甘奈,プロデューサーを誘惑するぞー！
夏葉,寝るってすごいのよ！
樹里,湾岸M@STER
P,第三形態バーストモード。夏葉と樹里にどっきりを仕掛ける
