芹沢あさひ,あ、冬優子ちゃん、おはよっす！
冬優子,一切の疑念なし！？！？！？。ええ〜！？どうしよどうしよ……！一旦止めてもらう？いやいや、まだ始まったばっかりだし……、変に面倒なアイドルってレッテル貼られてもアレだし……。体調不良ってことに……ううん、扱いが難しいとか思われたくない……どうすれば……！。は、はいっ！！！。はいっ♡なんでも聞いてください♪ひとまず乗り切るしか……ってか気づいてよ……！。えっとぉ、ふゆは、世界中の応援してくれるみんなを笑顔にしたいです♡
愛依,……皆に名を知ってもらうこと……ですね
冬優子,あんたがその雰囲気で言うと世界に名を轟かせたい剣豪みたいな感じになるんだけど！
あさひ,ないっす！目の前の仕事をやるだけっす！
冬優子,こっちはこっちで将来に希望を持てなくて開き直る若者みたいになってるし〜〜〜
あさひ,はいっす！
冬優子,逆なら……！逆ならちょうどいいの……！。はい♪ふゆは、友達とおしゃべりするのが大好きですっ
愛依,……知らない人と話をすることですね
冬優子,どう見てもそんなコミュ力はなさそうだけど！？
あさひ,精神統一っす！
冬優子,あんたの精神が統一されてるの見たことないわよ！。きた！これならふゆが頑張ればいける！！！。はいっ♡一緒によくお買い物をしたり、スイーツを食べに行ったりもするんですよ！。ふたりともとっても面白くて、話をしてて全然飽きないんです〜
あさひ,……
愛依,……
冬優子,ドヤ顔すんな！！！。しかも〜！レッスンも和気藹々としてて、すっごく楽しくて〜。お仕事の時もフォローし合って、とってもいいユニットだと思います♡。そ・れ・にぃ〜！
あさひ,冬優子ちゃん、圧が強いっす！さすがっす！
冬優子,ってか早く終わってよ〜！そろそろ質問も残ってないんじゃないの……？。え……個人的にって……。な、何よその質問！事前のリストになかったじゃない！！！やばいやばい！。え、ええっとぉ……！ふゆを育ててくれた、お母さんとお父さんです♡。あ、ありがとうございます……っ。お願い！お願いだから変なこと言わないで！！！無難に家族とか、先生とか、偉人とかでもいいから！
あさひ,……
愛依,……
冬優子,なんで笑ってんのよ〜〜〜！！！
愛依,冬優子ちゃんです
あさひ,冬優子ちゃんっす！
冬優子,っ！？！？
愛依,……ええ、冬優子ちゃんはアイドルにマジ……あ、とても、真剣で、いつも沢山のことを学べます
あさひ,そうっす！わたしも冬優子ちゃんを尊敬してるっす！アイドルに真剣で、本当にすごいっす！
冬優子,……
愛依,……はい、冬優子ちゃんがいなければ、うち……いえ、わ、私は、アイドルとしてどう進めばいいか、わからないままだったと思います
あさひ,冬優子ちゃんはすごいんすよ！プロ意識っす！一番すごいアイドルっすよ！
冬優子,……
愛依,いやー、緊張したー！
あさひ,インタビューってああいう感じなんすね！
冬優子,……
愛依,あり？冬優子ちゃん？あ！もしかしてうち、最後の方ちょっと口調崩れちゃってたし……その辺？
あさひ,わたしも途中ちょっと飽きちゃって、なんか返事が適当になっちゃったっす！ごめんっす！
愛依,それともクールキャラなのに冬優子ちゃんって呼んじゃったこと！？言ってから気づいたんだよね〜……途中で変えるのもおかしいかなって！ごめん！
冬優子,……別に、そんくらいいいわ。最後の質問のアドリブもよかったわよ。確かに結構ふゆが出しゃばってたし、あの流れならふゆにふたりが憧れてるって設定も悪くないかもね。案外頭が回るじゃない。びっくりしちゃっただけ
愛依,？
あさひ,？
冬優子,……何よ
愛依,うちが冬優子ちゃんを尊敬してるのはマジだよ？
あさひ,わたしもっすよ？
冬優子,っ！……いいわよそういうの。どう見ても、自分の目的のためにあさひと愛依に無理を押し付けてるだけじゃない。キャラも、答えも強制して
愛依,でも冬優子ちゃん、そのために早く来て用意したり、キャラを考えてくれてるんじゃん？それは優しいからっしょ？
あさひ,そうっすよ！冬優子ちゃんがわたしたちをアイドルらしくしてくれるんすから！楽しいっす！
冬優子,……バカじゃないの。はぁ……もう仕事は終わったんだから！切り上げるわよ！
愛依,はいはーい
冬優子,ほらあさひも！早く行くわよ！
あさひ,行く？どこにっすか？
冬優子,……あんたたち、全っ然アイドルとしてまだまだなんだから！ケーキでも食べながら文句言わないと気が済まないの！
愛依,！
あさひ,！
冬優子,……なに笑ってんのよ
あさひ,やっぱり冬優子ちゃんはかっこいいっすね！
冬優子,うっさい！！！。ってかあんたたち、メモが逆だったの、気づいてなかったの？
愛依,マジ！？どーりでファンシーな回答だと思った！
あさひ,まじっすか！？だからあんなカッコつけた答えばっかだったんすね！！
冬優子,……やっぱバカね
