電話レンジ,仮
鈴羽,なぜって…何ででもぉ～。だけど、うん。また今度誘ってよ
岡部,お、おうふ
ダル,わかんね
岡部,え？
ダル,いや、だからわかんねって。そもそも、何で僕に聞いちゃったん？
岡部,そうか…すまなかったな。今の話…忘れ―――
ダル,られる訳ねーよ！ってか、オカリンがいきなりナニの話しだすから。いつ逃げようかとドキドキしちゃったじゃねーか。謝罪と賠償を要求する！
岡部,ならば俺は遺憾の意を表明する！…というか、大事なところはそこじゃなくてだな…こ、ここ…
ダル,もうやめて！オカリンのライフポイントは0よ！
岡部,恋しちゃったって事なんだよおおおおおおぉぉぉぉぉ！
ダル,はい、言ったああぁぁ！
紅莉栖,ほ、ほぉ～？お、岡部がこここ、恋…だと？
岡部,なん…
ダル,…だと？
紅莉栖,その話…詳しく聞かせてもらおうかしら
岡部,だ、だが断る
ダル,残念牧瀬氏、だが断られたわけだが
紅莉栖,ちょ、いいから話せっつってんのよ！殺すぞ
岡部,だ、ダルよ、助けて…。うぐぅ！？
まゆり,トゥットゥルー♪オカリンオカリン、まゆしぃもその話、聞きたいなぁー。いいよね？
岡部,わかった……全て…話そう……。…と、言うわけだ
紅莉栖,…それは間違いなく勘違いね。恋じゃない。断じて
まゆり,まゆしぃも、紅莉栖ちゃんに全面的に同意だよぉ
岡部,な、なんでだ！？っていうかまゆり、お前全面的とか言わないだろう！そして助手よ！どういう事か説明してもらおうか…ぜぇ…
紅莉栖,そ、それは…そう、吊り橋後悔よ
ダル,ああ、男女が一緒に吊り橋を渡ったドキドキを、恋だと勘違いしちゃうアレか
岡部,なっ！
ダル,※ただし以下略
紅莉栖,そう。あんたは短時間の内に…オ、あ、アレを起点として…っ！何度もドキドキする場面があった
ダル,なんで言い直すん？もっかいちゃんと言ってよ。そこ一番重要なとこだろ常考
紅莉栖,やかましいわ！つまり、岡部のそれは、吊り橋のドキドキを恋のドキドキだと勘違いしてるって事
まゆり,なぁーんだ～♪えっへへー。オカリン、よかったね
岡部,な…に？
まゆり,早めに勘違いだって気付けて
岡部,ふ、ふざけるなっ！
ダル,お、オカリン！？
岡部,これが例え吊り橋のドキドキであったとしても…俺にとっては恋のドキドキと何ら代わりはない！
紅莉栖,こいつ…早く何とかしないと…。でもさ…。それって、あんたが自分勝手にドキドキしてるだけで、阿万音さんはむしろ引いてるんじゃない？
ダル,あー、あるある。ってか、もし僕が阿万音氏の父親だったら、そんな動機の奴が近寄ってきた時点で殺しちゃうかもしんね
岡部,だ、ダルまで…
紅莉栖,それは無いから安心して、橋田
ダル,即答かよ！ってかさすがに失礼だろ
まゆり,そうだねぇ。まゆしぃもちょっと引いちゃうかもしれないのです…
紅莉栖,これはもう…実況検分しか無いわね
岡部,はい？
まゆり,なるほどぉ、発生当時の状況を再現してみようってわけだねぇ♪さっすが紅莉栖ちゃん
岡部,おいまゆり、今日はやけに物わかりがいいな
ダル,うは、これなんてエロゲ？待ってて、今カメラ用意するから
紅莉栖,さあ岡部、早くやりなさい。ってか早くやれ早く
岡部,い、いやだ…！
まゆり,オカリン、時間がもったいないよぉー
ダル,よしよし…シーン1、テイクワン…アクション！
岡部,い、いやだ！お前らふざけるな！。…ってうおっ！。鈴羽…。お前、一体どんな生活をしているんだ…？。よ、よう。バイト戦士
鈴羽,あ、おっはー。岡部倫太郎、今日早いじゃーん
岡部,う、うむ。それよりバイト戦士よ、朝から掃除か？大変そうだな？
鈴羽,いや～、他にする事無くってさー。このお店暇でしょ？あっはは
岡部,どれ……俺が、て、てて、手伝おうか？
鈴羽,え？いいっていいって。あたしの仕事だし、他にやる事なくなっちゃうよー
岡部,で、でも…。そ、そうか。いらぬ気遣いをしてしまったようだな
鈴羽,ううん。っていうか岡部倫太郎さ、昨日から様子が変だよ？大丈夫～？
岡部,そうか？そんな事は無いと思うが…
鈴羽,ふーん。じゃ、あたし…
岡部,あっ。…時にバイト戦士よ。お前、昨日のメールだが…
鈴羽,えっ？あー、あれね。どう？いい場所あるかな？
岡部,いや…そうじゃないんだが…。お前、普段どんな物を食べているんだ？
鈴羽,え？
岡部,いや、草とか虫とかって書いてあったから…
鈴羽,…うん。あの…ね？あの…色々あんだって
岡部,色々ってお前、どこに住んでるんだ？両親は――――
鈴羽,しっつこいなー！もう！それは君には関係ないじゃん！
岡部,うぐっ…！
鈴羽,あ、ゴメン…
岡部,…いや、俺の方こそすまん…。ふ…ククク……フゥーッハハハハハハハ！
ダル,く、空襲警報！？
紅莉栖,ちょ、岡部！？どうした！？
岡部,どうした…だと？。フゥーッハハハ！フハッ！フハッ！フフフ…フゥーッハハハハハハハ！
ダル,オカリンがついに壊れたお。元から壊れてたけど、友として複雑な気分っつーか…
まゆり,ねぇねぇオカリン？
岡部,フゥーハ…ハ、なんだまゆりよ？
まゆり,うるさい
岡部,…あ……おおう
ダル,無茶しやがって…オカリン。んで、どういう事なん？。なにやってんだよオカリンェ…
紅莉栖,ワロスワロス。これはメシウマ展開くるー？
岡部,なにっ！？上手くいっているだろ…？なんで…？
まゆり,オカリンはアスペかなぁ？
岡部,え？ま、まゆり？
まゆり,それのどこが上手くいっているのか、まゆしぃにはさっぱりさっぱりなのでーす♪
紅莉栖,そうよ。それ、結果的には阿万音さんをただ怒らせただけじゃない。もしかしたら傷ついてるかも
岡部,なにっ！
ダル,オカリン…人にはさ、触れられたくない事情ってのが少なからずあるんだお
岡部,お、おおう？
ダル,つまり、オカリンはその領域に、土足どころかスパイクで踏み込んだってワケ
紅莉栖,橋田はスパイクどころか、Godzillaに乗って上陸してくるけどな
ダル,そう、あえて遠慮しないのが僕のジャスティス！おほっ、おほふ
紅莉栖,死ね。氏ねじゃなく死ね
ダル,むほっ、ありがたきお言葉！。あれ？オカリンどこ行くん？今きたばっかじゃん
岡部,俺は腹痛のため早退する…
紅莉栖,…岡部
岡部,うむ、完璧だな。ダルのやつめ…。後で見ていろよ…。おはよう…す、鈴羽
鈴羽,あ、おっはー。って、え？すずは？
岡部,う、んむ。いつまでもバイト戦士と呼ぶのも、いささか失礼かと思ってな……嫌か？
鈴羽,うーん、まあ…バイト戦士よりは、そっちのがいいけど
岡部,キタ…じゃなくって。そうか、良かった…！鈴羽…鈴羽か…
鈴羽,あー、あのさ…
岡部,ん？なんだ鈴羽よ
鈴羽,いや、何でもない…
岡部,そうか…。じ、実はその…昨日の詫びをしようと思ってな
鈴羽,あー、あれもういいよ。あたしこそどうかしてた。ゴメン…
岡部,い、いやっ。俺が悪かったんだ。その…人の心に土足で踏み込んだ訳だし
鈴羽,岡部倫太郎…
岡部,ダルにも注意されたよ。本当にその通りだった。すまん…
鈴羽,う、うん
岡部,あ、あの…鈴羽？
鈴羽,あ、うん。なに？
岡部,も、もしだぞ？もし嫌じゃなかったら…
鈴羽,なんだよー、まどろっこしいのは嫌いだよ？
岡部,うっ、ああ。あの、鈴羽って、サバイバル料理が出来るんだろう？良かったら俺にも食わせてもらえないか…？
鈴羽,え…？マジ？
岡部,う…うむ、マジだ
鈴羽,うーん、べつにいいけど…
岡部,なにっ！そっ、それは本当か！？
鈴羽,で、でも…引いちゃうかも…
岡部,そ、そんな事はない！頼む
鈴羽,う、うん…わかった。だけど期待しないでよ？
岡部,いいや、するさ！するだろう！！だって鈴羽の手料理…あ
鈴羽,え？
岡部,と、とにかくあれだ……あり…がとう…
鈴羽,…うん。じゃあバイト終わったら呼び行くから
岡部,あ、ああ。慌てなくていい。仕事も大変だろうからな
鈴羽,うん、ありがと。それじゃねー。さーて、お仕事お仕事、っと
岡部,…と、言うわけだ
ダル,オカリンェ…。アンタ…僕ぁいつかやるんじゃないかと思ってたお
岡部,サンクス、我が頼れる右腕《マイフェイバリットライトアーム》よ
紅莉栖,ぐ…くく…岡部のくせに…
まゆり,…
岡部,フゥーッハハハハ！どうだ諸君、この鳳凰院凶真の、華麗なる切り崩し！
ダル,いや、まさかここまでとは…。ってか、曲がりなりにも阿万音氏の手料理を獲得したってすげーっす
岡部,ああ、まさに聖餐と呼ぶに値するだろう…
ダル,それに、さっきの阿万音氏の反応見てたら、まんざらでも無いようだったお
岡部,そうだろうそうだろう！ダルはよく解っているな！フゥーッハハハ！
ダル,なぁなぁオカリン、そんな事より、僕も食べに行っていい？阿万音氏の手料理
岡部,…ダルよ。お前は右腕であり親友だ。だが…今日ばかりは自重してほしい
ダル,ううう……無念
紅莉栖,ちょ、調子に乗って失敗しても知らないからな！ってかしろ！失敗して私に泣きつけ！
まゆり,紅莉栖ちゃん…？今日は、なんかうるさいねぇー。セミかな？
紅莉栖,ひっ…！
岡部,ま…まあまあ、妬くな妬くな
紅莉栖,や、妬いとらんわ！
岡部,フッ…お前達にも、いずれ今日教わったサバイバル料理を伝授してやるさ
紅莉栖,ぐぬぬ…
鈴羽,う、うーっす。岡部倫太郎いる？
岡部,ひゃ、ひゃい！。…おつかれさま、鈴羽
鈴羽,あ、うん。ご、ごめ。お待たせ
岡部,い、いや～？今来たところだ…あ
紅莉栖,デートか…。さっきからおるだろ…
岡部,やかまひぃ！。それじゃあ――
鈴羽,それじゃあ――。あ、え？なに？
岡部,あ、おお。じゃ、行こうかって事で…
鈴羽,う、うん。ん？あ、ごめん。遠かった？
岡部,あ、いいや…こうして歩くのも悪くないな、と思って
鈴羽,そ、そっか。良かった。さーて、もうすぐ着くよ
岡部,ああ
鈴羽,あっはは……引いた？
岡部,…そんなわけあるか。これから食料、調達するんだよな？
鈴羽,うん…
岡部,何をしている、俺は朝から何も食べていないのだぞ
鈴羽,えーっ！まじで！
岡部,まじだ。だから、張り切って探すぞ
鈴羽,わ、わかったよ。はい、召し上がれ
岡部,サンクス…
バッタ,飛蝗
地域などによってはバッタとイナゴを明確に区別する。漢字表記では、,蝗虫
岡部,お…おうふ。フゥーッハハハハハ…あむっ！フハッ！？。フゥーッ……フゥーッ……。フグッ……！フゥーッ………
ダル,オカリン…ムチャしやがって…
岡部,…あぁ、ダル、そこにいるのか…？
鈴羽,残念～、橋田至じゃないよー。気がついた？でもまさか一口で気を失うなんてね、あっはは
岡部,う、うますぎてつい…な
鈴羽,はいはい
岡部,す、すす…すまん！
鈴羽,いーよ。まだそうしてて
岡部,そ、そうか…ならお言葉に甘えて…
鈴羽,…岡部倫太郎さ。こんな馬鹿みたいな夕食に、よくつきあってくれる気になったよね
岡部,いや、馬鹿ではないぞ…立派な料理だった。うまかったし
鈴羽,うそつけー。あっはは。あたしさ、お父さん…探してんだよね
岡部,鈴羽の…父親を？
鈴羽,うん…そう
岡部,今、この街にいるのか？
鈴羽,…多分ね
岡部,…そうか
鈴羽,どーしても一回会っておきたくってさ…
岡部,……そうか
鈴羽,どこにいるんだろうね、父さん
岡部,……
鈴羽,会いたいなぁ…。…父さん…
岡部,…なにか…あてはあるのか？
鈴羽,……うん…今度ね、タイムマシーンオフ会ってのがあるんだけど…
岡部,…そこに来るかもしれないのか？
鈴羽,うん、そう。多分、それが最後のチャンス
岡部,最後って……まだまだ時間はあるんだろう？そんなすぐに諦めちゃダメだ…
鈴羽,うん、ごめん。でも、多分それが最後…
岡部,……そうか
鈴羽,…この街って、昼は暖かいけど、夜はちょっとキツいね
岡部,…ん？
鈴羽,昼は店長や綯、んで、ラボのみんな……岡部倫太郎がいる。すっごく、あったかい…いい街
岡部,……そうだな
鈴羽,夜になると…あたし、この街じゃひとりぼっちだから……
岡部,…
鈴羽,ねえ、岡部倫太郎ってさ？
岡部,……
鈴羽,もしかして、あたしの事、好いてくれてる？。ねたフリ…。…ばーか。あっはは
岡部,さすがに広いな…この街は…
鈴羽,…ごめん。こんな事に付き合わせちゃってさ
岡部,あ、いや。俺は好きでやってるだけだ
鈴羽,えー？誰が？
岡部,誰がとかじゃない…。とにかく、こうするのが運命石の扉の選択だと言っている
鈴羽,…はいはい
岡部,鈴羽は駅前の方を頼む。俺はラボ方面を探す
鈴羽,オーキードーキー！
4℃,おいおい、そりゃないだろうがよォ。人がせっかく思い出せそうなんだぜ？
鈴羽,もういいよ。それより、早くそれ、返してくんないかな？
4℃,あー、そうだ。もしかしたら、お前がデートしてくれたら思い出すかもしれねェな
鈴羽,ばっかじゃない？するわけないじゃん気持ち悪い
4℃,おいおい、テメェ…女だからって調子乗ってっとタダじゃすまねえぞ！
岡部,す、鈴羽？どうしたというのだ
鈴羽,あ、倫太郎！こいつが急に絡んできてさ…
4℃,なんだぁテメェ。コイツの彼氏か？
岡部,…仲間だ。見ろ、騒ぎになってきているぞ。ここは穏便に済ませようじゃないか
4℃,今更穏便に、だと…？…テメェら、さっきから二人ともナメた態度とりやがって。おかげでえらい恥かいちまったぜ？この落とし前、どうつけてくれんだよ！
岡部,…わかった。とりあえず俺から謝ろう。すまなかった
鈴羽,り、倫太郎！
岡部,……だから、そのピンバッジをこっちに渡してくれ。大切なものなんだ
4℃,なんだ情けねぇなぁ…。おい、女。テメェのオタク彼氏、謝ってんだけど？
鈴羽,…っ！
岡部,…さぁ、早く返してくれ。頼む
4℃,チッ…。…くく…お前ら、自分たちが囲まれてるって知ってて、そんな余裕ぶってんのか？。で？お前は何をしてほしいって？このヴァイラルアタッカーズの4℃様に
岡部,バッジを…返して下さい。とても大切な……ものなんです
4℃,わかったよ。返してやるさ、こんなの…ただのきたねぇゴミだ！
鈴羽,っ！
4℃,ほーらよっと！って…なんだテメェ！。は、離しやがれ！…クソッ！
岡部,貴様がさっさと離せクソ野郎！バッジ…返せよ…っ
鈴羽,倫太郎！後ろ！
岡部,えっ？
鈴羽,ダメ！もうやめて！倫太郎！
4℃,ボコボコにするだけで済ませてやろうと思ったが、もう許さねえ。テメェの前で、たっぷり彼女を可愛がってやるよ。おいおい、思ったより根性あるじゃねえか…
男,うぐおっ！
岡部,ぐああっ！。………いてぇ
鈴羽,り、倫太郎っ！
岡部,す、ずは…。にげ…ろ…
4℃,…おいおい、テメェ、とうとうやっちまったな…。もう勘弁ならねぇ。ぶっ殺してやるよ…
岡部,す、鈴羽ァァァァ！！逃げろおおおおぉぉ！
4℃,うるせぇ！カスがッ！
岡部,ぐああああああああああああああああああああっ！！
男,うぎゃあああぁぁぁぁぁ！
まゆり,トゥットゥルー♪まゆしぃ☆でーす
男,な、なんだこの女。おい、今なにしやがっ…
まゆり,あのねー、男の人が何人も集まって、弱いものイジメしか出来ないのかなぁー？
4℃,な、なんだありゃ…。テメェ、そいつらに何をしやがった！
まゆり,何だろうねー、えっへへ♪あなたも体験してみる？
4℃,ひっ…！
まゆり,でもねー、まゆしぃはうっかり屋さんなんだー。いっつも、みんなに言われちゃうんだよねー。うっかりうっかり♪えっへへー。だからねぇ…。うっかり、人を殺しちゃうかもしれないねー。うっかりうっかり…
鈴羽,倫太郎
岡部,ん…？ああ…。奴らは…どうした？
鈴羽,椎名まゆりがフラフラと追っかけてったよ。残ったやつは、あたしがやっつけといたから
岡部,なるほど、やるな…。…って、鈴羽が？
鈴羽,そうそう。あれ、言ってなかったっけ
岡部,なにを…？
鈴羽,あ、いや…。実はあたし、そこいらの人間よりメチャクチャ強いんだよね…あはは
岡部,……そういうことは…先に言え…
鈴羽,ごめーん。でも…
岡部,ん？
鈴羽,岡部倫太郎、かっこよかったなぁ…なんて、あっはは
岡部,…当たり前だ。俺を誰だと思っている…
鈴羽,ふふ…そうだね
岡部,もう少し、こうしてていいか？
鈴羽,ん、いーよ…。あ、ごめーん
紅莉栖,岡部……覗くなよ
岡部,だ、誰が覗くかッ！俺たちは純粋でプラトニックな仲であってだな…
フェイリス,えーっ！？じゃあ凶真達ってば、もしかしてCどころかBも行ってなかったりニャ？
るか,ブフゥッ！うぐっ…けほっ、けほっ
岡部,ルカ子はちょっと落ち着け！さっきからそわそわと…
ダル,まあまあ、オカリン強がんなって。覗きは僕が許可するお！
岡部,やめろこのHENTAIめ！
ダル,オカリンひでー。僕はHENTAIじゃないよ？HENTAIという名の紳士だよ
岡部,前から言おうと思っていたがな……HENTAIもHENTAI紳士も一緒だ馬鹿者！
一同,アハハハハ
鈴羽,誰が覗くって～？
岡部,おわっ…ちがっ…！
鈴羽,倫太郎、あたしの風呂を覗くなんて、いい度胸してんじゃーん？
岡部,違うんだっていてててててててて！あーー！ダル！ダル！助けて！
ダル,だが、断る！
紅莉栖,ふふ、阿万音さん…疲れてたのか真っ先に眠っちゃったわね
フェイリス,寝顔が、かっわいいニャー♪ニャウ～ッ
岡部,うむ…フェイリス、解っているとは思うが……いたずらするなよ
フェイリス,ニャニャ、凶真ってば、そんな妄想するんだ。やらしー
ダル,うは…たまらん
まゆり,ダルくん、自重
ダル,は、はい
ルカ子,あはは、みなさん、もう少し静かにしましょう…。阿万音さん、起きちゃいますし
岡部,そうだな…
鈴羽,…ううん、父さん……
紅莉栖,ちょ、ちょっと橋田
ダル,え？
岡部,なっ…んだと？
ダル,ん？なんなん…？って、え？なに？なんぞコレ？
岡部,…大丈夫かダル。お前…塩分の取りすぎなんじゃないか？
ダル,ぼ、僕はウミガメかお…
紅莉栖,ふふっ…ウミガメってよりウミウシだけどな。？どうしたの、岡部
岡部,みんな…今日は本当にありがとう
ダル,うおっ！
まゆり,ええっ！
紅莉栖,驚いた…。狂気のマッドサイエンティストが珍しいわね。明日は雪かしら
岡部,茶化すな…。お前たちには、きちんと礼を言っておきたかった
紅莉栖,べ、べつに礼などいらんわ。私達は私達で来たいから来ただけ…げふんえふん
ダル,うん、オカリン。牧瀬氏の言うとおりだお。こっちこそ、呼んでくれてありがとうなのだぜ？
まゆり,…そうだねぇー。まゆしぃも、そう思う。ありがとう、オカリン
ダル,さーて、おまいら？朝までマリオカートとボンバーマン大会やるけど異存はないかお？
紅莉栖,異議なし
フェイリス,みんニャ、フェイリスのドラテクで翻弄してやるのニャ
るか,凶真さん、あの…その……やり方…教えて下さい…っ！
まゆり,んー、いいよぉ、るかくん。今のもう一回リピートだよぉ
岡部,…ああ、教えてやろう。ただし、キノピオはもらったぞ
紅莉栖,プッ……キノピオとか、いかにも狂気のマッドサイエンティストらしいな
岡部,貴様……キノピオを馬鹿にするのか…？
紅莉栖,えっ、いや、そんな訳じゃ…
岡部,紅莉栖……お前はどうせピーチ姫とか使っちゃうんだろう？
紅莉栖,なっ……私はマリオ派……！って、今あんた、名前で…
岡部,あ、間違えた…
紅莉栖,この野郎…
鈴羽,あー、すごく楽しかったよ。ゲームなんて初めてやったからね
岡部,そうか。まあ、あれはかなり古いやつだったからな。今のゲームはすごいらしい
鈴羽,へぇー。あたしのいたところじゃ、ゲームなんて無かったから
岡部,そうなのか？随分寂しいところだな
鈴羽,うん…。ね、倫太郎
岡部,なんだ？
鈴羽,ちょいと膝枕してくんないかなー？いつもしてあげてばっかりだったじゃん
岡部,…べ、別にいいぞ
鈴羽,やったー、ありがと。それじゃ…よいしょ
岡部,…お父さん、会えるといいな
鈴羽,うん
岡部,いや、会えるか。うん、きっと会える。二人であんなに頑張ったんだ。俺が保証する
鈴羽,あー、そうやって泣かそうとするの禁止ー！次やったら50円ー
岡部,まじか…
鈴羽,ん…まじ。くすっ…倫太郎、何やって…。…倫太郎、いーよ。はい、んーっ
岡部,……ぐぅ……ぐぅ……
鈴羽,あ、またねたフリ…。ずっるー。ここまで好きにさせといて…。岡部倫太郎、あたしは……君が好きだ。それじゃ、行ってくるよ
岡部,…いってらっしゃい
鈴羽,……うん、いってくるよ
岡部,ハアッ……ハアッ……。くそっ……どうしてこんな事に…
紅莉栖,あ、あんた……こんな所で何やってんだ…
岡部,なにやってるって……？…もう…無理。見つからない…見つけられないんだ…
紅莉栖,なっ…！
岡部,俺は……俺が、鈴羽の願いを叶えてやれなかったから……。鈴羽の気持ちに…ちゃんと向き合わなかったから……
紅莉栖,あ、あんた…阿万音さんが、本当にそう考えてたって思うの…！？
岡部,ぐうっ…！
紅莉栖,この期に及んで、何いってんだ！この馬鹿！唐変木！
岡部,…なん…だと？
紅莉栖,…これ、阿万音さんからの手紙！読め！早く！。ラボの郵便受けに入ってたんだよ！ちゃんと確認しろ、馬鹿！
岡部,か、貸せっ！！。なん…だ…これ…。すず…は………
紅莉栖,…岡部、ちょっとこっち来い
岡部,…え？
紅莉栖,いいから、来い！
岡部,うおっ…！。く、紅莉栖…なんで？
紅莉栖,はぁ……あんたって、本当に罪作りな男だな…
岡部,え？
紅莉栖,解らないならいい。でも、もうしばらくこうさせて。阿万音さんが居ると遠慮しちゃうから…
岡部,それは……どういう意味だよ…
紅莉栖,…黙ってろ、馬鹿。いつもの頼れるアドバイスやらんぞ
岡部,…す……すまん
紅莉栖,この世に神なんていない……あんたは、まだやり直せる
岡部,な…に…？
紅莉栖,電話レンジ、修理しておいたから
岡部,…えっ！
紅莉栖,お前らがイチャイチャしてる間に、いくらでも修理する時間はあったわ
岡部,そう……だったのか
紅莉栖,全く、ラボの象徴
岡部,う、うむ……それはすまなかった。埋め合わせは必ずしよう
紅莉栖,わ、わかればいい。それじゃ、これからまたDメールの実験するんでしょ？
岡部,すぐにラボに戻る
紅莉栖,…じゃあ、行って。私はこのままホテルに帰る
岡部,なに？助手は一緒に来ないのか？
紅莉栖,助手じゃない。ってか……また助手か
岡部,…ああ、助手は助手だろう。この俺の助手なのだからな
紅莉栖,…はあ、やっと名前で呼んでくれるようになったと思ったのに。期待した私が馬鹿でした
岡部,……いや、でも俺は、お前が助手で本当によかったと思うよ……
紅莉栖,……現金すぎるぞ。自分勝手なやつ
岡部,そうだな。助手よ。ありがとう。気をつけて帰れよ。……ううむ。…ミスターブラウン、今日はもう閉店か？
天王寺,おう、岡部。オメェうちのバイトしらねーか？後で顔出すって言って、まだ来てねぇんだよ。……。…なんかあいつ、今頃どっかで泣いてるんじゃねえかって気がしてよ…。また明日になれば店に来るんだろうなぁ？バックレたら承知しねぇぞ…
岡部,…う、うむ
天王寺,まあ、気がするってだけなんだけどよ、俺の勘はこれで、結構当たっちまうんだよな…
岡部,す、鈴羽なら俺が今から連れ戻す。その代わり、ちょっと揺れるが勘弁してくれ
天王寺,なにぃ？岡部テメェ、またあのグラグラをやるつもりか
岡部,…鈴羽を見つけるためだ。その代わり、家賃増額でも何でもすればいい
天王寺,ああん？話がさっぱり見えねぇな……。…チッ、本当にバイトを連れ戻すためなんだろうな？嘘だったら、本当に家賃上げっからな。……しゃあねぇ。とりあえず、お前に任すわ。行け、どんだけでもグラグラやりやがれ
岡部,わかった…約束する！！ありがとう、ミスターブラウン！
天王寺,お、おう。…それじゃ、もうちょっと店を開けとくからよ。言っとくが、ビルは壊すなよ！
岡部,ダル！
ダル,おいおい、なにやってんだお。遅いぞオカリン。牧瀬氏から話は聞いたん？
岡部,ああ、待たせたな。それで…
ダル,うん、電話レンジ仮
岡部,そうか……ありがとう、ダル
ダル,よせよ、オカリンに礼を言われるとむず痒いでござる。礼なら、全部終わった後に、だぜ？。……鈴羽を……頼んだぞ
岡部,…え？
ダル,ん？なんか言った？。あ、まゆ氏おかえり
まゆり,トゥットゥルー♪紅莉栖ちゃんからメールが来たので戻ってきました。オカリン、ちゃんと戻ってるねぇ。よかったー
岡部,すまなかったな、まゆり。お前にも迷惑をかけた…
ダル,まゆ氏は、オカリンが血相変えて飛び出してった後、すぐに阿万音氏を探しに行ってくれてたのだぜ
岡部,そうだったのか……ありがとう、まゆり
まゆり,ううん、いいの。スズさんが居なくなって寂しそうにしてるオカリンなんて、見たくないからねぇ
岡部,よし、文章は打ち終えた…。送り先は、3時間前の鈴羽の携帯だ！
ダル,え？なんだ、本人あてかよ。オカリン、チキンすぐる
まゆり,もーぅ、自分で会いにいきなよー。オカリンの悪いとこだよー？
ダル,ま、それじゃ、電話レンジ仮
まゆり,オカリン、スズさんによろしくね♪
電話レンジ,仮
ダル,綺麗なターンテーブルだろ？逆回転してんだぜ、これ
岡部,いくぞ！。届けえええええええええ！。…ここは。そんな……まさか。くそぉっ！！
ダル,うわ、びっくりした。オカリンなにやってるん？
まゆり,はやくスズさんのところへ行ってあげなよー
岡部,……あ……っ
