※ある番組の,墓友
ラフィエル,そうですか。良かったです
サターニャ,ラフィエルって料理が得意なのね？
ラフィエル,もちろんです。他にもお裁縫やお掃除、それに家事は何でもお手の物ですよ
サターニャ,そう。
ラフィエル,では、私はこれで失礼いたしますね
サターニャ,朝食美味しかったわ。ありがと
ラフィエル,いえいえ。また、作りに来ますね
サターニャ,別にいいわよ。さて、今日の夕飯は何にして、どこで買おうかしら？
ラフィエル,サターニャさん♪
サターニャ,うわぁーっ！？
ラフィエル,こんばんは
サターニャ,アンタ、なんでまたこんなところにっ！？
ラフィエル,うふふっ。サターニャさんをお見掛けしましたので、声を掛けただけですよ。それより、夕飯がまだだと仰いましたよね？
サターニャ,なによ、聞いてたの？
ラフィエル,はい。もし、よろしかったら、夕飯ご一緒しませんか？良い店がありまして
サターニャ,………別に構わないけど？何も決まってなかったから…。
ラフィエル,あぁっ、そうですか、良かったです///では、さっそくですが、行きましょう
サターニャ,あっ、ちょっと！？。随分と洒落たレストランね…。高いんじゃないの？
ラフィエル,大丈夫ですよ。お代は全額、私が持ちますから
サターニャ,全額って…アンタ、一体、何者よ！？
ラフィエル,あっ、実は私………
サターニャ,へぇ～、実家がお金持ち…って、事はお嬢様！？
ラフィエル,お嬢様は大袈裟です。私は、親元を離れ、ただ一人この地で親が用意した邸宅に住む、ただの一般人ですよ♪
サターニャ,邸宅に住んでるってだけでもお嬢様じゃないの！！？
ラフィエル,へぇ～、サターニャさんもやはり親元を離れて…
サターニャ,えぇ。アンタも来たあのマンションのあの部屋に一人で住んでるのよ。
ラフィエル,そうですか。でも、またお互いに共同墓地だけでなく、親元を離れて一人暮らしという共通点も見つかりましたね
サターニャ,そうね。そういう所はなんだか、お互いにシンパシーを感じるしね
ラフィエル,そういえば、サターニャさん、好きな物とかありませんか？
サターニャ,好きな物？
ラフィエル,例えば、食べ物ですとか、趣味ですとか
サターニャ,好きな食べ物はメロンパンよ。趣味というと、そうねぇ……強いて言えば、近所にメロンパンが食べ放題のお店があって…。そこで好きなメロンパンをいっぱい頬張る…それかしらね
ラフィエル,要は、好きな物はメロンパン、趣味はメロンパンの食べ歩きですね！。成る程、よぉく分かりました。うふふっ♪
サターニャ,だけど、そんな事聞いてどうするのよ？
ラフィエル,いえ、後のお楽しみという事で
サターニャ,？。今日は何をして過ごそうかしらね…。はぁ～い。……誰かしら？。はい？
ラフィエル,こんにちは、サターニャさん♪
サターニャ,ラフィエル！？アンタ、なんでまたまたっ！！？
ラフィエル,今日は、なんとサターニャさんに良い報告があります！！
サターニャ,良い報告？
ラフィエル,はい。それは……なんと、最高級メロンパンの食べ放題チケットを手に入れましたので、お誘いに来た事です
サターニャ,ええぇーーーっ、最高級メロンパンの食べ放題って……あっ、このお店、隣町にある高くて一般の方は滅多に入れない食べ放題のっ！？
ラフィエル,そうです！サターニャさん、メロンパン好きで、メロンパンの食べ歩き趣味だと仰ったじゃありませんか？。ですから、サターニャさんの為に苦労してチケットを手に入れました。これでお店に入れますし、最高級メロンパンが食べ放題ですよ
サターニャ,えっ、私の為にわざわざっ！？
ラフィエル,はい
サターニャ,いや、いくら何でも悪いわよっ！？
ラフィエル,気にしてないで下さい。それより、せっかくお店に行くのですからお洒落していきましょう
サターニャ,お洒落っ！！？
ラフィエル,もちろん、服や装飾品などの心配は大丈夫ですよ、ほら♪
サターニャ,なにこれっ！？
ラフィエル,うふふっ、サターニャさんの為に買い揃えた物です。では、さっそくお着替えしましょう
サターニャ,あっ、ちょっとぉ！！？
ラフィエル,わぁぁっ/////。きゃああぁぁーー、サターニャさん、素敵ですっ！！！///////
サターニャ,…………ねぇ
ラフィエル,なんですか？
サターニャ,これ良く見たら、全部高級ブランド品ばっかじゃないの！？服も装飾品も！！？
ラフィエル,もちろんですよ。サターニャさんの為に、この辺りにある高級品店を片っ端からハシゴし続け、一番高いのだけを厳選して買い揃えた物ですので♪
サターニャ,ちょっと待ちなさい！？
ラフィエル,はい？
サターニャ,アンタ、私の為って言って最高級メロンパンの食べ放題や高級ブランドを用意してるけど、なんでそこまで私に凄い親切にするのよ！？身に覚えがないけど、私に対する恩でもあるの！！？
ラフィエル,恩とかではありません。私がサターニャさんの為にした事、それは私の気持ちです
サターニャ,気持ち？
ラフィエル,そうです。私はサターニャさんの為に何か良い事をしたいとそう思っただけです。それに…。私とサターニャさんは………墓友じゃないですか？
サターニャ,っ！！？。…………。っ！？。………っ！！！。っ！！！！！。しつこいわよ、ラフィエル！！！！
まち子,っ！？
サターニャ,あっ？！。申し訳ないわね。まさか、隣の人だとは思わず…
まち子,そ、そこまで頭を下げなくていいのよ、胡桃沢さんっ！！？
サターニャ,本当に申し訳ないわね。なにせ、最近頻繁に知り合いが訪ねて来る事が多くて、ついイライラしていてね
まち子,だ、大丈夫だから、ほんとに気にしてないからね！？
サターニャ,で、用事は一体なにかしら？
まち子,あっ、そうそう、これ！実家から送られてきたから、少ないけど、おすそ分けしようと思って
サターニャ,あら、ありがとう。たまにくれるようだけど、悪いわね
まち子,気にしないで。お互い隣同士で、仲良くするのも良い事だしね。それと胡桃沢、今大丈夫かしら？
サターニャ,大丈夫だけど、どうしたの？
まち子,最近近所で喫茶店がオープンしたんだけど、そこに二人か、二人以上来たら割引になるらしいのよ。だから、私一人じゃアレだし、他に誘う人もいないから、胡桃沢さんはどうかなって思って？
サターニャ,いいわね。もちろん、行くわ。たまには、近所付き合いもしないとね！
まち子,そう！じゃあ、鍵を掛けて来るから、外で待ち合わせしましょう
サターニャ,えぇ。じゃあ、一階はどうかしら？
まち子,分かったわ。じゃあ、また後でね、胡桃沢さん
サターニャ,えぇ！。さてと、そろそろ…。あら、着信だわ。一体、誰から……ゲッ！？。無視しても何度も掛け直されそうだし、一応出ようかしらね。もしもし、ラフィエル？。あぁ……悪いけど、遠慮しておくわ。私もちょうど隣人から誘われたのよ、お茶に…。だから、行けないの。納得したかしら？じゃあ、もう切るわね。はぁ～、ほんとしつこいわね。まっ、今日は隣のおかげで断る口実が出来たから、いいけどね。おっと、もう時間ね。行かないと！
まち子,ほら、ここよ
サターニャ,へぇ～、ほんとに近いのね。それに、こんな所にオープンしてたなんて知らなかったわ
店員,いらっしゃいませー！
サターニャ,あら、結構混んでるわね
まち子,意外と割引につられて来る人が多いのね
店員,あ、あのう？
サターニャ,なにかしら？
店員,サターニャさん、でよろしかったでしょうか？
サターニャ,え、えぇ、サターニャは私だけど、どうして名前を？
店員,あっ、いえ、実は先ほどご来店なさってただ今座っていらっしゃるお客様から、赤髪の女の人が来たら私の席に案内してほしいと頼まれまして…
サターニャ,えっ？
店員,なんでも、待ち合わせをしてるとかという理由ですけど、それでよろしかったでしょうか？
サターニャ,えっ、なに、私を待ってるお客？一体、誰！？
店員,えぇと、あちらに座っていらっしゃいますが…
ラフィエル,あっ、サターニャさああぁぁーーーーん！！！！
サターニャ,っ！！？
店員,えぇと、どうやら間違いないようですね…。
ラフィエル,ふふふっ♪
サターニャ,えっ、なんであいつが…どうしてぇっ！！？ハッ……そういえば、電話でお茶がどうとか………まさかっ！？
まち子,えっ、なに？胡桃沢さん、知り合い？？
ラフィエル,初めまして、サターニャさんのお友達の白羽=ラフィエル=エインズワースと申します
まち子,胡桃沢さんの友達なんだ。あっ、私はまち子と言います！
ラフィエル,まち子さんですか…どうぞよろしくお願いします
まち子,いえ、こちらこそ
サターニャ,ったく、お茶って言ってたけど、まさかここだとはねぇ…。
ラフィエル,偶然というのは、良くあるんですね
サターニャ,まさか、誘いを断ったから…私が隣の人とここに来る事を把握し、私に会う為に居たんじゃないわよね？
ラフィエル,もぅ、サターニャさん、酷いですよ。私は別にそういう変な意味でここにいるのではありません。ただ、私がお誘いしたかったお店がちょうどここで、もしやサターニャさんが来るのではないかと予感して店員にお願いしただけの事ですよ
サターニャ,ふん。どうだか？
まち子,まぁまぁ、胡桃沢さん、友達にそういう疑いの目を向けるのは良くないと思うわ！
サターニャ,と、言う訳なのよ
まち子,へぇ～、そんな事が！
サターニャ,でね……
まち子,ふふふっ、そうね
ラフィエル,……………
サターニャ,そういえば、最近寒いわね
まち子,あっ、寒いのならホットカーペットを買ってみたらどうかな？私は昨日買ったけど、とっても暖かいのよ
サターニャ,へぇ～、いいわね。だけど、私は無理ね。生活費で手一杯だし、余計な物を買う程のお金は無いのよ
まち子,そう。それは大変ね
ラフィエル,っ！
まち子,随分と話し込んじゃったみたいね。もう夕方で
サターニャ,そうね。夢中になると長くなるしね
まち子,それにしても白羽さん、だっけ？白羽さんのおかげで待たずに座れたし、しかもお代も全部持ってくれたから、本当に良い友達を持っているのね、胡桃沢さんって♪
サターニャ,そ、そんなじゃないわよ！？ただ、あいつは訳ありの友なのよ。だから、色々ｔ
まち子,あっ、胡桃沢さん、前！？
サターニャ,えっ？。イタタッ！？
まち子,大丈夫、胡桃沢さん？
サターニャ,え、えぇ…。
男,チッ、どこ見て歩いてんだよ！！
サターニャ,ひぇっ！？
まち子,こ、怖い人ね…
男,ケッ、気ぃ付けろ、クソ女が！！！
サターニャ,…………
まち子,ふぅ。危なかったわね、胡桃沢さん
サターニャ,う、うん。そうね
まち子,でも、あの男の人、胡桃沢さんの事をクソ女
サターニャ,……いいのよ、別に。それに因縁付けられるよりはまだマシだと思わないと
まち子,………そうね。とりあえず、立ちましょうか？
サターニャ,えぇ。
ラフィエル,…………………
サターニャ,ふぅ～、イイ風呂だったわ。あら、今…中継されているのは場所で今日、私が男にぶつかった場所の近辺じゃないの。あれっ、こいつ……あの時私とぶつかって、私にクソ女。えっ……なに、私に絡んだあの男が襲われる、なんてどういう事よ！？なに、一体、なにが！！？。今日は久しぶりにガヴリールやヴィネットと遊べて楽しかったわ。………そういえば、いつも電話やら家を訪ねてくるラフィエルが今日は来なかったわね。いや、むしろいっつも来られても困るし、気にしなくていっかぁ。えっ、開いてる！？なに、まさか泥棒！！？。………いいわ。もし泥棒だったら、大声で叫ぼう。よぉし！。さぁ、泥棒……出て来なさい
ラフィエル,あっ、サターニャさん、おかえりなさい♪
サターニャ,っ！！？。ラフィエル…アンタ、なに、やってるのよ……？。ってか、どうやって家に、まさか…またピッキングで！！？
ラフィエル,今回はそういう事はしませんよ。普通に大家さんに頼んで鍵を開けて貰ったんです
サターニャ,えっ？
ラフィエル,それより、サターニャさん、見て下さいよ、これ
サターニャ,えっ、なに、これ？
ラフィエル,なにと仰りますと…ホットカーペットですよ
サターニャ,ホットカーペット、なんで！？
ラフィエル,なんでってサターニャさん仰ったじゃありませんか……最近寒いと、そしてホットカーペットはいいけど、買うお金が無いから無理だと
サターニャ,まさか、昨日、私が隣の人としていた話を聞いて……
ラフィエル,はい♪ホットカーペットも買えずに寒い思いをしているサターニャさんの為に私が購入したんですよ！
サターニャ,…………
ラフィエル,あれ、サターニャさん、どうしましたか？
サターニャ,アンタ、いい加減にしなさいよ！！！
ラフィエル,えっ？
サターニャ,私が黙っていれば好き勝手親切にして！！正直、迷惑なのよ！。大体、今回は私に無断で部屋に入った挙句、また私の為だって言ってホットカーペットなんて買ってきて……
ラフィエル,あれ、私、サターニャさんの迷惑になるような事したでしょうか？
サターニャ,十分してるわよ、変な親切って迷惑をね！！ほんと、いい加減にしないｔ
ラフィエル,大丈夫ですよ？
サターニャ,はぁっ？
ラフィエル,全ての私の気持ち、ですから♪
サターニャ,だから、その気持ちさえも迷惑だｔ
ラフィエル,もぅ、サターニャさん、人の親切は素直に受け取るべきですよ？
サターニャ,ラフィエル、アンタって馬鹿なの？！私が言ってる事が理解できないｎ
ラフィエル,ふふふっ、サターニャさんは気にしなくていいんですよ
サターニャ,はぁっ？
ラフィエル,だって……私たち。墓友じゃありませんか？
サターニャ,っ！！？
まち子,胡桃沢さん、その白羽さんって人、絶対にヤバいわよ！
サターニャ,えぇ。私もそう感じてるわ
まち子,お友達って言ってたけど、早く縁を切るべきよ
サターニャ,うぅん、ダメよ。きっと、果てまで追いかけてくると思うわ。それに、ああいうタイプは離れると何をしでかす分からないし…。
まち子,胡桃沢さん……。………あらっ？。胡桃沢さん、あれって？
サターニャ,あぁ。ラフィエルが私の為だと言ってプレゼントしてくれた物よ。そうだ、良かったらあげるわ
まち子,えっ、いいの！？
サターニャ,うん。どうせ、全部ラフィエルからの貰い物だし、それに私、ブランド品は知っていてもそこまでの興味はないしね
まち子,じゃあ、遠慮なく！！。あぁ～、実は私、ブランド品に興味があるのっ///ありがとう、胡桃沢さん♪
サターニャ,ふふっ、そこまで喜んでくれるのなら、あげた甲斐があるわね。こうなったら、真剣にラフィエルと話を付けないと。以前、教えて貰った住所はこの辺りね……えっ？！。なによ、どこが邸宅よ…。普通のアパートじゃないの！？。ふん。まっ、いいわ…。さっさと話しを付けて帰りましょ！。ここね。ラフィエル、居るんでしょ？。ちょっと、出て来なさいよ？
隣人,なに、うるさいわね
サターニャ,あっ、すみません。その…ラフィではなく、白羽さんに用がありまして
隣人,あら、珍しいわね。白羽さんにお客さんなんて？
サターニャ,えっ？
隣人,私も近所付き合いしてないから、良く分からないけど、白羽さん、ここに来てからずっと一人で過ごしてるみたいなのよ。しかもお客さんとして彼女を訪ねてきた人が一人もいないし、貴方が初めてよ
サターニャ,……………
隣人,そうそう。一度だけ引っ越しの挨拶を受けたんだけど、その時少しだけ話をしてくれた事があってね
サターニャ,？
隣人,なんでも、家族と完全に縁を切られたらしく、家も追い出されてたった一人ここに移り住んだとか。それにしてもつくづく可哀想だとは思うわね。家族も家も無い、誰一人来ない所から見て友達も出来なかったようだし、まさに天涯孤独ってやつね
サターニャ,……………。天涯孤独か…。ラフィエルの奴、あぁ見えては本当は可哀相な奴だったのね……。だからこそ、私を友だと言っていっつも付き纏ったり、なんだかんだしつこく親切にしたりしていたのね…ここにきて初めての友達が私だから。単にしつこいではなくて、親切にして仲を繋ぎ留めたい、だけだから。よし、決めたわ。ラフィエルと縁を切るのではなく、仲良しの友として前向きに接していこう！！。とりあえず、またラフィエルが来るか、連絡があると思うし、部屋で待ってようかしら？。えっ、なに？マンションの前に人だかり。それに救急車や警察が！？。あ、あのう？
男性,んっ？
サターニャ,この騒ぎは一体？
男性,あぁ、実は事件があったんだよ。
サターニャ,事件？
男性,詳しい事は分からないけど、なんでも5階から女性が飛び降りて亡くなったとかで…
サターニャ,えっ！？。ちょっとすいません？
警察,んっ、なんだ君は？この先は関係者以外立ち入り禁止だよ
サターニャ,いや、入りたいんじゃなくて、被害者は5階から飛び降りたと聞いてちょっと話を
警察,話？なに、君、ここのマンションの住人か何か？
サターニャ,えぇ。実は、5階に住んでるの
警察,5階にっ！？。ん、まぁ、一応話を聞くけど、5階のどこの部屋ですか？
サターニャ,そこよ
警察,えっ、そこですか？！じゃあ、被害者とは隣同士って事ですか
サターニャ,えっ、隣って、まさか被害者って……
警察,まぁ、関係者のようなので、一応被害者の名前は伝えておきますよ。被害者はまち子さんという方です
サターニャ,っ！！？。………隣の人が死んだ、それも5階の部屋のベランダから飛び降りて…。警察は自殺の線で調べてるようだけど、ありえないわ。だって…私がラフィエルの家に行く前にはあんなにも相談に乗ってくれて、ブランド品あげた時も喜んでくれたし。……………まさか！！？。っ！？……びっくりした。スマホの着信音ね！。ラフィエルね…。もしもし？。出掛けてるって、それどころじゃないのよ…。少し前にアンタと自己紹介した隣人のまち子って人が居たでしょ？たった今、亡くなったのよ…ベランダから飛び降りて！！。それより…って、なによ、その軽くあしらった言い方は！？人が一人死んだのよ！！？。えっ？。えっ、アンタなんでそんな事……。っ！！？。や、ヤバイわ！！？どうしよう……あっ、そうよ！！。解約……共同墓地を解約すればいいんだわ。そうすれば、きっとあいつとも…。でも………そんなことすれば、きっとラフィエルは………うぅん、他に犠牲が出た以上、やっぱ解約するしか……。……………。ラフィエル……話を聞いて可哀相な奴だったから、あいつの親切を全て受け入れて今度から仲良くしようと考えた矢先だったのに……とんでもない事を！。だから、これ以上はやっぱ無理、私とあいつの為にやはり解約を…………。よし、行こう！！！
ラフィエル,……………
サターニャ,ふぅ、解約完了したわ。それにしても……共同墓地の購入から墓友との出会いなんて、恐ろしいわ…やっぱ、解約して正解ね。肩の荷も下りたけど、まだあいつとの繋がりが残ってるし、アドレスを削除しないと。いや、いっそ今使ってる携帯を解約して別のに買い替えようかしら。後、マンション…住んでる所は知られてるし。いっそ部屋を引き払って、別の場所に住もうかしらね。とりあえず、部屋には帰りたくないし、かと言ってガヴリールやヴィネットの所に泊めてもらうのもアレだし、今日はどこかのホテルｎ
ラフィエル,じゃあ、私の家に来ますか？
サターニャ,っ！？……ラフィエル
ラフィエル,うふふっ、うふふ、うふふふふふふふふふっ♪
サターニャ,な、なによ、き、気持ち悪い！？
ラフィエル,……………残念です
サターニャ,えっ？
ラフィエル,ほんとに残念に思いますよ、サターニャさん？
サターニャ,ヒィィッ！？
ラフィエル,どうして、解約なんてしたんですか？。そんなに私と一緒にいるのが、墓友になるのが嫌なんですか？
サターニャ,…………そうよ
ラフィエル,………
サターニャ,アンタ、私の隣に住む隣人を殺した、でしょ？
ラフィエル,……さぁ、何のことでしょうか？
サターニャ,とぼけるんじゃないわよ！携帯でアンタは、あの女にブランド品は似合わない。それで確信したのよ………隣人があのブランド品を持っていることを知ってるって事は、アンタが直接隣人を訪ねてその部屋でブランド品を見つけたっていう証明なのよ！！
ラフィエル,………うふふ。
サターニャ,な、なによ、なにが可笑しいのよ！？
ラフィエル,………正解ですよ
サターニャ,えっ？！
ラフィエル,そうです。私がまち子さん……いえ、あのバカ女を殺したんですよ
サターニャ,ば、バカ女っ！？
ラフィエル,そうです！あのバカ女は、私だけのお友達であるサターニャさんに、ホイホイと近付いて、挙句に喫茶店の時に私の目の前で見せ付けるようにサターニャさんと話し続けて…。おかげでサターニャさんが私を無視する結果に……全てあのバカ女のせいです！！
サターニャ,アンタ、まさか私にあげたブランド品を隣人が持っていた事が理由じゃなくて、私との仲による嫉妬心で殺したの？！
ラフィエル,両方です、ブランド品と嫉妬心……その両方があのバカ女を殺した動機です
サターニャ,それってつまり……
ラフィエル,最初は嫉妬心だけでした…。例え隣人でもサターニャさんと居て仲良く話せば自然に友達です。ですから、バカ女に嫉妬しました、サターニャさんと良く話してるので！！。そして、先ほど…バカ女を殺す為に部屋を訪れ、中に入った所驚きましたよ……まさか、サターニャさんの為にあげた高級ブランド品がほとんどあるじゃないですか。私はバカ女を問いただし、サターニャさんから貰った事を聞き出しました。だけど、それだけでなく、あのバカ女…他にこんな事を言ったんですよ
サターニャ,な、なんて言ったのよ……？
ラフィエル,サターニャさんから相談を受けた事を明かし、私の事を異常。ふざけるな！！！
サターニャ,っ！？
ラフィエル,サターニャさんは私だけの、私一人だけのお友達です！！縁を切るのは、そっちだと考えました。だから、私がサターニャさんにプレゼントしたはずのブランド品を奪った怒りと嫉妬心、ふざけた事を抜かした憎しみが溢れ、嘘で縁を切ると言って油断させた所を……。背後から押し、ベランダからあのバカ女を突き落としてあげたんですよ！！
サターニャ,っ………！？
ラフィエル,サターニャさんは私のお友達、生まれて初めて出来た、ただ一人のお友達です♪。ですから、私とサターニャさんとの仲を邪魔する者は誰であろうが許しません！！それと、サターニャさんを傷付ける者も……
サターニャ,私を傷付ける……ハッ、まさか、喫茶店の帰りに私とぶつかって罵倒してきた、あの男が襲われた、というもの…アンタが！？
ラフィエル,ふふふっ、そうですよ♪。ほんとは殺す勢いで滅多打ちにしたはずでしたが、力の加減を間違えてしまったようで、殺し損ねて意識不明の重体にしか出来ませんでしたがね
サターニャ,ヒィィィーーーッ！！？
ラフィエル,あれ、サターニャさん、どうしたんですか…震えてますよ？。あっ、もしかして寒いんですか……じゃあ、墓友として私が寄り添って温めてあげますよ♪
サターニャ,こ、来ないで、人殺し…精神異常者！！？
ラフィエル,……ほんとに、サターニャさんは私と墓友になるのが嫌なんですね
サターニャ,ヒィッ、嫌に決まってるじゃないの！！誰がアンタみたいな奴なんかと！！！
ラフィエル,そうですか……。じゃあ、死にます
サターニャ,へっ？
ラフィエル,えい！
サターニャ,っ！！？
ラフィエル,うぅ……うぅぅ…うううぅぅ
サターニャ,ちょっと、ラフィエル！？。アンタ、いきなり自分の腹にナイフ刺して……何、バカな事してんのよ！？
ラフィエル,うぅ…サターニャ…さん……私の事……心配…して…くれるん、ですか
サターニャ,心配してんじゃないのよ……ただ、勝手に体が動いただけよ
ラフィエル,…うふふ、そうですか。やはり、私とサターニャさんは友達なんですね
サターニャ,へっ？
ラフィエル,一緒に死にましょう♪
サターニャ,ちょ、ちょっと！？
ラフィエル,あの世に行ってもずっと友達でいましょうね……サターニャさん❤
サターニャ,や、やめ………
ラフィエル,ほいっ♪
サターニャ,いやああああぁぁぁーーーーーーーーーーーーーーっ！！！！！！？？？。ハッ！？
医者,おぉ、意識を取り戻しましたか！
サターニャ,えっ、なに、ここは！？
医者,病院です。
サターニャ,病院、いつの間に！？
医者,通りがかりの方が貴方を発見し、救急車を呼んだんです！。どうやら話を聞く限り、高い所から落ちたみたいですけど、幸い軽傷だけで済んだようで、安心しましたよ
サターニャ,そうだったの…。あっ、そういえば、私の他に一緒に落ちたのが居るはずなんだけど？
医者,……えぇ、確かに居ました。ですが、その方は即死です
サターニャ,えっ、即死……
医者,はい。正直に申せば、その方はナイフが刺さったままで傷も酷く、加えて高い所から落ちた時の衝撃で完全に即死という状態でしたので…
サターニャ,………そう。そうよね…刺した傷と落ちた事が原因なら、普通は……。はぁ～、それにしても変な出来事だったわ。正直、最初は散々、途中からあいつに同情して仲良くしようとしたけど、結局前言撤回して……。最後にはラフィエルの心中に巻き込まれたけど、死んだのはあいつだけで、私は辛うじて生存………ほんとに変な出来事ね。まっ、天涯孤独のあいつには生きてるよりも、死ぬ方が案外楽かもしれないし、今頃つらいこの世とおさらば出来て、あの世で満足してるでしょうね…。
ラフィエル,この世とおさらば出来るのは嬉しいですけど、まだあの世では満足出来ていませんよ？
サターニャ,そう………って、ええええぇぇぇーーーーーっ！！？
ラフィエル,ふふっ♪
サターニャ,えっ、なんでアンタがここに！？死んだはずじゃっ！！？
ラフィエル,もちろん死にました。つまり、今存在している私は幽霊ですよ、サターニャさん
サターニャ,ゆ、幽霊ですって？！
ラフィエル,はい
サターニャ,なんで私の前に現れるのよ…幽霊だったらさっさと成仏しなさいよ！！
ラフィエル,それは出来ません
サターニャ,なんでよ？！
ラフィエル,言ったではありませんか…まだあの世では満足出来ていない
サターニャ,まだあの世満足出来てないって事は…あの世に行けない理由があって、それには満足するような事しないとダメって事？
ラフィエル,そうです♪。つまりは、未練です。未練があると幽霊は成仏できない仕組みになっています
サターニャ,成る程ね。で、どうすればいいのかしら？
ラフィエル,えっ？
サターニャ,私の前に現れたって事は、私の協力を得る為なんでしょ？いいわよ……最後の最後だけ手を貸してあげる。
ラフィエル,サターニャさん………ありがとうございます/////
サターニャ,別にお礼はいいわよ。それより、アンタの未練…どんな満足をしたらあの世に成仏出来るのかしら？
ラフィエル,はい。それは………。サターニャさんを道連れにする事です❤
サターニャ,……………えっ！？
ラフィエル,やはり墓友で、私の初めての、それも私一人だけの友達であるサターニャさんも一緒に逝かないと満足して、成仏なんて出来ませんよ♪
サターニャ,な、何…怖い事を平気で笑顔でサラッと言ってるのよ、アンタは！？
ラフィエル,あぁ、大丈夫ですよ。あの世に逝けば私とサターニャさんの仲を邪魔する者もおりませんし、ずぅ～と仲良しでいられますよ？
サターニャ,ひ、ヒィィィーーー！？
ラフィエル,さぁ、逝きましょう？
サターニャ,い、いやぁーーーっ、こっちに来るなぁーーーっ！！？
ラフィエル,うふふっ、逃がしませんよ？。うふふふっ、捕まえましたよ、サターニャさん❤
サターニャ,ヒイイイィィィィィーーーーーーーーーーーッ！！？
ラフィエル,あの世に逝ってもずぅ～と一緒に、仲良しでいましょうね
サターニャ,や、やめ………
ラフィエル,だって……私たち
サターニャ,………
ラフィエル,墓友ですから……ね❤
サターニャ,ｲﾔ…………
ガヴィーネ,…………
