モバＰ,以降Ｐ表記。かぽーん
Ｐ,総菜も沢山あるな。トンカツとか焼き豚とか見てるだけで腹減ってくるよなぁ…さっき食べたばっかりなのに。まぁ時子の作る焼き豚も美味いけどさ。何を言うかお世辞じゃないぞ。俺はもう少し社交辞令を言えと怒られるくらいだからな！。それは０割冗談だとして。総菜はいい？あ、代わりにハム爆買いするのな。実家のご両親に送るならこういうギフトセットがいいんじゃないか？え、１人１セットなん？。俺も晩酌用に厚切りベーコン買おうかな…。そりゃ俺だって晩酌くらい時々はするぞ。コーラ。今、俺を笑ったな…？。豚肉天国にはしゃぐ時子動画を砂塚チャンネルに上げてやろうか。爪楊枝は痛いってばよ！。痛…、ほら向こうにギフトコーナーあるから伝票書いてきな。うお、こんなに送るん…？。え、つまり残りは全部自分用？。…。ああ、なんだ。半分は事務所のみんなにか。……。いや半分だとしても量エグくない？。はいはい時子ママは子供たちのために甘いミートボールを作る訳だね。アァ？。嘘、冗談だからしょんぼりするなってば！。どうしてこうお前といい白雪某といい防御力低いかなぁ…。…。えっ何、今の千夜の真似？。業務用かってくらいの肉も車に置いて来たでごぜーますよ。何見てたんだ？ああベーカリーコーナーか。ハハッみちるがいそう。ここはハゲット類がお勧めだな。ガーリックバケットとかベーコンフランスとかウィンナーフランスとか。当然ここのパンも中の工場で作りたてを並べてるんだ。新しいのが焼きあがると店内放送してくれたりしてさ。パンの焼ける匂いって幸せの象徴みたいだよなぁ…。パンも買うん？ああお土産か。でもここドーナツは無いぞ？。…別に懐かれてるのは悪い事じゃないだろ。トッキーは所詮ビジネスサディストじゃけぇ。トングをカチカチして威嚇するのやめなさい。あ、すいません。…。本当にいたのかよ
法子,……あ、時子さん？うんあたしあたし。特に用って訳じゃないけどさ。今日中におめでとうって言いたかったから。えへへ。あ、今大丈夫だった？…うん、あたしも今丁度休憩中。うん、うん頑張るね♪。時子さんお出かけ中？え、だって何だか凄い楽しそうだから。えー？うそだぁ。絶対楽しんでるでしょー。お邪魔しちゃ悪いから切るね？ううん、帰ってきたらちゃんと誕生日おめでとうってお祝いするから。えへ、お土産楽しみにしてる♪。あ、そうそう。さっきドーナツの話した？
Ｐ,そうそう、ここがさっき言ったアスレチックがあるところ。向こうの方に…あ、いたいた。ほら豚がいるんだよ豚。違う精神的豚じゃなくて種族的豚。ここは大体いつも３種類の子豚を放して来場客が見学できるようにしてるんだよ。流石に触ったりはできないけど
豚,触らんの？
Ｐ,触りたいけどね
豚,遠慮せんでもええのに
Ｐ,ほら、時子も近づいて…って言うまでもなかったわ。ライブに来る豚の皆さんにもそういう表情してあげればいいのに…いや駄目か。彼らが求めているのはそういうのじゃないか。そうなんだよな。豚って綺麗好きだからここみたいにちゃんと丁寧に飼育されてれば全然匂わないんだよな。性格もわたあめみたいに繊細だし。俺みたいに。何故笑う！？
豚,大丈夫？うちら盛り上げられとる？
Ｐ,あ、お気遣いなく。確かに。仁奈とか大喜びしそうだなぁ。今度連れてくるか。えっ？当然言い出しっぺがだよ。ほら、だってもう実質事務所の仁奈ママランキングは時子が１位だし。うん、先月集計した。失礼な暇じゃねぇよ！暇じゃなくてもやるんだよ！。…もうこんな時間か。そろそろ夕飯取るか
豚,またきてなー
Ｐ,次来た時にまだ君たちがいるかな？
豚,ヒィィ
Ｐ,ここは洋食レストランと焼き肉があるけど、どっちがいい？。はいはい、食い気味に焼き肉ね。すいません、２名で。財前時子？ハハッ違いますよよく似てるって言われるんですけど。ファン？え、割引する？。…いや、お前がそれでいいならいいんだけどさ。罵倒のリクエストとかやめてもらえませんか。お前も応じない！。それじゃあ時子誕生日おめでとうって事で。かんぱーい。今日は生憎みんなのスケジュールが合わなかったけどちゃんと日を改めて本格的なお祝いはするから。取り合えず今日はオッサン１人で我慢してくれ。はっはっ、去年より盛大に豪快にエキサイティングに祝ってやる。ウォズより大袈裟に祝ってやる。はいはい、お注ぎしますよお誕生日様。俺まで飲んだら誰が帰りの車運転するんだよ。さ、今日は好きなものを好きなだけ頼むといい。あ、注文お願いしまーす。……え？あ、うん。メニューの上から下まで順番にお願いします。はい、上から順に。大丈夫、俺にもそう聞こえましたから。…太っても知らんぞ。だからトングをカチカチして威嚇するのやめい！。はふはふ、美味い。熱いけど美味いゴールデンポーク最強に美味い。次はロース？ありがとう。肩とバラとリブロース？うんありがとう。でもペースがエグい。てか何で誕生日様が焼いてるんだよ。トング貸しなさい。貸せって。ええいカチカチするな！。そこまで言うなら任せるけどもさ…だからペース早いっての。俺を肥えさせてどうするんだよ。誕生日でテンション荒ぶってる？。やめてくださいコーラにタレを入れないでください。ああ、次はソーセージに突入するのか。…だからペース！皿にまだ肉の山が！。もしかしてもう酔ってる？。返事の代わりに怒涛のリブロース攻撃はやめろォ！。食べるけどさ。食べるけどもさ。だからまだ食べてる最中だっ熱い熱いダイレクトアタックは熱い！。とても楽しそうで何よりでごぜーますけどもう少し手加減してくれると有難い！。ふう…焼きたてのリブロース押し付けられるなんて滅多に経験出来ないな。もう？飲むペース早くない？そんなに強くない癖に。はいはい今注文するから。無駄にパセリ焼くのやめなさい。すいませーん。ワイン同じやつをもう一杯ください。あとお冷も。ああ、あと盛り合わせ各種もう一巡だそうです。…頼むのはいいけど大部分俺が食べてない？。ブヒィ。あはははははははは！！。ひぃ…お、お腹痛い……あ、悪い悪魔から電話来たわ。も、もしもし…ククッ…。ええ、丁度夕食に焼き肉食べてるところです。…くく、腹筋痛い…。俺のデスクの引き出しに青いファイルがありますから、必要なものはそこに全部まとめてありますよ。え？だからチッヒだって。…違うちひろさん。悪魔、黄緑の悪魔。あはははは！！だ、だからそれやめ…っ！駄目だ何か変なツボ入っ…！。い、いえね？時子のやつが…だからそれ！ははははははははははは！！。ふ、腹筋が限界なので切りますね…また明日事務所で。…あ゛～、お腹痛い…。…っ！。ゲホッ！ゴホッ、ゴホッ！。おまっ…それ絶対仕事中やるなよ？。え？。はい、電源切っておきます。しこたま肉食って胃がパンパンなのに腹筋崩壊させられて腹の具合がカオスなんだけど。楽しんでくれたなら何よりだよ。あー、確かに最近は新人たちの面倒で手一杯だったかな。新人とは思えないくらいアクの強い面子だもんなぁ。…何故そんな目で俺を見る。……。えっ、もしかして構ってほしかったとか？。フルスイングで背中ビンタはッ！！。そ、そうだよな。ハスハスじゃあるまいし違うよなぁ。あれ？でも今思い返してみると一人で収録いかせるになった時って最初の頃は…。２撃目ッ！！。せ、背中が死ぬ…。さては良い感じに酔っぱらってるねお前。実は意外と酒癖悪いよな時子って。絡み酒というか何というか。はいはい酔っぱらいはそろそろ帰るか？。いや、俺は別に構わないけど…。いいよ、どこにでも付き合いますよお誕生日様。じゃあ時子様。…。時子。機嫌が直ったようで何よりです。ブヒィ。じゃあ、行こうか。その前にやる事がある？おーいどこに行くんだー？
時子,終わりよ
本当はもう少し,祝え！全アイドルの力を受け継ぎ～
