片桐早苗,あら泉ちゃん。今日は、さくらちゃんや亜子ちゃんは？
千夏,有意義な時間だったわ
亜季,また、サバの話で盛り上がりたいですな
紗南,うん
比奈,アタシらも、最初から加わりたかったっスよ
奈緒,うん。また話そうな
若林智香,あれっ？みんなでなんの話をしてるのかなっ？
安部菜々,お仕事、おわりましたよっ！
泉,あ、智香さんに菜々さん。お仕事、お疲れ様です。今日はテレビの収録でしたよね
智香,うんっ☆今日は17歳アイドル大集合っていう番組だったんだ
菜々,え、ええ……まあその……はい……
奈緒,あー、あたしも打診があったあの番組だな。美嘉や茜も出たんだろ？
智香,そうなんだ。みんなでワイワイして、クイズとかに答えたんだけど、菜々ちゃんは昔の事とかもよく知ってて大活躍だったんだっ☆
菜々,な、ナナはその……昔から社会情勢とかきにしてましたからっ！
智香,同じ17歳とは思えないぐらいっ！
菜々,そ、それよりみんな、な、ななな、何の話をしてたんですか？
泉,今、みんなでサーバーの話で盛り上がってたんだ
菜々,え……？
泉,サーバーの話題で
早苗,ええ、サーバー
肇,サバです
千夏,サヴァね
亜季,サバのゲーであります
紗南,うん。サバとそのゲームね
比奈,サーバルっス
奈緒,そうそう。サーバ……ルな
菜々,……な
智香,えっ？
菜々,ナナは、サバなんか読んでませんよっ！！！
泉,？
若林智香,17
