パパ？？,あれ、留未穂、まだ起きていたのかい
フェイリス,……実は……。明日ファンタズムのライブに行くって言ってた友達に、ドタキャンされちゃったのニャー！。チケットが余っちゃって困ったのニャー！
岡部,な、なんだそれは。心配して損したではないか
フェイリス,ニャー！ドタキャンされる苦しみを、凶真は分かってないニャ！
岡部,ふむ、それはそうとファンタズムというと、あのFESとかいう……
フェイリス,そうニャ！あの独特で美しい歌声は聴く人の心をハッキングしちゃうんだニャ！まさか凶真も興味があるニャ！？
岡部,ふむ、まあ人並みにはな
フェイリス,じゃあ、明日一緒にライブに行くニャ！駄目かニャ？
岡部,ま、まあ、余っているというのなら、一緒に行ってやらんでもないぞ。たまたま空いている日だったからな
フェイリス,やったニャー！じゃあ詳しいことはまた後でメールするニャ！凶真とデート嬉しいニャー！
岡部,こ、ここがリキッドルームか……
フェイリス,ニャフフー。始まる前から楽しみなのニャー！
岡部,し、しかしこんなに早く来る必要はなかったのではないか？会場は確か17時で……
フェイリス,何言ってるニャ！そんな時間に来たら先行物販に間に合わないのニャ！
岡部,ふむ、なるほどな。って、もうこんなに行列が！
フェイリス,でもフェイリスは、凶真となら退屈じゃないのニャ！
岡部,お、おいフェイリス！抱きつくな！
フェイリス,ニャフフー、いいのニャいいのニャー♪。お目当ての物は全部買えたのニャー！
岡部,こんなに買いおって、一体誰が持つと……
フェイリス,凶真は優しいのニャーン！
岡部,だ、だから抱きつくなと言っているだろうが！。それで……会場の時もまたあんな行列になるのか？
フェイリス,ニャニャッ、入るときはどうせ整理番号順ニャから、そんなに早く来なくていいニャン
岡部,そうか。それでは少し時間があるな。どこか休めるところに……
フェイリス,じゃあ、あそこの喫茶店がいいのニャン♪
岡部,ぐっ、まあよかろう。好きなものを御馳走してやる
フェイリス,なんか今日の凶真は優しすぎるニャ。はっ、まさか奴らに洗脳……
岡部,なんだ、フェイリスは奢られたくないのか
フェイリス,う、嘘ニャ！ありがたく奢っていただくのニャ！。なんなのニャー、さっきからフェイリスの方ばっかり見てー
岡部,いや、なに、お前のことが心配でな
フェイリス,ニャッ！？い、いきなり何を言ってるのニャ。フェ、フェイリスは標高八千ｍの修練所で鋼のメンタルを手に入れたから、心配ないのニャ！
岡部,……フッ、そうか
フェイリス,……でも、ありがとニャ
岡部,へっ？
フェイリス,いやー、良いライブだったのニャー！
岡部,うむ、確かに中々良かったな。特になんだったか、あの、蝶は微かな羽ばたきで云々の奴は……
フェイリス,運命のファルファッラなのニャ！フェイリスもあの歌は大好きなのニャ！！
岡部,ああ、あの三拍子系独特の雰囲気に、ギターソロのタッピングを用いたフレーズ。非常に良い
フェイリス,ニャニャッ！凶真音楽のこと分かるのかニャ？かっこいいニャー
岡部,ふん、当然の嗜みだ。さて、では帰るとするか。送っていこう
フェイリス,フェイリスは大丈夫ニャ！一人でだって……
岡部,送るといっておるのだ。それぐらい俺にさせろ
フェイリス,……分かったニャ。凶真は優しいのニャー
岡部,茶化すんじゃない
？？,おい、そこの猫娘
４℃,てめぇ、チャンピオン気取りのメスネコだな。お前みたいな奴がチャンピオンよりも、俺様の方が似合うってもんだ。なぜなら俺は……
岡部,やはりお前か……
フェイリス,ニャッ、凶真も知ってるニャ？
岡部,も、というと、お前も知っているのか？
フェイリス,ニャー。雷ネットの大会で見たニャ……でも、何か不正を働いて失格になったとか……
４℃,おい、てめえら俺様の話を無視すんじゃねえ。このストリートシーンに舞い降りた黒の絶対零度こと４℃様の逆鱗に触れると……
岡部,その十円ハゲのようになってしまうのか？
４℃,て、てめえ！なんでそのことを知ってやがる！
岡部,ぐはッ
４℃,おいおい、何倒れてんだ、俺は何もしてねえぜ。ただ、ガイアが囁くのさ。そうそれはまさに……
フェイリス,凶真！逃げるニャ！
４℃,っておい！待てこのクソピンク！。待ってて言ってんだろーがァ！
岡部,うぐッ
４℃,ふん、その猫娘は後でかわいがってやるとして、まずはこの白く穢れた血を、黒の絶対零度で染めてやるぜ
岡部,な、なにが絶対零度だ。絶対零度は４℃ではなく、－２７３℃だぞ
４℃,うるせえ！それに俺は黒の絶対零度。そんじゃそこらの野郎とは訳が違うのさ。ギンヌンガの裂け目はまさしく俺の聖域。分かるか？
岡部,ぐはッ、うッ
フェイリス,凶真！凶真ァ！
？？,おい岡部！乗れ！
４℃,あァン？なんだてめ……
ブラウン,なんだ、俺に文句あんのか
４℃,え、いや、俺は
ブラウン,馬鹿が。てめぇ、次見かけたらぶっ殺すからな
岡部,ミ、ミスターブラウン、何故ここに……
ブラウン,偶然だよ、偶然。それより、早く乗れ。店でいいか？
岡部,すまん、助かる……いや、だがラボの方ではなく、こいつの家へ向かってくれ……場所は――
フェイリス,凶真……大丈夫かニャ……？
岡部,俺のことは心配いらん。そ、それにしてもミスターブラウン。偶然とはいえ、良いタイミングだったぞ。れ、礼を言おう
ブラウン,ふん、ちょっとお得意様のとこへ行って帰る道で喧嘩してる奴がいると思ったら、これだ。ったく、弱いくせに喧嘩してんじゃねえ
岡部,い、一方的に吹っかけられたのだ
ブラウン,ま、身を挺してでも女の子を守るってのには、ちょっとだけ見直したぜ
岡部,べ、別にそういう訳ではない。……だがまあ、それなら家賃を下げてくれても
ブラウン,ばっか野郎。これ以上どう下げるってんだ
岡部,……ありがとう、ミスターブラウン
その声がミスターブラウンに聞こえていたかはわからないが、彼は,フン
黒木,お嬢様、どうされたのですか
フェイリス,黒木、はやく手当の準備をして！私は何もされてない……凶真が庇ってくれたから
黒木,左様でございますか。では、岡部様、こちらへ。岡部様、お嬢様は庇っていただいたようで……私からもお礼申し上げます。本当にありがとうございます
岡部,い、いえ、そんな。俺はそれでも返し消えないほど……フェイリス……留未穂には、借りがありますから
黒木,今日は泊まっていってください。夕飯、寝床ともにすぐに準備いたします
留未穂,……入ってもいい？
岡部,あ、あぁ……
留未穂,岡部……さん……
岡部,なっ
留未穂,うぅ……怖かったよう……。黒い感情をぶつけられて……とっても……怖かったの……
岡部,……あぁ、すまんな
留未穂,ううん、岡部さんは何も悪くないでしょ？岡部さんは、私を助けてくれた。……岡部さんはね、私の……、私の……
岡部,どうかしたか？
留未穂,最近ね、おかしなことばっかり思い浮かぶの……
岡部,……すまない
留未穂,どうして岡部さんが謝るの？ふふっ、さっきから謝ってばっかりだね
岡部,……違うんだ。……留未穂、聞いてくれるか？
留未穂,えっ？
岡部,実は……
留未穂,……全部……、思い出したよ
岡部,な、なに！本当か？
留未穂,うん……覚えてる……全部……最後に送ったメールも、全部……
岡部,すまん……
留未穂,ふふ、そっか、やっぱ届いてないよね。もう、岡部さん、すぐ気を遣うんだから……優しいね
岡部,い、いや、そういう訳では……
留未穂,ねえ、岡部さん。ありがとう。前も言ったように、私は全然岡部さんに怒ったり、してないよ
岡部,しかし、俺は……
留未穂,ううん、いいの。でも……、思ってたより、ちょっとだけ、ちょっとだけ、悲しいね
それに、実際にパパさんがいなくなった世界、すなわち元に戻った世界,フェイリスが再度Dメールを送った後の世界
留未穂,ねえ、岡部さん……
岡部,……なんだ、留未穂
留未穂,ふふっ、また名前で呼んでくれた
岡部,それで喜ぶなら、いくらでも呼んでやる。留未穂
留未穂,……誰も悪くないけど、きっとここが幸せな世界だけど……。ちょっとだけ、今だけは、泣いてもいいかな……
岡部,……あぁ
紅莉栖,あ、岡部。き、昨日は……その……いきなり怒って、悪かったわ
岡部,え、あぁ。うん
紅莉栖,……ちょっと、聞いてるの？
岡部,え、あぁ。えっと、うん
紅莉栖,ねえ、岡部。謝ってるんだから聞きなさいよ！
岡部,あぁ。そうだな
紅莉栖,なによ……もう知らないっ
まゆり,あ、紅莉栖ちゃん、トゥットゥル……あれ？。ちょっとオカリン！また紅莉栖ちゃんに……。オカリン、何かあったの？
岡部,え、どうしてだ？別に俺は……
まゆり,オカリン……、今、とっても悲しそうな顔してるよ？
岡部,えっ？。……すまんな、少し出てくる
まゆり,あ、ちょっと、オカリン！
フェイリス,あれ、凶真？
岡部,お、おう、奇遇だなあ。まさかこんなところで会うなんて
フェイリス,そうだニャ。凶真とは前世から約束された運命、ここで会うのも必然だったのニャ！
岡部,そ、そうだな。ついでだし、家まで送ってやろう
フェイリス,えっ、そ、それは大丈夫ニャ！そんなに凶真にばっかり……
岡部,昨日の奴にまた絡まれたらどうする。人が心配しているのだから、ありがたく受け取れ
フェイリス,……分かったニャ
岡部,お、おい！それとこれとは話が……
フェイリス,いいのニャいいのニャー♪。凶真……ありがとニャ
岡部,ふん、礼には及ばん
フェイリス,それと……、心配かけて、ごめんニャ
岡部,何も謝らなくていい。お前は何も悪くないのだから。悪いのは……
フェイリス,凶真……。……凶真、クーニャンに怒られちゃうニャ……
岡部,……そうだな。なになに……今日もラボで待ってるから、来るんだおか……。ラボに行くとするか……
まゆり,あ、オカリン
ダル,……オカリン
岡部,ク、クリスティーナはいないようだな
まゆり,クリスちゃんは、さっきラボを出ていったのです……
岡部,最近、来れていなくてすまんな。この俺がいなければ寂しかったか？
ダル,オカリン、何があったんだお
岡部,何って……別に、何もないぞ。ちょっと実家が忙しくてな、はは
まゆり,オカリンのお父さんもお母さんも、分からないって言ってたのです
ダル,オカリン、牧瀬氏がどんな顔してたか、知ってるん？
岡部,……すまん
ダル,それは、僕じゃなくて牧瀬氏に言うべき言葉だろ常考
岡部,あ、あぁ、そうだな
ダル,それで……フェイリスたんと、何があったん？
岡部,えっ？。それは……だな……
ダル,なあ、一体何を隠してるんだお？オカリンが何を抱えてるのかは知らんけどさ、牧瀬氏は……
岡部,分かってる。紅莉栖にはすまないと……
ダル,じゃあどうして牧瀬氏に……
岡部,牧瀬氏牧瀬氏うるさい！紅莉栖さえいれば……フェイリスなんてどうなってもいいのかよ！
ダル,はぁ？誰もそんなこと言ってないだろ！
岡部,だって、だってそうじゃないか！じゃあ一体、どうしたらいいんだよ！？
まゆり,だからね、それを考えるためにね、まゆしぃは教えてほしいのです
岡部,え、あ……
ダル,それにさ、オカリン、僕たちラボメンなんだろ。ラボメンは、困った時には助けあうんじゃなかったかお？
まゆり,そうだよ、オカリン。しんどいよーって、言っていいんだよ？
岡部,あ……、あ……。……すまん……すまん……
ダル,ふん、そういうときは、ありがとうって言うんだぜ
岡部,はは……ソースはエロゲか？
ダル,当たり前だろ常考！
岡部,……ありがとう
ダル,うはっ、オカリンのデレとか誰得！
まゆり,まゆしぃは嬉しいので、良かったのです♪
紅莉栖,はろー、入っていいかしら
フェイリス,え、あ、うん。いいよ……いいニャ。ご、ごめんニャ。ちょっと目にゴミが入ってて……それにしても、一体どうしたのニャ？
紅莉栖,橋田が“オカリンに説教してやるー”っていったら、まゆりが“じゃあまゆしぃがフェリスちゃんに話聞いてくるねー”って言うから、じゃあ私に行かせて、って言ったのよ
フェイリス,え、どうしてニャ？
紅莉栖,そんなことより……いつまでも泣いてないで、顔上げなさいよ
フェイリス,えっ？
紅莉栖,ね、留未穂ちゃん
留未穂,……クリスちゃん
紅莉栖,初めはね、岡部は私を避けるし、最近フェリスちゃんがおかしいんだー、ってまゆりが言うから、これは何かあるな、って思ったのよ。それで、正直ちょっとだけイラッといたんだけど、いつもあんなに元気なフェイリスさんは何に悩んでるんだろう、ってふと考えたらね。……どうしてか、浮かんだのよ。部屋の隅で、私が悪いのって頭を押さえて泣きながら、叫んでいるフェイリスさんが
留未穂,幼
紅莉栖,そこで、やっと思い出したの……私は留未穂ちゃん――留未穂と、ずっと前に出会っていたんだって
ツインテールにしたクリスちゃんが、,一人じゃないよ
紅莉栖,驚いたわ、そして、ずっと忘れていた私がとても嫌になった。でも、仕方ないのかもね。あれからお互いに、色々あっただろうから。でもね、そのことを思い出して、ああ助けてあげなきゃ、って思ったの。何があったのかは分からないけど、迷い猫を、あの時のように救ってあげなきゃ、って
留未穂,紅莉栖ちゃん……紅莉栖ちゃぁん！
紅莉栖,もう、よしよし、頑張ったんだよね
留未穂,ひっぐ……うっ……うぅ……。でも、本当ビックリだなぁ、紅莉栖ちゃんと出会っていたなんて
紅莉栖,それも、こんな風に再開するんだから、ほんと運命のイタズラよね。それにしてもね、おかしいと思ったのよ。初めて……じゃないけど、メイクイーンであなたに会った時のこと覚えてる？
留未穂,岡部さん達に連れてこられたときのこと？
紅莉栖,そうそう。あのとき、私は留未穂が差し出した手を、ものすごく穏やかな気持ちで握った。そんなこといつもなかったから、なんでだろうって思ってたの
留未穂,昔のことを、どこかで覚えていたのかもね。それとも、もしかしたら、別の世界で私たちは……
紅莉栖,もう、留未穂ったら
留未穂,私……紅莉栖ちゃんに助けてもらってばっかりだな
紅莉栖,ふふっ、いいのよ。また困ったことがあったら、留未穂に頼るから。それじゃ、そろそろラボに行きましょうか。たぶん岡部達が……
黒木,お嬢様、少し宜しいでしょうか
留未穂,どうしたの？
黒木,牧瀬……紅莉栖様でございますね？
紅莉栖,え、あ、はい、そうですけど……
黒木,こちらを……お受け取りください
紅莉栖,こ、これは？
黒木,それは、こちらをお聞きいただければ、分かります
留未穂,あ、それは！。あの会話を、聞かせてあげるってことだね
黒木,いえ、そうではありません。2003年7月25日、牧瀬様は秋葉家を訪れ、苦しげな顔をされまま、このテープのB面に録音なされていました
留未穂,えっ？
紅莉栖,それって、私がパパと……
黒木,牧瀬章一様は、幸高様とタイムマシン研究に励んでおりました。そんな中、幸高様を亡くし、最愛の娘にまで突き放すようなことを言ってしまった後の牧瀬様の本当の想いが、そこにはあるのではないでしょうか
紅莉栖,……パパの……本当の想い……
黒木,出過ぎた真似をして、申し訳ありません。しかし、これは間違いなく、牧瀬紅莉栖様が、持って帰るべき忘れ物なのです
留未穂,大丈夫だよ、紅莉栖ちゃん。一人じゃないよ
紅莉栖,えっ……あっ……。ねえ、留未穂……
留未穂,なあに、紅莉栖ちゃん……
紅莉栖,私達……ここにいていいんだね……
留未穂,……うん……うん……
岡部,今日は、集まってくれてすまない。……少し、話しておきたいことがあるのだ
まゆり,ううっ……オカリンは……ずっと頑張っててくれてたんだね……
ルカ,僕が女の子だったなんて……信じられません……でも……
萌郁,……私の話……短い……
ダル,オカリン……オカリンになら、掘られてもいいお
岡部,だが断る
ダル,さーて、じゃあ今日はピザでも頼むかお
まゆり,あー、いいねえ。まゆしぃはから揚げが食べたいなあ
萌郁,……私……ケバブ……
岡部,お、おい、一体何の話だ
俺がそう聞くと、普段の３倍,ただし元は０
ダル,もちろん、フェイリスたんを元気づけるパーティに決まってるだろ、常考！
ルカ,あ、それなら、お料理手伝いますね
紅莉栖,私も手伝うわ、漆原さん
岡部,っておい！勝手に決めるな！いや、駄目ではない……というかありがたいが……って助手！お前だけはキッチンに立たせんぞ！
紅莉栖,はあ？それどういうことよ
岡部,……ラボは戦場ではない。破壊活動を行いたいなら他所で……
紅莉栖,誰が破壊活動するって言った！まったく、私だって料理くらい……それに、留未穂のためなんだからなッ
岡部,というか助手よ、一体いつからフェイリスのことを真名で呼ぶようになったのだ
紅莉栖,あら、つい留未穂って呼んでしまってたかしら？危ない危ない、気を付けないと
岡部,おい、だから一体いつから……
紅莉栖,二人だけのの秘密よ、ヒ・ミ・ツ。岡部なんかには教えてあげないわ
まゆし,まゆしぃも気になるなー、一体何があったのかなー？
紅莉栖,まゆりには後で話すわね。あ、もしよかったら他のみんなも……
漆原,え、いいんですか？
萌郁,……聞きたい
紅莉栖,もちろん、留未穂……じゃなくて、フェイリスがオッケーしたらだけどね
岡部,おいそこ！態度が全然違うではないか！
橋田,ウハッ！みんなって僕も入ってるんですか！ついに僕にもモテ期が……
紅莉栖,あ、岡部と橋田以外ね
橋田,ウオーッ、冷たい目！だがそれがいい！ごちそうさまです！
ダルにいたってはさっきからかっこよさが半減しているぞ,ただし元は０
岡部,フェイリス、どうかしたのか？
フェイリス,……ううん。そうじゃなくて、ただ……
岡部,ただ？
フェイリス,とっても、嬉しいのニャ！。ねえ、ほら、私の大切な仲間の声が聞こえる……パパ？
