橘ありす,さて……、今日の午後は時間がありますね……なにをしましょうか……
フレデリカ,もうちょい！
ありす,なんか重い！！！。いちいち待たなきゃいけないんですか！？
フレデリカ,まあまあ！もういっかい押してみて！
ありす,ええ……。あれ！紗南さんの声！
フレデリカ,そう！“３”は３人からランダムなんだ！
ありす,ということは……。かな子さんになにか恨みでも！？。よく引き受けてくれましたね
フレデリカ,案外ノリノリだったよ～？
ありす,まあ本人がいいなら……、あれ？うちの事務所に“４”っていませんでしたよね？
フレデリカ,だからといって、音が出ないのは寂しいから、あるゲストを呼んだよ！
ありす,え？と、とりあえず……。わぁぁぁ！！！！！！！
フレデリカ,びっくりしたでしょ！
ありす,びっくりってレベルを軽く飛び越えてますよ！！！なにしてくれちゃってるんですか！？
フレデリカ,この業界から消されるとこだったね！
ありす,電卓ごときにアイドル生命を賭けないでください！！！
フレデリカ,“５”は響子ちゃん、“７”は七海ちゃん、“８”はマキノちゃんで、“０”は礼さんだよ！
ありす,怖いので聞きたくないですが、“６”と“９”は……？
フレデリカ,“６”はこれ！
ありす,よかった……、どうでもいい人だった……
フレデリカ,さっきのショックが大きすぎて普通に失礼なこと言ってるねー
ありす,この流れだと、“９”もどうせ晴さんあたりがきゅうにボールがきたのでとか言い出すんでしょう？
フレデリカ,ふふふ……、それはどうかな！
ありす,じらさなくっていいですよ。わぁぁぁ！！！！！！！
フレデリカ,そのリアクション！さっきも見た！
ありす,笑ってる場合ですか！！！。明らかに男性の声でしたし！他の事務所を巻き込むのはダメですって！
フレデリカ,声だけだしー？
ありす,そういう問題ではなく！
フレデリカ,次いこっか！
ありす,あ！逃げた！
フレデリカ,次はこのパソコンだよ～
ありす,これも普通に見えますが……
フレデリカ,これは比奈ちゃんの要望で、一定期間ログインしないと、中のデータを全部消しちゃうパソコンなんだって！
ありす,……え？
フレデリカ,フレちゃんもよくわかんないんだけど……
ありす,なんのメリットがあるんですか……？
フレデリカ,さあ？
ありす,そんな“見られて困るものが入ってる”わけじゃあるまいし
フレデリカ,ね！“まるで自分の意志で消せない状況”を考えてるみたいだね！
ありす,まあ、次に行きましょうか
フレデリカ,はいはーい♪
ありす,前回はカメラを見たフロアですね
フレデリカ,今回も活きのいいのが入ってるよ！
ありす,どこの世界にカメラに活きを求める人がいるんですか
フレデリカ,七海ちゃんプロデュースのピチピチカメラ！
ありす,うわぁ！？キモッ！！！
フレデリカ,なんでこんなの作ったの？
ありす,こっちのセリフです！！！
フレデリカ,次～
ありす,投げるな！
フレデリカ,次はこれ！
ありす,ピンクのカメラ……。やけにキラキラしてますね
フレデリカ,ガールズパワーの３人が考えた、女子力☆メガ盛りカメラだよ！
ありす,なんとなく効果がわかるような……
フレデリカ,ヒトの顔を検知して、目をおっきくしてくれたりするの！
ありす,でもまあ、一定の需要はありそうですね
フレデリカ,でも、これで小梅ちゃんを撮ったら、周りに目だけたくさん出てきたとかなんとか……
ありす,……じ、冗談ですよね？
フレデリカ,“生きてるヒトの顔”とは書いてないもんね！
ありす,つ、次！次にいきましょう！！
フレデリカ,あー！怖いんだー！
ありす,そっちの方がよっぽど震えてますけど！？
フレデリカ,この階はね！アウトドア用品もあるんだけど、この懐中電灯が面白いんだよ！
ありす,見た目に変なところは……、あれ？スイッチがないですよ？
フレデリカ,よくぞ気付いたね！懐中電灯を持って、思いっきり握ってみて！
ありす,え？。あ、ついた！
フレデリカ,これは、握力のトレーニングにもなる懐中電灯なの！夜の散歩とかのついでにね！
ありす,へえ……、あ、こっちは色違いですか？。あれ？つかない……
フレデリカ,あ！それは有香ちゃんモデルだよ！最低握力50だから、ありすちゃんにはまだ早いね！
ありす,あの人本当にアイドルって肩書きであってます？。じゃあこっちも別の人モデルですか……？。あ、あれ？持っただけでつきましたけど
フレデリカ,そっちはライラちゃんモデル！最低握力は3だね！
ありす,弱っ！！！
フレデリカ,家電のフロアだよ！
ありす,前回は酷かったですけど
フレデリカ,まずはこの洗濯機！響子ちゃんのプロデュースで、とにかく汚れが落ちるんだって！
ありす,ああ、響子さんなら安心ですね。性能もまともそうですし……
フレデリカ,でも、毎日洗濯しないとなんでお洗濯しないんですか？なんでお洗濯しないんですか？って唱え続けるらしいよ！
ありす,怖っ！あの人もたまにネジが外れちゃいますね！？
フレデリカ,このサイキック電子レンジもすごいの！
ありす,名前だけでここまで不安を掻き立てる商品もそうないですけどね
フレデリカ,中に食べ物を入れるだけで、温度とか重さを察知して最適な温めをしてくれるんだよ！
ありす,……あれ？意外にマトモですね？
フレデリカ,でも9割8分2厘の確率でブレーカーが落ちる！
ありす,もう裕子さんは開発グループから外したほうがいいですよ
フレデリカ,これからの季節にピッタリの扇風機はいかが？
ありす,扇風機ですか、これからの必需品ですね
フレデリカ,ボタンを見て！
ありす,えっと……、弱・中・強・世……世！？
フレデリカ,世界レベル！
ありす,と、とうとう来ましたか……
フレデリカ,じゃ、押してみて！
ありす,は、はい……。……どっか飛んでいっちゃいましたけど！？！？！？
フレデリカ,さすが世界レベル～♪
ありす,言ってる場合ですか！？
フレデリカ,どうせほたるちゃんあたりに当たって止まるって～
ありす,ほたるさん！！！
フレデリカ,次はみなさんお待ちかね！こずえちゃんの実演コーナー！
ありす,ま、また包丁とか持たせてるんですか！？
フレデリカ,ううん！今回は扇風機！
ありす,せ、扇風機の実演……？
フレデリカ,あ！あそこだよ！
遊佐こずえ,ふわぁーーーー……
ありす,風を浴びてるだけに見えますが……
こずえ,せんぷうきー……買ってー……買えー……？
フレデリカ,あれだけで売り上げが50倍だって！
ありす,ちょっと消費者はちょろすぎるのでは！？
フレデリカ,こずえちゃんがいなかったらこの電器屋は潰れてる説もあるみたい！
ありす,経営層は恥ずかしくないんですか！
フレデリカ,ようやく、オーディオビジュアルのフロアに着いたね！
ありす,本当にろくな商品がないんですね。感心しますよ
フレデリカ,えへへ……
ありす,一切褒めてないですから
フレデリカ,あ！イヤホンの前に、このテレビだけ説明させて！
ありす,なんなんですか……
フレデリカ,名付けて菜々ちゃんが自爆しそうな話題の時だけ音量が２倍になるテレビ！
ありす,やめてあげてください！！！
フレデリカ,今回は以上だよー！
ありす,まったくもう……、イヤホンの交換がようやくできますよ……
フレデリカ,！。ありすちゃん！ちょっと保証書見せて？
ありす,へ……？は、はい
フレデリカ,はっくしょん！！！！
ありす,あああ！！！！な、なにしてるんですか！！！いくらフレデリカさんでもやっていいことと悪いことがありますよ！！！
フレデリカ,店員さーん！あれ、お願いしまーす！
ありす,ちょっと！聞いてるんですか！？
フレデリカ,あー、確かにホントは来週だけど……。ま、フレちゃん権限で前倒ししちゃって♪。ありがとー♪はい、代金ねー
ありす,……？
フレデリカ,ありすちゃんが壊しちゃったイヤホンなんだけど、実は来週に新モデルを発売するんだ！
ありす,そ、そうだったんですか
フレデリカ,もちろんフレちゃんデザインでねっ！これ！
ありす,……！前回と違って、黒を基調にしたカッコいいデザイン……！
フレデリカ,いいでしょ～！
ありす,ま、まあ悪くないんじゃないですか？じゃあ、来週また買いにこなくちゃですね
フレデリカ,ありすちゃん
ありす,……？
フレデリカ,はいっ！これ、プレゼント！
ありす,……え？
フレデリカ,いつもありがとうね！
ありす,え……で、でも、お金……
フレデリカ,プレゼントに代金なんていりませーん！もともと前回のやつもプレゼントするつもりだったもん！ようやく叶った！
ありす,……
フレデリカ,その代わり、大事にしてねー？
ありす,ずるいですよ……、こういう時だけ……
フレデリカ,はいはい！受け取って受け取ってー！
ありす,はい……！ありがとうございます……！
フレデリカ,うんうん！こっちこそ！。さて！ご飯を食べに行こー♪
ありす,そういえば、レストラン街もリニューアルしたんですか？
フレデリカ,うん！天ぷら専門店“揚げぽよ～”と賭けに勝てれば代金無料！“兵藤食堂”どっちがいいかな？
ありす,選択肢！！！
