黒井社長,以下、黒井
北斗,俺は春香ちゃんの手作りなら何でもいいかな☆
黒井,私はレアチーズなどが……
Ｐ,皆バラバラだなぁ……
春香,……あの、プロデューサーさんは何ケーキが良いですか？
Ｐ,俺？そうだな……
春香,…………
Ｐ,……うん、王道のショートケーキかな
春香,ショートケーキですか？
Ｐ,うん、今丁度イチゴが旬だし美味しいかなあって
春香,なるほど……それじゃあ、ショートケーキにします！
黒井,それでは、必要なのはイチゴや生クリームか。よろしい、手配しておこう。……それで、だ
Ｐ,？
黒井,プロデューサー、貴様には冬馬の付き添いを頼みたいのだ
Ｐ,俺に、ですか？
黒井,納得いってない振り付け、とやらが完成しないなら来ないかもしれんからな
P,そこまでですか……
黒井,……本来、こんな事は頼むべきではないのだがな
P,分かりました、引き受けます
黒井,……あっさり引き受けたな？
P,困った時はお互い様ですから
黒井,……ふん、相変わらず甘い男だ
春香,それでは、また明日！ですね！
黒井,ウィ、明日の昼にまた会おう。…………
春香,い、いっぱい集まっちゃいました……
黒井,貴様ら、仕事はないのか……
菊地真,以下、真
我那覇響,以下、響
高木社長,以下、社長
社長,元々、今日は仕事を少なくしておいたのだよ
真,女の子の日、ですもんね！
社長,うむ！趣旨は違えど、お祝いごとに変わりはない！。ここは盛大に、皆で彼の為に盛り上がろうではないか！
春香,はい、任せて下さい社長！
黒井,……なんで貴様がここにいるのだ高木ィ！
社長,事務所にいても暇なのだよ……
黒井,事務業務はどうしたというのだ！
社長,律子君が来たがらなくてな……彼女と音無君がやってくれている筈だ
黒井,き、貴様ぁ……少しは自分の仕事をしたらどうだ！
社長,ぐぅ……わ、私だってティンと来た子をスカウトして
黒井,他にはないのか、他にはァ！
翔太,黒ちゃん、いつにもまして熱くなってるね
北斗,昔の因縁って奴じゃないか？
冬馬,……くそっ、またダメか。後もう少しだと思うんだけどな……なんでこんなステップも踏めないんだ。こんなんじゃ、アイツらに勝てねえってのによ……。あれ、もう時間か？
Ｐ,よっ、冬馬
冬馬,あん？765のプロデューサーじゃねえか。こんなとこまで来るなんて珍しいな、何か用か？
Ｐ,ああ、黒井社長に頼まれてな
冬馬,おっさんに？。そういや、誰か寄越すって言ってたな……
P,自主レッスンしてるんだろ？俺にも見せてくれないか。もしかしたら、何か力になれるかもしれないし
冬馬,……アンタ、765プロの人間だろ？。俺の手助けなんてしてて良いのか？
P,ああ、事情があってな。なんとしても、パーティーまで連れてこないといけないからな
冬馬,事情？。俺のレッスンを見なきゃいけない事情なんてあるか？。……ま、まさか！
P,どうかしたのか、冬馬？
冬馬,い、いや！なんでもないぜ！？。そうか！おっさん、俺たちにプロデューサーを……。そういう事なら仕方ねぇな……。よろしく頼むぜ、プロデューサー！
P,ああ、任せとけ！。……それで、どの部分でつまずいてたんだ？
冬馬,それじゃ、よく見とけよ……。はぁはぁ……やっぱり、できねぇ
P,…………
冬馬,悪い、もう一度……
P,なぁ冬馬、そこのステップゆっくりやれるか？
冬馬,？あぁ、やれるけど
P,それじゃ、一旦遅いテンポでやってくれるか？
冬馬,わ、分かった……こうか？
P,そうだ……そこから少しずつ元のテンポに戻してみてくれ
冬馬,お、おう……分かった。……あん？
P,なんだ、上手くいったじゃないか
冬馬,ちょ、ちょっと待て！今、なんで出来たんだ？
P,単純にテンポが合ってなかったんだよ、無駄な動作が一拍多かったんだ
冬馬,そ、そんな初歩的な……
P,翔太とかに相談すればすぐ分かったんじゃないか？
冬馬,……そうだな、意地張り過ぎてたかもしんねぇ。サンキュー、プロデューサー！
P,ああ、このくらいならお安い御用だよ
冬馬,……あのさ、もうちょっと付き合ってもらいたいんだけど良いか？
P,他にもまだ気になるところがあるのか？
冬馬,いんや、あと詰まってる所はねえんだけどさ。折角だ、ここで全部完璧にしておきたい
P,まだ、言われた時間より早いか……。分かった、トコトンやるか！
冬馬,マジか！悪いな、プロデューサー！。おっさんから休日出勤分、給料ちゃんと貰ってくれよな！
P,？ああ……。これ、給料出るのかなぁ？
黒井,……ともかくだ。協力に感謝する。では、早速用意に取り掛かろうではないか。そうだな……買い出しとケーキ作り、それに飾りつけに分かれてもらおうか
双海亜美,以下、亜美
双海真美,以下、真美
黒井,おっちゃんではない！黒井社長と呼べ！
真美,じゃあ黒ちゃん！
黒井,黒ちゃ……！。ぐぅ、この屈辱忘れんからなァ……
亜美,それで黒ちゃ→ん、いくらまでなのさ→
黒井,いくらでも良い、大体そんな物をケチる馬鹿などいる訳ないだろう
亜美,え→？でも、社長は500円までって言ってたよね→？
黒井,……クク、そうか
真美,シャチョさん……ど→なんだ→い？
黒井,私はケチな高木とは違う！食べられるだけ、好きなものを買ってこい！
亜美,お金は？
黒井,勿論、金は全て私が出す！
真美,やった→！
亜美,太っ腹だＮＥ、黒ちゃん！
真美,これはウチの社長を本格的に見限るべきではないかね、亜美隊員や
亜美,待遇の差、という奴ですな真美隊員
社長,亜美君、真美君……
黒井,フフ、765プロにも分かるアイドルがいるではないか……
翔太,黒ちゃん、ここ最近で一番笑ってるよ……
北斗,黒井社長、お酒とかはどうしますか？
黒井,冬馬が主役だ、酒は後まで取っておくとしよう
北斗,後？他の所に飲みにでも行くんですか？
黒井,ああ、私の行きつけの店で一杯やろうではないか
北斗,そうだ！それなら、ご一緒にどうです？
三浦あずさ,以下、あずさ
北斗,勿論！華やかな女性が増えるのは大歓迎ですよ
社長,それじゃ、私も一緒に……
黒井,なぁんで貴様と一緒に飲まねばならんのだ！
社長,良いじゃないか、こういう時くらい
黒井,良い訳がないだろうが！
北斗,まぁまぁ、黒井社長。祝いの席ですから
黒井,ぐぬぅ……！
春香,それじゃ、私達はケーキ作りを始めちゃおうか！。いっぱい集まったし、沢山焼かないとね！
如月千早,以下、千早
千早,あまりこういう経験はした事がないから……
春香,大丈夫！スポンジとかは私がやるから！。千早ちゃんは、生クリームを泡立ててもらっても良い？
千早,な、生クリームね……分かったわ。でも春香、生クリームって泡立てにくいんじゃなかったかしら？
春香,そんな事ないと思うけどなぁ……。あっ、これ使ってみたらどうかな？
千早,これは……
春香,ハンドミキサー！これなら、手が疲れなくて済むと思うし！
千早,黒井社長、調理室にこんなのも置いてるのね……。分かったわ、頑張ってみる
春香,混ぜすぎたらダメだから気を付けてね？
千早,ええっ！？ど、どれくらいまで泡立てればいいの？
春香,ふふ、大丈夫！私がついてるから！
千早,お、お願いね……？
高槻やよい,以下、やよい
北斗,大丈夫かい？俺がやろうか？
やよい,あっ、北斗さん！お手伝いしてくれるんですかー？
北斗,ああ、高い所に貼るなら任せてよ☆
やよい,助かりました！ありがとうございますーっ！
北斗,それじゃ、やよいちゃんは飾りを持ってきてもらえるかな？
やよい,はい、急いで持ってきます！
響,ま、負けてられないぞ……貴音、お願い！
四条貴音,以下、貴音
星井美希,以下、美希
翔太,この机、重いなぁ……ねぇ、黒ちゃん手伝ってよー！
黒井,仕方ないな……
社長,では、私も手伝おうか
黒井,…………
翔太,ねえ、黒ちゃんってば！
黒井,ぐぅ……！何故、高木と力を合わせねばならんのだ……
真美,大将！戦利品、持って帰って来やしたＺＥ！
亜美,クラッカーであまとうをソゲキする用意はバッチリだＮＥ！
水瀬伊織,以下、伊織
黒井,……やけにオレンジジュースが多いような気がするのだが
伊織,う、うっさいわね！たまたまよ！
社長,食べ物の手配はどうだね？
真,ピザとかも頼んでるし、大丈夫だと思います！
萩原雪歩,以下、雪歩
黒井,すまない、流石に警報機がなってしまうのでな
雪歩,い、いえ！大丈夫ですぅ！
冬馬,―――っ
P,やったな、完璧だ！
冬馬,へへっ……楽勝、だぜ！
P,やるじゃないか冬馬、驚いたよ。てっきり全然できないのかと思ってたからさ
冬馬,そんな事はねえよ。ただ……
P,？
冬馬,……自分に甘くして、また765プロに負けたくねえからな
P,……そうか
冬馬,さて！レッスンも済んだし、おっさんの所に顔を出すとしようぜ！
黒井,来たか……入れ！
P,失礼します
冬馬,おっさん、来たぜ
黒井,すまないな冬馬、オフだというのに
冬馬,気にすんなよ、アイドルに休みなし、だぜ！
黒井,……それでは、用件を
冬馬,……わりぃ、おっさん
黒井,なに？何故謝るのだ、冬馬よ
冬馬,俺、もう分かってるんだ。おっさんの呼び出した用件
P,！？
黒井,ど、どういう事だ貴様！バレているではないか！
P,し、知りませんよ俺は！
黒井,どちらにせよ、これではサプライズが成立しないではないか……！
冬馬,…………
黒井,まぁ、バレているなら仕方ない。では、早速向かうとしようか
冬馬,向かう？向かうって何処にだよ
黒井,？会場にだが
冬馬,会場？
黒井,……よし、ここだ
冬馬,なぁ、おっさん！わざわざこんな所まで来る必要あったのか？
黒井,何を言っている、あるに決まっているだろうが
冬馬,？
P,それじゃ冬馬、その扉を開けてみてくれ
冬馬,わ、分かった……。なん――っ！？
春香,皆行くよ？せーのっ！
全員,冬馬、誕生日おめでとう！
冬馬,…………
亜美,真美、あまとう口開けたまんまだよ？
真美,んっふっふ→！ドッキリ、大成功ですな→？
翔太,いやー、派手だったね！
北斗,人数も集まってるからな、尚更さ
春香,それじゃ、冬馬君！ほら、中に入って！
冬馬,お、おい！？これはいったいどういう事だよ！？
P,？冬馬、分かってたんじゃないのか？
黒井,今日はお前の誕生日だろうが
冬馬,たんっ……そうだっけか？
翔太,あーっ！やっぱり冬馬君忘れてたんだ！
黒井,……冬馬、一体なんのことだと思っていたのだ？
冬馬,そ、そりゃあ……その
P,？
冬馬,……お、おっさん。改めて聞くんだけどさ
黒井,言ってみろ、なんだ？
冬馬,プロデューサーが、ウチに来る予定って……
P,ないぞ？
冬馬,なぁっ！？
翔太,冬馬君、プロデューサーさんが来てくれると思ってたの？
冬馬,だ、だってよ！プロデューサー、事情があるって言ってたじゃねえか！
P,そりゃ、満足いくレッスンが出来なかったら来ないだろ？
冬馬,か、勘違いかよ……
P,ご、ゴメンな？
冬馬,……良いさ！俺たちジュピターは、アンタの力なんて借りなくたってトップアイドルとして君臨して見せる！
黒井,その意気だ、冬馬！
冬馬,…………
北斗,もしかして寂しいのか、冬馬？
冬馬,んな訳ねえだろ！。……けど、今日はホントに世話になった。ありがとな、プロデューサー
P,ああ、こちらこそ良い物を見せてもらったよ
春香,はいはい！それじゃ、最初にケーキの火、消しちゃいましょう！
冬馬,ケーキ？。うわっ、デカイな！？
春香,ふっふーん、自信作なんだ！。何個か焼いたから、皆の分はあると思うよ！
冬馬,……えっ、これ天海が作ったのかよ
春香,そうだよ～？
冬馬,負けてらんねえな……俺も練習するか
真,それじゃ、蝋燭に火をつけてっと……
P,じゃ、電気消すぞー
春香,それじゃ千早ちゃん、お願いしても良い？
千早,ええ……皆、行くわよ？。……ふぅ
冬馬,お、お前ら……
北斗,感動するのは早いぞ、冬馬
翔太,早く蝋燭吹き消してよ！
冬馬,っ……分かった、行くぜ！。―――――
亜美,おっとあまとう選手、最初のゲームで決めた模様です！
真美,ん→これは素晴らしいですね！
冬馬,へへっ、当然だろ？
P,さて、電気をつけてっと……
高木,それでは諸君、後は無礼講だ！。今日は思う存分楽しんで行ってくれたまえ！
黒井,ちょっと待て、なんで貴様がしきっているのだ！
高木,まぁまぁ……そら、私達も頂こうじゃないか！
黒井,良い訳が……逃げるな高木ィ！
冬馬,お、俺も食って良いんだよな？
翔太,冬馬君！このピザ、とっても美味しいよ！
冬馬,マジか！それじゃ、俺も……。うめぇ！
北斗,……あっ、そうだ。冬馬、これ
翔太,あっ、僕からも！はい！
冬馬,なんだこれ？
翔太,誕生日プレゼントに決まってるじゃーん！
北斗,喜んでくれると嬉しいかな☆
冬馬,お、お前ら……ありがとな！
真,春香、このケーキとっても美味しいよ！
雪歩,うん、とってもお茶に合いそう！
美希,クリームも美味しいの！
春香,実はね？クリームは千早ちゃんに作ってもらったんだー♪
千早,春香？は、恥ずかしいから……
真,えっ、そうだったの？
美希,千早さん、これとっても美味しいの！自信持っても良いと思うな！
千早,あ、ありがとう美希……
貴音,真、美味ですね……このけえき
冬馬,ひ、一人で食っちまう気じゃねえだろうな……？
春香,ケーキで思い出した！冬馬君！
冬馬,おう、どうかしたか？
春香,これ！余った分で作ったの！
冬馬,これもケーキか？
春香,うん、帰ったら食べてね！
冬馬,……おう、分かった！
響,あーっ、春香ズルいぞ！。じ、自分たち何もプレゼント用意できてないのにぃ……
冬馬,い、良いっての……こんだけ祝ってもらえたんだからさ
響,でも、何かしておきたいぞ……
千早,……黒井社長、お聞きしたい事があるんですが
黒井,む、どうした？
千早,この部屋にカラオケの機材はありますか？
黒井,む、カラオケか……ちょっと待っていろ
真,あるんだ……
黒井,元々、この部屋は多目的に使えるようにしてあるのでな
やよい,千早さん、なんでカラオケなんですかー？
千早,そ、それは……私たちはアイドルだから、かしら。やっぱり、プレゼントは歌かなって思ったの
P,千早らしいな……よし、それでいこう！
秋月律子,以下、律子
音無小鳥,以下、小鳥
社長,律子君、音無君！二人とも、来てくれたんだね？
小鳥,はい！お仕事も終わったので！
伊織,なーんだ。律子、結局来たのね？
律子,……まぁ、折角の誕生日だしね。天ヶ瀬、ちょっといいかしら？
冬馬,お、おう……なんだ？
律子,はいこれ、一応プレゼントね
冬馬,わ、悪いな……ペンか？
律子,万年筆よ、これなら何本あっても使えるでしょ？
冬馬,……サンキュー、ありがたく使わせてもらうぜ
黒井,よし、見つけたぞ！用意するから待っていろ
P,あっ、俺手伝いますよ！
春香,よーっし、それじゃぁ……。765プロー、ファイトーっ！！
765,オーッ！
冬馬,……なぁ、北斗、翔太
翔太,どうしたの、冬馬君？真剣な顔しちゃってさ
冬馬,俺たち……ここで、負けてられないよな？
翔太,えーっ、素直に聞くんじゃダメなのー？
冬馬,んな事言ってられねえだろ！俺たちが王者ってところ、ここで見せつけてやろうぜ！
北斗,まったく、相変わらず熱いな冬馬は。……でも、俺も賛成だ
翔太,うーん、それじゃ僕も！負けたくないもんね！
冬馬,二人とも……。……お前ら、悪かったな
北斗,どうしたんだ、改まって
冬馬,今日さ、プロデューサーに相談してればすぐ出来てたって言われちまってさ。俺、もうちょっと頼った方が良かったと思ってさ
北斗,……気付けたなら良かったじゃないか
翔太,もう、一人で考えるの禁止だからね！
冬馬,はは……分かったよ
P,よし、用意できたぞ！誰から歌う？
響,ふっふーん、勿論自分が――
冬馬,いいや！ここは、俺達から歌わせてもらうぜ！
P,冬馬？良いのか、誕生日なのに？
冬馬,誕生日だからこそ、だぜ！
翔太,ここでイイトコ見せないとね！
北斗,観客にはたくさんのエンジェルちゃんがいるんだ、楽しませないとね☆
黒井,お、お前たち……
冬馬,……おっさん！
黒井,よし、行ってこい！765プロとは違う、圧倒的な王者の力を見せつけてくるのだ！
冬馬,ああ！楽勝、だぜっ！。……ふぅ。誕生日って、こんな楽しいもんだったんだな……忘れてたぜ。……俺も、今度765プロの誰かの誕生日でも祝いに行ってやるか。さて！それじゃ、天海のケーキでも頂くとするか！。……このケーキ、しょっぺえな
