依田芳乃,つまりー、ツクヨミがウケモチに会いに行った際にー、ウケモチが口から食料を出し接待したのが、この度の異常気象の始まりでしてー
芳乃,こちら、馬肉など扱っておりませぬでしょうかー？
千鶴,馬？さくら肉ならそちらの下の方にございますよ
瑞希,やっほ
千鶴,あぁ、瑞希ちゃ……。あわあわあわあわ……
瑞希,おっと失礼。真壁は何も見ていません。コロッケが美味しいお肉屋さんとしか知りませんので
藍子,じゃあ、聖ちゃんに買っていきますね
芳乃,私もー
千早,……
千鶴,……。アノー、オキャクサマー？
千早,……私もコロッケを一枚お願いします
千鶴,マ、マイドアリー
芳乃,蚕はまゆ殿から入手しましたしー
藍子,え゛っ？まゆちゃんってそんなのを……
芳乃,麦、大豆、小豆は事務所のストックから持ってまいりましたー
千早,お米ならともかく、麦に大豆に小豆がストックしてある事務所って……
瑞希,千早さん、千早さん、多分いつも静香ちゃんがお世話に……
千早,あぁ、あのうどん娘ね。そういえば今日、346にお邪魔するって
智絵里,あずきおふと……おいしかったです
芳乃,やせうまも美味でしてー
千早,痩せ馬？何……それは？
凛世,たしか、うどんを使った郷土菓子でしたか？小豆ときなこを使ってあるとか
智絵里,凛世ちゃんすごい……私なんか、出されるまでわからなかったんだよ
凛世,むんっ
智絵里,わぁ、凛世ちゃん、ドヤ顔が幸子ちゃんみたいでカワイイよ
芳乃,でもー、粟や稗等はー
凛世,それなら、この凛世に心当たりがございます
櫻木真乃,そーれ、鳩さーん、ごはんだよー
まのちゃん,むんっ！
風野灯織,真乃の回りがあっという間に鳩だらけね
八宮めぐる,まのちゃん可愛いなぁ……持って帰ったら
灯織,ダメよ……あれ？あそこにいるのは……
めぐる,凛世？
凛世,というわけなのです
真乃,いいよ。鳩さんのエサに粟とか稗とか混ざってるから、持って行って
灯織,でも市販品のエサだから、麻の実とかも混ざってるでしょ
めぐる,どうするのよ？
芳乃,私におまかせをー
智絵里,……ユッコちゃんじゃないですから
めぐる,あ、でもすごい
灯織,ちゃんと別れてる
瑞希,真壁も真似して
千早,やめときなさい
藍子,あははっ、鳩さん、こっちですよー
まのちゃん,ほわぁ
千早,あっちはあっちで、ゆるふわタイム真っ最中ね
真乃,でもすごいです！鳩がゆっくり飛んでます！
めぐる,まさか…！？
灯織,嘘……
芳乃,いけません、藍子殿ー、時間子干渉は条例違反でしてー。これで供え物は揃いましてー
千早,で、伊勢神宮までどうやって？
智絵里,あ、あそこは外までならワープできますが、内宮からは視認不可の絶対防壁がありますから……その途中からはどうしても徒歩で
千早,……なんで知ってるのかしら？
智絵里,子どもの頃に、防壁が突破できないか試してみて、侵入したんですけど……
瑞希,可愛いです
凛世,子どものいたずらなら仕方がありませんね
芳乃,わんぱくでもいい、たくましく育ってほしいのですー
智絵里,あ、ちゃんと証拠は残さないようにしたはずなのに、何故かその日のうちにバレちゃって……
芳乃,緒方の家の者ぐらいしかー
千早,ねぇ、普通の人間って私だけ？
藍子,あはは……ごめんなさい。私もあっち側なんです
千早,ところで、神様のお供え物が鳥のエサ……
芳乃,それでは出発でしてー
真乃,気をつけてくださいね
凛世,プロデューサー様と添い遂げるまでは、七生報国。何度でも蘇ります
千早,あの……
智絵里,それでは近くによってくださいね
藍子,はーい
瑞希,鳩のエサ。これが後で問題を……
千早,不吉なモノローグを入れないで！！
めぐる,消えちゃったね……
灯織,うん……あれ？真乃、まのちゃんは？
真乃,え？私？私ならここにいるけど？！
めぐる,真乃じゃなくて、真乃のぷちよ！
真乃,あ……本当だ。いないよぉ
灯織,まさか……
智絵里,と、到着しましたぁ
芳乃,ほー、人がいっぱいでしてー
千早,えっと、ここって
瑞希,おかげ横丁ですね
藍子,……私達、変装も何もしてませんよ
まのちゃん,むんっ！
智絵里,見つかっちゃいましたね……私が引き受けますので、皆さんは内宮を目指してください
まのちゃん,ほわわっ
芳乃,……申し訳ありませんー
瑞希,では御武運を……
千早,走るわよ！
藍子,はーい、皆さん並んでくださいね。順番ですよ
三人,ちょっとマテ
芳乃,いよいよでしてー
千早,……さっきまであんなに暑かったのに、急に寒くなってきたわね
瑞希,お肉が痛みませんからちょうどよろしいかと
藍子,あははは……凛世ちゃんは大丈夫？
凛世,はい、いよいよプロデューサー様と結ばれるかと思うと胸がドキドキしてきました
藍子,まってちがう
千早,ん？何か言った？
瑞希,いえ……でも
凛世,複数の視線を感じますね
藍子,というより辺りに誰もいなくなりました……
芳乃,……ここはおまかせを
千早,わかったわ
瑞希,また……お会いしましょう
凛世,プロデューサー様との晴れ姿を必ずお見せいたします
藍子,芳乃ちゃん……
芳乃,ここは……お任せを
藍子,っ！
芳乃,行ってください！早く！！
藍子,う、うんっ！
芳乃,さて……100や200ではー。よろしくお願いしますー
千早,ここまで来れば……っ！？
瑞希,どうかされましたか？
凛世,鳥居はありますが……少なくとも、ここは現在の伊勢神宮ではありませんね
藍子,私たち、林の中にいたのにいつのまにこんな島に……
千早,島……いやな予感が
藍子,ふ、ふぇ？
瑞希,何か……来ます！
凛世,かなりの重量ですね
千早,くっ
凛世,何ですか……あの黒い生き物は……
藍子,あれ……あれは
千早、瑞希,スペパププさん！
凛世、藍子,はい？
千早,この島はアマテラスだけでなく、ツクヨミにスサノオも祭ってあったのね……だから下手なダンジョンよりトラップばかりだったと
瑞希,そして、巨大はるかさん像はアマノウズメを催したモノでしたか……
藍子,でもアマノウズメって……そ、その、えっちな恰好でみんなを
瑞希,……天海春香さんはあれでもB83です。我々より……
千早,……くっ
藍子,止めようこの話題は
千早,ここ……？
瑞希,いよいよラスボスですか
凛世,待ってて下さいね、プロデューサー様
藍子,えっとお供えはここに？
スペパププ,ぶもー
千早,えっ？何？
瑞希,地震ではありませんね……
凛世,……たとえ神々でもこの凛世、うろたえません
藍子,あ、向こう！誰かいます！
？,。
千早,男の人？
凛世,ツクヨミはどちらの性の説もありましたから
瑞希,では男の娘か、おっぱいがついたイケメンということで
藍子,まってちがう。あ……あの
ツクヨミ,お、ようやく来たか
スサノオ,待ってたぜ
瑞希,えらい軽いですね
千早,まぁここまで来たらなるようになるしかないわよ
ツクヨミ,ちょっと相談したいことがあってな
スサノオ,大丈夫。先っちょだけだよ。先っちょ
瑞希,前言撤回。ただのDQNです
凛世,頭を殴るのに手頃な岩がありますね
ツクヨミ,待った、待った。冗談、冗談だって
凛世,ほほぅ、上段の構えで振り下ろせばいいのですね
ツクヨミ、スサノオ,ごめんなさい
スサノオ,……てなワケで毎回、島をはるかさん達がわいわいやってるから、俺達もオチオチ寝られないんだわ
ツクヨミ,姉さん、ついにキレちまってずっと遊びっぱなしなんだわな
千早,ひゅーひゅーひゅ、ひゅひゅひゅひゅ
瑞希,わぁお上手棒
凛世,なるほど、原因はわかりました。つまり永眠したいと
藍子,凛世ちゃん！
ツクヨミ,お、噂をすれば
アマテラス,お、お客さんか？
瑞希,こちらもやたらフレンドリーです
スサノオ,姉貴、この皆さんがいわえる現在のウズメ達だな
アマテラス,そうか。その割には……
藍子,B74
凛世,B70
藍子,ゆるふわ空間を発動させますので、意識のみ永遠に閉じ込めますか
アマテラス,待った待った。うん、腹を割って話し合おう。それがいい
千早,一応、神様……よね
ツクヨミ,永い時を生きてきたからな。天候を操るぐらいしかできなくなっちまったんだ。これがな
瑞希,で、まっ平らな壁な真壁達は何をしろと？
アマテラス,刺があるなぁ……まぁつまり、子守歌的なものを歌ってほしくてな
ツクヨミ,もしくはもっと平穏な場所を
スサノオ,そりゃ無理だな。スペパププのヤツ、すっかり守護の役割を忘れてるからな
千早,なるほど
瑞希,しかし、真壁達はランティスですが、藍子さんはコロムビアですから曲の権利関係で
アマテラス,何もそこまでしなくてもよい。普通の子守唄でよいのじゃよ
瑞希,そういうことでしたか。はやとちり申し訳ありません
四人,でしたら……
ツクヨミ,あぁ……
スサノオ,これでやっと……
アマテラス,ありがとう……
はるかさん,かっか！
芳乃,くっ！
はるかさん,かっか！
芳乃,多勢に無勢……もはやここまで……。この声は……
智絵里,我は無敵なり
はるかさん,かっかぁ……
芳乃,智絵里殿……
智絵里,芳乃ちゃん大丈夫？
まのちゃん,ほわぁ……
芳乃,平気でして……っ！
智絵里,うん、肩を貸すよ
芳乃,かたじけなきやー
智絵里,みんなは……？
まのちゃん,むんっ！むんっ！！
智絵里,みんな……
芳乃,よくぞ……ご無事で……。無事に……終わったのでしてー？
千早,まぁね……
瑞希,神様も寝不足でした
凛世,これで少しは……
藍子,あっ、千枝ちゃんからお供えにお団子を貰って来てたんだった……すっかり忘れてました
智絵里,なら、みんなでわけましょうか
藍子,そうですね
瑞希,どうかしましたか？
藍子,その……容器だけなんですよ
芳乃,……くすっ
七草はづき,それでは、皆様お手元にグラスはお持ちでしょうか
夏葉,かんぱーい！
一同,かんぱーい
三峰結華,いやぁ、回り一面アイドルばかりで、三峰はテンションが上がってきました！
松田亜利沙,本当です！ありさ感激です
周防桃子,はぁ……また亜利沙さんは
育,ま、今日ぐらいはいいかな
佐々木千枝,そうだったんですか。でもよかったです
智絵里,うん。古代日本は普通に肉食文化していましたって、夏休みの歴史の宿題もできたしね
千枝,智絵里さん……？
智絵里,あははは
春日未来,宿題……
伊吹翼,宿題……
望月杏奈,うぅ……
静香,ちょっとお！もう残り二週間よ！！
大崎甜花,宿題……
大崎甘奈,甜花ちゃんの宿題はやってあげるよ！
甜花,なーちゃん……大丈夫、頑張るから
桑山千雪,あらあら、甜花ちゃんも一人で頑張れるようになったのね
甜花,うん……なーちゃんにいつまでも甘えられないし
甘奈,私なら全然いいのに!
千鶴,
瑞希,
千鶴,
瑞希,
千鶴,
天海春香,んー？何をやってるのかな？
千早,まぁ、春香には間に入れない絆が出来たんでしょ
春香,そっかー、そうだよね。じゃあ、私何か飲物m
千早,……あなたもいい加減に直しなさいよ、それ
せりちょ,わー
まのちゃん,ぽわぁ
ぴてぃ,ぴー
みら,みー
りぜ,さまー
めぐぅ,わー
ぷちみずき,よっ
もこもこ,もっ？
ゆこー,ふぇぇ
島村卯月,わぁぁぁぁ
渋谷凛,卯月、間違っても持って帰っちゃダメだからね
卯月,……そんなことしませんよ
本田未央,しまむー、目がやや本気だね
千枝,でも
智絵里,みんな無事で
芳乃,よきかなよきかなー
もちょ,おわりだよー
これを小さくダンゴに丸めて別々に茹でて、水に入れて冷やし、黄粉、青海苔、胡麻を砂糖で味付け,ちょっぴり塩も
