モバＰ,以降Ｐ表記？次は必ず…見てなさい
Ｐ,そこのクリームチーズつけても最高ですよ
ちひろ,沢庵にチーズって中々珍しいですね。あ、でも燻製してるから同じ発酵食品って事になるんですか。……うまっ！
Ｐ,刻んだいぷりがっこをクリームチーズに混ぜ込んでクラッカーやバケットに乗せたりすると、もはや凶器ですよ凶器
ちひろ,うわぁ、それは確かに美味しそう…。あ、アヒージョ用のバケットありますし注文します？
Ｐ,止めはしませんけど確実に太りますよ？
ちひろ,美味しいから大丈夫ですよ！
Ｐ,はいはい。注文するならついでにフライドポテトと一口餃子もお願いしますね
ちひろ,そろそろガッツリいきます？じゃあ私も唐揚げとアジフライを…
Ｐ,揚げ物ゾーン突入ですな。やっぱアジフライはこう、ソースをドバドバといくのが正義ですよね
ちひろ,私はシンプルに醤油でいくのが好きですけどねぇ
Ｐ,あむっ…うん、ソースたっぷりで美味い
ちひろ,餃子分けますね。そこの小皿取ってください
Ｐ,あいよ
ちひろ,こういう居酒屋で出てくるようなミニサイズの餃子って結構好きなんですよね。はふふっ
Ｐ,わかります。逆に時々無性に本格派食べたくなって中華街行ったりしますけど。超熱い！
ちひろ,猫舌
Ｐ,うおぉ熱ぃ…でも美味い
ちひろ,プロデューサーさんとこうしてサシ飲みするのも久しぶりですね。いつ以来でしたっけ
Ｐ,さぁ？ちょくちょく飲みにいってるじゃないですか
ちひろ,高確率で楓さんがトコトコ付いてきますけどね
Ｐ,しょっちゅう飲み会やってるクセに介抱係がいるからって毎回酔い潰れるのは勘弁してほしいんですが
ちひろ,それ多分アンタが一緒だからはしゃいでるんですよ
Ｐ,おっと、コーラが無くなっちまった
ちひろ,私もおかわり欲しいところです。すいませーん。追加お願いしまーす。プロデューサーさんはどうせまたコーラでしょう？
Ｐ,失礼な。人をまるで子供舌のように。コークハイでお願いしまーす
ちひろ,あんまり変わりませんよ。…ぷはぁっ
Ｐ,ちひろさんも結構飲む方ですよね
ちひろ,日頃ストレス溜め込んでますからねぇ、そりゃあもう
Ｐ,おやおや
ちひろ,同僚は全然優しくないですし。遊んでばっかですし。アイドルとすぐイチャつくし
Ｐ,ハハッ、酷いヤツもいたもんですね
ちひろ,おーい、こっち見て言ってみろー
Ｐ,あー…、たまにアルコール摂取するとキますねぇ
ちひろ,炙り明太子頼んだら食べます？
Ｐ,いいですねぇ。厚焼き玉子もお願いします
ちひろ,はいはい。…もうすぐ夏も終わりですね
Ｐ,まだまだしばらくは暑い日が続くでしょうけどね
ちひろ,今年の夏も賑やかでしたよね。夏祭りやったりスイカ割り合戦やったり
Ｐ,うちの事務所は１年中賑やかな気がしますけど
ちひろ,色々やりましたよねぇ…特にアレ酷かったですね、アレ
Ｐ,アレ？すんません心当たりがありすぎて
ちひろ,アレですよほら。３４６プロ怒らせたら一番怖いアイドル決定戦
Ｐ,あぁ…危うく事務所どころか日本が４６都道府県になりかけたあの事件ですか。そもそも怒らせ方が雑なんですよ。ライラからアイス取り上げたり法子からドーナツ奪ったり智香のポニテほどいたり…
ちひろ,ライラちゃん法子ちゃんは凄まじかったですよね…智香ちゃんは無理矢理洋服を着せられた猫みたいになっちゃっただけですけど
Ｐ,まゆやのあさんみたいに怒る前にベソかいちゃうタイプも多かったですよね。あの後アイドル達のフォローにどれだけ俺が走り回ったことか…
ちひろ,涙目で必死に堪える木場さんとか永久保存モノでしたもんね
Ｐ,だから俺がどれだけあの後苦労したと…
ちひろ,流しそうめん大会も楽しかったですよね。歌鈴ちゃんとくるみちゃんまで流れてきたときは腹抱えて笑いましたけど
Ｐ,酷ぇなアンタ
ちひろ,私の隣で爆笑してたのはどこの誰ですか
Ｐ,打ち上げで披露した泰葉ほたる乃々の毒茸伝説も酷かったですよね。良い意味で
ちひろ,やらせたのアンタでしょうが
Ｐ,見たかったんだから仕方ないでしょう！
ちひろ,酷いなアンタ
Ｐ,おっ、この厚焼き玉子チーズ入りですね
ちひろ,いいなぁ。一口くださいよ
Ｐ,いや普通に半分こしますよ。ほら
ちひろ,あむあむ…うん、こってりしたチーズが出汁の効いた玉子と相性抜群ですね
Ｐ,そっちの明太子もくださいよ。俺まだ食べてないのに残り１切れじゃないですか
ちひろ,これはこれは失礼しました。はい、あーん
Ｐ,そっちの明太子もくださいよ。俺まだ食べてないのに
ちひろ,時を戻さないでください。まったくもー。シャレの分からない人ですねぇ
Ｐ,すいません。あまりに気色が悪かったので
ちひろ,アァン？
Ｐ,ヒィッ
ちひろ,毎度思うんですけど、そこそこ大人の男女が２人きりで飲みにきてこの色気の無さはどうなんでしょう？
Ｐ,だってちひろさん相手ですしねぇ…
ちひろ,ふーんだ。アイドルの娘相手だったらもうちょっと違うんでしょうねー
Ｐ,さぁ、それはどうでしょうね
ちひろ,明太子最後の１切れ食べてやる
Ｐ,ちょっ、返せ悪魔！
ちひろ,フゴフゴフゴ！。私だってもうお年頃なんですよ？なのにうちの事務所は浮いた話の一つも無いし…
Ｐ,アイドル事務所で浮いた話がポンポンあったら困るでしょうが。つか大分酔ってきましたね
ちひろ,酔ってません！
Ｐ,酔っ払いに自覚症状がある訳ないでしょ
ちひろ,Ｐさんも全然そういう、色気のある話無いですよねぇ…
Ｐ,ハハッ、出会いがないので
ちひろ,アンタ毎日アイドルの巣窟で働いてるだろ
Ｐ,自分のところの商品に手をつける社会人がいますか
ちひろ,…ロリコン？
Ｐ,どちらかと言えばお姉さん系の方が好みです
ちひろ,……ホ
Ｐ,それ以上言ったらタダじゃすまさねぇ。いいんですよ俺はそういうのは。しいて言うなら仕事が恋人です
ちひろ,ハッ！
Ｐ,時子ばりの嘲笑！
ちひろ,はいはい、そういう上っ面の奇麗事はいりませんから
Ｐ,アンタ相当酔ってんな
ちひろ,酔ってませんってばー
Ｐ,しっかり座ってください。見たくないものが見えそうです
ちひろ,ァ？
Ｐ,誰が目ぇ座らせろっつった
ちひろ,あれだけ可愛い娘たちに慕われて、何をスカしてるんですかこの社畜は
Ｐ,枝豆の皮で叩かないでください。地味に痛い
ちひろ,アレですか？巷で流行りの草食系ってやつですか？
Ｐ,毒のある肉は食べないってだけですわ。ってか、人の事言う前に自分が彼氏作ればいいじゃないですか
ちひろ,出会いがありません
Ｐ,真顔でんな事言われてもリアクションに困る
ちひろ,ほとんど1日中デスクワークですし。たまに外に出てもお使い程度ですし。身近な同僚は性根と目付きが腐敗した闇男だし。アイドルは個性的すぎるし
Ｐ,出会いなんて作ろうと思えばいくらでも作れるでしょうが。ほら、最近は婚活パーティーとかもありますし
ちひろ,お付き合いするにしても最低限収入がまず…
Ｐ,そんなんだからお金が恋人とか言われるんですよ
ちひろ,何ですかそれ！失礼なっ！
Ｐ,自覚無いんですか！
ちひろ,お金は大事じゃないですかっ！
Ｐ,お金じゃ買えないものだってあるでしょうが！
ちひろ,そんなモンありませんよ！
Ｐ,言い切りやがったよ。ある意味漢らしいわ。あー、ほらほら。俺らで恋話しても不毛すぎますし話題変えましょうや
ちひろ,う゛～……
Ｐ,……
ちひろ,……
Ｐ,…エグゼイド最終回について語りますか？
ちひろ,特撮スレでやってください。すいませーん。ビールおかわりぃ～
Ｐ,明日絶対二日酔いになる飲み方ですね
ちひろ,美味しいから大丈夫ですよ…ヒクッ
Ｐ,まぁ、別に翌日困るのは俺じゃないからいいですけど
ちひろ,プロデューサーさんももっと飲みましょうよぉ
Ｐ,俺までベロベロになったら誰がこの泥酔カネゴンの処理するんですか
ちひろ,ヒック…それじゃあ楓さんでも呼びましょうか…
Ｐ,収拾つかなくなるからヤメロォ！。ったく…飲みますよ飲めばいいんでしょ？１杯だけですからね
ちひろ,そーれっイッキ！イッキ！
Ｐ,しませんてば
ちひろ,不死鳥座の？
Ｐ,一輝、てやかましいわ。素直に１杯だけ付き合ってとっとと店出よ…。かっ！…凄ぇクるんですけど、何頼んですかコレ
ちひろ,スピリタス
Ｐ,おまっ
ちひろ,良い歳ぶっこいた社会人なんですから、ちょっとはお酒鍛えないと駄目ですよ？
Ｐ,スパルタすぎません？獅子だって我が子を黒部峡谷に突き落としたりしないと思うんですけど。くはぁ、クラクラしてきた…
ちひろ,スタドリ飲みます？１本４００モバコインでいいですよ
Ｐ,アルコールと同時接種するとまたライダー怪人の名前しか言えなくなったりするから遠慮しときます
ちひろ,大丈夫ですかぁ？顔真っ赤ですよ？
Ｐ,やめて揺らさないで口から出てはいけないものが出てきそう
ちひろ,ゲェ、きたなっ
Ｐ,貴様、誰のせいだと………あれ、千川が４人いる…地獄だ
ちひろ,相変わらずお酒弱いですよねぇ。すいませーん。お水くださーい。普段の仕返しのつもりでしたけど、ちよっとやりすぎちゃいましたかね？
Ｐ,だから揺らさないで食べたばかりの厚焼き玉子がスクランブルエッグになって出てきそう
ちひろ,やめてください想像しちゃうじゃないですか
Ｐ,うぇっ……ここまで酔ったのは楓さんの誕生日祝い以来ですわ
ちひろ,旅行から帰ってきた飼い主と再会したポメラニアンばりにはしゃぐ楓さんと一晩中飲んでたんですよね…ご苦労様でした
Ｐ,ちなみに翌日は肇の誕生日でしたからね…サラダの海老貰いますね
ちひろ,これだけ所属アイドルが多いと誕生日祝いだけでも一苦労ですね。ついこの間も乃々ちゃんの誕生日でしたし
Ｐ,森久保専用デスクを上げたんですけど何故か全然喜ばなくて。隠れ放題で喜ぶかなぁ、と思ったんですが
ちひろ,今じゃ年少組の勉強机にされちゃってますもんね
Ｐ,年頃の女の子の気持ちはよく分からなねーでごぜーますよ…
ちひろ,分からないフリしてるだけに見えますけど
Ｐ,え、なんだって？
ちひろ,殴りたい、この社畜
Ｐ,え、なんだって？
ちひろ,コイツ、直接脳内に…！。そろそろラストオーダーですって。シメに何か頼みます？
Ｐ,ワサビ多めのお茶漬けとジャンボフルーツパフェを…
ちひろ,じゃあ私はミニラーメンと白玉アイスで
店員,マッテローヨ
Ｐ,う～…まだちょっと頭フラフラしますわ
ちひろ,後でコンビニ寄ってウコンでも買いますか
Ｐ,明日に響かなきゃいいんだけど…ちひろさんはもうすっかり元通りですね
ちひろ,ええ、まぁ。割りとお酒は強い方ですし
Ｐ,俺ほんと明日大丈夫か不安ですわ…
ちひろ,念のためスタドリ飲んでおきますか？今なら１本７００モバコインにしてあげますよ
Ｐ,だからアルコールと同時接種するとまた面白愉快な事になるんだってばよ
店員,待たせたなァ！神の恵みを受け取れェ！
ちひろ,あ、ほら注文来ましたよ
Ｐ,この店の店員濃すぎません？
ちひろ,はふふ…どうしてこう、お酒を飲んだ後ってラーメンが食べたくなるんでしょうかね
Ｐ,アルコールを分解するために必要な栄養素を体が欲してるからですよ
ちひろ,へぇ、初耳です
Ｐ,まぁ求められるままに接種すると確実に太りますけどね
ちひろ,……半分食べます？
Ｐ,千川の食べかけはちょっと
ちひろ,職場に潤いを与えるアシスタントがポヨポヨになっても良いんですか
Ｐ,アンタが与えてるのは絶望と破滅だろ
ちひろ,ちひぱんち！
Ｐ,顎はやめっ。おぉう…まっすぐ歩けねぇ
ちひろ,まだ酔いが残ってるみたいですねぇ。スタドリ飲みます？特別に１本１２００モバコインで
Ｐ,とうとう４桁いっちゃったよ
ちひろ,はぁ～、やっぱりたまにはこうしてお酒を飲むと良いですね。日頃のストレスが発散されます
Ｐ,捌け口にされる方はストレス溜まるんですが
ちひろ,普段私のストレスの原因になってるんですからそれぐらいは我慢してください
Ｐ,そんなんだから鬼だの悪魔だの財布の破壊者チィケイドとか言われるんですよ
ちひろ,リーサル・ペイン！
Ｐ,ひでぶ！
ちひろ,どうしてそう私に対してだけそう容赦ないですかねぇこの社畜は！この社畜は！
Ｐ,肋骨の隙間に抜き手ってアンタ…
ちひろ,自業自得です。ふぅ…もうこんな時間ですし今日はこれでお開きにしておきましょうか。明日二日酔いとかやめてくださいよ？
Ｐ,飲ませたのアンタでしょうが…
ちひろ,…はい。それじゃあまた明日、事務所で
Ｐ,どうも。今度はもう少し手加減してくださいね
ちひろ,はいはい。また気が向いたら飲みましょう？お疲れさまでした
Ｐ,オツカーレ。…。色々アレな人だけど気兼ねしないし気楽っちゃ気楽なんだよなぁ…。……。…さて、明日も社畜だし帰りますか
ちひろ,おはようございます。あ、ちゃんと出社してますね
Ｐ,ゲバコンドル
ちひろ,昨夜はありがとうございました。今日も１日よろしくお願いしますね
Ｐ,ハサミジャガー
ちひろ,さて、と…
Ｐ,鋼鉄参謀
ちひろ,えーっと…あれ、この前のライブの資料どこでしたっけ
Ｐ,ディスパイダー・リボーン
ちひろ,あっ。ありがとうございます
Ｐ,ドラス
ちひろ,そうだ、後で部屋に来るようにと常務から伝言を預かってます
Ｐ,シグマサーキュラー
ちひろ,…
Ｐ,コレオプテラワーム・アージェンタム？
ちひろ,…みりあちゃん呼んできますね
Ｐ,ウヴァ
アッキー,終わりだ
マキノ,どうして犬が喋っているのかしら…
