トレ,今日のレッスンはここまで！お疲れ様！。明日もレッスンあるからね。しっかり体調を整えるように
奈緒,それが、これなんだが...
P,おー、オレの大好きな作品じゃないか。気が合うじゃないか
奈緒,そ、そうか...！凛と加蓮待たせてるから、い、一緒に行くか...///
？,プロデューサーさん...？
P,ンゲゲェ！？背後からなんとおぞましい声が！！？
ちひろ,おぞましいだなんて、レディーに対して失礼ですよ？。はい、事務仕事増やしておきますねー♪
P,ほげええ。これから、奈緒たちとアニメ鑑賞会するのに...
ちひろ,あなたさっき、トライアドプリムスの仕事の依頼がたくさん来ていると言っていたじゃありませんか。確かに魅力的な話ではありますね。ﾑﾌﾌな展開も望めるかもしれないし
奈緒,なっ！？プ、プロデューサーがそ、そ、そんなことするわけっ...！！
P,そうですよね！？やっぱ付いていってあげるべきなんですよ！！
奈緒,プロデューサー！？
ちひろ,ですけど、今日は仕事が多くて留美さんにも事務仕事手伝わせてもらってるんですよ？それなのに...
留美,いえ、久しぶりにやってて楽しいですよ。でも、Pさん。今度一緒に飲んでもらいますからね
P,ただでさえ留美さんに迷惑かけているのに、オレは...
奈緒,そうだなァ...プロデューサーは早く仕事を終わらせるべきだよ
P,奈緒......すまん！今日は行けそうにない！
奈緒,おぅ...こ、今度別の日に見るんだからなっ！ぜ、絶対だぞっ！！
P,本当にすまんな！凛と加蓮にもよろしく頼むな
奈緒,分かった。プロデューサー、し、仕事頑張れよっ！
P,おう。ちひろさん、留美さんすいませんでした。早めに終わらせて、一杯飲みに行きましょう！
ちひろ,はい！
留美,ん、分かったわ。奈緒ちゃん、今日プロデューサー借りていくわ、ごめんね
奈緒,い、いえ、全然大丈夫...ですっ！。はぁ、...プロデューサーのバカ。ただいまー...
加蓮,おかえりー
凛,おじゃましているよ
奈緒,なんでいる....って、別れるときに部屋の合い鍵渡したんだっけか
凛,それよりもさ、...プロデューサーは？
奈緒,あぁ...きょ、今日は仕事で忙しいみたいだからさ...来れないってよ
凛,ふーん...まぁいっか
奈緒,そ、そうだっ！り、凛と加蓮は今日いつまでいるつもりなんだ？
加蓮,あー、それなら大丈夫だよ
奈緒,どういうことだ？
凛,もう親に連絡して、今日奈緒の部屋に泊めてもらうことにしたから
奈緒,え、えええぇ！！あ、明日レッスンあるんだぞ？今回のアニメは結構長いからほどほどに切ろうと思ってたんだが...
凛,ハナコの世話はまかせろってお父さん張り切っていたし
奈緒,いや、そういう話じゃないからなっ！？か、加蓮は体調大丈夫なのかよ？
加蓮,うん、大丈夫。最近レッスンこなしてきて体力もついてきたし...まぁなんとかなるっしょ
奈緒,んー....わかった、わかったからっ！今日は...泊ってけよ
加蓮,やったー
凛,計画通りだね、加蓮
奈緒,なにが計画通りだーーっ！！さ、さっさとアニメ見るぞっ！。結局、最後まで見てしまった....
凛,面白かったけど、...眠いね
加蓮,しりとりでプロポーズするなんて、ロマンチックだね
奈緒,そうだなぁ、アニメ見て徹夜とかアイドルとしてあるまじき生活を送ってしまったな...
加蓮,ん...あれ、今日レッスンだっけ？
奈緒,そうだよ...はぁ、ほどほどにして寝ればよかった
凛,途中、最後まで見ようぜ！って言った人は誰だっけ？
奈緒,あ、あの時はつい...だな...って、あのときは凛も加蓮も賛成してくれたじゃねえか！！
加蓮,私、入院しているときに眠れなかったことあるから大丈夫だよ？
奈緒,そりゃ心配だけどさ...って、何の話だよそれっ！？
加蓮,あぁ～、レッスン終わったら帰って寝たいなぁ
奈緒,同感だな。レッスンまで少し時間あるし、軽く寝とくか
加蓮,うん、そうだね
凛,あ、レッスン終わったらちょっと奈緒と加蓮に言っておきたいことが...
奈緒,あぁ、分かった分かった。とにかく、今は休んどけ
凛,うん...
奈緒,は、はァ！？な、何ふざけたこと言ってるんだ、凛！
凛,ふざけたことは何も言ってないよ。ただプロデューサーとしりとりするだけだよ？
加蓮,プロデューサーとしりとり...いい提案かもね
奈緒,加蓮っ！？つ、つまりそういうことだよな...？
凛,うん。3人でプロポーズして誰が成功するか勝負しようよ
奈緒,ス、ストレートに言うな～っ！！！
凛,加蓮はともかく...奈緒はどうする？疲れてるなら、別にしなくいいんだよ？
奈緒,いーや、凛と加蓮だけでやると何しでかすか分からねェからな。し、仕方なく参加してやってもいいんだぜ？
凛,んじゃとにかく出るってことで
奈緒,えらくあっさりしてるな...まったく衝撃的なこと言うもんだから、疲れも眠気も吹っ飛んじまった...
加蓮,でも、しりとりでプロポーズするなんて難しいよね
奈緒,だ、大体アニメの中では男からプロポーズしてたじゃないかっ！
凛,そこは女の子からプロポーズしてもいいんじゃない？
奈緒,案外フレキシブルだなっ！？
加蓮,というか凛って15歳だからまだ結婚できないんじゃ
凛,大丈夫、私はプロデューサーを信じているから
奈緒,それはフレキシブルな領域越えてんぞっ！？
加蓮,といっても、どうプロポーズしよう...とりあえずプロデューサーには、最後にケのつく言葉を言ってもらわないといけないね
奈緒,かなり真剣だな...そ、そういう凛は何か策とかあるのか？
凛,特にないけど
奈緒,行き当たりばったりかよっ！？あーもうっ、まったく適当だなっ！！
凛,あ、そうそう。奈緒がトップバッターだからね
奈緒,は、はァ！？そういうのは発案者が一番最初にやるもんだろっ！？
凛,年上、だからね？
奈緒,あぁ！！まーた、それかよ～～っ！！！！と、年上だからって何でも言うこと聞くと思うなよ～～っ！！...へへ
P,ふ～、やっと昼休みだ。飯でも食って午後も頑張るかー
凛,あ、プロデューサー
加蓮,お疲れ様ー
P,お、3人ともいたのか。レッスンお疲れ～
凛,うん、...ってプロデューサーまた菓子パン食べてる
P,おう、最近はこのホ○イトデニッシュにハマっててな
加蓮,パンだけじゃ、栄養が偏っちゃうよ
P,ん、おう大丈夫だ。プロデューサーだからこれしきどうってことないさ
加蓮,いつもは私たちのことを心配しているのに、プロデューサーが体調崩したら元も子もないんだからね...
P,加蓮...
奈緒,あ～、もうっ！！勝手にイチャイチャすんなーっ！！。プ、プロデューサー！！
P,なんだ？
奈緒,よかったら、その、し、しりとりでもしないか？
P,お、いいぞー。そういえば、昨日あれ見たんだっけか
奈緒,お、おぉ...さ、最後まで見ちゃったよ...アイドルなのに体調管理もできないだなんて情けないよな
P,いーや、あれは面白いし続き気になるから仕方ないよ。まぁ反省してるんだし、次から気をつければいいよ
奈緒,プロデューサー...
P,ところで、何のしりとりするんだ？アニメのタイトル限定でやってみるか？
奈緒,あ、あぁ...プロデューサーがそれでいいならア、アタシも受けて立とうじゃないか！
凛,...
加蓮,...
奈緒,ま、まァ、最初は、しりとりから始めようか。プロデューサー、リだよ
P,リ...リ○ンの騎士
奈緒,随分古いなっ！？手塚作品はブ●ックジャックぐらいしか知らないな...
P,手塚○虫って色んな作品書いているからなー。オレはき○ひと讃歌とかが好きかなー
奈緒,へ、へぇ...知らないな....今度読んでみようかな...
P,奈緒、しりとり忘れてるぞ。シだぞ
奈緒,へっ？そ、そうかシだな。うん。うーん...、進○の...あっ！......し、し○くまカフェ！！
凛,今、言いなおしたね
加蓮,うん、言いなおしたね
奈緒,う、うっさい！！べ、別にいいじゃねェか！！
P,奈緒、し○くまカフェ好きだもんなー
奈緒,別に何見たって勝手だろ！？ほ、ほらフェかエだぞ
P,うーん...あっ、Fate/Z○ro
奈緒,ロか...うーん、ロ○ト・ユニバースなんかどうだ？
P,また随分懐かしいものを...ス...涼風(ス○カ)
凛,...ねぇ、これいつまで続くの？
加蓮,さぁ？とりあえず見守ってあげたら？
凛,...そうだね
奈緒,カ...か○めも！
P,モ？モがつくやつってなんかあったっけなぁ...あっ最近モ○ノ怪見たんだった
加蓮(さぁ、奈緒！何考えてるのよ！早く言うのよ、,結婚しよう
奈緒,ん、あったぞっ！ケ○○軍曹だ！ほら、プロデューサー！ウだぞっ！
凛・加蓮,あ...(察し)
奈緒,
P,
奈緒,プロデューサー、アニメのタイトルでしりとりするのって案外楽しいなっ！！な、なんというか脳トレになる感じ
P,そうだな、結構考えるしなー
凛,奈緒、ストップ
奈緒,なんだよ、凛。今、いいところなんだぞっ！！
加蓮,奈緒、趣旨がズレてるよ
奈緒,趣旨ィ？たかがしりとりに趣旨ってなんだよ。......あっ！！！！
凛,思い出した？
奈緒,あ、あァ...つい夢中になって忘れてた...でも、言う機会なんてなかっただろ？
加蓮,え？思いっきりあったけど？
奈緒,えっ？ちょっと待てよ.......あああーーーーっ！！！！！
凛,ね？
P,おい、奈緒ー。ス○ライドだから、次はドだぞ？
奈緒,くぅ～～っ！！！ア、アタシお手洗い行ってくるっ！！
P,お、おいっ！
凛,奈緒はじつにバカだな～
奈緒,う、うっさいっ！！！！
P,って、もう行っちゃった...
凛,奈緒、脱落っと。...これで残りは、私と加蓮の2人だね
加蓮,勝負だね...凛！
凛,うん...絶対に負けない...！
P,ん？どうした、2人とも？そういえば仕事の依頼受けてきたから、明日からまた仕事だぞー。
加蓮,私が、先にプロデューサーとしりとりするんだからね
凛,ふーん、...抜け駆けはダメだよ
加蓮,...じゃあ、じゃんけんで平等に決めよう
凛,分かった。...相手が加蓮でもおあいこは無しだよ、真剣勝負でいくよっ！
加蓮,うん、望むところよ！
P,あのー...。は、はい...
加蓮,勝ったよ！...プロデューサー、勝ったよ！！
P,おう、よく分からんが...同じ事言うもんだから、とにかくおめでとう
凛,そんな...私が負けるなんて...これじゃ先にプロデューサーとしりとりできない...
P,えっ、そんな些細なことだったの！？
加蓮,些細なことじゃないよ！
P,お、おぅ...あれ、でもそれなら何で奈緒に先にしりとりさせたんだ？
凛,まぁ、奈緒なら...なんかやらかしてくれそうだと思ったし
P,はぁ
加蓮,実際やらかしてくれたしね、見てる側としては楽しかったよ
凛,そうだね...せっかくのチャンスをふいにするところとか
P,まぁこれ以上奈緒のことからかうなよ。あれでも一応年上なんだからな。んじゃ、加蓮。しりとりしよっか
加蓮,うん！。いくよ...しりとり、リね
P,リス
加蓮,ス...ステージ
P,自由
加蓮,ウねぇ、あっ、ウェディングドレス！
P,スリ
加蓮,なんでスリ...？
P,まぁ、別にいいだろ。ほら、加蓮。リだぞ
加蓮,う～ん、リハ
P,略語じゃねえか...
加蓮,そこはおあいこってことで...ね？
P,まぁいいか。というか、これいつになったら終わるんだ？普通のしりとりになってるんだが
加蓮,いいじゃんいいじゃん、まだ休憩時間あるんでしょ？
P,そうだけどさ...凛もやるらしいから、ほどほどにな
凛,そうだよ、加蓮。...早くしてよね
加蓮,う、うん...
P,続きしよっか。えっと、ハだったよな
加蓮,うん...
P,んじゃ、ハーモニカ
加蓮,髪の毛！...って
P,ケ、かぁ...そうだなぁ....
加蓮,...
P,結婚しよう
加蓮,................えっ？
凛,
P,ほら、加蓮...ウだよ？
加蓮,..............うん///
P,よぉーし、加蓮の負けだな！
凛,。ちょ、ちょっと待って！プロデューサー！
P,ん、なんだ？
凛,...これはいったいどういうことなの？
P,加蓮にプロポーズしただけだけど？
凛,
加蓮,プロデューサー、あの、その、よかったらPさんって呼んでもいいかな...///
P,おう、いいぞ！どんとこい！！
加蓮,Pさん...///えへへ...///
凛,...ねぇ
P,ん？
凛,どうして...加蓮なの？
P,そうだなー...、最初スカウトしたときには、病弱を後ろ盾にして自分を卑下していたよな
凛,...それがどうしたっていうの
P,でもさ、いつかのライブバトルで負けたときに、加蓮は悔しがったんだ。そう、誰よりもね
凛,...
P,それ以来、加蓮はそれまでのレッテルを吹き飛ばすため必死にレッスンを励んだ
加蓮,Pさん...
P,ライブバトルに初めて勝ったときの加蓮の笑顔は忘れようもないよ。何かを成し遂げた人の顔ってこんなにも美しいものなのかと
凛,...
P,多分...いや、オレは加蓮に惚れたんだ。もちろん加蓮が売れ出したのもプロデューサーとして嬉しいし、今ではトライアドプリムスとしてアイドル界の最先端として突っ走っている。そして仕事でウェディングドレスを着て、その想いはますます加速していった。しかしだな、
加蓮,...？
P,こんなにも近くにもいるのに、加蓮がオレから離れていくような感じがしてきたんだ
加蓮,そんなことはないよっ、Pさん！
P,その言葉だけでも嬉しいよ、加蓮。...知名度が高くなっていくにつれて、加蓮はみんなのアイドルになっていくんだ。それは、アイドル冥利に尽きるし、またプロデューサー冥利に尽きるね。でもさっ、オレは加蓮にオレだけのアイドルとしていてほしかったんだ...こんな下劣な欲望を持つ時点で、プロデューサーとして失格だよな
凛,でも、それじゃあプロデューサー...
P,だから、オレはプロポーズをした。どれだけの人を敵に回そうとしても、欲望には勝てないもんだな
加蓮,Pさん...
P,そして、加蓮はこんなオレでも受け入れてくれた...
加蓮,うん、私はPさんだけのアイドルだよ...!!
凛,ねぇ
P,ん、なんだ凛。...まだ何か用か？
凛,まだ......まだしりとりは終わってないよ...！
P,もうそんな気分じゃないんだけどなぁー...まぁやるか
加蓮,もう私の勝ちなんだけどなー。...まぁいっか
凛,はい、しりとり...プロデューサー、リだよ
P,凛。はい、お終いっ
凛,えっ
加蓮,えっ
P,いや、ただもうしりとりはお腹いっぱいかなって思って
加蓮,それにしては、横暴すぎるよPさん...
P,でも、もう終わってしまったしなぁ...どうしてもないよなぁ
凛,.........まだあるよ
P,ンだぞ？もう終わっただろ
凛,ンジャメナ。...はい、プロデューサー。ナだよ
P・加蓮,
P,お、おう。ナだな。そうだなーははは...。ナ...はい、ナン
加蓮,Pさんっ！それはいくらなんでも...
P,あ、いや、つい...な
加蓮,ついって...もうっ、Pさんったら///
凛,ンガウンデレ
P・加蓮,
P,一度ならず、二度までも...レ...レンコン
凛,ンゼンギ
P,...ぎ、銀
凛,ンジンガ・ンベンバ
P,えっ！？今なんて言ったんだ！？
凛,ンジンガ・ンベンバ
P,お、おぅ...バだな..バトン
凛,ンギグミ
P,...はぁ
奈緒,おぃーす...ってこれは...
加蓮,奈緒戻ってきたんだ
奈緒,おう...なんで加蓮はプロデューサーと抱き合ってんだ？
加蓮,え？あぁ、私、Pさんと結婚することにしたから///
奈緒,へぇ、そりゃァめでてェな....って、は、はァ！！！？？？
加蓮,うん...えへへ///
奈緒,ちゃっかりPさんって呼んでいるし...で、なんでそうなったんだよ？
加蓮,しりとりでプロポーズに成功したから
奈緒,それはいくらなんでも冗談だろォ！？？なァ、プロデューサー、冗談だって言ってくれよ...！
P,いや、それが本当のことなんだよな...えぇーと、パッション
奈緒,しょ、正気か....というかまだしりとりやってたんだな...
加蓮,うん、凛がもうかれこれンの付く言葉を50以上挙げてったしね
奈緒,どういうことだよ...おーい、凛。もう今日はなかったことにして、ゆっくりお家で寝よう...な？
凛,ン、、、、ン、、、、...ダメ、もうンが1つしか思いつかない...
P,はぁ...やっと終わる....これで最後だな。よし言ってみろ、凛
凛,......ンガイ・クワン....
P,うん、ンが付いたな。悪いが、凛の負けだな
凛,.......
奈緒,終わったな。よし、凛に加蓮。今日は疲れたし、帰ろうか
凛,......ドッセーーーーーーーーイィｗｗｗｗｗ！！！！！！！
奈緒,おい、凛！！！なんで窓から飛び降りるんだよっ！！？ここ何階だと思っているんだっ！？？
P,市役所はまだ空いているな。よし、加蓮、婚姻届を提出しにいこう！
加蓮,でも、凛が...
P,いいね？
加蓮,....うん
奈緒,んなわけねェだろっ！！プロデューサー、早く凛を助けにいかないとっ！！
P,あぁ、凛ならなんとかなるだろ
奈緒,は、はァ！！？
P,よし、じゃあ行こうか、加蓮
加蓮,......うん///
奈緒,えっ....？えっ...？。...アタシ、もうむーりぃー
