スレタイの,なっちゃん
凛,でも意外というか、昔の鷹富士さんって……
茄子,ひねくれ者でしたね～
P,ついたあだ名が氷の女王だからな。本当に愛想がなかった。今はめちゃくちゃ態度が柔らかくなったな
凛,……それで、江ノ島に行った後はどうなったの？
P,ああ。駅に降りた後、近くの店で自転車を借りたんだが
茄子,残り一台だったので、二人乗りすることになったんですよね
P,嫌がるなっちゃんを無理やり後部座席に乗せてな。でも、自転車走らせて景色見ているうちに、だんだんなっちゃんの機嫌もよくなってきて。おお、海だ海！でっかい海が見えてきた
茄子,いちいちはしゃがないでください。うるさいです
P,そんなこと言って、実はそっちもちょっと興奮してるだろ
茄子,し、してませんよ
P,顔が少しだけにやけてるぞ？
茄子,これは、その。あなたのバカさ加減に呆れてですね。だいたいおかしいです。教室で座っているよりも、必死に自転車こいでる方がしんどいですよ
P,楽しいからいいんだよ。学校を休んで、クラスメイトの女子とこっそり出かける。なんかワクワクしないか？
茄子,……不良
P,そんなに言うなら、お前は別に来なくてよかったんだぞ？
茄子,だって、あなたがサボろうって無理やり
P,あの時、次の駅で降りて引き返せば授業には間に合った。でも鷹富士はすぐに引き下がった。本当は、ちょっとだけ楽しみだったんじゃないのか？。今も表情柔らかいし
茄子,………。……バカじゃないですか。ふふっ
P,おお、鷹富士が笑った
茄子,わ、笑ってません
P,いーや、笑った
茄子,笑ってませんってば
P,お、おい、肩を揺らすな！バランス崩れるだろ！。食べ物買ったら福引券がついてきた
茄子,二回分ですか
P,あそこでやってるみたいだな。よし、ひとり一回ずつ引いてみるか
茄子,……いいんですか？
P,何が
茄子,私、一等引いちゃいますけど
P,ああ、もしかして俺が当てる可能性がないって言いたいのか？そこは気にしなくていいぞ
福引きのおっちゃん,大当たり～～！
茄子,一等の温泉旅行ペアチケットです
P,すごいな。マジで当てやがった。じゃあ次は俺の番だな
福引きのおっちゃん,はい、4等ね。この中から好きなもの選んでくれ
P,ふむ……じゃあこのおもちゃの銃もらうよ
おっちゃん,またごひいきに！
茄子,残念でしたね
P,いいや、残念じゃないさ。この銃結構かっこいいし、よくできてる。それに……おーい、そこの坊や！
男の子,？
P,温泉旅行のチケットと、俺が持ってる銃。どっちが欲しい？
男の子,んーとね！こっちの銃！
P,そうかそうか。じゃあこれは君にあげよう
男の子,ほんと！？
P,うん、本当
男の子,ありがとうお兄ちゃん！
P,というように、あの子にとってはお前の1等よりも俺の4等の方が価値があったわけだ。何が幸運で何が不幸かなんて、はっきり白黒つくだけのもんじゃない。満員電車の中で、たまたま出口までの道が都合よくできること。道ができなかったから学校をサボることにして、江ノ島で遊ぶこと。どっちがいいのか、わからないだろ
茄子,……それは、屁理屈じゃないですか？
P,屁理屈でもなんでもいい。結局は、楽しんだもん勝ちってこと。俺は楽しいことが好きだ。鷹富士もそうじゃないのか？。気の持ちよう次第で、楽しいかどうかなんていくらでも変わるぞ
茄子,……私も、楽しいことが好きです。そっちの方がいいに決まってます。でも、楽しいことを見つけるのが苦手なんです。わくわくすることを見つけるのが、うまくできないんです。どうしたらいいんでしょう
P,そうだなあ……。とりあえず、俺の近くにいてみるか？
茄子,え？
P,俺は楽しいことを見つけるのが得意だからな。俺のそばにいれば、おこぼれをわけてやるくらいはできるぞ、多分
茄子,………
P,どうした
茄子,おこぼれって……ぷっ。ふふっ……バカじゃないですか？
P,………。あれだな。さっきは自転車に乗ってたから、よく見えなかったんだけど。鷹富士、笑うとやっぱりかわいいな。元が美人だから、なおさら
茄子,そうですか？
P,そうやって笑ってれば、友達もたくさんできるだろうな。俺とかな
茄子,もう友達面ですか
P,あれ？まだ駄目だったか
茄子,……いいえ。友達でかまいませんよ。P君
P,それじゃ、これからよろしく。なっちゃん
茄子,なっちゃん？
P,友達だし、あだ名で呼んでもいいだろ？
茄子,それはいいですけど、なっちゃんってどういう由来で……
P,え？普通に名前の頭文字をとって
茄子,……ひょっとして、私の名前をなすだと思ってます？
P,違うのか？
茄子,確かに野菜のなすと同じ漢字ですけど、私の名前はかこと読むんです
P,な、なんだと！マジか、ずっと間違えて覚えてた。うわー、そうなのか。いいと思ったんだけどな、なっちゃんって
茄子,………。別にいいですよ。なっちゃんでも。あだ名なんて、原型とどめてないものもよくありますし
P,そうか？なら……せっかく考えたんだし、なっちゃんで
茄子,はい
凛,ああ。それでそういうあだ名になったんだ。さっきからずっと疑問に思ってたんだよね
茄子,P君の失礼な勘違いを後世にまで残すことができました
P,え？ちょっと待て、そんな理由であだ名をOKしたのか
茄子,もちろん冗談です♪。単純に、あだ名をつけてもらったのがうれしかっただけですよ
凛,それで、仲良くなった二人は……
P,俺とつるむようになってから、なっちゃんはよく笑うようになってさ。そうなったら、いろんな人と仲良くなるのも時間の問題だった
茄子,3年生になって、P君とは別のクラスになってしまったんですけど……それでもちょくちょく一緒に遊びましたね
P,そして卒業。俺は高卒でプロデューサーになって、なっちゃんは大学進学
茄子,その後は、あまり連絡もとらなくなりましたね～。P君はたまにしか電話してきてくれませんし。私の方からかけようとも思ったんですけど、仕事が忙しいのかもと思って尻込みしてしまいました。でも……。事務所でゲームができるくらいには、暇があるみたいですね？
凛,あ、スマブラ出しっぱなしだ
茄子,友達に電話をかけるくらいの時間はあったみたいですね？うふふ
P,……あー、ひょっとして怒ってる？
茄子,すこーしだけ、おかんむりです。男の人は、ただおしゃべりするだけってあんまり好きじゃないのかもしれないですけど……女の子はそれでも十分楽しいんですよ？
P,以後気をつけます
茄子,よろしい♪
ちひろ,プロデューサーさん。帰って来てましたか。あら？そちらの方は
P,スカウトしてきた女性です。まだアイドルをやるかどうか決まってはいませんけど
ちひろ,そうですか。実は私の方も、ひとりアイドル志望の方をお連れしていまして――
？？,ウサミン星からやって来ました！安部菜々、17歳です、キャハっ！目標は歌って踊れる声優アイドルです！
P,………
茄子,………
ちひろ,プロデューサーさん？どうかしましたか？
P,……な、ナナ先生？
凛,ナナ先生って、さっきの話で出てきた……
菜々,えっ、なぜナナが教師だったことを……って、あれ？……もしかして、Pくん？
P,はい。学生時代に散々担任の手を焼かせたPです
菜々,………。………お、終わった
P,ぶわはははは！！じゅ、じゅうななさいって、それさすがに無理ありすぎ！あっはははは！
凛,プロデューサー、笑い過ぎじゃない？
菜々,
P,だ、だってさ。高校時代の先生がさ、事務所に来て、キャハって……ぶっ、ぶふっ！！
茄子,はーい、笑いすぎですよ。P君
P,あいでっ
凛,いつの間にハリセンを？
茄子,お久しぶりです、安部先生。会えてうれしいです
菜々,……ああ、よく見たらあなたは鷹富士さんじゃないですか。あはは、まさかいきなり二人にナナの正体がばれるなんて……
茄子,そう落ち込まないでください。先生は確かに若く見えますし、17歳でも全然イケますよ？
菜々,……そうでしょうか
茄子,そうですよ。ね、P君
P,え？いや確かにびっくりするほど若作りだけど、さすがに10歳以上サバ読むのは
茄子,P君？
P,できますね。はい、俺がプロデュースすればそのくらいお茶の子さいさいです
凛,鷹富士さん、意外と押しが強い？
茄子,そういうわけです。これから一緒にがんばりましょう♪
菜々,は、はい……そうですよね。頑張りましょう！
ちひろ,……プロデューサーさん。事情を説明してほしいんですけど
P,あ、はい。それはもちろん。……ところでなっちゃん、今一緒に頑張ろうって
茄子,ええ。私もスカウトされた身ですし、アイドルに挑戦してみようと思います
P,いいのか？大学生活との両立もあるんだぞ
茄子,なんとかします。それに。P君のそばにいれば、楽しいこととたくさん出会えますから。こうして、高校時代の先生と一緒に人気アイドルを目指したり、とか
P,……なっちゃんは楽しいことが好きだな
茄子,P君がそうしたんですよ？
P,そうだったな。よし、では改めて。鷹富士茄子さん。安部菜々さん。これから私が、あなた達のプロデュースを担当させていただきます。よろしくお願いします
茄子,はい、よろしくお願いします
菜々,なんだかいろいろ複雑ですけど……精一杯頑張るので、よろしくお願いしますっ
ちひろ,……よくわかりませんが、にぎやかになりそうですね
凛,うん。でもいいんじゃないですか。なんだか、楽しくなりそうだし
