麗…28歳。マスタートレーナー。凛々しいポニーテール。,P殿
ちひろ,ちょうど来ましたね
P,そうですね。明ちゃんこっちこっち
明,おはようございます。相談というのは何でしょう？
P,ああ、うん。さっき電話でチラッと話したと思うけど、幸子のレッスンの方針が決まったんだ。だからそれを元にして明ちゃんがレッスン内容を考えてもらえる？
明,え、私が内容を1から考えていいんですか？
P,うん。麗さんも今の明なら一任しても大丈夫だろうって太鼓判押してたよ。俺も信頼してるからよろしくね
明,し、信頼…！。...はい、任せてください先輩っ
幸子,え？
P,明ちゃん。仕事中は先輩呼びは駄目でしょ
明,す、すみません～！つ、つい反射的に…///
P,ははは
幸子,あの...2人とも待ってください？
P,うん？
明,どうかしましましたか。輿水さん？
幸子,先輩って何ですか？プロデューサーさんとトレーナーさんはどういう関係なんですか？
明,私とプロデューサーさんは中高一貫の学校で同じだったんですよ。それに互いに陸上部の長距離走の選手だったので、よくお世話になっていたんです。練習メニューの相談をしたり、フォームの確認をしてもらったり…長い付き合いなんですね～♪
P,ということ
明,だから…未だに先輩呼びしちゃって///
P,大学は違ってたのになぁ
明,それでも。私にとって先輩はいつまでも先輩ですから♪
幸子,へぇ
P,どうした幸子。なんだかキレたティガレックスみたいな顔してるけど？
幸子,フウ゛ウ゛ンッ！
P,痛い！何をする！
幸子,ふーん！何でもないです！それよりボクを構ってくださいっ！
P,だから今からまた仕事だっつの
幸子,ヘグッ！
明,行きましょうか。プロデューサーさん
P,だな
幸子,ぐゥゥゥゥンッ！何ですかこの仕打ちはァァァァァ！
ちひろ,絆創膏と消毒液ならありますが使いますか？
幸子,肉体的な怪我はしてませんからンなもん使いませんよっ！見てたらわかるでしょうがっ！
ちひろ,なら。あかちんはどうです？
幸子,いりませんってば！ていうかよくそんなもん持ってますね！？
ちひろ,ばーぶー。まま…まま…
幸子,それは赤ちゃんっ！！どこの28歳児なんですかっ！！
ちひろ,荒ぶってますねぇ
幸子,誰のせいだと思ってって…これ2回目ですよね！？繰り返さないでくださいっ！。それよりどうして！憧れの先輩☆的な甘酸っぱいシチュエーションを見せつけられなければいけないんですかっ！
ちひろ,麗さんは気心の知れた友人と受け取ることも出来ますけど、明ちゃんは露骨ですもんねー
幸子,だから腹立たしいんですよ。まったく…プロデューサーさんもプロデューサーさんです。アイドルを優先させるべきじゃありませんか…
ちひろ,いままさに幸子ちゃんのために仕事しているんですよ
幸子,…知ってます
P,戻りましたー
幸子,構
聖,次女・ベテラントレーナー
P,いいよ。軽く飲みながら話そうか
幸子,今度はあなたですか次女ォ！
聖,感謝します。ただ、姉にも明たちにも知られたくはないので…どこかのお店で飲みましょう。私が予約しておきますね
P,じゃあ、よろしく。聖
聖,ええ。ではまた帰りにここにきます
幸子,構ってくださいっ！
P,まだ仕事あるからまだ待ちなさいっての
幸子,酷いっ！ベテラントレーナーさんとは話したのに！
P,いやいや。ちょっとした約束をしただけでしょうが
幸子,むむむ…プロデューサーさん。ベテラントレーナーさんとはよくお酒を飲むんですか？
P,うん。結構頻繁に2人で飲んでるかな
幸子,2人だけでですか！？
ちひろ,聖さんが入社した頃の教育係はプロデューサーさんでしたよね
P,また昔のことを引っ張り出してきましたね。まあ、教育係といっても聖は真面目でしたし、物覚えが早かったので俺が教えたことなんてあんまりなかったですよ。あっと言う間に俺無しでも仕事ができるようになりました
ちひろ,そうだったんですか？毎日べったりだったような気もしますが
幸子,ベッタリ！？
P,ベッタリというか新人期間が終わるまで毎日一緒に飲んでいただけですよ。聖がテキパキちゃっちゃと仕事を終わらせるもんですから、自然と定時上がりになってこのまま飲みに行きましょうと誘われてたんです。自分から誘うくせに聖はあんまりお酒が得意ってわけではなかったんですけど
幸子,教育係…ベッタリ…毎日一緒…！
P,4姉妹の中で麗さん、明ちゃん、慶ちゃんとは結構前から親しかったんですけど…聖とだけはちゃんと話したことがなかったのでいい機会ではありましたよ。知ってます？聖は酔うと泣き上戸になるんですよ
ちひろ,へえ。初めて知りました
P,聖と飲むのは面白いですよー。姉妹のぶっちゃけ話をよくしてくれますし
ちひろ,それは面白そうですね。今度は私も行きます
P,どうぞ。一緒に飲みましょう
幸子,では私も
P,こら未成年
幸子,私もプロデューサーさんと朝まで飲んでだべってしたいですよ！！
P,20歳になったらな
幸子,グゥゥゥ！このクソ真面目っ！アイドルのことを第一に考える人格者！
ちひろ,一見けなしているようで褒めてますね
P,前にも慶ちゃんに似たような反応されたなぁ…19歳なんだから子ども扱いしないでください！って
幸子,…。そういえばプロデューサーさん。サラッと慶さんとも昔から知り合いみたいなことを言ってましたけどどういうことなんですか？
P,え？ああ、俺、慶ちゃんの家庭教師をやってたんだ
幸子,か、家庭教師ぃ！？
P,慶ちゃんの高校受験の時だったかな。明ちゃんにうちの妹が成績が伸びないことを悩んでいるから教えてあげてほしいって頼まれたから週2回受験勉強の面倒を見てたんだよ。家近かったし
幸子,高校受験ということは…14歳…ボクと同い年の頃…
ちひろ,美人4姉妹と仲良しとかどこのハーレム漫画出身なんですか。あなたは
P,仲良しといいますか兄妹のような関係といいますか…
ちひろ,あちらも兄妹だと思っているといいですね
P,何か含みのある言い方ですね
幸子,プロデューサーさん！ボクの勉強も付きっきりで見てくださいっ！
P,幸子は真面目に勉強してて成績いいじゃん。これからも自力で頑張れよ
幸子,フフーン、当然です！もっと撫でてください！…ってそうじゃないんですよっ！！
P,さっきから何で叫んでるんだよ。幸子は
幸子,まさかのヘッドロック！痛い、痛いですっ！優しさをボクにぃ！
慶,四女・ルーキートレーナ―
P,噂をすれば慶ちゃんだ。ここにおはしけるぞよ
幸子,自分に尊敬語使ってるんじゃねえですよ！
慶,ちひろさんも幸子ちゃんもこんにちは。午前中のレッスンが終わったので報告に来たんです
P,お疲れ様、先生。麗さんは今いないから休憩に入っちゃっていいよ
慶,せ、先生だなんて大げさです。まだ学生の未熟者ですから
P,ははは。でも有香は褒めてたぞ。熱心で指導もわかりやすいって
慶,…そうだったんですか。有香さんったら♪
P,さすが先生！可愛い！
慶,も、もうっ！か、からかわないでくださいよ！先生っ！
P,ははは
幸子,せ！？
慶,あ、つい…！
ちひろ,説明しよう！プロデューサーさんはかつて慶ちゃんの先生だったんです！
幸子,さっき聞きましたよ！誰がリピートしろと頼んだんですか！
ちひろ,慶ちゃんがここに通い始めた頃は先生、先生とベッタリでしたねえ
P,そうでしたねー。慶ちゃん。さっきも同じこと注意したけど仕事中はプロデューサー呼びを徹底させてね
慶,すみません…でも、同じことを注意したって誰にですか？
P,明ちゃんだよ。あの子も時々先輩呼びが出てくるからさ
慶,へぇ…あざといですね
幸子,どの口が
慶,まったくもう…明お姉ちゃんったら、いつも天然を装ってるんだから…
ちひろ,おもむろにシャドーボクシングを始めましたね
幸子,プロデューサーさんは姉妹の間にさえ紛争を招いてしまうんですか
慶,こうきたら…こうっ！
P,パンチにスナップが利いてるなぁ
慶,あ、ところでプロデューサーさんは休憩いつなんですか？
P,あと15分くらいしたら入れるかな
慶,じゃあ、食堂で待ってます。一緒に食べましょう♪
P,オッケー
幸子,ボクも一緒に！
ちひろ,では、私も。せっかくですし慶ちゃんから話を聞きたいですから
慶,ちっくしょ…もちろん歓迎しますよ♪
幸子,かろうじて呑み込んだ言葉が露骨ぅ！しかし嫌がられても地獄の果てまでついていきます！。ああ、突っ込み疲れでお腹が空きました
P,幸子はまたハンバーグ定食か。柚もそればっか食ってるんだよな
幸子,これが美味しいんですよ。ていうかプロデューサーさんは焼き魚定食ばかりじゃないですか
P,これが美味いんだよ
ちひろ,いいですよね。魚は♪
P,ええそうですね…って何故ちひろさんの前にはえらく豪勢な御膳が置いてあるんですか！そんなメニューうちの食堂にはなかったでしょう！
ちひろ,重課金者のみが注文できる裏コースの割烹料理なんですよ。そこそこお値段が張りますけど
P,そこそこがどのレベルなのか怖え
慶,ふふ。みなさん仲良しですね
幸子,慶さんはお弁当ですか
慶,ええ。スポーツ栄養学を学んでいるので勉強の一環としてお弁当を作っているんですよ。見た目が野暮ったいのがたまに傷ですけどね
ちひろ,そんなことありません。美味しそうですよ
幸子,御膳をつつきながら褒めても嫌味にしか聞こえない
P,慶ちゃんのご飯は美味しいんだよなあ
慶,よければまたうちに来てください。ご馳走しますよ♪
幸子,また…うちに！？
P,ああ。俺、時々、青木家で飯食ってるんだよ
幸子,ちょ！慶さん！プロデューサーさんに手料理を振る舞っているんですか！？
ちひろ,その話詳しく
慶,先生には家庭教師としてよくお世話になっていたので…そのお返しになればと料理の勉強を始めたんですよ。授業の後はいつもご飯を食べていってもらってました。無事入試に合格した後も、時々、うちに来てもらったり、私がご飯作りに行ってあげていたんです♪
幸子,お、お、押しかけ女房気取りですかぁぁっン！！？
P,最初は正直引くくらいマズかったけどね。味噌汁濃かったし、味付けは薄かったし
慶,む、昔の話です！忘れてくださいっ///
幸子,ぐぅぅっ…いちゃつきやがって…！
ちひろ,得意料理は何なんですか？
慶,和食全般です
ちひろ,わぉ相性ピッタリすごい偶然。まるで誰かさんの好みを熟知したうえで得意料理にまで昇華させたようです。疑念はそれはさておき、いいお嫁さんになれそうですねー
P,どんな時でもささみ料理を少なくとも1品はぶち込んでくる高タンパク質信奉者なのがたまに傷ですけど、そうですねー
慶,え、えへへ…そうでしょうか…///
幸子,ァ！
聖,おや、珍しい面子で食事をしていますね。私もご一緒していいでしょうか？
慶,！
P,どうぞ。聖は仕事終わったの？
聖,ええ、一区切りついたところなんです。失礼します
慶,お、お姉ちゃん。いつもはもう少し遅い時間に食べてるんじゃ…！
聖,プロデューサーとお前が一緒に食事を摂っていると匿名のT.Sさんから連絡が来たんだ。水臭いじゃないか。私を誘わないなんてなぁ
慶,くっ…！聖お姉ちゃんはいっつも嫌なタイミングでくるんだから…！
幸子,千川ちひろさん。T.Sさんって誰なんでしょうね
ちひろ,さあ皆目見当がつきません
幸子,すっとぼけますねえ
ちひろ,嫌ですねもう心外です。やめて下さい。その口ぶりではまるで私が人の恋路を引っ掻き回してその様子を楽しむ悪趣味な天使のようじゃないですか
幸子,天使という部分以外は寸分違わず何も間違っていないじゃないですか。でも、今回に限ってはナイスです。最高です。ありがとうございます。桃鉄で他のプレイヤーにキングボンビーが取り憑いたような気分ですよ
ちひろ,もしかして褒め殺しですか？
幸子,安心してください。褒めてません
聖,そういえば先ほど慶の料理のことを話していたようですが…とっておきのエピソードがあるんです。聞きたいですか？
慶,ちょ！聖お姉ちゃん！？何の話をするの！？
ちひろ,はいっ！はいっ！聞きたいです！！
幸子,フフーン。ボクも是非お聞きしたいですねえ♪
P,面白そう
慶,せ、先輩まで！？
聖,では、ごほん…慶は料理を始めた頃に一冊の本を購入したんです。それを家宝のように大事にして書いてあることすべてを世の真理であるかのように吸収していきました
P,料理本ならいいんじゃないの？
聖,ええ、確かにレシピだけなら問題ないのですが…冒頭に書かれた著者の心構えまでも信じ込んでしまったんですよ
慶,あー！その話ヤメテ！聞こえない！聞こえない！
聖,その著者がなかなかアクの強いタレントでして…ウサギの国からやってきた万能メイドのキャラクターで通していたんです。料理はおばあちゃんが得意にするようなゴリゴリの和食だったんですがね
幸子,どこかで聞いたことのあるような人の話ですねえ
ちひろ,どこのミミミンなんでしょうねえ
聖,そのウサギメイドは料理は愛情をこめて初めて完成すると書きました。ただ、どのように込めるのかは書いていなかったので、慶は…くくく…なんと料理が完成するたびにチュッと投げキッスをしていたんですよ。それが愛情を込めることだと思い込んでいたみたいで
慶,ああああああああああああッッ///
幸子,あはは。カワイらしいですねえ。ボクほどではありませんけど
P,可愛い可愛い
幸子,今のは聞き捨てなりませんよプロデューサーさん！ボクとどちらがカワイイですか！
P,面倒くさいな
幸子,ぐのォォォォォ！頬っぺたを鷲掴みされているッ！
ちひろ,慶ちゃんは本当に可愛らしいですねえ
慶,ちょっと待ったちひろさん！？いま録音していませんでしたか！？
ちひろ,脅は…ごほん。今日という日の記念に
慶,おい待ていま脅迫って言いかけましたよね。聞き逃しませんでしたよ緑ぃ！
ちひろ,慶ちゃんは逸材なのでキープしておきたいんですよ
慶,開き直らないでください！！
P,ははは。でも、もうさすがに今はやってないんでしょ
慶,え、ま、まあ…と、と、当然デスヨ…
聖,先週、プロデューサーがうちに来たときはやってましたよ
慶,姉グオラァ！
聖,ほう。やるつもりか？
慶,ひぃぃぃぃ！や、やってやんよぉぉぉぉ！！。スンスン…もう聖お姉ちゃんなんて嫌い…
幸子,け、慶さん。元気を出してください。ここまで落ち込まれるとさすがに不憫に思えちゃいますね…
聖,姉より優れた妹などいない
P,慶ちゃん大丈夫？
慶,先生！聖お姉ちゃんがいじめるんです！
聖,！？
幸子,！？
ちひろ,あらまあ♪
慶,怖いですー。しばらくこのままでいさせてくださいー
P,よすよす
聖,おい…慶…随分とふざけた真似をするじゃないかァァァン！？
幸子,ホンットにあざといですねぇ…！耳垢ほどでも同情したボクが馬鹿でしたよ…！
慶,お二人とも嫉妬は見苦しいですよ。あ、そうだ思い出した。聖お姉ちゃんは中学2年生の頃、急にブラックコーヒーを飲み始めたよね
聖,あぁん？唐突に何の話を
慶,趣味がディトレードって言いふらしている辺りからわかると思うんですけど！この人厨二です！自分の部屋に社長椅子を設置してよくクルクルしてます！
聖,！？
慶,この前も朝日が昇るのを窓から眺めながら1人でワイングラスを掲げて乾杯…！って呟いてました！私、こっそり見てました！誰に乾杯してたんですかねぇぇぇ！
聖,グオラァァァァッ///
慶,へんっ！人の恥ずかしい秘密を暴露しておいて自分だけが無傷でいられると思わないでよね！バーカ！グラスの中身はスタドリでした！
ちひろ,ついでに先週、ビットコインで大損してますよね♪
聖,なぜそれを！？
P,え、先月自信満々に時代はビットゥコインですよって妙にいい発音で言ってなかった？
ちひろ,それは若干の儲けを得て調子に乗っていた頃ですね
聖,ああああああああっ！！！忘れてくださいぃぃぃぃぃっ///
幸子,…
ちひろ,幸子ちゃんもこの前、風船ガムを膨らませて顔面いっぱいに暴発させてましたよね♪
幸子,あなたはどこから人の恥ずかしいエピソードを仕入れてくるんですか
ちひろ,いやあ。和やかなお昼でしたね
幸子,節穴ァ
P,普段はもうちょっと仲がいいんだけどなあ。どうしたんだろう
ちひろ,皆目見当もつきません
幸子,もう突っ込みませんよ。それはさておきプロデューサーさん。ボクを甘やかしていいですよ！
P,お昼が終わったら仕事だよ。つーか、幸子もレッスンだろ
幸子,ああ…そうでした…
P,後でレッスン見に行くから頑張れよ
幸子,！。ふ、フフーン！やはりプロデューサーさんはカワイイボクのことを放ってはおけないんですね！当然ですがね！
ちひろ,ちょっろいですねえ
幸子,うるさいです！嬉しいもんは嬉しいんですから！
明,失礼します。輿水さんは…あ、いた！レッスン時間もう過ぎてますよ！
幸子,ひっ!す、すみません！すぐ行きます！
P,明ちゃん。厳しめに
明,はい♪
幸子,ちょぉ！！
P,幸子ー。レッスンはどうだー？
麗,私も見に来たぞ
幸子,
P,へんじがない、ただのしかばねのようだ
明,あ、お疲れ様です、先ぱ…じゃなくてプロデューサーさん♪麗お姉ちゃんも来たんだ
麗,レッスン内容を見させてもらおうと思ってな。ついでにドリンクの差し入れだ。飲め。輿水
幸子,あ、ありがとうございます…いただきます…。…ンンッ！即・復・活ですっ！！力が湧いてきましたァー！
P,相変わらず麗さんのドリンクは効きますね
麗,これに人生をかけているからな
P,人生て
麗,冗談だ
明,はいこれがメニューだよ。どうかな？
麗,ふむ…。いいじゃないか。これなら私が口出しすることもあるまい
明,やったっ
P,もう明ちゃんも1人前だね
明,ありがとうございます♪
麗,あまり褒めてもらっては困るな
明,いいじゃない。たまには
幸子,そうです！褒めるのは大切ですよ！人は褒められて伸びるものなのです！
P,力強い主張だ
幸子,だからプロデューサーさん！もっと褒めてください！
P,よし。レッスンを頑張ったご褒美に腹筋４０秒のメニューを追加だ
幸子,プロデューサーさん、ボクはボディビルダーではありません。筋肉の獲得はご褒美になりませんよ
P,はい。飴ちゃん
幸子,ふん。こんなものでボクをが満足するとは思わないでくださ…んまーっ
明,先輩！先輩！私にも！
P,ほい
明,ん～、美味しい♪
ちひろ,無理やり口に飴玉を押し込むという変わったプレイを公衆の面前でさらけ出すなんていい趣味してますね
P,言い方
麗,…
P,麗さんも欲しいですか？
麗,い、いや…私は別に…
ちひろ,げへへ。素直になれよォ
麗,くっ！触れるなゲスめっ！
P,おらァ！大人しく舐めやがれェ！
麗,そ、そんな糖分の塊など舐められるわけ…グァァァァァァ甘いッ！
P,どうです？
麗,うむ…久しぶりに舐めたが美味しいものだな
P,でしょう
幸子,仲良いですねえ
明,そうですね。手榴弾を間に投げ込みたいくらいです♪
幸子,素敵な笑顔で何を言っているんですか！
明,先輩は私のものですよ
幸子,アッ、これ三女も
P,ふぃー。仕事終わり。帰ろう
幸子,構！
P,今から飲みに行くんだ。また明日
幸子,はぁぁん！？いいんですか？めそめそしますよ？しくしく泣きますよ？1人でがんがん壁を叩き、プロデューサーさんへの恨みつらみを並べたて
P,お疲れ
幸子,…。ン゛ン゛ーーーーッ！！
ちひろ,振られちゃいましたね
幸子,ン゛ン゛ーーーーッ！！
ちひろ,鬼のような表情をしながらブリッジをしても何も変わりませんよ。ていうかパンツ見えてます。桃色
幸子,見られて困る人がいないので構いませんッ！
ちひろ,まあ…聖さんが先に約束していましたし、仕方がないですよ。ご馳走しますから私と一緒にご飯を食べに行きましょう
幸子,…。ありがとうございます…ちひろさんのこと、ずっとただのゲスだと思ってました…
ちひろ,いいんですよ。さあ、お店は予約してあるんです。行きましょう♪。あ、そうだ。他にも誘っている方々がいるんですがいいですか？
幸子,構いませんが…誰です？
ちひろ,どうぞー♪
麗,…
明,…
慶,…
幸子,アッ
ちひろ,どうかしましたか♪
幸子,あ、あの…どうしても外せない用事を思い出したのでボクは遠慮しておきますね
ちひろ,あら。それは残念です
幸子,ええ、では。プロデューサーさん…ご愁傷さまです…
ちひろ,さあ、いきましょう。場所は特定しています♪
麗,よし
明,はい
慶,ええ
P,ここの料理美味しいなあ
聖,でしょう。他の人はあまり連れてこない隠れ家のような場所なのですが…ぷ、プロデューサーは特別です。一番お世話になっていますから
P,それは嬉しいなあ。ところで相談って？
聖,ああ…いえ、そ、その…私もそろそろいい歳なので…最近、先のことを考えていると言いますか…///
P,？
聖,あ、あの…プロデューサーは今…付きあ。ものすごく聞き覚えのある声が
P,いまのって…
麗,おや偶然だなプロデューサー殿。それと聖
聖,
明,偶然ですね～♪久しぶりに姉妹水いらずでご飯を食べに来たら…聖お姉ちゃんがいるとは思わなかったなー♪
慶,しかも先生と一緒にいるなんて想像もできなかったね。どういうことだろうね
聖,い、いや…その…ただ同僚として飲みに来たというか…
明,じゃあ、ご一緒しちゃおうかな。隣、失礼しますね～、先輩♪
P,あ、はい
慶,私も反対側失礼します♪
P,あ、はい
聖,ちょっと待てっ！？
麗,どうした？同僚として飲みに来たなら問題ないよなぁ。聖？
聖,くっ…！
P,ええと…お三方、何やら目が怖いのですが…
慶,気のせいですよ
明,気のせいですね。聖お姉ちゃんと二人でご飯を食べようとしていたのがちょーっとだけ不公平だなと思っているだけですよ～
P,ｴｰ…
麗,細かいことはいいだろうプロデューサー殿。我々も純粋に疲れを癒しに来ただけなのだから…
聖,…。ええい！もうお前たちが来ても構うものか！プロデューサー！楽しみましょう！飲みましょう！
慶,そうです。楽しみましょう♪
Ｐ,ちょ
麗,おい。あまりくっつくな！
明,まあまあ。麗お姉ちゃん。今日はじっくりと付き合ってもらう予定なんですから…♪
Ｐ,お、俺、明日仕事だから早めに帰してほしいナー…なんて
聖,あ、いまの嘘ですね。明日、プロデューサーは仕事入ってないでしょう
Ｐ,何で知ってるの！？
聖,スケジュールはきちんと覚えているんです
慶,先生…嘘ついたんですね？
麗,これは罪深いなあ
明,許しがたいです…♪
聖,罪には罰ですね
Ｐ,ちょ
4人,今日は朝まで付き合ってもらいましょうか…♪
P,。犯人は？
幸子,チッヒ
P,教えてくれてありがとう
幸子,フフーン♪
まゆ,ふふふ…♪
ちひろ,あ、あの。許してもらえないでしょうか…？
まゆ,駄目ですよぉ♪プロデューサーさん直々にお願いをされたので…ちひろさんにはまゆと一緒に一日を過ごしていただきます♪。でも安心してください…もう二度とこんなことにならないように…まゆがちひろさんのこと、付きっ切りで教育して差し上げますから♪
ちひろ,
本作はTwitter上で忍宮さん,埼玉Pさん
