手紙,挑戦状
ちひろ,ドッキリいかがでしたか？楽しかったです？
P,自分の心構えを改めるべきだと思いましたよ…もう少しアイドルのことを見なきゃって…
加蓮,その通り。次は無いと思ってよ
李衣菜,そうですそうです！
P,うぅ…本当に悪かった…ごめんなさい…。ところでなんでみんなあんなにジュース渡してきたの？
智絵里,えっ
李衣菜,へっ？
まゆ,もしかして自分が今日ずっと何て呼ばれてたか気づいてないんですかぁ…？
P,え…みんなPさんPさんって…
ちひろ,…。あれみんなプロジューサーって呼んでたんですよ私含めて
P,え
美穂,あはは、それに気付けるようにって、ジュースをですね…
加蓮,何、アタシたちからのヒントにも気づいてなかったの！？
李衣菜,私はっきりヒント出してましたよね！？
ちひろ,一旦プロデューサー辞めてプロジューサーに転職したらどうですか？そのためのビデオ撮影の証拠ありますし
美城,専務の美城だ。君にプロダクションでジュース売りの仕事をしてもらいたい。悪くない仕事だから引き受けてくれ
P,ああああああもうやだああああああああああ！
