池袋晶葉,奈緒、良い道具の条件とはなんだろうね？
晶葉,そう、誰でも使える、誰が使っても同じ効果を得られる。果たして先ほど考察した操縦方法で運用される人型ロボットはこの条件を満たしているだろうか？
奈緒,考えるまでもなくNOだな。特に主人公が乗るヤツなんかはハイスペック過ぎて普通の人には扱えないとか、乗りこなすのに特殊な資質が必要だってパターンもあるから。余計に条件に合わないな
晶葉,うむ、やはりそういった特別な機体というのはフィクションの小道具としては非常に魅力的ではあるのだが・・・。兵器としては破格の性能であっても、万人が使う道具として適しているかは疑問符を打たざるを得ない
奈緒,ロマンとリアリティのせめぎあいってヤツか
晶葉,そうだな、フィクションはその落としどころが重要だ
奈緒,こうやって色々考えてみると、ロボットアニメってのは思った以上に奥が深いな。・・・
薫,あ、ころんじゃいそう！
小人,ッ！？
みりあ,大丈夫？
奈緒,ところでさ、晶葉
晶葉,ん？
奈緒,あそこで変な服着た薫と50cmくらいの小人が一緒に踊ってるよな？
晶葉,うむ、それも一糸乱れぬシンクロ具合でな
奈緒,アタシはあの光景の説明を近くに居た晶葉に求めたワケだけどさ・・・。このウンチク語りはまだ続くのか？
晶葉,ああ。というかここからが本題だ
奈緒,ようやくかよ・・・
晶葉,さて、先述のとおり人型ロボットの操縦は非常に複雑なものになると予想される。それをどうにかより簡単に、より直感的にする方法はないものか？。奈緒はマスター・スレイブ方式という言葉を聞いたことはあるかな？
奈緒,いや、ないな。マスターは主人って意味なのはわかるけどスレイブは・・・なんだっけ？
晶葉,奴隷や下僕という意味だな
奈緒,マスターがパイロットでスレイブがロボットってことか？
晶葉,そのとおり。マスター・スレイブ方式はコンピュータ業界でも使われる言葉で、複数の機械が協調して作業する際に命令を下すマスター機とその命令通りに動作するスレイブ機、という風に明確に役割分担することを指す。だがロボット業界においてはある特定の操縦方法を指すのだ
奈緒,うん、ようやく話が見えてきた
晶葉,このマスター・スレイブ方式の最大の特徴は・・・。パイロットの動きをロボットがそっくりそのまま再現する、という点だ
奈緒,はっは～、なるほどな！要するに機動武闘伝Ｇガンダム方式か！
晶葉,そう、あれと同じだ。パイロットが右手を上げればロボットも右手を上げる。パイロットが走ればロボットも走る、という操縦方式だ。実に単純明快だろう？
奈緒,あぁ、それなら動かすのに特別な訓練もいらないな
晶葉,然り、この方式ならば良い道具の条件もバッチリクリアしているだろう？。ともすればロボットの操縦方式におけるひとつの完成形と言えるかもしれない
奈緒,あぁ・・・ってことは・・・ようやくあの光景がなんなのか理解できたぞ。あの踊ってる小人がスレイブ、晶葉が作ったロボット。薫がマスターで、着てる変な服はマスターの動きを読み取るセンサーか。そんでもって誰でも使えるって条件を本当にクリア出来てるのか確認するために。敢えて小さい子どもに操縦させてる・・・つまりは新しい発明のテスト中ってわけだな！
晶葉,ご明察だ
奈緒,順序立てて説明してくれたおかげでスムーズかつディープに理解できたけどさ・・・。・・・ひとつだけ言わせてもらっていいか？
晶葉,なんだ？
奈緒,まわりくどいわ！！
晶葉,はっはっは、こればかりは性分でな
奈緒,まあアニメについて考察するのは面白かったからいいけど
晶葉,それはなによりだ
奈緒,アレさ、後でアタシにも試させてくれよ
晶葉,もちろんいいとも。存分に遊んで感想を聞かせてくれ
奈緒,ドモン・カッシュの気持ちになるでごぜーますよ！・・・なんて・・・な///
晶葉,プフッ！照れるくらいならやらなければいいものをw
奈緒,い、今のは忘れてくれ・・・///忘れなきゃ武力行使も辞さないぞ！
晶葉,わかったわかった、忘れよう。それと長話に付き合ってくれた礼に凛と加蓮には黙っておいてあげよう。なかなか可愛らしかったので忘れるのは少々惜しいがな
奈緒,う、う、うるさいっ///。あははっ、いや～それにしてもマスター・スレイブ方式か～ロボット操縦の完成形か～楽しみだな～
晶葉,さて・・・さきほどロボット操縦の完成形とは言ったものの、問題点がないわけではないのだ
奈緒,そ、そうなのか
晶葉,ああ、最大の問題点はロボットからパイロットへのフィードバックだ
奈緒,フィードバック・・・ねえ。なんとなくの意味はわかるけど、いざ説明しようと思ったら割りと難しい言葉だよな
晶葉,そうだな。今回の場合はロボットが得た情報をパイロットに伝える機能とでも言えばいいか。例えば我々人間の皮膚には温度や痛みを感知するセンサーが備わっている。沸騰したお湯に触れると熱いと感じ、反射的に火傷を負う前にお湯から離れようとするだろう。人体の感覚器官とは言うなれば危険を察知してダメージを最小限に抑えるための警告システムだ。マスター・スレイブ方式はロボットを自身の体の延長として扱うものだが、ロボット越しでは熱い、冷たい、何かに触れている、挟まれているなどといった感触までは得られない
奈緒,なるほど・・・感触がわからなけりゃ、知らないあいだにロボットが危険な状態に陥っちゃうかもしれないってわけか
晶葉,これを解決するためにはロボット側に高性能なセンサーを複数搭載しなければならず。ロボットの構造の複雑化につながり、コストや整備性の悪化、場合によっては防御性能の低下にもつながる
奈緒,防御性能かぁ、センサーって聞くとなんかこう、さ・・・
？,センサーは繊細・・・ふふっ
奈緒,そうそう、脆くてすぐ壊れそうなイメージがあるからなぁ
晶葉,物によりけりだが、単純な装甲面より脆弱であることは間違いないな。そしてフィードバックというからには、センサーが得た情報をパイロットに伝えなければならない
奈緒,つっても痛い、熱いを直接感じさせるわけにもいかないよな
晶葉,そうだな、パイロットにダメージがあると操縦に支障が出る
奈緒,じゃあモニターに警告メッセージが表示させる、みたいになるのか
晶葉,それはそれでダメージの深刻さを体感できないので、ロボットの状態を把握しづらいというデメリットもある
奈緒,バランスが難しいところだなぁ～
晶葉,さらにフィードバックから派生する問題点として、力学的フィードバック。そしてロボットとパイロットの動きの誤差がある。例えばロボットに何か掴ませたせたとしよう。この時パイロットの手に掴んだ時の抵抗感、重みなどが伝わらなければ・・・
奈緒,うっかり握り潰しちゃった、とか？
晶葉,そう、そんな冗談みたいなことが本当に起こる可能性が大いにある。他にも、そうだな・・・自分が放ったパンチを敵に受け止められてしまったとしよう。これもまた、パイロットが受け止められた抵抗を感じなければ、ロボットの腕は伸びていないのにパイロットの腕は伸びきっているという。マスター・スレイブ方式としては矛盾した状態に陥ってしまう。これを回避するためにはパイロットの動きに力学的にブレーキをかける装置が必要だ
奈緒,そんな装置着けたらコックピットが物凄いゴテゴテしそうだな
晶葉,うむ、それもパイロットの全身に、だからな。コックピットだけでちょっとしたパワードスーツのようになるだろう
奈緒,ん？この力学的フィードバックってさ、要するにロボット側の動きをパイロットに伝えるってことだろ？
晶葉,うむ、そうだな
奈緒,もし敵の攻撃を食らって派手に吹っ飛ばされたりしたら・・・
晶葉,何も補正がない場合、パイロットも同様の動きを強いられることになるな
奈緒,それヤバいだろ！？
晶葉,無論、ヤバいことになるだろう。凄まじいスピードでダメージを受けた動きをそのままパイロットに伝えると脱臼や骨折、下手をすると死に至る可能性もある
奈緒,ってことはもちろんある程度以上のヤバそうな動きは伝えないでカットするんだよな？
晶葉,パイロットの安全性を考慮すれば必然的にそうせざるを得ないだろう。しかしそれをやると結局、ロボットとパイロットの動きに誤差が生じてしまうわけだ。先ほど奈緒が例に挙げたＧガンダムのように高度な格闘戦を行う場合。自分とロボットが今どんな状態なのかを把握することは非常に重要な要素であると考えられる。誤差が生じるとその修正のために致命的な隙を晒すことにもなりかねない
奈緒,ヤバいのは全部カットってのも良し悪しってわけか
晶葉,こればかりは実際に運用してみて少しずつ妥協点を探っていくしかないだろう。さて、それでは最後の問題点だが・・・いやこれは問題点と言うべきかはわからないが・・・。今、私は実際に運用してみて妥協点を探る、と言ったな？
奈緒,うん、言った言った
晶葉,しかしな・・・。現在、こんな高度な操縦システムを使わなければならないほど高性能なロボットは存在しないのだ
奈緒,・・・・・・マスター・スレイブ意味ねえのかよ！！？。いやまあ、考えてみればそりゃ当たり前だけどさぁ！？
晶葉,うむ、ロボット製作者としてはまことに遺憾なのだがな
奈緒,え、なに？ってことは操縦システム完成させても宝の持ち腐れか？
晶葉,そう・・・今のところ机上の空論に過ぎない
奈緒,ロボットが実用化された未来に備えるって意味じゃ無駄な研究じゃないんだろうけど・・・。結果を実証できないってのも中々虚しいな・・・
晶葉,うむ、だからこそ私は行き詰まりを感じていてな。机上の空論を如何にして理想に近付けるか？何かしらのブレイクスルーが欲しいのだ。と、言うわけでな、今から財前女史に質問しに行こうと思う
奈緒,えっ？
晶葉,ん？
奈緒,いや、あの人ロボットとか機械に詳しいのか？
晶葉,そういう話は聞いたことはないな
奈緒,えっ？じゃあなんで時子さんに？
晶葉,マスターにスレイブと言えばあの人だろう？
奈緒,あぁ・・・言われてみれば・・・いやいやいや！。一瞬納得しかけたけどそれはおかしいだろ！？
晶葉,女性の場合はマスターではなくミストレスと言うべきだったかな？
奈緒,そういう意味じゃねーし！
晶葉,ハハッ、新しい発想というのは得てして意外なところから生まれるものさ
奈緒,それにしてもさあ、あの人気難しいことで有名だろ？。機嫌を損ねたら何されるかわかったもんじゃないぞ？。なあ、止めとけって
晶葉,気遣いに感謝する。それでも可能性があるかぎり立ち止まるわけには行かないのさ
奈緒,なんかカッコいいこと言ってるけども！。ア、アタシは止めたからな！どうなっても知らないぞ！？
晶葉,ああ、きっと無事に帰ってくるさ
奈緒,・・・・・・
時子,で、私に何の用かしら？
晶葉,本日は財前女史に・・・
時子,時子様
晶葉,・・・時子様にご教授願いたいことがあって来・・・参りました
時子,ふうん・・・
晶葉,私の質問についてなのですが・・・
時子,待ちなさい。貴女、普段はそんなしゃべり方じゃないでしょう？
晶葉,はい、しかし今は時子様に教えてもら・・・教えを請うている身ですので
時子,そう・・・子どもは嫌いだけど、身のほどを弁えた者はその限りじゃないわ。とは言え、使い慣れない敬語は耳障りね。特別にいつも通りに話すことを許可してあげるわ。さっさと要件を言いなさい
晶葉,そうか、それは助かる。私は今ロボットの操縦方法について研究していてな、その過程で良い道具の条件を・・・
時子,経緯に興味はないの。簡潔に要点をまとめなさい
晶葉,う、うむ・・・そうする。要点をまとめる、か。思考のキレの見せ所だな。・・・・・・よし、まとまったぞ！。時子様にとって良い豚とはどんな豚だ？
時子,悪くない質問ね。そうね・・・。・・・。・・・
豚Ｐ,・・・。お注ぎいたしましょうか？
時子,ええ、注ぎなさい
豚Ｐ,・・・
時子,いいわ、貴方は業務に戻りなさい
豚Ｐ,かしこまりました、何かあればいつでもお呼び下さい
時子,わかったかしら？つまりは、こういうことよ
晶葉,なるほどな！
時子,ここまで出来てようやく、私が飼ってあげてもいいくらいの価値があるかしら
晶葉,うむ、良い勉強になった。ありがとう、時子様！。そうだな、何かお礼をしたいところだが・・・
時子,ハッ！私が小娘から謝礼を巻き上げるほど困っているように見えるとでも？。必要ないわ、用が済んだならさっさと去りなさい
晶葉,そうか、ではこれで失礼するよ
時子,待ちなさい
晶葉,ん？
時子,気が変わったわ、やっぱり謝礼を要求しようかしら
晶葉,ああ、私に出来ることなら何でも言ってくれ
時子,貴女、こういう物は作れる？
晶葉,ふむ、ふむ・・・なるほどな。わかった、お安い御用だ
時子,費用はすべて私が持つわ
晶葉,了解だ、完成を楽しみにしていてくれ。ではな！
ちひろ,・・・。・・・ふう
ウサちゃんロボ,ウサ！
ちひろ,あら、ありがとう！気が利きますね！
Ｐ,・・・。さて、次は・・・
ウサちゃんロボ,ウサ！
Ｐ,おお！サンキュー、ウサちゃんロボ！
薫,・・・
ウサちゃんロボ,ウサ！
薫,えっ！？かおるとあそんでくれるの？やったー！
奈緒,なあ晶葉、最近ウサちゃんロボ大活躍だな
小人ロボ,～～♪
晶葉,うむ、そうだろうとも
奈緒,時子さんのアドバイスの成果か？
小人ロボ,～～♪
晶葉,ああ、時子様の助言のおかげで新たな思考アルゴリズムにたどり着いたぞ。時子様はこう仰られた。良い豚はまず主人の考えや好みを把握する。それを元に主人の意図を察して命令されるよりも先に行動するのだ。学習と推測、この２つが肝要だというわけさ。ウサちゃんロボにその教えを実践させてみたところ。周囲の人間を観察し、必要なことを先読みして行動できるようになったのだ
奈緒,はは～、すごいな。ウサちゃんロボ様々だ。ところでこのマスター・スレイブ方式のロボットの方は何か変わったのか？
晶葉,もちろんだとも。奈緒、バランスの悪い体勢をとってみてくれ
奈緒,ん、こんな感じか？
晶葉,改良前の小人ロボなら一度バランスを崩すとなす術なく転んでしまったのだが・・・
小人ロボ,！！？。ッ！！
奈緒,おぉ、踏み留まったな！
晶葉,小人ロボにはどんな体勢になると転んでしまうのかを学習させた。さらにマスターの動きを学習し、次にどんな動きをするのか推測する。これらの情報を元にバランスを崩しそうになると先んじて踏ん張るようにしたのだ
奈緒,地味だけど着実な進歩だな
晶葉,こればかりは劇的にはいかないものだ。少しずつ基礎を固めていくとするさ
奈緒,目指すはシャイニングガンダムだな！アタシが生きてる間に実用化してくれよ？
晶葉,はっはっは！ご期待に添えるよう頑張るとしよう。・・・さて、そろそろ休憩にしようか
奈緒,おっけー
ウサちゃんロボ,ウサ！
奈緒,サンキュー！いや～ホントに気が利くようになったな
晶葉,うむ、よくやったウサちゃんロボ！。ご褒美にあとで天然オイルを入れてやろう
ウサちゃんロボ,ウサ！ウサー！！
晶葉,ちなみにこれは私の意向なのだが、誉めてやったりご褒美をあげると学習効率が上がるようになっている
奈緒,ははっ！そりゃ愛着も湧くってもんだ。よ～しよし！これからも頑張るんだぞ～
ウサちゃんロボ,ウサー！！
奈緒,それにしても、ロボットにも飴と鞭が必要な時代が来るとはな～。時子さんとこの豚Ｐさんは鞭ばっかりで大変そうだけど・・・
晶葉,そんなことはないぞ、時子様はちゃんと豚Ｐさんのことを考えているさ
奈緒,えっ、そうなのか？
晶葉,うむ。実はな、時子様にあるものを作るよう頼まれたのだ
奈緒,何を作ったんだ？
晶葉,マッサージチェアだ。拘束具付きのな
奈緒,あぁ～・・・
晶葉,で、使っている所を見学させてもらったんだが
奈緒,見たのかよ！？
晶葉,不具合が出たらすぐに対応できるようにな
時子,貴方、また私の許可なく徹夜で仕事をしたそうね
豚Ｐ,申し訳ありません！しかしですね、あの量の書類は・・・
時子,アァン？勤務時間内に終わらせられない無能に口答えする権利があると思って？。命令よ。私が許可するまでその椅子から離れることを禁止するわ
豚Ｐ,あぁぁ！私のためにマッサージチェアをご用意していただけるとは光栄の極みぃぃ！！
時子,何を勘違いしているのかしら？別に貴方のためなんかじゃないのよ。豚が倒れでもしたら飼い主である私の品格が疑われる、それが我慢ならないだけよ
豚Ｐ,それでも感謝せずにはいられないぃぃ！！
時子,うるさいわねぇ・・・豚肉は豚肉らしく黙ってほぐされていればいいのよ！
豚Ｐ,ありがとうございます！ありがとうございます！！
時子,まったく・・・ついに日本語すら理解できなくなったようね
晶葉,という感じだったな
奈緒,時子さんもたいがい素直じゃないよなぁ
晶葉,フフッ、君にそう言われるとは相当なレベルのひねくれ具合のようだな、時子様は
奈緒,お、おい！それどういう意味だよ！？
晶葉,おや？そう突っ込むということは自覚があるという証拠ではないかな？
奈緒,う、う、うるさい！！
晶葉,ツンデレの気持ちになるでごぜーますよ！
奈緒,だぁぁぁあ！！もおぉぉぉお！！！
晶葉,はっはっはっはっ！！
