モバマス,アニメ
ルナ,私の外見のことなら、これは生まれつきのものだ
蘭子,あ……そうなんだ
ルナ,そういう君も、私と髪や瞳の色が似ているが
蘭子,私のは、カラコンとかで作ってるだけだから……その、かっこいいと思って
ルナ,……かっこいい、か
蘭子,あっ……ごめんなさい
ルナ,なぜ謝る？……ああ、そうか。苦労することも多いというのに、軽い気持ちでアルビノの外見を真似るなとでも私が考えていると思ったのか。だとしたらそれは勘違いだ。私はそんなことで目くじらを立てるほど器量の狭い人間じゃない。むしろ、そうだな。どちらかと言えば、気分はいい。この見てくれに関してかっこいいと言われたのは初めてだからな
蘭子,そうなの？
ルナ,ああ。大概敬遠される容姿だからな。そこにいるメイドは、以前情熱的な言葉をぶつけてきたこともあるが
朝日,ルナ様が美しいのは事実ですから
ルナ,人がからかっているというのに、臆面もなくそう答えられるところには呆れを通り越して感心するぞ
蘭子,……そっちの人は、本物のメイドさん？
ルナ,もちろんだ。小倉朝日という
朝日,はじめまして、神崎様
蘭子,さ、様っ！？は、はじめまして。きれいな人……すごく女子力高そう
ルナ,ところで神崎さん。そこの机に置いてあるスケッチブックは
蘭子,！？
朝日,ものすごい速さで隠した！
ルナ,………。私の勘違いなら謝るが、ひょっとして、衣装のデザインか何かを描いた絵があるんじゃないのか。意味もなくこの部屋にそれが持ち込まれているわけではないようだからな。君の反応を見る限りは
蘭子,………上手な絵じゃないから
ルナ,上手い下手は今はさほど関係ないだろう。それを課題として提出するわけでもないんだから。私は単純に、私のデザインした衣装を着る人間がどのような希望を持っているのか知りたいだけだ
朝日,神崎様。ルナ様は他の方の絵を笑うようなお方ではありませんたまにイタズラはするけど
蘭子,………じゃあ、これ
ルナ,ありがとう。………
蘭子,………
ルナ,……なんだ。あれほど恥ずかしがっていた割には、全然下手じゃないじゃないか
蘭子,ほ、本当？
ルナ,ああ、本当だ。もちろん、本格的なデザインとして見れば修正すべき点はいくつか……いや、かなりあるが。本職ではない人間が描いた絵としては、十分にうまい。神崎さん、そこにいる私の従者に見せてもかまわないだろうか
蘭子,うん
ルナ,ということだ。朝日、君も見るといい
朝日,それでは、拝見させていただきます。……わあ、これは華やかな衣装ですね！神崎様の想いの勢いが伝わってくるような絵です。このあえて歪さを残した翼などから考えると、イメージとしては悪魔といったところでしょうか
蘭子,えっと……近いんだけど、正確に言うと悪魔じゃなくて魔王
朝日,魔王、ですか？
蘭子,無垢なる天使の心は漆黒に染まり、堕ちた魂は祝祭を迎えて魔王へと覚醒する。禁忌の姿、闇をも統べる高貴なる波動……それが魔王ブリュンヒルデ
朝日,………？
ルナ,………？？。朝日、朝日小声。翻訳
朝日,えっ？ええっとですね……つまり、なんだかすごく強そう？
蘭子,むぅ……どうやら言霊がうまく刻まれないようね
ルナ,朝日、どうやら違うようだぞ
朝日,も、申し訳ありません
蘭子,闇の言葉を紡ぐ選ばれし詩人になるためには、瞳を持つことが必要よ
朝日,瞳ですか？ええと、多分何かの比喩表現だから……
ルナ,なるほど。これが君のフランクな口調というものか……なんだったかな。中二病というやつか
武内P,皆さん、話し合いのほうはいかがでしょうか――
蘭子,闇に飲まれよ！
朝日,や、闇に飲まれよ！
ルナ,朝日。左腕の突き出す角度が微妙にずれているぞ
蘭子,そ、そこまで正確にしなくても
朝日,いえ、これも神崎様を理解するための訓練です。私は必ずあなたの言霊を受け取るにふさわしい瞳を手にしてみせます！
ルナ,止めても無駄だよ、蘭子。朝日は愚直で頑固だから一度こだわりだすと徹底的にやるまで気が済まないタイプだ
蘭子,私だってポーズは結構ノリで決めてるのに……
武内P,……どのような状況なのでしょうか
ルナ,コミュニケーションの一環です。絆を育むレッスンです
武内P,はあ……わかりました
ルナ,では、我々はこれで失礼します。蘭子さんと話し合った内容をもとに、早速デザインに取りかかるつもりです
武内P,よろしくお願いいたします
ルナ,はい。蘭子、また会おう
蘭子,闇に飲まれよ！お疲れ様です！
ルナ,ああ。やみのま
朝日,闇に飲まれよ、です
武内P,神崎さん。どうでしたか、桜小路さんとお話しになって
蘭子,高貴なる魂、我が心を魅了する……とっても気品があって、かっこいい人でした！
武内P,そうですか。それは、よかったですね
蘭子,うむ！
瑞穂,それじゃあ、その神崎さんって子とお友達になったのね
ルナ,お友達かどうかは知らんが、連絡先は交換した
ユルシュール,珍しいこともあるものですわね。ルナが初対面の相手と友人になるなんて
ルナ,だから友達かどうかは知らんと
湊,ねえ朝日。その子と話してる時のルナ、どんな感じだった？
朝日,かっこいいと言われてとてもうれしそうでした
ルナ,朝日、後で私の部屋に来い
朝日,しまった。お気に障ることを言ってしまった
ルナ,蘭子さんの希望を取り入れながら仕上げたデザインがこちらです。テーマは傷ついた悪姫。美しさと妖しさ、それと少しばかりの禍々しさを意識しました
武内P,これは……素晴らしいデザインですね
蘭子,おお……！。私のグリモワールが姿を変え、より高位な存在へと昇華を果たした！
ルナ,光栄です
朝日,ここ最近、ルナはよく神崎さんとメールのやりとりを行っていた。アトリエにこもって絵を何枚も描いた後、細部について彼女の意見を尋ねる。だから、このデザインはルナと神崎さんの二人で作り上げたものなんだ。それはルナにとって初めてのことであり、本人も良い経験になったと語っていた
武内P,ありがとうございました。このデザインをもとに、神崎さんの衣装を製作させていただきます
蘭子,ククク……覚醒の時は近い！
ルナ,……これだけ元気に喜ばれると、描いた側も気分がいい
朝日,？扉の外から物音が……
未央,ちょ、みくにゃん押さないでっ
みく,みくじゃないにゃ！後ろのふたりが
みりあ,どうなってるのー？
莉嘉,蘭子ちゃんの衣装できたのー？
武内P,……すみません。私の担当しているアイドルです
ルナ,どうやら、仲間の衣装の製作進行が気になったようですね
みりあ,お姉ちゃんが、湊お姉ちゃんが言ってたルナさん？
ルナ,あ、ああ。そうだが
みりあ,赤城みりあです！あのね、この前湊お姉ちゃんにいーっぱい遊んでもらったの！
莉嘉,湊ちゃんって運動神経いいんだね！一緒に木登りしたんだけど、競争で負けちゃった
ルナ,そうか……湊と
朝日,ルナがこちらにアイコンタクト。君が相手をしろ、のサインだ。おしゃべりが大好きな子ども達の相手は、確かにルナにとっては苦手分野かな。ここは僕が受け持とう。湊様は身体を動かすのがお好きですからね。朝のランニングを日課にしているくらいです
みりあ,そうなんだ。……えっと、お姉ちゃん、誰？
朝日,ルナ様のメイドの小倉朝日と申します
莉嘉,メイドさんなんだ！アタシ本物を見るの初めてかも☆
未央,ウサミンは……メイド服着て働いてるだけだからちょっと違うか
みく,さすが、お嬢様のメイドだけあってなんだか気品？みたいなのが感じられるにゃ
朝日,ありがとうございます
未央,ねえねえ、一緒にアイドルやってみない？なんつって
朝日,お断りさせていただきます
未央,真顔で即答！？
武内P,………
みく,とにかく、これで舞踏会への準備がまたひとつ整ったにゃ
蘭子,私の新たなる形態の力、とくと見せてあげるわ
ルナ,確か、冬に君達のグループで大きなライブを行うのだったな
蘭子,ええ。集いし星が、新たな物語を世界に刻む……至上の宴となろうぞ。……いや。なろうぞ、ではなく、そうしなければならない、か
ルナ,……その舞踏会に、強い想いを賭けているんだな
蘭子,その通り！
ルナ,そうか。私が力を貸したんだ。成功してもらわなければ困る。だから、頑張れ
蘭子,……うんっ
ルナ,私達は、学生という身分に守られている
朝日,守られている、ですか。確かに、そういった面はあるのかもしれません
ルナ,かもしれないじゃない。間違いなくそうなんだ。フィリア学院という学び舎の中で、我々はいつか飛び立つための準備をしている最中だ
朝日,神崎さん達の立場と、比較なさっているのですか？
ルナ,ああ。彼女らはすでにプロだ。あの大男のプロデューサーがフォローしてくれるとはいえ、人気を得るためには自分達の力が必要不可欠。夢を叶えるために、とっくに飛び立っている存在なんだろうと、そう思った
朝日,立派、ですね
ルナ,そうだな。私達もその姿勢は見習うべきだ。まあ、さしあたってはクリスマスのフィリコレだな。当然狙うは連覇だ
朝日,皆様のお力で、最高の衣装を作り上げましょう
ルナ,その意気だ。当然君の働きには期待している
朝日,はい！頑張ります
蘭子,本当に、私の考えた衣装を着てライブできるんだ……。ルナさんがデザインしてくれたおかげでもっといい感じになったし、今から着るのが楽しみだなぁ。……桜小路ルナさん。クールで堂々としていて、とってもかっこいい人。髪の色も瞳の色も、素敵だと思う。私も、あれくらい自分に自信が持てるようになりたい。……あ、そうだ。今度、絵の描き方を、教えてもらえませんか……っと。送信。しばらくの間ダンスの振り付けを復習していると、ルナさんからの返事がかえってきた。やった！。勇気を出してお願いしてよかった～……あ、でもルナさんのお家ってすごいお金持ちなんだっけ。普通の格好でお邪魔していいのかな……うーん。結局、どんな服で行けばいいのかとか、そういうことにかなり悩んでしまった。でも、そうやって悩んでいる間も、楽しい気持ちは膨らんでいた。いつか私も、あの人みたいな絵が描きたいな……
凛,この前遊びに来たお嬢様達、みんなきれいだったね
卯月,ですね。なんだか雰囲気からして普通のことは違う感じでした
未央,でも、お嬢様に負けず劣らず、メイドの朝日ちゃんもすごかったよ
凛,私達は会ってないんだけど、どんな人だったの？
みく,背が高くてスタイルが良くて、まさに大和撫子って雰囲気の子だったにゃ
莉嘉,しゃべり方も丁寧でさー、絶対女子力高そうな感じだった！
未央,わかるわかる。こう、なんかすべてを受け止めてくれそうな母性を感じるというか
みりあ,……うーん
きらり,みりあちゃん、どうかしたにぃ？
みりあ,なーんか変な感じがするの
凛,変な感じ？
みりあ,朝日ちゃんは本当にかわいいんだけど……うーん、やっぱりいいや。よくわかんないし
莉嘉,えー？そこまで言われると気になるよー
みりあ,じゃあ言うけど……なんとなく、ほんとに女の子なのかなって
莉嘉,女の子なのかなって……実は男の子かもってこと？
未央,それはないでしょ。あの見た目で男の子なはずないって
みく,見た目から雰囲気、なにからなにまで女の子そのものだったにゃ
みりあ,……そうだよね。みりあの勘違いだよね！
莉嘉,そうそう☆
朝日,はっ！？
サーシャ,あら、どうかしたの？
朝日,いえ……今、急に悪寒が走ったというか。でも危ういところで命拾いしたような、そんな感覚が
サーシャ,ふむ。それはいわゆる美ックスセンスというやつね
朝日,シックスセンス……でしょうか？。あの出会い以降、神崎さんはたまに桜屋敷を訪れるようになった。初めて屋敷に足を踏み入れた時の目の輝きようは、それはもうおとぎ話の主人公のようで、なぜか屋敷の主でない僕まで誇らしく感じてしまうほどで。それから、彼女はルナ様以外のお嬢様方とも親交を深められ――
ユルシュール,煩わしい太陽ですわ！魂の赴くままに行きますわー、オホホホホ
朝日,ユルシュール様の日本語がさらに混沌めいたものへと化したりもした。さすがにまずいと思ったので湊と一緒に矯正したけれど。そんなこんななことがあり、今日も神崎さんはルナを訪ねて桜屋敷にやってきている
ユルシュール,蘭子は素直でいい子ですわ。少し言葉はわかりにくいですけれど
湊,ルナが気に入るのもわかるね。なんか妹みたいだし
ユルシュール,素直で心根がいいという点は、朝日と似ているかもしれませんわね
瑞穂,そうね。朝日と似て……似て……
湊,ん？どしたの瑞穂、急に固まって
瑞穂,……ねえ蘭子さん。あなた、ちゃんと女の子よね？
蘭子,……？
瑞穂,本当は男の子だったとか、ないわよね？
蘭子,？？？わ、我が魂は出づる刻より姫としての属性をれ、れっきとした女の子です
朝日,申し訳ございません申し訳ございません私のせいで瑞穂様が疑心暗鬼に
衣遠,………
蘭子,………
ルナ,お義兄様。あなたが睨みつけているせいで、私の友人が怯えてしまっているわけだが
衣遠,睨みつけてなどいない。義妹に新しくできた友人とやらを品定めしているだけだ
ルナ,あなたは眼力が強すぎるんです
衣遠,生憎とこの顔は生まれつきだ
蘭子,………
衣遠,しかし、アイドルか
ルナ,何か文句でも？
衣遠,いいや。俺も部下や親戚との他愛のない雑談の中で、アイドルに関する話題は耳にしている。その会話の中で、神崎蘭子という名前が出てきたことを思い出した。俺の記憶が正しければ、新進気鋭のアイドルのひとりとして、悪い評価は受けていなかったはずだ
蘭子,！
ルナ,ほう。では彼女の才能を認めると
衣遠,俺は己の目で見たものにしか評価は下さない。もし俺が彼女の才能に言及することがあるなら、それは少なくとも俺自身が彼女のアイドルとしての姿を見てからだ
ルナ,この男がアイドルのライブ会場にいる光景が想像できない
蘭子,ペンライト振ってくれるのかな
りそな,久しぶりに日本に戻ってきたら桜屋敷に新キャラ追加されてました。ゴスロリで年下キャラ。深刻なキャラ被りです。早急な服装チェンジを要求します。つかそれに加えて銀髪邪気眼とか設定盛りすぎです
遊星,変なこと言ってないで、仲良くしたらいいのに
りそな,妹、アイデンティティが若干クライシスです
遊星,その後の話を、少しだけ。冬に入ると、僕やルナ達はフィリコレのための衣装作りに、神崎さんは舞踏会の最終準備に追われる毎日。それぞれが、それぞれの夢や目標のために全力を尽くした。道のりの途中、険しい壁にぶつかることもあったけれど、僕達は若さに任せて走り抜けた。その結果がどうなったのかは、ここでは詳しく語らないでおこうと思う。でも、ひとつだけ。僕も、ルナも、神崎さんも、他の皆様も……すべてを終えた後、こう思うことができた。ああ楽しかった！と
普段はモバマスや遊戯王のSSを書いているのですが、つり乙のSSをまったく見かけないので自分で書きました,クロスですが
