※,コントっつーか漫才じゃね？
瑞鶴,……そう、おじいちゃん、本気なのね？
翔鶴,加賀さん、元特殊部隊所属のお爺様がこの場を治めてくださるそうです
加賀,さっきのアイドルオタクの人？またエッジの効いた設定を盛り込んできたわね
瑞鶴,ただ、報酬として加賀さんにやって欲しいことがあるって
加賀,……何かしら？
翔鶴,加賀さんのステージを一番間近で見せてもらいたいだそうです
加賀,それなら願ってもないわ、やっぱり私のファンだったのね
瑞鶴,よかったねおじいちゃん、加賀さん受けてくれるんだって！
翔鶴,ついに始まるのね、レジェンド二人の至高のMCバトルが……！
加賀,ラップは断固拒否します、いい加減にしなさい
翔鶴・瑞鶴・加賀,どうも、ありがとうございました
