しかしある日私はとうとうこいつを,汚して
ペパロニ,試合っすかぁ……
アンチョビ,不安か、ペパロニ？
ペパロニ,うーん、いや、大丈夫っす！。ねぇさんについていきます！
アンチョビ,もうマジノ女学院との試合を取り付けてある
カルパッチョ,結構強いところですね
ペパロニ,ええ！か、勝てるんすか！？
アンチョビ,もちろんやるからには勝つ気でいくぞ！そのために作戦会議を行う！
ペパロニ,うわぁあ、すっげぇ！。ねぇさん！相手はこんなにいっぱいいるのに勝てるんすか！？
アンチョビ,落ち着け。試合はあくまで一対一で行う。ちゃんと対等な勝負だ
ペパロニ,じゃあなんでこんなに戦車があるんすか！？
カルパッチョ,戦力差を見せ付けてこちらの戦意を削ぐ作戦よ。惑わされないで
ペパロニ,な、なるほど……
アンチョビ,さあ試合開始だ！アーヴァンティ！
ペパロニ,はい、ねぇさん！
アンチョビ,試合中はドゥーチェと呼べ！
ペパロニ,はい、ドゥーチェ！。まずはどっちに行きますか？
アンチョビ,作戦通りA地点に向かえ
ペパロニ,A地点ってどこですか？
アンチョビ,はぁ？お前昨日の作戦会議聞いてなかったのか！
ペパロニ,聞いてましたよばっちり！。一つも意味分かりませんでしたけど！
アンチョビ,はぁあ゛あ゛あ゛あ゛！？
ペパロニ,あいつらっ！後ろから隠れて撃ちやがった！
アンチョビ,おいやめろペパロニ！
ペパロニ,だってねぇさん！あいつら卑怯っすよ！見えないところからいきなり撃つなんて！
アンチョビ,いや、そういうのも試合だから！。いいかペパロニ、この戦いではどんな手段でも許される。勝つためならなんでもやっていいんだ
ペパロニ,でも、納得できないっす！
アンチョビ,負けて悔しいか？
ペパロニ,はい！
アンチョビ,なら、次勝てるように努力しろ。作戦はよく聞け。敵の警戒も怠るな。それが戦車道だ
ペパロニ,……
アンチョビ,分かったようだな。それじゃあ今日の試合も終わりだし、帰るとしよう
カルパッチョ,それなんですが、ねぇさん
アンチョビ,どうしたカルパッチョ？
カルパッチョ,カルロ・ベローチェが走行不能になってしまったので帰れません
アンチョビ,……。あ゛あ゛あ゛あ゛あ゛！しまったぁあ！。ふぅ～、なんとかなって良かった～
カルパッチョ,優しい方々で良かったですね
ペパロニ,……不思議なもんっすね
アンチョビ,何が？
ペパロニ,こっちは相手に殴りかかったのに、そんな私たちを助けてくれるなんて
アンチョビ,それも戦車道さ
ペパロニ,そんなもんなんすかねぇ……
カルパッチョ,また負けちゃいましたね……
ペパロニ,うちが勝てる学校あるんすかね……
アンチョビ,おいどうした？顔が暗いぞ！
ペパロニ,だってぇ！二回連続で負けちゃったじゃないですかぁ！。うちらまだ勝ちなしっすよぉ！
アンチョビ,それがどうした！負けたらそれを糧にして次に活かせばいいんだ！
ペパロニ,それでも次勝てる保障なんてないじゃないすかぁ
アンチョビ,アホ！最初から勝ちが決まってる勝負などあるか！
ペパロニ,はぁ～、うちってもしかして弱小校ってやつなんじゃ……
カルパッチョ,もしかしなくても……うん
アンチョビ,アンツィ～オは弱くない～強いぞ～強いぞ～！
カルパッチョ,ねぇさん！？
アンチョビ,ほら、お前らも歌え！アンツィ～オは――
ペパロニ,ええ！？なんすかその歌は？
アンチョビ,負けたときに頑張る歌だ！
ペパロニ,そんな歌あるんすか！？
カルパッチョ,まるで今思いついたような歌ですね……
アンチョビ,アンツィ～オは弱くない～！強いぞ～強いぞ～！
ペパロニ,えぇ……
アンチョビ,だから！A地点はここだってさっきから何度も言ってるだろっ！。ああっ！もう、なんで分からないかなぁ～！
カルパッチョ,あのねペパロニ、この作戦はこういうことで――
ペパロニ,う～、狭いっすよねぇさん
カルパッチョ,二人乗りの戦車ですから、三人はちょっと無理がっ……
アンチョビ,ペパロニもっと詰めろ
ペパロニ,三人乗る必要あるんすかぁ？
アンチョビ,おいしいサラダを作るには三人必要という。これも勝利のためだ。今回はフルメンバーで行くぞ！
ペパロニ,ひぃ～。……え？
カルパッチョ,やりましたね、ねぇさん！
アンチョビ,やったぞ！我々の初勝利だ！
ペパロニ,いや～、やりましたね、ねぇさん！。初勝利っすよ！初、勝、利！
アンチョビ,だから言っただろう！一度の負けは決して無駄にはならない。敗北は勝利への通過点なんだ！
カルパッチョ,そうですね！
アンチョビ,アンツィ～オは弱くない～！強いぞ～！強いぞ～！
ペパロニ,私も歌います！アンツィ～オは弱くない～！
カルパッチョ,えっ、それ負けたときの歌なんじゃ……？
アンチョビ,細かいことは気にするな！
ペパロニ,そうだ！カルパッチョも歌え！
カルパッチョ,そうなんですね、うっふっふ。それじゃあ私も――。みなさん、こんにちは
アンチョビ,セモヴェンテ用の消耗品を発注しないとな～
ペパロニ,セモヴェンテってあの大きい戦車っすか？
アンチョビ,ああそうだ。そろそろ使えるように仕上げていかないとな
ペパロニ,でもどうせ使わないじゃないすか。いつもタンケッテで試合してるし
アンチョビ,いや、これは来年に公式大会に出場するために絶対に必要な戦力だ
カルパッチョ,消耗品だけでいいんですか？。装甲とエンジンのパーツも交換が必要なものがたくさんありますけど
アンチョビ,そんなものを全部買っていたら金が足りないからな。二、三台部品取りにして残りの車両を完成させるしかないな。というわけで明日戦車ショップに行くからな
ペパロニ,タンケッテで行きます？
アンチョビ,いや私のチンクで行く。そうだペパロニ、チンクのオイル交換をしておいてくれ。頼むぞ
ペパロニ,はい了解っす！
アンチョビ,よし、車を出せ
カルパッチョ,何だかエンジン変な音してません？
アンチョビ,おいペパロニ！ちゃんとオイル交換したんだろうな？
ペパロニ,はいばっちり！フルコースでやっておきましたよ！
アンチョビ,本当だろうなぁ？。なんてことをしてくれるんだぁあ゛あ゛あ゛あ゛あ゛！。いいかみんな！もうすぐ入学シーズンだ
カルパッチョ,そうですね！
ペパロニ,頑張って新入生を呼び込みしましょう！。すごいじゃないっすか！。タンケッテ買いまくって、改造もしましょう！
カルパッチョ,それよりこの予算があれば重戦車を今すぐ買った方がいいんじゃないでしょうか？
アンチョビ,よーし！これで全国大会に出場決定だ！。一年生諸君！ようこそ我が戦車道クラスへ来てくれた！。私はドゥーチェ・アンチョビ！アンツィオの隊長だ
カルパッチョ,ドゥーチェというのは統帥のことよ
ペパロニ,私たちのねぇさんってことだ
アンチョビ,お前たち喜べ！諸君は我がアンツィオが栄光を獲得する一年を目撃することになるのだ！。戦車道全国大会。それが我々が勝利を手にする舞台だ。我々はここで必ず勝つ！しかしそのためには諸君の力が必要だ！。心配するな！
ペパロニ,ドゥーチェについていけば間違いない！
アンチョビ,いやいや！ちょっとは心配しろ！。お前たちも戦車に乗って試合に出るんだぞ！
カルパッチョ,戦車で分からないことがあったら、私たち先輩がいつでも指導するわ
アンチョビ,そう、大丈夫！勝つための力をお前たちに与えてやる。この一年を私と共に頑張ろうではないか！。それじゃあ、このあと車庫に行って戦車の点検を――。なっ……なっ……！
カルパッチョ,あらまぁ……
ペパロニ,すごいっすよ、ねぇさん！全国大会一回戦突破っすよ！。このまま次もぶちかましましょう！。ねぇさん車の整備やっておきますよ！。え？そんなぁ～、遠慮しないで任せてください！。最高っすよ、ねぇさん！。アンチョビねぇさぁーん！。ウィッグ外せばいいじゃないすか～。それ地毛だったんすかぁ～～
カルパッチョ,ちょっと、ペパロニ！起きて！
アンチョビ,まったく！人の家に勉強を教えてもらいに来て居眠りか
ペパロニ,……あれ……
アンチョビ,いいか、副隊長として赤点は絶対に許さないからな
ペパロニ,ああ、そっか……私ねぇさんの家に……
カルパッチョ,そろそろ疲れてきましたし、今日はもう寝ましょうか
アンチョビ,ふん。そうだな。今日はこれくらいにしといてやろう。それじゃあ客用の布団を出してくるから
ペパロニ,え！？今日ねぇさんちに泊まりなんすか！？
アンチョビ,はぁ？お前が泊まりたいって言ったんだろうが！
ペパロニ,それなら布団はいらないっす！
アンチョビ,じゃあどうやって寝るんだよ
ペパロニ,ねぇさんのベッドで一緒に寝ます！
アンチョビ,はあああああ！？。な、な、何言ってんだお前！
カルパッチョ,あっ！それいいですね。私も一緒に寝たいです
アンチョビ,おい、カルパッチョまで！
ペパロニ,さあさあ、ベッドに行きましょう
アンチョビ,こらっ、触るな！
カルパッチョ,こっちですよ、ドゥーチェ
アンチョビ,だから、やめろって！。おい近づくなペパロニ！
ペパロニ,しょうがないじゃないっすかぁ。狭いんすよ～
アンチョビ,だから布団出すって言ってるだろう！
カルパッチョ,うふふ、私たち狭いところに押し込められるのしょっちゅうじゃないですか
アンチョビ,私のベッドに押し込んだことなんてないぞ！
ペパロニ,あ、そういえばこのベッドねぇさんのにおいがする
アンチョビ,おい嗅ぐな！息したら殺す！
ペパロニ,そんな～、死んじゃいますよ～
アンチョビ,ひゃあっ！今触っただろう！
ペパロニ,いや、ちょっと手が当たっただけですって～。ねぇさんは敏感っすね～
アンチョビ,だから近づくな！。ちょっと顔近い！顔近いからぁ！。キ、キ、キスしちゃう、だろうがぁ！
ペパロニ,あ～、今私の体触りましたね
アンチョビ,触ってない！触ってないから！
ペパロニ,いいんすよ～、ねぇさんならいくらでも触ってくれて！。キスしてもいいですよ！
アンチョビ,何言ってんだっ！。そういうのはもっとちゃんと好きな人とだな！
ペパロニ,だって私ねぇさんのこと好きですもん
アンチョビ,やめんか！
カルパッチョ,ほらペパロニ！私が後ろから捕まえておくから今のうちに！
アンチョビ,こらカルパッチョ何をする！？
ペパロニ,それじゃあ、ねぇさん、観念してください
アンチョビ,わあ゛あ゛あ゛あ゛！だめっ！だめだから！。なぜだ！物理的におかしいだろう！
ペパロニ,ねぇさぁ～ん、まーだ怒ってるんすか～？
アンチョビ,別に！。おいペパロニ
ペパロニ,はいねぇさん、なんすか？
アンチョビ,今日授業が全部終わったら話がある
ペパロニ,分かりました！カルパッチョも呼びます？
アンチョビ,いやお前だけでいい。調子良さそうだな、ベスパ
ペパロニ,はいもちろん！ばっちり手入れてますから！。ねぇさんのチンクも調子いいっすよね？
アンチョビ,ああ。誰かさんのせいでガソリン馬鹿食いしてるけどな
ペパロニ,それで、話ってなんすか？
アンチョビ,……りんご食べるか？
ペパロニ,くれるんすか？じゃあいただきます
アンチョビ,うまいか？
ペパロニ,え？……あ、はい、うまいっす
アンチョビ,そのりんご、出店で買ってきたんだけど。ほら、お前の友達がやってるところだよ
ペパロニ,ああ！あいつっすか！。学園の敷地の中で果樹園やってるんすよね～。土とか水とか色々調整が難しいらしいっすよ
アンチョビ,ああ、そうだろうな。でもすごくおいしく実がなってる
ペパロニ,ま、私には難しいことは全然わかりませんけどね
アンチョビ,いいんだよ。お前にはお前のやれることがあるんだから
ペパロニ,そうっすね
アンチョビ,今日ここに呼んだ理由、もう分かってるよな？
ペパロニ,え？全然分かりません
アンチョビ,……。そうか。ペパロニ、お前に次の隊長を任せたい
ペパロニ,ええっ！？。私が隊長！？なんでぇ！？
アンチョビ,お前本当に分かってなかったんだな……
ペパロニ,だ、だって！ねぇさん戦車道やめちゃうんすか！？
アンチョビ,何言ってるんだ。卒業するんだよ
ペパロニ,卒業……
アンチョビ,私ももう三年生だからな。だからもう引退だ
ペパロニ,そんなのいやっす！。ねぇさん行かないでください！。これから誰についていって戦車道したらいいんすか！？
アンチョビ,……。お前が引っ張っていくんだよ。後輩を
ペパロニ,私が……
アンチョビ,今度大洗との練習試合があるよな。車両数は向こうに合わせて8対8、公式ルールに則ってフラッグ戦だ。これが私が隊長を務める最後の試合になる。だが戦闘での指揮はペパロニに全て任せる。お前は私のフラッグ車を含めて全車両に指示を出すんだ。そこでお前が隊長に相応しいかどうか見極める
ペパロニ,私が指揮を……
アンチョビ,不安か？やめたいか？
ペパロニ,はい！やります！。任せてくださいねぇさん！やるからには必ず勝ってみせます！
アンチョビ,そうか。お前ならそう言ってくれると思ったよ
ペパロニ,はい、もちろんです！
アンチョビ,それじゃあ試合を楽しみにしているぞ
カルパッチョ,ペパロニ？
ペパロニ,ん？カルパッチョか？
カルパッチョ,どう、作戦の方は？順調に進んでる？
ペパロニ,おう！絶対ねぇさんを勝たせてやりたいからな！。ほら見て！試合開始からの動きのパターンを、相手の行動予測別に考えてみたんだ
カルパッチョ,へぇ……すごいじゃない！。これ全部自分で考えたの！？
ペパロニ,へへん、どんなもんだい！。私も副隊長だし、これくらいできて当然よ！
カルパッチョ,ふーん、あ、でもここのところ……
ペパロニ,ああっ！だめ！これは私一人で考えるんだから！。カルパッチョは口出し無用
カルパッチョ,そう？それならいいけど……
ペパロニ,ねぇさんを安心して送り出したいんだ。そのためには私一人の力でやらなきゃ意味がない
カルパッチョ,私はいつもペパロニのすぐそばにいるからね。頑張るのもいいけど、あんまり無理はしないでね
何も問題がないか最後にねぇさんに聞いてみると、ねぇさんは,私から言うことはない
ペパロニ,おうよ！絶対勝って、ねぇさんを喜ばせてやろうぜ！。よっしゃ、もうこれでいい！一旦引くぞ！。ビビってんじゃねぇ！。おいカルパッチョ！。タンケッテで援護しに行くから、セモヴェンテは敵がいたら逃げろ！。おい大丈夫か！？ケガしてないだろうな！。なんだ！？ケガ人か！。あっ……。な～に言ってんだ。大丈夫だ！心配すんな！。立て直せたら復帰してこい！でも無理するなよ。なんだなんだ、どうした！。落ち着け！IV号にそのまま突っ込んで行け！。すぐ近くをかすめていくんだ！それなら撃たれない！。え～っと、予定変更してP40にはこれから動いてもらいます。行き先は――
カルパッチョ,ペパロニ……？。ペパロニ大丈夫？
ペパロニ,カルパッチョ……。ねぇさん、もう引退なんだよね……
カルパッチョ,ペパロニ！
アンチョビ,お、お、お、おおおおい！ど、ど、どうしたペパロニ！？。うわぉっ！
ペパロニ,ねぇさん……ねぇさん……！
アンチョビ,本当にどうしたんだよぅ……。今まで負けたって泣いたことなんかなかったじゃないかぁ……
カルパッチョ,ねぇさん……ペパロニは……ペパロニは……うぇぇ……
アンチョビ,カルパッチョお前もか！
カルパッチョ,ねぇさんの最後の試合を勝たせてあげたくて……それで……
アンチョビ,ああ……そういうことか……まったくもう……。そんな慣れないことして……
ペパロニ,うぇ……うぇっ……
アンチョビ,ほらしっかりしろ！新しい隊長になるんだぞ！
ペパロニ,ダメっす……！私なんかじゃ……。ねぇさんみたいにはできないっす！
アンチョビ,なにを言っている。ほら、後ろを見てみろ。ほらな。お前がやってきたことは何も間違ってなかったんだ
ペパロニ,でも……負けたのに……
アンチョビ,忘れたのか？負けも勝つための道の途中だ。ほら、これを持て
ペパロニ,これは……。こ、これ、ねぇさんの鞭じゃないっすか！
アンチョビ,これからはお前がドゥーチェだ
ペパロニ,……
アンチョビ,まさか受け取らないとか言わないよな？
ペパロニ,……はい！ねぇさん
カルパッチョ,さあドゥーチェ・ペパロニ、どうぞ
ペパロニ,っいよっしゃあああああああああああああああ！。お前らぁ！。今日は負けた！でも次は絶対勝つぞ！。来年こそ全国大会優勝だぁあああ！。このドゥーチェ・ペパロニに続けぇええ！
みほ,あの……大丈夫でしたか……？
アンチョビ,ん？見ての通りさ。迷惑かけたな。パーティは遅れそうだ
みほ,いえ、こちらは大丈夫です
アンチョビ,今回は次期隊長に指揮を任せたんだ
みほ,え？そうだったんですか？。とても勉強になる試合でした。てっきりアンチョビさんが指揮しているものだとばかり……
アンチョビ,そうだろう？。後輩ってさぁ……勝手に成長していくもんなんだなぁ。最初の頃は私がみんなを引っ張っていく気で満々だったのに。いつの間にか私の方がみんなに持ち上げてもらってたんだ
みほ,アンチョビさんのご指導の賜物じゃないですか？
アンチョビ,私があいつらに教えてやれたことなんて、ほんのちょっとのことだよ。私は嬉しいんだ。みんなが育っていくことが
みほ,素敵な後輩さんばかりで羨ましいです
梓,お～い西住隊長～！
佳利奈,パーティ始まりますよ～！
優季,早く来ないと全部食べちゃいますよ～
みほ,あっ
アンチョビ,なぁんだ、あんたにもいるじゃないか、素敵な後輩が
みほ,はい！自慢の後輩です！
アンチョビ,やっぱり少し寂しいものがあるよな。送り出される側は
みほ,……あ、はい、そうかもしれませんね。私はあと一年あるのでまだよく分かりませんが
アンチョビ,え？
みほ,え？
アンチョビ,あ゛あ゛あ゛あ゛あ゛！お前まだ二年生だったのかぁあ゛あ゛あ゛あ゛！
みほ,そう……です
アンチョビ,しまったぁあああっ！来年もいるんじゃないか！。こうしちゃいられない！
みほ,あっ……
アンチョビ,おいペパロニ！
ペパロニ,え？なぁんだねぇさん、まだいたんすかぁ？
アンチョビ,当たり前だ！。ってそうじゃない！来年も西住みほが出てくるんだぞ！
ペパロニ,そりゃそうっすよ！だって私と同い年ですもん
アンチョビ,来年はその西住みほを倒すんだからな！
ペパロニ,はい！このペパロニに任せてください！
アンチョビ,いや、打倒西住のためにこれから私が作戦立案についてみっちり叩き込んでやる。ついて来い！
ペパロニ,え？ちょっ、ちょっと引っ張らないでくださいよ！。ほらほら落ち着いてねぇさん。今日のところはほら、みんなでパーティしましょうよ～
アンチョビ,いや、今までの私が甘かった。今すぐうちに来て戦車道の勉強だ！
ペパロニ,えええっ！？。だってねぇさん、もう引退なんじゃあ！？
アンチョビ,アホ！まだ二学期も三学期も残ってるから学校にはいるぞ！。これから毎日勉強会だ！
ペパロニ,そりゃないっすよぉ！。おいお前ら！裏切り者っ～！
アンチョビ,抵抗するな！行くぞ！
カルパッチョ,ほらペパロニ、私も一緒に付き合うから頑張りましょ？
ペパロニ,いやだぁああああああっ！。うわあああっ！パスタぁ～！ピザぁ～！
アンチョビ,いいかげん観念しろ！
