美城常務,ふむ、全員集まったようだな。では、月初のプロジェクトクローネ会議を行う
常務,ユニット名は“りっぷす”で、楽曲名は“ちゅーりっぷ”に決定している
奈緒,発音カワイイな！
文香,LIPPSのTurrrrrrrrrrrrrrrrrlip……素敵な名前ですね
ありす,巻き舌！？
凛,ありす大変そう……
常務,このユニッ……クインテットについては、また後日、集まって打ち合わせを行うから覚えておいてくれ
加蓮,言い直す必要はないでしょ
常務,何か聞きたいことは？
周子,はーい！
常務,どうした、砂糖谷
奈緒,そっち残しちゃった！
周子,リーダーとかって決まってるの？
常務,良い質問だ
奈緒,良い質問へのハードル低くないか？
常務,こちらとしては、奏っちに任せたい
凛,さっきまで間違って呼んでたのに急にニックネーム！？
奏,私に？
常務,ああ、適任だと考えている
周子,ええと思うよ？
奏,周子……
フレデリカ,うんうん！奏ちゃんなら安心安心！
奏,フレデリカ……
文香,コーホー……
奏,ウォーズマン……
ありす,何で茶化しに行ったんですか文香さん！？
唯,ちょ、ちょっとちょっと～！ゆいはどーなるの～？。その……“りっぷす”？はいいけどさ！ゆいはその間お仕事ナシ！？
常務,良い質問だ
奈緒,良い質問のバーゲンセールだな
加蓮,煽りなら相当レベル高いわね
常務,高槻には別の仕事を用意してある
奈緒,その言い間違いはヤバいんじゃ！？
唯,え！？なになに？
常務,ソロでCDを出してもらう
奈緒,案外デカい仕事もってきたよ！
唯,ええ！？
凛,ほら唯もビックリしてる
唯,武道館ライブじゃないのかー……
加蓮,まさかのわがまま
唯,なんてね！じょーだんじょーだん☆
常務,冗談か、心臓が止まるかと思ったところだ
奈緒,この人、すげえいい人だな？
常務,これも、他部署のメンバーと同時展開となる。空手家、中二病、花好き、料理人と共に頑張ってくれ
奈緒,ふざけたRPGのパーティかよ
常務,ここまでで何か聞きたいことはあるか？
凛,まともな質問が来る気がしないのによく聞くね
フレデリカ,はい！
常務,なんだ
フレデリカ,先ほどの“LIPPS”というユニットにつきましてですが、主なターゲット層と、それに向けた広告等のマーケティング手段などについて説明をいただいた上で、掛かる初期費用の概算と見込まれる経済効果及び利益を出すための最低収益額と想定利益の資料を、企画段階のもので構いませんのでよろしくお願いいたします
凛奈緒加蓮,！？！？！？！？
常務,よ、良い質問だ……
奈緒,動揺してる！！！
常務,……
みんな,……
文香,……。……フレデリカさん
フレデリカ,どーしたの？
文香,……シンデレラが、魔法使いの魔法について言及するのは野暮というものです。その魔法の裏で何が起きていようとも、魔法使いの思惑がどこにあろうとも。ドレスと舞台を与えられたシンデレラは、いかにして自分を表現するかだけを考えていなくてはなりません。打算を孕んだ微笑みでは、誰の心を惹きつけることもできませんよ？
加蓮,急に良いこと言い出した！？
凛,でもなんでシンデレラの例えを使っちゃったの！それこっちのプロジェクトで美波あたりに言ってほしかった！
常務,……そういうことだ
奈緒,乗っかったぞおい！
フレデリカ,なるほどー！さすが常務！
奈緒,気づいて！100％文香さんの手柄だから！
ありす,文香さん……
加蓮,１人落ちてるし！
常務,では、次は橘と鷺沢のユニットについてだな。２人には伝えてあるが、先のライブでの評価が上々だったため、このユニットはもう少し続けてもらうつもりだ。２人の仲も特に問題があるようには見えないからな
ありす,あ、ありがとうございます
文香,ZZZ……
ありす,こ、このタイミングで！？
常務,そろそろバラエティ番組などへ幅を広げても良い頃合いかもしれないな
凛,常務からバラエティって単語が出るとは……
ありす,バラエティですか……クイズ番組とかならなんとかなるかもしれませんが……
常務,わかった、ではネプ○ーグ、Qさ○、筋○番付にオファーを出しておこう
ありす,最後！！！
文香,……20段まではパスで
ありす,イメトレが早すぎる上に自信過剰！
加蓮,ありすがツッコミしてくれるとすごい楽ね
常務,他に何か要望はあるか？
ありす,私は大丈夫ですが……文香さんはなにかありますか？
文香,常務にこの間貸した本を返していただきたいのですが……
ありす,急に個人的な話ですね
常務,ああ、すまない、ちょうど昨日読み終えたところだ、すぐに返そう
唯,何の本ー？
フレデリカ,少女漫画とかかな？
奈緒,さすがにそれは……
常務,“ぐりとぐら”だ
ありす,絵本！？
加蓮,ナナメ上が過ぎるわよ！？
常務,では最後に……
凛奈緒加蓮,！
常務,トリャイア……トリャ……
みんな,……
常務,トル……トラウィ……トラリラ……
みんな,……
常務,トライアドプリュ……トリャ……
みんな,……
常務,……ふう。渋谷、神谷、北条についてだが
凛奈緒加蓮,諦めた！！！！！
常務,まずは、先月発売のCDの売り上げが好調であることを褒めておく、おめでとう
奈緒,あ、ありがとうございます
常務,特に原宿
凛,渋谷です
常務,ニュージェネとの掛け持ちでありながら、どちらのユニットも大人気、流石は代々木といったところか
凛,渋谷です
常務,この調子ならソロCDの話も近いかもしれないな、新宿には期待している
凛,１駅ずつ的確に山手線で渋谷から遠ざかるのやめてくれない！？
常務,まあ、高田馬場についてはこのくらいにして
加蓮,順番的には新大久保でしょ！？
凛,そもそも渋谷だよ！
文香,四ツ谷では？
ありす,なんで新宿で中央線快速に乗り換えてるんですか
奈緒,伝わりにくい会話だな！！！
常務,神谷と北条は事務所には慣れたか？何か気になることがあったら何でも言ってくれ
加蓮,何であなたが常務なんですか？とは聞けないわね流石に
奈緒,そもそも悪いことしてるわけでもないしな
常務,では最後に、何か質問はあるか？
凛,ちゃんと聞くんだね
フレデリカ,はい！はい！
常務,……。ないようならこれで終わりにしよう
フレデリカ,あれー！？
奈緒,警戒されてる……！
フレデリカ,……
常務,じ、冗談だ、何が聞きたい、何でも答えよう、な？
加蓮,なんだかんだいい人ね
フレデリカ,“トランシングパルス”って言ってみて！
凛,キラーパス！？
常務,……
みんな,……
常務,TrancingPulse
奈緒,言えるのかよ！！！！
