櫻井桃華(22),大掃除、残っているのは...床の拭き掃除かしら？
千枝,ちょうど今日病院に行って...Pさんには言ったんだけど、明日にはみんなにも報告しようかなって...///
桃華,そ、そんな...
ありす,
千枝,あ、ありすちゃんが息してないよ！？
桃華,ありすさん！しっかりしてくださいまし！気持ちはよくわかりますけど！。もう！こんなてんやわんやなときにどちら様ですの！？
P,よう
桃華,えっ！？Pちゃま！？
P,悪いなこんな時間に...千枝と橘を迎えに来たんだよ、もうすぐ日付も変わるし女の子だけじゃ心配でな
桃華,それはわざわざ...でも、ありすさんがPさん！！！
千枝,あなt...Pさん！
桃華,うわぁ、今ぜったいあなた
P,てなわけで帰るぞ二人とも...ありがとな桃華、二人が世話になった
桃華,も、もう...また子供扱いして...
千枝,またこの人はそうやって...
ありす,この人よく嫁の前でよその女にそんなことできますね、まぁ私が言えた義理じゃありませんが
千枝,...じゃあ桃華ちゃん、お邪魔しました
桃華,いえいえ、またいつでも遊びにいらして♪。ありすさんは今日泊まって行かれるので大丈夫ですわ
ありす,えっ
桃華,ねぇありすさん？
ありす,アッハイ。何をしてくれてるんですか！せっかくPさんと一緒に帰れるチャンスを！
桃華,あなたを思ってのことですのよ！
ありす,どういう意味です？
桃華,...あなたはあの二人と一緒に帰って平穏でいられますの？。きっと、子供につける名前でも決めながら帰るんですわ。橘はどんな名前がいい？なんて聞かれたり...
ありす,...言われてみれば、確かに
桃華,少なくともわたくしはそんなのゴメンですわ...。...さて、気を遣う必要もなくなったことですし。飲み直しましょうか、ありすさん？
ありす,ちょっと！？これテキーラじゃないですか！？
桃華,飲まなきゃ...酔わなきゃやってられませんわ！
ありす,しかも瓶から！？ロシア人ですかあなた！
桃華,わたくしを差し置いて結婚...！しかもいつの間にか子供まで...！！。ありすさん
ありす,...はい？
桃華,わたくしの奢り、ですわよ？
ありす,...はい
千枝,...
P,...どうだった、あいつらと久しぶりに会って
千枝,変わってなくて安心しました...良くも悪くも、ですけど
P,みんないい加減諦めてくれねぇかなぁ、俺もう嫁も子供もいるんだぞ？
千枝,いいんですよ、私があなたを独り占めしてしまったのは事実ですから...。...それに。ぜったいに、誰にも渡しませんから♡
桃華,...うう。いつの間にか朝に...ああっ、頭が痛いですわ...！。って、あっ...。せ、せっかく大掃除しましたのに...
ありす,...
桃華,ありすさん、おはようございmきもちわるい...
