原田美世,……ふぅ、着いたね
雪美,……おっきい……
美世,歩きまわるだけでも結構時間がかかりそうだね
雪美,……美世…ここには……なにが…あるの……？
美世,今は特になにもイベントは無いみたい
雪美,……そう…なの……
美世,でも、ここは色んな花が咲いてて参道がとっても綺麗らしいよ
雪美,……じゃあ……お参り…する……
美世,そういうこと、あたしはお参りなんて久々だよ
雪美,……美世…あんまり……しないの……？
美世,そうだね、こういうのとはかけ離れた生活してるから。雪美ちゃんはよく行くの？
雪美,……うん……紗枝が……好きだから……
美世,なるほど、仲良いもんね
雪美,……凄い……人……
美世,紫陽花のシーズンだからしょうがないか。雪美ちゃん、はぐれないようにね
雪美,……わかった……
？,わわ、誰か御助けを！！
美世,えっ……
雪美,……なんか……くる……
？,あ、危ない！！
美世,きゃっ！！
雪美,……美世……大丈夫……？
美世,う、うん。ちょっとふらついただけだよ
？,うぅ……助かりました……。申し訳ありません！その、人ごみに巻き込まれてしまって……
美世,ううん、あたしは大丈夫だよ。ケガは無いかな？
？,はい、おかげ様で大丈夫です
雪美,…………
？,おや、あなたはもしかして佐城雪美殿ではありませんか？
美世,知り合いなの？
雪美,……知らない……
脇山珠美,あっ、申し遅れましたね。脇山珠美と申します！
珠美,次回のアイドルプロデュースイベントで雪美殿のプロダクションと一緒なんですよ！
雪美,……そう……
美世,この子もアイドルだったんだね
珠美,今から楽しみですね、当日は是非ともお願い致します！
雪美,…………
珠美,どうかされたのですか？
雪美,……出るのは……美世……
美世,ふふっ、イベントに参加するのはあたしだよ。宜しくね
珠美,おぉ、そうだったのですか。これは失礼いたしました！
美世,ううん、気にしなくて良いよ。珠美ちゃんはこんな所でどうしたの？
珠美,なに、イベントの下見ですよ！本番で恥はかけませんからね
美世,そうなんだ、一人でこんな所に来るなんて偉いじゃない
珠美,珠美はこれでも高校生ですっ！
美世,…………
雪美,……美世……
美世,ご、ごめんなさい……。アイドルって色んな子がいるんだね
雪美,……喋り方が……あやめに…似てる……
珠美,お二人は今日はどうされたのですか？
美世,あたしたちも下見だよ。と言っても観光メインだけど
珠美,なるほど、そうなのですか。宜しければ珠美もご一緒させてもらって宜しいでしょうか？
雪美,……うん……
美世,そうだね、一緒に回った方が楽しいから
珠美,へへー、では早速まいりましょう！！
美世,はぁ……はぁ……石段って結構あるんだね……
雪美,……美世……バテてる……
珠美,美世殿は鍛錬が足りませんね！珠美は元気100倍ですっ！
美世,珠美ちゃんはともかく……雪美ちゃんもタフだな……
珠美,ささっ、本殿につきましたよ
美世,ふぅ、この高さを見ると頑張ったかいがあった気がするな
雪美,……鳩……いっぱい……
美世,本当だね、神社と言えば鳩がいっぱいいるのは何でなのかな
珠美,ここら辺は観光客も多いので餌には困りませんからね
雪美,……美世…私……餌…あげたい……
美世,あんまりそういうのはしないほうが良いと思うけど……
雪美,……鳩サブレ……半分…だけ……
珠美,それくらいなら、影響は無いでしょうね
美世,うーん、じゃあちょっとだけだよ。周りの人に迷惑かけないように
雪美,……うん……。…………
珠美,ゆ、雪美殿が鳩に埋もれてしまいましたが！
美世,よくみたら上にいっぱい鳩がいたからそのせいかな……
雪美,……珠美……パス……
珠美,へっ！？。ヒ、ヒャァァァ！！やだ、鳩やだ！！
雪美,……危な…かった……
美世,雪美ちゃんって切り替え早いよね……
珠美,ゆ、雪美殿！酷いですよ！！
雪美,……ごめん……
珠美,珠美はこんな恐怖を味わう羽目になるとは思いませんでした！
美世,ま、まぁ何事も無くて良かったね……
雪美,……ケガ…なくて……良かった……
珠美,頭や肩にやたら乗られましたがここら辺の鳩は活発ですね
美世,そうだね、まぁあんまり餌をあげると神社にも迷惑がかかるから
雪美,……気を…つける……
珠美,それ以前にパスはしないように気をつけて下さい……
美世,じゃあ、お参りして帰ろっか
珠美,はい、珠美もしっかり神様にお願いしますよ！
雪美,……私…も……
珠美,美世殿は何をお願いするのですか？
美世,あたしはそうだな……ちょっと考えよっかな
雪美,……珠美…は……？
珠美,珠美は背が伸びるよう……って何を言わせるのですか！！
雪美,……今のは……理不尽……
美世,あたしのお願い事か……。今日みたいに会いたい時にいない誰かさんに会えますように……かな。入口に戻ってきたね
珠美,あっ、そろそろ珠美はプロデューサーのもとに戻らないといけません
雪美,……ここで…お別れ……？
珠美,そうですね、名残惜しいですが……また、東京でも遊びましょう！！
美世,そうだね。いつでも連絡してきてね
雪美,……うん……遊ぼう……
珠美,珠美も楽しみにしてますね！。では、またお会いしましょう！さらばです！
雪美,……また……
美世,気をつけてねー
雪美,……行っちゃった……
美世,ふふっ、騒がしかったけど楽しい子だったね
雪美,……うん……
美世,さて、次はどうしようか。名物の大仏でも見に行く？
雪美,……大仏……？
美世,雪美ちゃんは知らないの？
雪美,……うん……見た事…ない……
美世,まぁ、おっきな人形だと思えば良いかな……
雪美,……お人形…楽しみ……
美世,可愛い人形ではないけど……。…………
雪美,…………
美世,ど、どうかな？これが大仏だけど……
雪美,……美世…は……これで……お人形遊び…できると…思う……？
美世,あ、あたしは思わないかな……
雪美,……やっぱり……
美世,まぁ、そういうものじゃないと思うよ
雪美,……うん…カッコイイ……
美世,そうだね、どっちかと言うとカッコいい感じになるのかな
？,あー、ゆきみん！！
雪美,…………？
美世,ん？
？,ちゃーっす！！こんなところでなにしてんの？
美世,知り合いなの？
雪美,……うん…ゆい……
大槻唯,ちーっす！ゆいでーす！ゆきみん、おひさっ！！
雪美,……おひさ……
美世,雪美ちゃんって交友関係広いな……
唯,んー、そっちの人はゆきみんのとこの人？
雪美,……美世……
美世,初めまして、宜しくね！
唯,きゃはー☆すごいねー！こんなとこで会えるなんて！。今日はあずきちゃんは一緒じゃないの？
雪美,……あずきは……忙しいって……
唯,あははー!あずきちゃんの忙しいって大作戦とか！
雪美,……あたり……
美世,そう言えばそんな事言ってたね
唯,どうせまた近所の屋台で金魚すくいやりすぎて出禁喰らうんだって！！
美世,あずきちゃんってそんなことしてたの？
雪美,……うん……ちなみに……Pも…出禁……
美世,なにやってんだろ、あの２人……
唯,ねね、２人は何してんの？
美世,あたしたちは観光だよ、今度のアイドルプロデュースに出るついでに
唯,マジ！？ゆいも出るよっ！！
美世,そうなんだ、じゃあ次は一緒だね。よろしく
唯,どもども～☆よろしくね、美世ちゃん！！
雪美,……２人とも……がんばって……
唯,あははー、超アゲてこー！
美世,あ、アゲ……？
唯,どしたの？
美世,あたし古いのかな……
唯,じゃあゆきみん達も行こっか！！
雪美,……どこへ……？
唯,へっへへ、大仏の中に入れるんだって！これはもう行くしかないっしょ！！
美世,そう言えば、そんな事できるんだったね
雪美,……あれの…中……？
美世,うん、そうだよ。胸の方まで行けるみたいだね
唯,きっと操縦席があるんだよ♪バーンっとビームとか出るよ！！
雪美,……わくわく……
美世,そんなもの出たら、危なくて仕方ないんだけどな……
唯,あれ？美世ちゃんは乗り気じゃ無い感じ？
美世,そういうわけじゃないんだけど……
唯,ビビんなビビんな！
雪美,……美世…早く……
美世,う、うん。じゃあ行こうか。…………
雪美,…………
唯,…………
雪美,……操縦席……無い……
唯,たっはー、おっかしいなー
美世,最近分かったけど雪美ちゃんって驚いたり呆れたりしたら口が三角になるよね
雪美,……うん…癖……
唯,でもでも、ほらー！景色はすっごい綺麗じゃん！！
美世,やっぱりここまで登ると絶景だね
雪美,……美世……よく…見えない……
美世,よいしょっと……これで見えるかな？
雪美,……うん…ありがと……
唯,おっ、何だか家族みたいだねー☆
美世,雪美ちゃんが子供ならあたしは１０歳で出産した事になるけど……
雪美,……でも…美世…は……優しい……
唯,キャハー☆それならパパも探してこないとねー！
美世,パパか……
唯,んー、美世ちゃんなんかあんの？
美世,ふふっ、さぁどうだろうね
雪美,……楽し…かった……
唯,いやーっ、大仏ってキャワイイよねーっ♪
美世,確か、歴史が好きな子がいたから聞いてみると色々教えてくれるかもね
唯,おっとっとー、ゆいはもうそろそろ帰らないと行けないかぁー
雪美,……そう…なんだ……
美世,気をつけてね、楽しかったよ
唯,ゆいも超楽しかった！また、遊ぼうね！！。またみんなでカラオケいこーね！美世ちゃんも一緒に！！
美世,うん、いつでも呼んでね
雪美,……また……
唯,にゃはっ☆じゃーねー♪
美世,とっても元気な子でびっくりしちゃったな
雪美,……ゆいは……いつも…あんな…感じ……
美世,そろそろ、日が暮れてきたね。あたしたちも帰る？
雪美,…………
美世,どうしたの？
雪美,……美世……あたし…これ乗りたい……
美世,なになに、江ノ電に乗りたいんだ
雪美,……うん……駄目……？
美世,ううん、大丈夫だよ。あたしも初めてだし乗ってみよっか
雪美,……初めて…なんだ……
美世,普段から車ばっかりだから電車はあんまり使わないしね
雪美,……じゃあ…乗ろう……
美世,うん、適当な所まで行って折り返そうか
雪美,……美世……
美世,どうしたの？
雪美,……あの……花…なん言うの……？
美世,紫陽花だね
雪美,……紫陽花……？
美世,うん、今みたいに梅雨の時期に咲く花だよ
雪美,……きれい……
美世,本当はもっとよく見える場所があるんだけど……。混んでるし、電車から見るだけで我慢してね
雪美,……大丈夫……
美世,…………
雪美,……どう…したの……？
美世,ん？なんでもないよ、きれいだなって。うわっ、海が凄いね
雪美,……うん…おっきい……
美世,雪美ちゃんは海が好きなの？
雪美,……あんまり…見ないから……
美世,ふふっ、そう言えば行く機会ってそんなに無いからね
雪美,……美世は……好き……？
美世,あたしもあんまり行かないけどこうやって眺めるのは好きかな
雪美,……うん…また…一緒に……
美世,…………？
雪美,zzzzzz……
美世,寝ちゃったか……
雪美,zzzzzz……
美世,よいしょっと……雪美ちゃんが軽くて助かったな。一旦ここで降りて折り返そうかな……。あれっ、メールだ……誰かな？。…………。もう、しょうがないなぁ……
雪美,zzzzzz……
美世,戻ってきたのはいいけど雨降ってきたな……。…………。騒がしい一日だったけど楽しかった。ん？
雪美,zzzzzz……
美世,ふふっ、風邪引かないように。また、一緒に遊びに行こうね。雪美ちゃんを担いだままじゃ濡らしちゃう……。ちょっと弱くなるまで待とうかな……
P,まさか鎌倉まで来てるとは思わなかったよ
美世,あっ……
P,何やってんだ？
美世,…………
P,雪美も一緒か、近くまで来るなら先に言ってくれたらよかったのに
美世,……遅刻
P,え？
美世,見つけてくれるのが遅いんじゃない？
P,えっと、だって仕事で来てたし……
美世,言い訳するの？
P,しないよ、悪かったな。今見つけたから許してくれ
美世,ふふっ、じゃあ許してあげる！
P,なるほど、２人で遊びに来てたわけか
美世,うん、雪美ちゃんが遊びたいって言うから観光ついでにね。Pさんは電車で来たの？
P,そうだな、車は混んでそうだから止めといた
美世,結構混んでたよ……
雪美,zzzzzz……
P,とりあえず、雪美を車まで運ぼうか。俺がおぶって行くよ
美世,じゃああたしが傘をさすね
P,すまないけど、頼むよ
雪美,zzzzzz……
P,やれやれ、お姫様はよく寝てるな
美世,今日はいっぱい歩いたし疲れたんだよ
P,……そう言えば美世の傘、何で白いんだ？
美世,んー、何か変かな？
P,いや、赤が好きだから赤にするかなって
美世,ふふっ、誰かさんがそう言ってくれるかなって。雪美ちゃんの方が先に気がついてたけどね
P,そりゃ先を越されたな
美世,ね、Pさん。アイドルプロデュースの前に時間ってあるかな？
P,ん、まぁゆっくりする時間は結構あるよ
美世,じゃあ、一緒に遊ばない？雪美ちゃんと３人で！
P,そうだな、別にかまわないよ
美世,ふふっ、約束だからね
P,ま、その調子で本業の方にも力を入れてくれてくれよ
美世,それはPさん次第かな
P,どういう意味だよ
美世,どういう意味だと思う？
P,はぁ、わかったわかった。美世が頑張れるように応援するよ
美世,うん、頑張ろうね！
P,さぁ、じゃあ今日はさっさと帰ろうか
美世,……やっぱりまだわかってないかな
P,え？
美世,ね、せっかくなんだからゆっくり帰ろう
