青葉の母,青葉～、休みだからっていつまでも寝てないのっ！！早く起きなさーーい！
青葉,あっ、ひふみ先輩、おはようございます！
ひふみ,お、おはよう…///
青葉,昨日の電話、ありがとうございます！本当に嬉しかったです♪
ひふみ,う、うんっ///それなら…良かった……//
青葉,あれっ、こんな所に公園なんてありましたっけ？
ひふみ,うん…。ここの公園…は他と…比べて、敷地が…少し広い…みたい
青葉,そうなんです。でも、こんな良い公園を知らなかったとは…いつも会社までは走って移動するから見逃していたのかもしれません
ひふみ,まだ…時間ある…し、ちょっと…だけ…寄って…みる？
青葉,いいんですかっ！？
ひふみ,もちろん……///
青葉,わぁ～、本当に広いですねっ！！
ひふみ,公園…なんて…久しぶり……。
青葉,公園に来ると懐かしいなぁ…。ねねっ…いや、昔からの幼馴染と一緒に良く公園で泥だらけになるまで遊んだ事を思い出しますよ…
ひふみ,そうなんだ。あっ、ねぇ…青葉ちゃん？
青葉,なんでしょうか？
ひふみ,この先に…階段がある…みたいだけど……その階段を…一番上まで…上がると…公園全体を…見渡せて…良いみたい……行ってみよう…か？
青葉,それでしたら、ぜひ！。わぁ～っ！？公園全体を見渡せるなんて最高ですっ///このような良い所を教えて頂いてありがとうございます！
ひふみ,ふふっ…良かった♡
青葉,あっ、ひふみ先輩っ、え、笑顔にっ！？///
ひふみ,ふぇっ！？//////
青葉,ひふみ先輩は宗次郎くん以外でも顔の表情が柔らかくなって、笑顔を見せるようになりましたね、最近♪
ひふみ,えっ！？///
青葉,やはり、ひふみ先輩は笑顔が似合いますよ♪ずっと笑って下さいね♡
ひふみ,はぅっ//////！！？？。青葉ちゃんに褒められたっ///こういう事を言うのは申し訳ないけど、青葉ちゃんの怪我のおかげで…青葉ちゃんと一層仲良くなれるきっかけになった！
青葉,？…どうしましたか、ひふみ先輩？
ひふみ,う、うぅんっ！？な、なんでも……あっ！？
青葉,あっ、ひふみ先輩…危ないっ！！？？。はははっ……
ひふみ,う…うぅ……
コウ,まさか青葉が左腕だけでなく、利き腕である右腕も骨折。両足は複雑骨折で入院になるとは…驚いたよ。
青葉,私も驚きましたよ。まさか、皆さん仕事よりも私を優先してお見舞いに来て下さって……
葉月,いいんだよ、涼風くん。そこは気にすることじゃないさ！
はじめ,顔面にも少し傷があるし、大丈夫青葉ちゃん？
青葉,はい…。
ひふみ,ごめん…ごめん…ね…、青葉ちゃん……グスッ！！
ゆん,話しによると…青葉ちゃんは公園の階段から落ちそうになったひふみ先輩を助けようとして、代わりに自身が怪我をした、ちゅうこっちゃな！
ひふみ,うぅ……ごめんね…。こんなドジな先輩でごめんね…。私がドジだったから…青葉ちゃんの怪我を…余計に…重くさせ…ちゃって……
うみこ,滝本さん…自分を責めないでください。こうなった以上は仕方がないことですし。
りん,ひふみちゃん、青葉ちゃんに相当負い目を感じてるのね…
ひふみ,で…でも……グスッ
コウ,まぁ、ひふみんの泣きたい気持ちも良く分かるよ！私らも同じように、ひふみんにとって青葉はいわば大切な存在
ひふみ,うぅ…うう……
青葉,ひふみ先輩、私は大丈夫ですから！！
ひふみ,青葉…ちゃん？
青葉,私は、ひふみ先輩を助ける事が出来ましたので…これで良かったと思っていますよ♪
ひふみ,うぅ…青、葉……ちゃ～ん……っ/////
青葉,先輩の無事は、後輩である私の喜びでもありますから♡
一同,なに、この天使はっ！？/////
青葉,それに会社に必要な存在として私なんかよりも先輩の方が重要じゃないですか！！それなのに怪我をしたら、大変です！ですから、私の事なんか別に気にしなくてもっ！
コウ,私なんかよりって言ってるけどさ、青葉だって私らにとって必要な存在だぜ？
青葉,えっ？
はじめ,そうそう！
ゆん,同意や
りん,当たり前じゃない♪
うみこ,そうですね
青葉,いや、私なんかが！？重い怪我をした上に更に迷惑をかけたばかりなのに……
葉月,今回は重症だが、左腕の骨折の時だけは片手だけで大変だと思いながらもしっかりと会社に来て、仕事をしてくれたんだ！しかも私たち全員に迷惑をかけたと気遣いの態度を示し、尚且つ八神に止められても残業を続けようともしていた！そんな君を私なんかより
青葉,！？
ひふみ,そう…だよ…。青葉ちゃんは頑張ってるし、真っ直ぐでどんなに大変な事でも諦めないで挑戦し続けている。人当たりも良くて、私たちは青葉ちゃんのおかげで明るくなれたんだよ♪
青葉,皆さん……。ありがとうございますっ！！！。怪我をすると大変だし、特に骨折は仕事に支障が出やすい為、嫌だと思ってましたが、皆さんの言葉を聞いてそれも悪くない
