双葉杏,うー……暑い……
響一了,少し、１人にしてあげましょうかっ
杏,なんで気を遣われてるの！？。もうホント勘弁して……。次こそ……次こそまともな人が来る……！。来た！
月月,こんにちはー！
日日日葉,ん？杏だけか
星サイヒ,そうみたいですわね？
杏,とんだ天体観測だよ！！！！！
３人,！？！？！？
月月,ど、どうしたの杏ちゃん！？いきなりウサギを叩きつけて！
杏,うるさいよダブルムーン！
月月,ダブルムーン！？
日日日葉,つ、疲れてるのか？そんな叫んで……
杏,トリプルサンリーフも黙ってて！！
日日日葉,なんだその呼び方！？
星サイヒ,わたくしはどのように呼んでいただけるのでしょうか♪
杏,楽しんでるなよ！このスター……スター……スターサイヒ！！！
日日日葉,サイヒってなんなんだ！？
杏,こっちが！聞きたいよ！！もう！！！！。もうダメ……、喉が……。もう誰も来ないで……。……何も聴こえない聴こえない
フレ〒”リカ,ぼんじゅーる♪
杏,うわ！あ、でも、フレ〒”リカは普通……。いや違うコレ→〒記号だ！！！
フレ〒”リカ,どうかしたのー？
杏,もう分解じゃなくてギャル文字の範疇だもん……
フレ〒”リカ,フレちゃんがどうかしたー？
杏,一人称に特に影響がないのがムカつくな……！
フレ〒”リカ,？
杏,あー、ごめんごめん、なんでもないからさ
フレ〒”リカ,あ、そっか！
杏,？
フレ〒”リカ,杏ちゃんは。まだ。―――“そっちの人”だったっけ？―――
杏,――――！？。な、なに……？
フレ〒”リカ,うんうん
フレ〒”1ﾉカ,そっかそっか♪
杏,え？え……？
フレ〒”1ﾉﾉフ,まあ、例外ってどこにでもあるもんねー？
杏,な、なんで近づいて……
フレーＴ”1ﾉﾉフ,ね♪
杏,うわああああああああああああああ！！！！！！
フレデリカ,わ！杏ちゃん、だいじょうぶ～？
杏,ふ、フレデリカ……！？
フレデリカ,なんかうなされてたよ？
杏,え……？
フレデリカ,今日、ラジオのお仕事って聞いたよ！いそげー！
杏,……。また……夢オチ……かよ……
志希,やっほー♪シキラジ！の時間だよー♪。そして今日のゲストは～、杏ちゃん～♪
杏,よろしく～普通だ……よかった……
志希,もちろんパーソナリティはこのあたし！。ナ瀬志希ちゃんでお送りするねー♪
杏,！！！？？？
