モバP(以下P表記),午前の営業、みんなバッチリこなしてくれたようで。TV出演組と夕方営業組はこれからですが、解散時刻は各々の自由なのでそのお弁当食べたらあがってもらって結構ですよ
P,その様子なら大体うまくいったようだな。お疲れさん、机の下にポットと弁当置いといたから食ったらあがっていいぞ
森久保,あぅ、実は差入れがあって、それでもうお昼十分なんですけど…
P,そうか、女子寮まで送ろうか？
森久保,いえ…一人で寮まで歩いて行くんですけど……昨日試食でいっぱいチョコ食べちゃったので……もちくぼにはなりたくないので……
P,お、おう。まぁ運動するのも大事だよな。気をつけてな
森久保,…………………………あ、あのぅ。ぷ、プロデューサー、さん
P,どうした森久保。次の仕事も握手会だぞ
森久保,む、むーりぃー……ですけど、そっちじゃなくて……
P,？
森久保,う、うぅ……
P,(目が………合った？)
森久保,こ…これ！チョコ、なんですけど……シンプルで凝ったものとか入ってないですけど、夕美さんに教わって、気持ちだけはしっかり込めたので……
P,………
森久保,ど、どうぞ……
P,………
森久保,………
P,森久保ォ！！！！！
森久保,ひぃっ！！
P,嬉しいぞ森久保ォ！ありがとな！！
森久保,も、もう帰るんですけど！お疲れ様でしたんですけど！！
P,森久保だと思って大事に食べるからなぁ！！
森久保,むーりぃー……！！
P,あぁ……こう、なんていうか。森久保見てると俺の中の父性が沸き立つというか……
保奈美,………
P,うん、やっぱりバレンタインって最高ですね。保奈美さん
保奈美,そうね
P,それでなんですけど、保奈美さん。私めにチョコを―――
保奈美,引っ叩くわね？
P,ちょ、待ってくだヘブッ
保奈美,正気の沙汰とは思えないわ
P,正気な人間がここのプロデューサーやるとは思えないんですが
保奈美,黙って
P,はい
保奈美,あのね？別にPさんが誰にチョコ貰おうが、その際にイチャコライチャコラしようがっ、そんなの全然、全っ然ッ、私には関係ないから知ったことじゃないんだけどね？
P,えっと……はい
保奈美,さっきからずっと、ずっとよずっと！ジョバンニみたいな光景見せつけられたら気分も下がるに決まってるでしょ！
P,そんな見境なく女口説きまくる男と一緒にしないでくださいよ
保奈美,見境なくアイドルに引っ張り込むあなたが言うんじゃないわよッ！！
P,うわぁ逆鱗に触れた
保奈美,巴ちゃんから、仁義といいつつ顔を赤らめながら渡されたチョコはどうだった？
P,最高でしたね。思わず本命だったら仁愛で浪漫溢れちゃいそうだなって言っちゃいました
保奈美,その後の美波さんは？
P,美波の本当に魅力的なところはこういうところからわかるよなって言いました
保奈美,珍しく朝から居た杏ちゃんは？
P,抱っこして振り回して掻い繰りかいぐりしてました。というか、保奈美さん全部見てたでしょ？
保奈美,えぇ。そっぽ向きながら手渡ししてた杏ちゃんも、ハート型にしようと板チョコに歯型入れてた輝子ちゃんも、自爆してたバレンタイン反省会の方々も、みんな見てたわよ
P,チョコ渡す相手が俺しかいないっていうから、315プロの知り合い紹介しましょうかって言っただけなのに
保奈美,正座させられてたわね
P,つらい
保奈美,でも、手作りから高級な物まで、色んな人から色んなチョコ貰って。満更でもなかったでしょ？
P,満更どころか至福の一言です
保奈美,じゃあなんで私のチョコに拘るのよ。一個くらいあろうが無かろうが変わりないじゃない
P,保奈美さん、俺が欲しいのはチョコの数という虚精神を満たすだけの数字じゃないですよ
保奈美,でも同僚とチョコの数競ってるんじゃなかった？
P,保奈美さん。チョコの数を競ってるんじゃないです。チョコに宿った思いの数を競ってるんです
保奈美,ここまで安っぽい言い訳も中々ないわね
P,いやほんと、別にチョコの数を本気で競ってる訳じゃないんですよ？お互いただの笑い話に使う為にでしてね？
保奈美,へぇー？
P,出来映えや選び方なんかも、色々比較すると面白くて。性格違うのに選んだ物が一緒だったり、同じ種類のチョコを作っても味や見た目が違ってたり
保奈美,ふぅーん？
P,そこからユニットの構想を考え始めたり、演出の幅を広げてみたり……馬鹿にならないんですよ？こういうの
保奈美,でも他の人たちに面白おかしく話しちゃうんでしょ？
P,語弊がありますよ、話のネタにはしますが本人の尊重を忘れたりはしませんって
保奈美,そうなの
P,信じてませんね？
保奈美,じゃあ約束しなさいよ。そんな笑い話の一つに加えられるんじゃなくて、事務所の一人からのチョコっていう括りじゃなくて。私のチョコだけがPさんにとって特別なチョコなんだって。約束、してよ
P,え！！？チョコくれるんですか！！？
保奈美,Pさんって空気読めないの？。今のはそういう流れじゃないでしょ？滅茶苦茶カローレに言った台詞だったでしょ？他の子にはパーフェクトコミュニケーションなのにどうして私はオチ扱いなの？狙ってるの？わざとなの？そういう病気なの？ねぇどうなの？
P,ごめんなさいごめんなさい。だって本気で貰えないかもって思ってたんですもん
保奈美,脅し過ぎたわね……途中まではシナリオ通りだったのに
P,よくわからないけど担当が怖い
保奈美,理解しようとしないのは逆に賢いのかもしれないわね
P,んー、それで……結局自分は保奈美さんのチョコを貰えるんでしょうか？
保奈美,このマイペースさは見習うべきかしらね
P,褒めてます？
保奈美,貶してますが？
P,ですよね
保奈美,本気で貰う気あるのかしら…
P,いやまぁ、さっきの話に戻りますけどね？。保奈美さんからのチョコですよ？特別にならない訳がないじゃないですか
保奈美,……
P,どうしました？
保奈美,私、Pさんが怖いわ……ズルいわよこんなの
P,？
保奈美,いつか誰かに刺されて死にそうね。私がいうのもアレだけど
P,えっと、保奈美さん？
保奈美,なあに？Pさん、そんなお預けくらったアッキーみたいな目をして
P,………
保奈美,………
P,……………
保奈美,あぁ、もう。ちゃんと用意してあるわ。ドルチッシモで、口に入れたら忘れられないようなチョコ。私の気持ち、受け取ってくれる？
