双葉杏,あ～……
城ヶ崎莉嘉,やっほー！ねえねえPくん！見て見て！カブトムシ捕まえたの！！！
美嘉,あっ！コラ莉嘉！部屋に持ってきちゃダメでしょ！？
莉嘉,え～！
P,城ヶ崎く……インセクター羽蛾！？
杏,違うだろ！？
莉嘉,Pくん？
P,まさかこんなところで会うとはな！虫野郎！
莉嘉,ムシヤロウ！？ひどいよPくん！！！
P,仮にも全日本で優勝したデュエリストなはずなんだがな……
杏,してないからね！？
莉嘉,……。はっ！！！。Pくん！あたし！頑張る！！！
美嘉,莉嘉！？
龍崎薫,莉嘉ちゃーん！カブトムシ見せてー！
莉嘉,あ！薫ちゃん！いいよー！
P,ダイナソー竜崎！！！
杏,違うって言ってるでしょ！！！
P,羽蛾と竜崎……全日本大会の再現ってワケか……！受けて立つぜ！！！
薫,せんせぇ、どうしたの？
P,先制！？竜崎は先制を取って羽蛾に負けたはず……いい度胸だぜ！
杏,絶望的に会話が噛み合わないよ
P,やはりデュエリストは引かれ合う……！さながらこのビルは……バトルシティ！！！
杏,セリフも効果音も全部うるさいな
P,さて！杏子！
杏,何か違和感あるんだよね
P,待っていてもデュエリストには会えないぜ！移動しよう！
杏,えっ！めんどくさ……。いや、事情を知ってる杏がフォローしなきゃ……。戻ったら何かおごってもらうからね
P,え？何か言ったか？
杏,やっぱ難聴持ちなんだね
P,この部屋からデュエリストの気配を感じるぜ！
杏,なんなのさその感覚
P,入るぜ！
杏,返事を待て！
兵藤レナ,あら、Pさんじゃない。いらっしゃい
P,奇術師パンドラ！！！
レナ,なんて？
杏,ごめん1回無視して
堀裕子,おやおや、Pさん、今日は元気ですね！
P,エスパー絽場！！！
裕子,おお！とうとうエスパーを認めてくださいましたか！……ロバではないですが
P,イカサマで勝とうだなんてデュエリストの風上にも置けないぜ！
裕子,い、イカサマなんてしてません！
P,どうだかな！お前にたくさんの弟がいることは知ってるんだぜ！
裕子,一度も言ってませんよ！？
杏,も、もう、埒が明かないから！
レナ,珍しく声が大きくてビックリしちゃったわ
杏,2人は何をしてるの？それ、トランプでしょ？
P,闇のゲーム！！！
杏,黙れよ！！！
レナ,ポーカーよ。ユッコちゃんに教えてあげてたの
裕子,レナさん、すごい強いんですよ！
P,なるほどな……受けて立つぜ！！！
裕子,？
レナ,？
杏,ごめん、交ざりたいみたいだから、1回入れてあげてくれるかな？
レナ,あ、もちろんいいわよ
P,賭けるのはオレの命だ！
杏,これ以上風呂敷を広げないでくれない！？
P,オレが勝ったら、カードに封印された海馬の魂は返してもらうぜ！
杏,いつ海馬が出てきたんだよ！！！
レナ,シンプルに交換1回でいいかしら？
裕子,はい！
P,ああ！
レナ,じゃあ、シャッフルして配るわね
P,……
レナ,……
P,……
杏,ねえレナさん
レナ,どうしたの？
杏,その……ショットガンシャッフルやってほしいんだけど……
レナ,え？うーん……あれ、カードが痛むから嫌なのよね……
杏,だからやってほしいというか……1回だけ！
レナ,まあ、1回なら……。……
P,！。ショットガンシャッフルはカードを痛めるぜ！
レナ,いや、そう言ったけど
杏,ごめん！言わせてあげて……
レナ,じゃ、5枚ずつ行き渡ったわね？
裕子,はい！
P,ああ！
レナ,まずは私から……じゃ、2枚交換で
裕子,サイキック4枚交換！！！
杏,普通でしょ
P,……ユッコ……わかったぜ、お前のやろうとしていることが！
杏,呼称ブレブレだな
裕子,へ？
P,貴様に、エクゾディアは召喚させない！
杏,ポーカーだって言ってるだろ！！！
P,オレのターン！！！
杏,言うと思った
P,魔法カード発動！天使の施し！オレはカードを3枚引いて、2枚を墓地に送るぜ！
杏,よっぽどイカサマだけど！？
P,さらに！魔法カード発動！死者蘇生！！！さっき墓地に送ったクイーンズナイトを特殊召喚！！！
杏,わあやりたい放題だ
P,終わりだ！！！いでよ！！！ワンペア！！！
杏,ワンペア！？あれだけやっといて！？お前弱いな！？
レナ,フルハウス
裕子,スリーカード！
P,ま、まだ俺のターンは終了してないぜ！！！
杏,恥ずかしくないのか！？
P,3回勝負でなければ危なかったぜ……
杏,小学生かよ
速水奏,あら、盛り上がっているようね
P,バンデットキス！！！
杏,そんな奴いたか！？
P,今日は手下はいないのか？
奏,手下？あいにく、誰かを使うような立場にはないのだけど
P,とぼけても無駄だぜ！
奏,ねえ、今日のプロデューサーさん、おかしくない？
杏,ごめん、我慢して……
白坂小梅,こんにちは……、奏さん、レッスン室に……タオル……忘れてたよ
奏,あら、ありがとう
P,ゴースト骨塚！！！
杏,そろそろ普通に怒られなよ
P,恐ろしい勝負だったぜ！
杏,恥ずかしいの間違いでしょ
P,さて！さっきの部屋に戻ろう！オレの直感がそう告げてるぜ！
杏,はいはい、もう勝手にして……
関裕美,あ、プロデューサーさん、杏さん、こんにちは
P,裕美！
杏,あ、該当キャラがいないと普通に呼ぶのか
裕美,ええっ？そ、そんないきなり呼び捨てなんて……
杏,そういえば表Pは苗字＋さん付けだったね。……いやいや！普通に言ってたけど表Pってなんだよ！！！。今歩きながら見てたのって、写真？
裕美,そう、この前のファンタジーの舞台をテーマにした撮影の写真なんだ
杏,へぇ、見てもいい？
裕美,うん。どうぞ
P,サンキュー！
杏,どれどれ……あ、そっか、魔物使いの衣装だったんだ
P,ブルーアイズホワイトドラゴン！！！！！
杏,テンション上がってんなよ！
裕美,写真は他にもあって……あ、これ、蘭子ちゃん
P,エルフの剣士！！！オレの主力カードだぜ！
裕美,こっちが響子さんで……
P,ホーリーエルフ！
裕美,これが由愛ちゃん！
P,ハーピィレディ！！！
杏,お前なんなんだ！！！
P,ハーピィレディがいるということは……
福山舞,あ、みなさん、お疲れ様ですっ
P,孔雀舞！！！
杏,もう名前呼んでるだけで面白いんだもん
舞,クジャクさんですか？私、キレイなので好きです！
P,俺からしたらまだ地味すぎるくらいだぜ！もっと腕とかにシルバー巻くとかよ！
杏,会話も感性も何一つ噛み合ってないよ
P,さて！部屋に戻ってきたぜ！
杏,あれ、誰もいなくなってるね
P,焦るなよ。デュエリストは待てば来るさ
杏,お前この部屋出たときなんて言った？
ライラ,お疲れさまなのですよー
杏,あ、お疲れー
P,！
杏,今度は何さ……
P,その中東系の肌に金の髪……お前は……。マリク！！！
杏,こじ付けが露骨に酷くなってる
ライラ,ライラさんはライラさんですよー？
P,ライラー……ラー！？神のカード！！！
杏,ホントうるさいなこいつ
ライラ,それより、ライラさんはお腹が減ってるので、さっき"グー"と鳴ってしまって恥ずかしかったのでございます……
P,グールズ！！！
杏,連想ゲームでドッヂボールするのやめてくれない？
ライラ,ライラさんはアキハさんとご飯を食べる予定があるので、ここで失礼しますですねー
杏,ああ、そうなんだ、いってらっしゃい～
P,団結の力！
杏,仲良しでいいねって言ってる
ライラ,おお～、フォローが早いのでございますね～。さようならですねー
杏,はいよ～。さて、そろそろ治ってくれないとキツイんだけど
P,何の話だ？
杏,なんでもないよ
P,……おっと、誰か来たようだぜ！
杏,これ以上被害者が増えるのか……
ボブ,Hello！
杏,誰！？！？！？。と、とうとう本当に知らない人来ちゃったよ！？どうすんのさプロデューサー！
P,もう1人のボブ！！！
杏,こいつが1人目だろ！！！アイドルで再現できないからって部外者呼ぶのやめろよ！！！。あと"もう1人のボク"は表遊戯のセリフだろ！！！
P,相棒！
杏,国籍すら違うだろ！？目を覚ませ！！！あとボブは帰れ！！！。誰だったんだよ結局……
P,……
杏,……？
P,……！
杏,ど、どうしたのさ？
P,来る……とてつもない大きな……力が……
杏,ええ！？ま、また知らない人じゃないだろうね！？
P,もうそこまで来ている！
杏,！
P,……
杏,……
千川ちひろ,あら、2人とも、いらしゃったんですね。すみません、ちょっと買い出しに行ってまして……
杏,ちひろさんか……
P,デーモンの召喚！！！
杏,おまっ……！バカ！！！！！
ちひろ,……へぇ？
杏,！！！
P,！！！
ちひろ,杏ちゃん、少しだけプロデューサーさん、お借りしますね……？
杏,ど、どうぞどうぞ！！！
ちひろ,……
P,やめろ！離せ！！！うあぁぁぁぁぁ……
杏,……。死者蘇生は……難しそうかな……
浅利七海,ただいまれす～！今日は大量れしたよ～
P,伝説のフィッシャーマン！！！
脇山珠美,お疲れさまです！ただいま戻りました！
P,クリボー！！！
