みく(猫),何で、しっぽが生えてるにゃ？何で四本足で歩いてるにゃ？何で言葉がしゃべれないにゃ！(猫語)
P,ふぇー。何なのよこの猫。俺に恨みでもあるのかっつーの。猫の仇返しってやつ？
凛,籠の中でもすごい暴れてる。よっぽどプロデューサーのこと嫌いなんだね
P,愛玩動物にまで嫌われるとはねぇ。ところで、みくにゃんがどこにいるか知らない？
凛,いや、私が帰ったときは誰もいなかったから知らない。ところでこの猫すごい暴れてるんだけど
みく,みくはここにいるにゃ！気づいてにゃPちゃん！
凛,やっぱりお腹が空いてるんじゃない
P,お腹空いてるって言っても餌がないからねぇ。杏のあんず飴ならあるけど
凛,あぁ？
P,わかった。歴史の黒に葬る。でも実際食べれるものって言ったら………法子のドーナツ？
凛,あげていいのそれ？
P,まあ猫が食べれる食べれない以前の問題で法子が暴れちゃうわね
みく,もう暴れないから開けてにゃあ………
凛,とりあえず外に出すよ。ほら、出ておいでー
みく,やっと自由の身にゃ。それにしても、完全にみくだってわかってないにゃ。完璧に猫になりきってるのかにゃ？さすがはみくにゃ
P,咽鳴らしだした。かぁわいいなぁオイ
みく,咽撫でられるの気持ちいいにゃあ。でも何とかしてPちゃんにみくのこと気づいてもらわないと。とりあえず一緒にいるにゃ
P,うぉ。凛！ほら！この猫足にすり寄って来た！めっちゃかわいい！やべぇ。超持ち帰りたい
凛,さっき畜生呼ばわりしてた人が一瞬で陥落したね
P,まあみくにゃんのプロデューサーだし、猫は大好きなのよね普通に………ん？
みく,何するにゃPちゃん！鼻押し付けて匂い嗅がないでにゃ！
凛,どうしたのさ？匂うの？
P,いや、この猫。すっごいみくにゃん臭がするなぁって
みく,ちょ、みくにゃん臭って何にゃ！何でそんなの知ってるにゃ！
凛,何それ？え？匂い？
P,うん匂い。何故か知らないけど志希が所属アイドルの匂いを持ってるーとか言って嗅がせてもらったことあるのよ。さすが匂いフェチって言っといた
みく,何それ？匂いが保管されてるの！？それで何で美玖の匂いだけ覚えてるにゃ！
凛,それって、匂い嗅いでみくのだけ覚えてるってわけ？
P,みくにゃんとは一番行動してるからなんとなくわかっちゃうのよねぇ
凛,ふーん………
みく,本物の猫になったから感じるにゃ。凛ちゃんからどす黒いヤバオーラが出てるにゃ
P,でも凛の匂いもなんとなくわかる気がする
凛,………何で？そんなに私の匂い嗅いでるの？変態だね
P,辛辣………そういうのじゃないのよ。ほら、凛との付き合いも長いから覚えてるのかもしれないけど、何故かコートとか上着を着ると凛の近くいるような気が何となくするのよ
凛,怪奇現象だね。まあ気にすることでもないよ
P,まあ、気にすることでもないか
凛,そうだよ。それは受け入れるべきだよ
みく,………にゃあ
ちひろ,プロデューサーさーん。みくちゃん見つかりました？
P,ねぇちっひー。人の匂いを覚えるってことあります？
ちひろ,お金の金属臭さなら身に染みてますよ。それよりみくちゃんは？
みく,ここにいるにゃ！
ちひろ,お、この猫ちゃん。かわいいですね。ミニオンみたいな鳴き声ですけど
凛,やっぱりそうですよね。ところで、さっきからみくを探して何かあるんですか？
P,いやね。みくにゃんってにゃんにゃんにゃんってユニットに入ってるけど。もうそろそろコンビユニットとしてユッキと組ませてサンキューユニットでも組ませようかなぁと思ってね
凛,へぇーみくの新しいユニット。何で友紀さん？
ちひろ,一応キャッツということで猫繋がりもありますし
P,ユッキ巷じゃサンキューなんて言われてるし。みくもサンキューだし
凛,巷で感謝されてるって。ていうか何でみくが、あー………39
P,サンキュー。まあちょっと洒落をきかせたユニットね。まあみくにはサプライズってことでまだ言ってないのよ。内緒にしといてね
みく,聞いちゃったにゃ
ちひろ,で、今日話そうと思ってたんですけど肝心のみくちゃんがいなくて
P,全く、困ったものよ。俺は今から仕事で出なくちゃいけないから。この猫は………建物の外に出さなければどこに行ってもいいや。少ししたらみんな戻ってくるだろうし。留守番お願いね。凛
凛,うん。いってらっしゃいプロデューサー
みく,待つにゃ！まだ話があるにゃ～
P,行ってほしくないって？かわいいわねほんと。ちゃんと帰ってくるから。おとなしくしててね。じゃあ行ってきます
みく,Pちゃーん！行っちゃったにゃ
ちひろ,じゃあ私は仕事の続きをしますね
凛,私は学校の宿題しなきゃ
みく,みんな自分のことしだしたにゃ。どうしよう。でも今思うと猫になるなんて滅多にあることじゃないし、Pちゃんが戻ってくるまで適当にブラブラするにゃ。いーまのみーくは自由人～♪あ、間違えたにゃ。いーまのみーくは自由猫～♪右手と右足同時に出～♪しっぽを左右に振ってれば～♪犬とは違ってお怒りだ～♪猫、猫、猫～♪自由に生きよう猫生～♪なかなかいい歌にゃ。ミリオンセラー行くかも。結構歩いた気がするのにあんまり進んでないにゃ。普段の歩幅の違いにゃ。ちょっと休憩にゃ。にしても何でみくは猫になっちゃったにゃ。どうせどこかの誰かがファンやめますーとか言っていじめるから神様が本物の猫にしてみくが本当の猫ドルと間接的に言いたかったに違いないにゃ。まあそんなわけないけど。ん？
時子,何でこんなところに猫がいるのかしら？
みく,ゲェ時子ちゃん！いや、時子様にゃ！やばいにゃ。やばい人に見つかったにゃ
時子,………
みく,鞭を取り出したにゃ………！
時子,ほらほら～
みく,………あれ？叩かないにゃ
時子,怖くないわよ～
みく,………
時子,怖がっちゃってるわね
みく,すごく優しく抱っこされたにゃ。どこ行くにゃ。簡易の調理場まで連れてかれたけど………
時子,これを飲みなさい
みく,ミルクにゃ。もしかして時子様。みくのために？
時子,お腹空いてるんじゃないの？ミルクも水で薄めたから大丈夫だと思うけど
みく,しかもちゃんと猫の体調を考えてるにゃ！時子様優しいにゃ
時子,足にすり寄って。かわいい
みく,女王様の時子様がこんな慈愛聖母に生身を与えたような笑顔をするなんて。猫って知らない人の本心を見れるもんだにゃ
時子,フフフ………ハッ！？
みく,どうしたにゃ時子様………あ、またPちゃんが物陰からカメラで………
時子,貴方………いつから………！
P,いや、忘れ物取りに来ただけなのよ。な、何にも見てないからね！勘違いしないでよね！
時子,待ちなさい！こんなこと………！貴方には気持ちいい声で鳴いてもらう！
みく,………やっぱ猫って役得にゃ。次どこいこ。ねーこが闊歩をすれば～♪人は誰しも釘づけだ～♪み～んな大好きだーよ♪ねーこの行進曲♪しっぽを立て出発だ♪今回はいまいちにゃ。改善する必要があるにゃ。違う階に来たにゃ。ここにはだれがいるにゃ
仁奈,あー！猫がいるでごぜーます！
みく,お、仁奈ちゃんにゃ！おはようにゃ～。こういう業界じゃ挨拶はいつでもおはようにゃ
仁奈,何で猫がいるんでしょーか。うむむ………謎を発見しちまいました。でも、モフモフさせてくだせー！
みく,いいにゃ。なでてにゃなでてにゃ
仁奈,スゲーかわいいです。いいなー猫いいでございますなー
みく,結構撫でる力が強いにゃ
仁奈,幸せです。この幸せを一人で味わっていいんですかねー。そういえば今仮眠室に
みく,ぐえ。ちょ、首が閉まる持ち上げ方にゃ
仁奈,待ってくださいね猫さん。今楽しいところに連れてってやりますよー
みく,下半身が揺れるにゃ～
仁奈,にしても………猫の着ぐるみがほしいですー
みく,ゾクリ………皮、剥がないよね？
？？？,にょわにょわにょわ～。だらだらだら～働かざる者に飯の恵みを！
仁奈,はいりまーす！杏おねーさん！いますかー！
杏,うわぁびっくりした！に、仁奈ちゃんか。ほんとびっくりして寝込んじゃうところだったよ。だから寝よ
きらり,おっはにぃ～☆仁奈ちゃん、すっごおいはぴはぴしてゆ～？
仁奈,すっごいはぴはぴです！これ！見やがってください！
みく,ぐぇ。体のGがぁ………
きらり,うっぴゃ～！何々？猫さん？猫さんが来てゆ～！
杏,どうしたのその猫？拾ったの？
仁奈,拾ったというより………拾いました！すっごいモフモフで幸せできもちいーんですよ！でも仁奈だけでなくみ奈さんにも幸せになってもらいたいんでごぜーます
きらり,仁奈ちゃん………いい子～☆なでなでしてあげゆ～☆
仁奈,ありがとうごぜーます！でもこの子にもなでなでをしやがってください！
きらり,うんうん。なでなで～☆
みく,うにゃ～揺れるにゃ～
きらり,杏ちゃんは～？
杏,あ、あーうん。かわいいね。でも杏は眠たいんだ。猫はいいよねー寝子は。だから、ベッドにダーイブ！お休み～すやぁ
仁奈,じゃあ仁奈も杏おねーさんと猫さんと一緒に寝るです！すやぁ
きらり,きらりも～☆すやぁ
三人,すやぁ
みく,あ、圧迫されるにゃ………てやぁ！ふぅ何とか抜け出せたにゃ。みくは気紛れだから一つの場所には留まらないにゃ。おーなーかぺっこぺこ～♪猫はニャーニャーニャー♪モンペチ求めてまっしぐら～♪ねーこまっしぐら～♪でも、お魚は勘弁にゃ♪実際猫は魚好きだとしても川に潜って取れないにゃ。よってハンバーグが主食にゃ
飛鳥,おや。君は………
みく,飛鳥ちゃんにゃ。相変わらず個性派をひけらかしてるにゃ～
飛鳥,そうか………君は感じてるんだね。動物的な第六感で
みく,いきなり何言ってるにゃ
飛鳥,確かに人間とは違って。動物は本能を物事が見れる。だから、君は見てしまったのかもしれない。僕の未来を。だけどそのことは胸の内に閉まっておいてほしいかな。だって未来を知ってしまっては、生きる喜びが薄れてしまうだろ
みく,失礼しましたー
飛鳥,待ってよ猫君。もう少し話をしようよ。君なら僕の、僕自身の知らない部分を見つけてくれるかもしれない。だから、もう少し一緒にいてくれ
みく,うーん猫に人生相談か何かかにゃ？でもマジモンで分かんないにゃ
飛鳥,僕自身、これから歩むであろう人生。その先について考えてしまうんだ。平平凡凡なのかもしれないもしかしたらきらびやかなのかもしれない。そんな風に考えると。夜も眠れず学校で眠ってしまう
みく,将来に不安を抱えてるのにゃ………でも学校で居眠りは感心しないにゃ
飛鳥,それに引き換え君はいいよな。縛るものなんてない。流れる水は誰にも掴むことができない。君はそんな存在なんだろ
みく,流れる水は掴れないかもしれないけど塞き止められるにゃ。猫生も束縛が多いにゃ
飛鳥,………こんなこと、猫の気味に相談してもわかんないか
みく,最初から理解してたよこの子
？？？,闇が深ければ光は強くなる
飛鳥,！誰だ！？
蘭子,汝の求める答えは闇深くの中の光(確かに不安はありますがその中に確かに希望はあるんですよ！飛鳥ちゃん
飛鳥,蘭子。確かに、そうかもしれない。人は誰しも闇の中にいる
蘭子,心に巣食う歪。だが思惑はトライデント。抗えぬ業(不安は人それぞれに誰にでもあります。決してなくなりません)
飛鳥,誰にでもあるか。だけど人はそれを背負って精一杯生きている
みく,何話してるかまるで分らんにゃ
蘭子,我が業も深淵に眠っている。闇の先。だが手を伸ばせば届く(私も不安です。将来のこともつい考えます。でも悲観するものじゃないんです)
飛鳥,それはなぜだい？
蘭子,我が下僕が導いてくれる。ライジングロード。穢れなき光だ(プロデューサーが私をアイドルにしてくれたからです。とっても、とっても楽しいです)
飛鳥,アイドル………まさか僕が誰かの偶像になるとは思ってもいなかったが。そうか。僕はアイドル。アイドルは穢れなき光、か。ありがとう。君に相談してよかった
蘭子,我が同志の力になるのは当然(いえ、こっちこそ話ができてよかったです
飛鳥,むっ。そうだな。君のいう光にかけてみよう
みく,いつの間に相談になってたにゃ………まあ、結構いい話っぽいし、邪魔者は退散するにゃ～。やっみに紛れて歩く♪足音ひーそめって歩く♪誰しも知ってる殺し屋♪プリティーキュートな殺し屋♪今、あなたの後ろにいるにゃ♪うーん………殺し屋って単語は殺伐してるから没にゃ。ここはレッスン場にゃ。みくもやらなきゃいけないのに………
茜,ボン、バァー！！！！
みく,お。茜ちゃんにゃ。いつみてもパワフルにゃ。どう見てもアイドルがやっていい力の入れ方じゃないにゃ
茜,ふっ！ふっ！どりゃあ！滾る、みなぎる熱いパトス！クールダウンなんかしてられません！今のやる気が持続するうちにどんどん！次のレッスン！
みく,すっごいやる気にゃ。杏チャンも見習うべきにゃ。でもあの様子じゃ近寄っても気づいてくれなさそうにゃ
茜,ふっ！ふっ！ん？
みく,こっちに気がづいたにゃが！？
茜,猫だー！猫がいますよ！！何でこんなところに猫が！！！！かわいいです！！！！！すごいです！！！！！
みく,とびかかって来たにゃ。すっごい瞬発力………
茜,これはとてもかわいい、まるで………猫です！まるですごいかわいい猫です！！！！！
みく,そのまんまの表現にゃ。でも、面を向ってそんなにかわいいって言われると照れるにゃ
茜,かわいい！！かわいい！！！すっごいかわいい！！！！何でこんなにかわいいんだろう！！！！！もうびっくりするくらいかわいい！！！！！にゃにゃにゃーん！！！！！
みく,にゃ、にゃあ
晶葉,すごい声だ。レッスン場とはいえここまで大きな声を出すとは
茜,晶葉ちゃん！おはよーございます！！！！！
晶葉,おはよう。元気なのは結構だが、レッスン場に猫を持ち込むのはいささか不躾じゃあないか
茜,そうですか！！！？でもこの子自分から入って来たんですよ！！！！！
晶葉,そうか………にしてもこの猫、見覚えがあるような無いような
みく,！まさか、晶葉ちゃん、みくのことわかるのにゃ？
晶葉,ん？なんだ突然。この猫、私のほうにすり寄って来たぞ
みく,みくにゃ～。気付いてにゃ～
茜,きっと晶葉ちゃんのこと好きなんですよ！！！！ほら！！！いっぱい抱っこしてあげてください！！！！
みく,ぐえぇ
晶葉,や、やめろ。顔に擦り付けないでくれ！
茜,でも猫もきっとうれしいはず！！！ほら、抱っこしてあげて！！！！！
晶葉,う、うむ
みく,みくのことわかるかにゃ～？
晶葉,………も、もういいだろう、私も自主的なレッスンに来たんだ。いつまでも猫に構ってるわけにはいかない
茜,そうなんですか！！！！なら一緒にやりましょう！！！まずは腹筋をひたすらします！
晶葉,待て。数を設定しないのか！いきなり茜基準でのレッスンは………うわぁぁぁあ！
みく,ご愁傷様にゃ。でも今みたいにみくのことを気付いてくれる人がいるかもにゃ。にゃにゃにゃにゃっにゃにゃにゃん、にゃん♪くるりしっぽだよ♪上機嫌な証拠だよ♪これは没にゃ。やっぱりみくのことを気付いてくれるのはみくに近い猫ドルが一番かもしれないにゃ
ペロ,ん？新入りにゃ
みく,ん？誰にゃみくの口調をまねするのはって、あなたは雪美ちゃんのペロちゃん。だったら、
雪美,ペロ………その子は………お友達？
みく,雪美ちゃんにゃ！にゃんにゃんにゃんの後継メンバー！我が同志雪美ちゃんにゃ！
雪美,？
ペロ,君はさっきから何を言ってるにゃ
みく,みくはみくにゃ！ほら！会ったことあるでしょ！雪美ちゃんに伝えてにゃ！ペロちゃんと雪美ちゃんは以心伝心のはずにゃ
ペロ,………信じられないな。みくって言ったらあれだろ。人なのに語尾ににゃとつけて猫になろうとしてる
みく,猫になろうって………それはいいにゃ。雪美ちゃんに伝えてにゃ。お願いにゃあ
ペロ,伝えたところでどうするにゃ。この猫はみくだ～って言うのかい？ごめんだけどそれだときっとご主人は混乱してしまうにゃ。君はそれを伝えて、どうして欲しいの？
みく,伝えてどうするかって………それは。どうしよ
ペロ,ごめんだけど、不確かな情報でご主人を混乱させたくないにゃ
みく,何で猫に説教されちゃうのにゃ………
雪美,………にゃん
みく,雪美ちゃあん………
雪美,こっち………おいで
みく,にゃ………優しい撫で方にゃ
雪美,貴方から………優しさを感じる………みくって人と………同じ
みく,！もしかして、わかってくれたにゃ！？
雪美,でもそれは………決してあり得ることじゃ………ない
みく,そ、そんにゃあ
雪美,でももし困ってるなら………私は………応援する………それしかできないから………がんばれって………言う
ペロ,ご主人………
雪美,もうそろそろ………行かなくちゃ………バイバイ猫さん………がんばって
みく,雪美ちゃん………雪美ちゃんは天使にゃあ
ペロ,………がんばるんにゃよ
みく,うん。頑張るにゃあ。頑張るにゃ！。キャットロード♪忍びに忍びの忍び足～♪キジトラ♪シマシマ♪茶色ブチ～♪歌作るのも飽きてきたにゃ。いろんなとこまわって疲れたにゃ。ちょっと休憩にゃ………あれは、留美ちゃんにゃ
留美,ふぅ………これで良しと、ん？
みく,おはようにゃるーみみーん。ちひろちゃんの手伝いにゃ？ご苦労様にゃ
留美,ね、猫？何でこんなところに………触っていいのかしら
みく,おう撫でれ撫でれ。みくにゃんこをめいっぱい愛でるにゃ
留美,あぁ、そんなコロコロ転がると………我慢できない
みく,にゃあにゃあ。猫好きに悪人はいない。抱き方に優しさがこもっているのがわかるにゃ
留美,うにゃあ………
みく,うわぁめっちゃ蕩け顔になってる。こんな留美ちゃん見たことないにゃ
留美,すっごいいい。お持ち帰りして飼いたい………ぐしゅ
みく,待つにゃ………そういえばはるにゃんが留美ちゃんに猫のぬいぐるみをプレゼントして………その理由が
留美,ぐしゅ………ほわあぁぁ
みく,留美ちゃんが猫アレルギーだからにゃ！やばいにゃ
留美,あ、あ～………
みく,危ないにゃ。留美ちゃん猫好きだけど近くにいると体が悪くなっちゃうにゃ。ここは心を鬼にして、お？
舞,うわぁ猫さんです！何でいるんだろー
みく,舞ちゃんにゃ！やっぱり猫は子供のアイドルにゃ。みんなつい抱きしめちゃうよね
拓海,何で猫がいるんだ………和久井の姉御が入れたのか？
みく,特攻隊長も一緒にゃ
留美,いやぐしゅ。ぐしゅしゅ勝手に入って来たみたい
舞,………大丈夫？
留美,ちょっと苦しいわね
拓海,だったら少し休んでな。仕事はアタシがやってやるよ
留美,大丈夫よこれくらい。ぐしゅ
拓海,任せなって。書類整理か………何すればいいか分かんねぇ
留美,だったら教えてあげるから
拓海,ああ………舞ちゃんは猫と遊んでていいぞ
舞,えー!私も手伝います！猫さんはここで待っててね
三人,あーだこーだ
みく,あの三人はいいよねぇ。ほんとに家族みたいにゃ。もうそろそろPちゃんが戻ってくる時間かな？。ただいまー
P,お、猫が帰って来たーどこ行ってたのよ～
凛,建物の中散策してたみたいだね
ちひろ,プロデューサーさんが帰って来たのと同時に現れましたよ。よっぽどプロデューサーさんのことが好きなんですね
P,マジですかい。いやぁかわいいやつだなぁ
みく,Pちゃんもうそろそろ気付いてにゃ。みくだよー
凛,にしてもこの猫、何かを訴えかけようとしてくる鳴き声だよね
P,やっぱお腹空いてんでしょ。大丈夫エサも猫砂も買ってきたし
ちひろ,買うんですか？
P,そういうわけじゃないけど。一応。今晩俺泊り込みですし、面倒見ますよ
凛,じゃあ私も泊まり込む
P,結婚できない歳のくせに何言ってるのよ。18歳未満は22時以降の外出は認められません
凛,大丈夫だよ。母さんに友達の家に泊まるって言ってあるし
P,大丈夫な要素が皆無なんだけど。ねぇちひろさん
ちひろ,私定時何で帰りますね
P,丸投げすんじゃねー！サビ残してけや！
凛,明日学校休みだからゆっくりできる～。はいプロデューサー。ホットミルク
P,全く。最初からお泊りセット持ってきてんじゃない。いまのJKはここまでアグレッシブなのかねぇ
凛,じゃあ私、応接室で宿題してるから。お腹すいたら言ってね。何か作ってあげるから
P,おう。あー疲れるわー愛妻弁当が喰いたいわー。技術ゼロで愛情100で作られたゴッテゴテの愛妻弁当が食べたいわー
みく,Pちゃんも結婚願望とかあったんだ
P,猫ちゃーん。どうやったら彼女ってできるのかしら。もうできなくて嫌。もう男でもいいやって思うときもあるわ
みく,えぇ………Pちゃんってそっちの気もあるの？
P,これでもたまに逆ナンされるときもあるんだけど、一言言葉を発した途端に離れちゃうのよ。何でかしらね
みく,口調のせいにゃ
P,………なーんかバカにされた気分ね。あんたは凛のところに行ってなさい
みく,首根っこをつかむのは止めてにゃ！
P,りーん。この猫の面倒お願い
凛,あ、うんわかった
みく,この際凛ちゃんでもいいや。凛チャーン。気付いてにゃあ。みくにゃあ
凛,やっぱりこの猫何か訴えてる気がする。ご飯？トイレ？
みく,違うにゃあ
凛,………
みく,凛チャアン………
凛,お手、おかわり………できるわけないか
みく,にゃにゃ
凛,すご。ほんとにやった。なら、ジャンプ
みく,にゃ！
凛,マジで。えっと、プロデューサーのハンカチ持ってきて………何言ってんだろ私、あ
みく,持ってきたにゃあ
凛,嘘………まさかと思ったけど私の言葉を理解できてるの？
みく,これだけ言うこと聞けば少しは気付くかもしれないにゃ。でもハンカチ持って来いって………
凛,ジャンプまではジェスチャーがあったけど………ハンカチまで持ってくるなんて、すごい猫ね
みく,もうちょっと、もうちょっとにゃ！そうだ！ここに置きカレンダーが
凛,ちょっと、カレンダー倒しちゃだめだよ………3日？
みく,それと、これ！
凛,9日………3日と9日、3、9………サンキュー………みく？
みく,やったにゃ！やっとここまで来たにゃ
凛,まさかね
みく,まさかじゃないにゃ！本当にゃ！
凛,………そういえばみくをずっと見てない気がしなくもないような
みく,そうにゃあそうにゃあ。少しずつみくに近づくにゃあ
凛,もし、この猫がみくなら
P,よーし仕事おーわり！とっとと寝よっと
みく,ぐはぁ！Pちゃん！
凛,お疲れ～うん一緒に寝よっか
P,オイこら何自然と一緒に寝よう発言してんのよ。あんた宿直室で、私は事務所で寝んの
凛,夜、誰かと話しながら寝るのって楽しいかもよ
P,寝るだけだからいいの。猫どうする？一緒に寝る？いやなら連れてけど
みく,まずいにゃ。もうちょっとで凛チャンが気付くとこなのに
凛,待って。プロデューサー。今ちょっと魚ある？
P,何よ藪から棒に………煮干しならあるけど
凛,一個もらうね。はい。あげる
みく,みぎゃあ！やめるにゃ！
P,この猫。猫のくせに魚が嫌いなのね
凛,………この猫は今晩私が預かる。それでいいプロデューサー
P,ああ、わかった。じゃあよろしく～お休み～
凛,………
みく,すっごい睨んでくるにゃ。目の前に紙が………みくを知ってる？
凛,我ながらバカらしい実験だと思う。けど、そのバカらしさが通じるのよねわがシンデレラプロじゃあ
みく,はいといいえの紙………
凛,もしあなたが言葉を理解できて、私の考えが正しいのなら。質問に対してはいかいいえかに手を置いて
みく,なるほど、この質問は当然はいにゃ
凛,みくのことを知ってる………ならこれ。猫カフェ巡りが趣味だ
みく,はいにゃ
凛,………魚が嫌い
みく,はいにゃ
凛,………自分はみくである
みく,そうにゃ！その通りにゃ！はいにゃ！
凛,………もしさ。これが夢じゃなくて、本当にあなたがみくだとしたら
みく,うんうん！
凛,プロデューサーと一緒の布団で寝るつもりだったの？
みく,えぇーそこに喰いつくの………
凛,いいなぁ。猫化いいなぁ
みく,まあ、とりあえず認知してもらえたのかにゃ？
凛,でも、猫になるって何？何でそんなことになってるのさ
みく,わかんないにゃ。目が覚めたらこうなってたにゃ
凛,うん
みく,うんって。何がうんにゃ
凛,何言ってるかわかんないや
みく,そういえばそうだったにゃ
凛,もしこの猫がみくとして、みくが今何を考えてるかわかんないし………
みく,わかってもらっても意思疎通の問題があるにゃ
凛,正直信じられる話でもないし………そうだ。今カバンの中に、あった。首輪
みく,何でそんなのあるにゃ？何でそんなのあるにゃ！？何でカバンにあるの！？
凛,晶葉に作ってもらったバウリンガル付きの首輪。いろんなことに使ってみようと思ったけど、ちょっと試しに
みく,いろんなことって時点で怖いにゃ
凛,よしつけた。じゃあ、あなたの名前は何？
みく,前川みくにゃ
凛,前川みく………ほんとなの？晶葉の作ったものだから信用できるけど、やっぱり本当に？
みく,やっと意思疎通ができるにゃ！
凛,ふんふん。なるほどねぇ。つまり目が覚めたら猫になっていた、と
みく,その通りにゃ
凛,つまり私の杏のあんず飴のくだりも………
みく,にゃ………
凛,プロデューサーに抱っこしてもらって………いいなぁ。猫化いいなぁ
みく,思いっきりあそこ触られたけどね………
凛,あ、うんそうだね。えっと原因に身に覚えはないの？
みく,無いにゃ。いつの間にかにゃ
凛,私には覚えがある
みく,！それは何にゃ！
凛,こういう現実離れした出来事って大抵晶葉が原因だって相場が決まってると思う。だからきっと晶葉が寝てるみくに何かしたんじゃない？
みく,そんなの、あり得るのかにゃ？
凛,でも怪しいと思わない。バウリンガルとか言っといて猫にも使えるしこの首輪
みく,それは高性能ってだけじゃないの？
凛,とりあえず、明日晶葉に話を聞いてみよ
みく,わかったにゃあ
P,まだ起きてるの凛。夜更かしはお肌の大敵よ。俺だって気にしてるのよ
凛,あ、うんもう寝るよ。プロデューサーも早く寝よ
P,ナチュラルに誘うんじゃないわよ。お、首輪つけたんだ。どこにあったか知らないけど
凛,結構気に入ってくれたみたいだよ
