宮本フレデリカ,～♪
フレデリカ,え？え？えええ！？
ありす,どうしてどうしてどうしてどうしてどうしてどうしてどうしてどうしてどうしてどうしてどうしてどうしてどうしてどうしてどうしてどうしてどうして！！！！！
フレデリカ,う、うわぁぁぁぁ！！！！！。うーん……。うーん、うーん……。……！。！？
ありす,まったく、ようやく起きましたか
フレデリカ,……え？。あ、ありす……ちゃん？ここは……？
ありす,ここは？……じゃないですよ！仮眠室です！レッスン直前なのに来ないから、探しに来たんですよ？
フレデリカ,そ、そっかー……！
ありす,ちょっと！これからレッスンなんですよ！？
フレデリカ,ごめんねー？安心しちゃってー……♪
ありす,はぁ？
フレデリカ,ふ、フレちゃんね！ヤンバルクイナを飼いたいって思うの！
ありす,ヤンバルクイナ！？バカなんですか！？絶滅危惧種ですよ！？
フレデリカ,ありがと！！！
ありす,何が！？
