矢吹可奈,以下、可奈
P,ははは……お手柔らかにな。すみません音無さん、仕事は手伝えなさそうです
可奈,むにゃ……えへへ♪
志保,良いですか？これからはこういう事は慎むように
P,はい……はい
志保,……本当に分かってるんですか
P,なぁ、志保
志保,なんですか、プロデューサーさん
P,……ひょっとして、嫉妬してるんじゃ
志保,！
P,ってて！やめて、痛いから！
志保,馬鹿な事言うからです！
P,ゴメン、ゴメンって！
可奈,あっ、プロデューサーさんと志保ちゃん！
志保,……可奈、よく眠れた？
可奈,うん！プロデューサーさん、やっぱりあったかかったんだ～♪
志保,…………
P,こら、蹴るんじゃない
可奈,……あのっ、プロデューサーさん！
P,ん、どうした？
可奈,機会があったら、また一緒に寝てもらっても良いですか！？
P,ああ、勿論
志保,！？
可奈,約束ですよ～♪
P,おう！
志保,…………
P,……し、志保さん？
志保,……正座
P,えっ？
志保,せ・い・ざ！してください！
可奈,志保ちゃんの事、怒らせちゃったかな……
小鳥,いーや、アレは。……罰として、今度また一緒に寝てください。とか言ってる奴よ、きっと
可奈,そ、そうなんですか……？
小鳥,絶対そうよ、間違いないわ。……で、プロデューサーさんどうだった？
可奈,……と、とっても優しかったです
小鳥,……そう
可奈,えへへ……またやってくれないかな～♪
小鳥,……私の事もいつか受け止めてくれないかしら
