モバＰ,以降Ｐ…ああっ、開運ブレスレットが
Ｐ,ご飯出来たぞー。ワサビ多めにしたから気をつけろよー
芳乃,つーん！
Ｐ,デザートにケーキ買ってきてあるからなー
芳乃,はむっ、んぐ、もぐっ…つーん
Ｐ,明日も仕事だしそろそろ寝るぞオヤスミー
芳乃,つーん
Ｐ,ふわぁ……よく寝た。おはよ芳乃
芳乃,ふわぁ……おはようございま…つーん
Ｐ,それ続くの？
ちひろ,おはようございます。あれから芳乃ちゃんと仲直りできました？
Ｐ,あぷぁぷぁぷぁぷぁ
ちひろ,あ、ダメだこりゃ
Ｐ,ぷぁぷぁぷぁぷぁ
ちひろ,まだ芳乃ちゃん怒ってるんですか？もう…本当に何したんですか
Ｐ,パペピプパペペペ
ちひろ,みりあちゃーん！？ちょっと通訳してくださーい！
凛,おはよう。さぁ、今日も残していこうか。私たちの足跡
まゆ,おはようございます
ちひろ,うわ、よりによってこのラビットタンクコンビ。おはようございます
凛,あれ、プロデューサー
ちひろ,あ、あのね？プロデューサーさんは今ちょっと人前に出せない姿になっているというか…
Ｐ,おはよう凛、まゆ。今日も１日よろしくな
ちひろ,アルェ！？
Ｐ,ハハッ、どうしたんですかちひろさん奇声を上げて
ちひろ,さっきまで奇声を上げてたのはそっちでしょ！
まゆ,そういえばＰさぁん
Ｐ,うん？
まゆ,今そこで芳乃ちゃんとすれ違ったんですけどご機嫌斜めでしたよ？どうかしたんですか？
Ｐ,あぷぁぷぁぷぁぷぁ
まゆ,えっ！？ぴ、Ｐさん！？
Ｐ,ぷぁぷぁぷぁぷぁぷぁぷぁ
凛,ど、どうしたのプロデューサー！デッサンおかしいよ！？
ちひろ,ダメだこりゃ
凛,芳乃と
まゆ,ケンカですか？
ちひろ,ケンカと言いますかこのスカタンが芳乃ちゃんを怒らせたと言いますか
凛,へぇー、芳乃って怒るんだね
まゆ,まゆも、てっきり喜揚哀楽しか無いのかと
Ｐ,いきてるってなんだろう
ちひろ,ああもう、シャキッとしてくださいよ。良い歳こいたオッサンなのに
凛,へんにゃりしてるプロデューサー…アリかな
まゆ,へんにゃりＰさん…激レアですよぉ…！
Ｐ,凹んでるのに担当アイドルが嬉々として写メ撮ってくるんですが
ちひろ,それにしてもあの芳乃ちゃんが丸１日経っても怒りっぱなしなんて…本当にどれだけ残虐な事をしでかしたんですか？
Ｐ,お前じゃあるまいし
ちひろ,ちゃんと謝りました？あ、十万石まんじゅう貰いますね
Ｐ,いや、何が悪いのか分からないのに口だけの謝罪をしても逆効果かと思って
凛,まあ、それは分かる
まゆ,でもかといって取り合えずのごめんなさいも欲しいといえば欲しいのが女心ですよねぇ
Ｐ,女心難しい…難易度インフェルノだよ…
凛,髪を切ったのに気づかなかったとか
Ｐ,外見の変化はすぐ分かるよ職業柄
まゆ,約束を破っちゃったとか
Ｐ,芳乃との約束より大事なものなどこの世にねーですよ
ちひろ,夜中つい手を出しちゃったとか
Ｐ,紳士はそんなことしない！
凛,逆じゃない？何もしないから怒ってるとか
まゆ,あー、わかります。すっごくわかります
Ｐ,えっ、それ俺が悪いの？
芳乃,むむーっ
肇,あら、珍しいですね芳乃ちゃん１人なんて
芳乃,わたくしもこうして１人心静かに過ごしたい時はございましてー
時子,どこが心静かよ
肇,気のせいじゃありませんよね、芳乃ちゃん不機嫌そうです
時子,この子も人並みに怒るのね。ほんの少しだけ感心したわ
芳乃,あの者はもうー、あの者はもうー！
肇,まるで親の仇のような勢いで歌舞伎揚げを貪ってます…
時子,どうせあの豚が何かやらかして怒らせたんでしょう？放っておきなさい
芳乃,かーーっ！まったくもう！ほんとにもー！
時子,…
肇,……
芳乃,なーのでーしてー！！
時子,…少しぐらいなら聞いてあげるからさっさと言いなさい。何があったの
肇,時子さん優しい
時子,煩くて仕方がないからよ
芳乃,聞いてくださいませー！
時子,だから聞くわよ
肇,一体どうしたの。Ｐさんと何かあった？
芳乃,わたくしだって怒る時は怒るのでしてー！
肇,うん、今初めて知った
時子,豚が隠していたいかがわしい本でも見つけたのかしら
芳乃,かの者はそういったものは一切持っておりませんー
時子,それはそれで不健全な気がするわね
芳乃,ほんとにもー！でしてー！
肇,Ｐさんが芳乃ちゃんをこんなに怒らせるなんて…ちょっと深刻ですね
芳乃,追いかけてもきてくれませんしー、おやすみなさいの撫で撫でもありませんでしたしー
時子,結構しょうもない事の気がするわよ。…
肇,…
芳乃,という訳なのでしてー！
時子,ほら見なさい。しょうもなかったわ
肇,でも確かにそれはプロデューサーさんが悪いと思います
芳乃,悪いのですっ、悪いのでしてー！
時子,無様と言うのかしら、だらしのない、とは思うわね
芳乃,だらしないのでしてー！
肇,周りに心配をかけるのは駄目だと思います
芳乃,駄目なのですー！
肇,私が同じ立場だったら確かに怒りますね、これは
時子,私だったらそのまま踏むわ
芳乃,もう知りませんー！知りませんのでー！
肇,うーん…私たちからＰさんに注意した方がいいんでしょうか？
時子,放っておきなさい。この子に叱られる事に意味があるのよ
芳乃,今日はまだ一度も撫で撫でがありませんのでー！
肇,それは芳乃ちゃんが怒っているからじゃあ…
芳乃,ごめんなさいと仰ってギュッとしてくださればわたくしだってきちんと許してあげるのでしてー！
時子,肇、奢ってあげるわ。お茶に付き合いなさい
肇,あ、はい。ブラックコーヒーが飲みたい気分です
ちひろ,心当たり、何か思い出しましたか？
Ｐ,品行方正に生きてるので特に思い浮かばないですねぇ…
ちひろ,え？品川方面？
Ｐ,良い耳鼻科紹介しますよ
凛,やっぱりプロデューサーが手を出さないから…
まゆ,まゆで予行練習しますかぁ？
Ｐ,この事務所でまともなのは俺だけか…！
凛,最近バレンタイン関連のイベントで忙しかったし、それであんまり芳乃を構ってあげられなかったとか？
Ｐ,確かに忙しかったけど仕事中背中に張り付いてたり頭の上に乗っかってたりフリーダムだったよあの子
まゆ,お家に帰る暇も無く芳乃ちゃん１人しょんぼり留守番させていませんでしたかぁ？
ちひろ,下手にこの人事務所に寝泊まりさせると私が後でシメられ…もとい怒られちゃうんで最近は許可してませんよ
Ｐ,ハハッ、それ以前に帰りが遅いと謎の力で強制的に自宅に連れ戻されるからな
凛,うーん、それじゃあ原因は何だろうねぇ
まゆ,Ｐさんに愛想が尽きたとか……ああっ冗談ですごめんなさいごめんなさいお願いですから窓枠に足をかけないでくださいっ！
Ｐ,ゴメンゴメン、つい発作的に。流石にこの高さから落ちたら捻挫ぐらいしちまうし
ちひろ,普通の人間だったらグチャッていくと思うんですが
Ｐ,家にだってちゃんと帰ってるし…そりゃまぁ片付かなかった仕事は持ち帰ってるけど
凛,珍しいよね、普段バケモノみたいな速さで仕事してるのに
Ｐ,行事関連イベントとかは流石に時間かかるっての。でもそれも家で終わらせてるし。ちょっぴり遅くまでかかるけどもさ
芳乃,それなのですー！
ちひろ,わっほい！
まゆ,い、いきなりデスクの引き出しから出てくるのはビックリします！
芳乃,それですっ！それですそなたー！
Ｐ,それ？家庭に仕事を持ち込むなと？
芳乃,その後なのですー！
Ｐ,その後…？……………あ゛
ちひろ,あ、やっぱり心当たりあったんじゃないですか
凛,わあ、本当に芳乃が怒ってる
まゆ,へんにゃりＰさんと言い今日は珍しい光景が見られますねぇ
Ｐ,よ、芳乃。確かに注意されたのに何度か繰り返してしまった事は謝る。けどあれは忙しくてだね…
芳乃,わたくしは怒ると申しました
Ｐ,ヒィッ
芳乃,お仕事は忙しいのでしょうー、それは仕方のないことなのですー
Ｐ,はい
芳乃,お家でお仕事をなさるのも、致し方ないことなのでしょうー
Ｐ,はい
芳乃,ですがっ！
Ｐ,はいっ！
芳乃,そのあとっ！
Ｐ,はいいっ！
芳乃,どうしてっ、ちゃんとっ、お布団でお休みにならないのですかー！
Ｐ,申し訳ありませんッ！！
ちひろ,…は？
凛,…え？
まゆ,はいぃ？
芳乃,まだ灯りがついていたので起きておられるのかと様子を見にいったら、テーブルに突っ伏してピクリともしないそなたを発見した時のわたくしの気持ちを考えましたかー！
Ｐ,眠くて布団に移動するのも面倒だったというか布団に入るとシーツの冷たさで逆に目が覚めちゃうから眠くなった地点でそのまま寝ちまうのが合理的だとゴメンナサイ怒られましためっちゃ怒られました！
芳乃,そなたが働きすぎて倒れてしまったかと思いましてー！ほんとうに、ほんとうにあの時は心配しましてー！
Ｐ,だからゴメンてば！
芳乃,先週もー、そなたの布団に入りにいったらそなたは床の上に倒れておりましてー！
Ｐ,デスクで寝てるうちにいつの間にか椅子から落ちたんだろうなぁ
芳乃,びっくりしたのでしてー！心の底からびっくりしたのでしてー！
Ｐ,スンマセン意外と床でも眠れるもんだから！
ちひろ,…なんだこれ
凛,芳乃の気持ちわかる。もっと言ってやれー
まゆ,確かに床に倒れているＰさんなんて目撃したら泣きますよねぇ。芳乃ちゃんもっとやれー
芳乃,そうして２度、わたくしはそなたを叱りましたー
Ｐ,叱られました
芳乃,ですが一昨日、一昨日そなたは何をなさいましたかー？
Ｐ,持ち帰った仕事を終わらせて牛乳でも飲もうかと冷蔵庫を開けたあたりで力尽きました
芳乃,台所でグッタリと倒れているそなたを発見して、わたくしがどれほど驚いたことかー
Ｐ,すいません
芳乃,あろうことかー、ケチャップを零していましてー！
Ｐ,それは偶然だけどスイマセン！
芳乃,よりによって目を開けたまま眠っておりましてー！
Ｐ,それは初耳なんだけどゴメンナサイ！
芳乃,こぼれたケチャップで床によしの
Ｐ,いやそれは絶対嘘だろアッハイごめんなさい！
ちひろ,下のカフェでお茶でもしましょうか
凛,そうだね。プロデューサーのツケでいいよね
まゆ,ケーキも頼んじゃいましょう
Ｐ,ごめん！本当にごめんって！もうしないから、もうしないから！
芳乃,知りませんー！そなたの事などもう知りませんー！
Ｐ,本当にごめん芳乃！
芳乃,今回だけは許してさしあげましょうー
アッキー,もう少し続くぞ
芳乃,ほーほー…。なるほどー、こういったものがー。…まんねり化する２人の生活にすぱいすをー、これは勉強になりましてー。それでは早速、行動に起こしてみるのでしてー。そなっ
Ｐ,おーい、カステラ切ったけど食べるかー？
芳乃,明日からにしましょうー
Ｐ,芳乃ー？上下部分だけ食べちゃうぞー？
芳乃,今そちらに参りましてー
Ｐ,ただいまー
芳乃,おかえりなさいー
Ｐ,あれ、わざわざ玄関で待っててくれたのか？
芳乃,か、勘違いしないでくださいー。たまたまここにいただけなのでしてー
Ｐ,あっ、はい。しかし今日も寒かったな…誰に断って冷えてるんだよ地球は。…おおっ、お茶淹れておいてくれたのか？
芳乃,わ、わたくしが喉が渇いていただけなのでしてー。そなたの分は気が向いたからなのですー
Ｐ,あっ、はい
芳乃,勘違いされては困りますー。このお茶菓子もわたくしが食べたいからここに置いただけなのでー
Ｐ,あ、はい
芳乃,ですが少々量が多いのでー。そなたがどうしてもと仰るなら、一緒に食べてもよろしいのでー
Ｐ,アッガイ
芳乃,…
Ｐ,…
芳乃,……
Ｐ,……
芳乃,如何でしょうー
Ｐ,え、奈緒のモノマネ？
芳乃,眉毛が足りませんー
Ｐ,えっと、これで必要なものは全部揃ったな。よし帰るぞー
芳乃,わかりましたー
Ｐ,ほら、荷物持つぞ
芳乃,構いませんー
Ｐ,何か今日はクールだね芳乃さんや
芳乃,わたくしは普段のわたくしでしてー
Ｐ,そうかなぁ
芳乃,外は寒いので早く帰りましょうー
Ｐ,お、おう
芳乃,…
Ｐ,手ぇ、繋がなくてもいいの？
芳乃,…いりませんー
Ｐ,ちょっと距離取りすぎじゃね？
芳乃,……気のせいなのですー
Ｐ,あっ！空に焼き立ての歌舞伎揚げが！
芳乃,ほーっ！？
Ｐ,芳乃さんや
芳乃,…っ！だ、騙しましたーそなたが騙しましたー！
Ｐ,ハハッ、芳乃やっぱりパッション
芳乃,むむー、くーでれ、というものは難しいのでー
Ｐ,クールって芳乃と一番縁遠いものじゃね？
芳乃,うっひょー
Ｐ,やめなさい。アイツはパッションだから
芳乃,煩わしい太陽でしてー
Ｐ,アイツはキュートだよ。おーい、そろそろご飯出来るぞー
芳乃,むー、手が離せませんので後でですー
Ｐ,いけません。ちゃんと出来立てを食べなさい
芳乃,あー、ネルギガンテがー、もう少しでネルギガンテがー
Ｐ,後で手伝ってあげるから。ほら食べるぞ
芳乃,めんどいのでしてー
Ｐ,だらしないぞ。てかお腹見えてる見えてる
芳乃,１日くらい食べなくてもへーきへーきなのでしてー
Ｐ,ちゃんと食べないと育たないぞ？ただでさえちんまいのに
芳乃,それではそなたが食べさせてくださいー
Ｐ,献立焼きそばなんだけど
芳乃,んあー
Ｐ,難易度高ぇなぁもう
芳乃,あむあむ
Ｐ,…
芳乃,……
Ｐ,……
芳乃,…如何でしょうー？
Ｐ,事務所にすごくソックリなヤツがいますわ
芳乃,飴くれー、でしてー
Ｐ,ご飯の後にね
芳乃,あむっ
Ｐ,それ俺！。そう言えば芳乃はヤンデレも無理そうだよな
芳乃,おらおらー、そなたは気合がたりないのでしてー
Ｐ,ヤンキーのヤンじゃねーよ病むんだよ
芳乃,けほけほっ、持病がー…。ポテトを山盛り食べれば治るのですがー
Ｐ,肉体的に病むんじゃなくてだね。あとそれはただの加蓮だ
芳乃,そなたはあちらこちらに色目を使いすぎるのでー。わたくし以外の女性を移すその悪い目はいらないのでしてー？
Ｐ,急に大正解しかもクオリティ高ぇ
芳乃,むー、そなたを害する事などできませんー
Ｐ,まぁヤンデレって色々語弊があるしな。一概にこう！
芳乃,うふっ
Ｐ,それはヤンデレじゃない。へちょいリボンだ
芳乃,わたくしの前で別の女性のお話は駄目でしてーっ
Ｐ,ほーら高い高ーい
芳乃,全てを許しましょうー
Ｐ,ハハッ、まぁでも実際芳乃がヤンデレ化したら最強最悪そうだな
芳乃,ほー？
Ｐ,不思議な力で部屋に閉じ込められたり身動き封じられたり
芳乃,むー、そのような事は致しませんー
Ｐ,そうだよな。芳乃はそんな事する子じゃないもんなー
芳乃,そなた以外の人々を消してしまえば良いだけですからー
Ｐ,ハイライトと背景を消してその笑顔は怖い！！
芳乃,よしのんジョークでしてー
Ｐ,実際芳乃なら可能な気がするから怖いな…
芳乃,ふふー。消しましてー？
Ｐ,はいこの話終わり！。ハクメイとミコチも観終わったし、そろそろ寝るぞー
芳乃,はいー
Ｐ,うぉーい、お前さんの布団向こう。ここ俺の布団
芳乃,なるほどー、そのような考え方もー
Ｐ,このかんが得方しか無いよ潜るな潜るな
芳乃,この時期は寒いのでしてー
Ｐ,暖房つければいいだろ
芳乃,文明の利器は、よくわかりませんー
Ｐ,嘘付けモンハンやり込んでるじゃねぇか
芳乃,すやぁ…
Ｐ,寝るなぁ！自分の布団に戻れぇ！パジャマ掴むなぁ！
芳乃,むーっ……？
Ｐ,下を脱ぐなぁ！。…ま、いつもの事だし紳士は１６歳に手ぇ出したりしねーでごぜーますよ…
芳乃,合法でしてぇ…
Ｐ,…時々忘れるけど芳乃って肇や雫たちと同い年なんだよなぁ…。…
芳乃,でしふぇー…
Ｐ,…考えるのはやめよう。芳乃はノーカン芳乃はノーカン…
芳乃,らりほー
Ｐ,すやぁ
芳乃,むふーっ。……っ♪。おやすみなさいませー、そなたー
アッキー,終わりだ
優,んー…？どうしたのアッキー、こんな時間に
