千川ちひろ,智香ちゃんの担当プロデューサーさんが、今は入院中でしょ？
智香,ありがとうございますっ！えへへ……なんだか初めて、このプロデューサーさんと心が通じた気がするなっ☆。うんっ☆そう考えると、言葉は通じなくても目を見ていたらなんたか考えていることがわかるような気がしてきたなっ。あ、あれっ？な、なんだかホントに聞こえないのに、頭の中に声が…………。ほ、ホントにプロデューサーさんなんですかっ？。えっ？あ、アタシにできることなら何でも言ってくださいっ☆。えっ？。……ユッコちゃんでしょっ！
堀裕子,えへへ。バレた？でもすごいでしょ、とうとうテレパシーを習得したんだよ
智香,それはすごいねっ☆
裕子,相手の考えてることがわかったり、相手の脳内に直接語りかけたりできるんだよ
智香,あ、じゃあアタシのプロデューサーさんが何を考えてるか、わかるかな？
裕子,え？智香ちゃんのプロデューサーさんって、この……お猿さん？
猿Ｐ,キイッ
智香,うんっ。だいぶ仲良くなれたんだけど、やっぱり具体的にどんなプロデュースを思い描いているのか知りたいんだっ☆
裕子,わかった。ええと……
智香,どうかなっ？どんなこと考えてるのっ？
裕子,……ファミチキ
智香,えっ？
裕子,ファミチキ……買ってきて欲しいって……
猿Ｐ,キキー
智香,……
まゆ,どうですかぁ？あれからお猿さんのプロデューサーさんと、うまくやってますかぁ
智香,うんっ☆まあ時々、よくわからないことさせられるけど、なんとなく信頼関係ができた気がするんだっ
ちひろ,そうよ。私だって、伊達や酔狂であのお猿さんにプロデュースをお願いしたんじゃないのよ
まゆ,そうなんですかぁ？
猿Ｐ,キー
智香,あ、プロデューサーさん。おはようございますっ☆
猿Ｐ,キキキッ
智香,え？これは……ドラマの台本？え、アタシが出演られるんですかっ！？
猿Ｐ,キイキイ
まゆ,わあ。しかもこれ、ちゃんと役名もセリフもありますよぉ
ちひろ,智香ちゃんの、女優デビューね！
智香,こんな……アタシにできるんでしょうか……
猿Ｐ,キキキイ
まゆ,自信満々ですねぇ
ちひろ,大丈夫よ、プロデューサーさんだって太鼓判を押してくれてるんだから
智香,はいっ！アタシがんばりますっ☆
猿Ｐ,キキッ
まゆ,それにしてもぉ……こういうお仕事、お猿さんのプロデューサーさんがどうやってとってきてくれるんでしょうかぁ……
渋谷凛,で？どうして私たちが、あのお猿さんの後をつけてるの？
まゆ,いったいどんな営業をしているのか、気になるんですよぉ
三村かな子,あ、テレビ局に入っていくよ
受付嬢,おはようございま……あらあ！お猿のプロデューサーさん！
猿Ｐ,キッ！
受付嬢,きゃーっ！いつも美味しいバナナをありがとうねえ
猿Ｐ,キイキイ
受付嬢,あ、どうぞどうぞ、いいから入っちゃってね
猿Ｐ,キッ
凛,あの受付の人、厳しいので有名な人のはず
かな子,あのバナナ、そんなに美味しいのかな？
まゆ,まゆたちも、行きますよぉ
黒井社長,君ィ、次の音楽番組はウチのジュピターを出演してやっても構わんのだがねぇ
敏腕ディレクター,んー……ジュピターねえ
凛,あれ……業界最大手９６１プロの、黒井社長だよ
まゆ,良くない噂を聞く人ですよねぇ
かな子,あ、お猿さんのプロデューサーさんが……
黒井崇男,５４
猿Ｐ,キキィー
敏Ｄ,あ、猿ちゃん。どもどもー
猿Ｐ,キッ
敏Ｄ,んー？この写真……智香ちゃんでしょ？へぇ、夏らしいしスタイルいいから、映えるねー♪
猿Ｐ,キキッキー
敏Ｄ,そうそう、ここんトコとかいいじゃん。え？次の番組に？
猿Ｐ,キッキキー
黒井,ま、まちたまえ！次の番組にはジュピターを
猿Ｐ,キッ！？
黒井,よおし、ならば営業勝負といこうじゃないかね君ィ。どちらが出演枠を取れるか！
猿Ｐ,キー！
黒井,私が勝ったならば、出演は当然ジュピターだ。そして負けた君には……
猿Ｐ,キッ？
黒井,君には影のプロダクションに入ってもらうよ！
凛,なんだか燃える展開になってきた
まゆ,仕事における、男の戦いですねぇ
かな子,影のプロダンションって、なんだろ……？
黒井,まずは私だ。君ィ、ジュピターを出演させてくれるなら、これを……
凛,あ、お金
まゆ,さすがにやり方がきたないですねぇ
かな子,まさかうちの事務所のプロデューサーさんである、あのお猿さんはそんなことしないよね？
猿Ｐ,キキッ……
凛,えっ！？
まゆ,な、なにか渡しましたよぉ！
かな子,ラッピングしてあるけど、あれは……
敏Ｄ,お、もしかしてこれはいつもの……
猿Ｐ,キー
敏Ｄ,おお、やっぱりバナナ！これ美味いんだよねぇ。もう、こんなんもらっちゃったら、猿ちゃんトコの智香ちゃんを出演すしかないなあ。ははは
猿Ｐ,キィキィ
凛,バナナで……
まゆ,お仕事、ゲットしちゃいましたねぇ
かな子,あれきっと、バナナも嬉しいけどラッピングが良かったんだと思うよ
凛,そうなのかな？
かな子,品物をそのまま渡すんじゃなくて、心を込めたラッピングで包んで渡すって嬉しく感じるもの
まゆ,それはわかりますねぇ。あ、黒井社長さん、がっくりと膝をついてしまいましたよぉ
黒井,ノン……リベートや賄賂にも心を込める。教えられたよ猿君、君の必殺技バナナ包みに……
猿Ｐ,キィキィ
黒井,認めよう、今日は私の負けだ。しかし……私は君が欲しくなった。次は君に勝って、君に影のプロダクションに入ってもらうからね
凛,黒井社長、やり方は褒められないけど……
まゆ,あの人なりに、仕事にかける情熱はあるみたいですねぇ
かな子,でも、影のプロダクションってなんだろ？
凄腕ディレクター,え？海の家のリポートを猿君トコの若林ちゃんに？うーん……
猿Ｐ,キッ
凄Ｄ,しょ、しょうがないなあ。じゃあそのセンで
辣腕ディレクター,いや確かに、司会の滝川ポリエステルが休んじゃってるんだけど、いきなり代理でアイドルは……
猿Ｐ,キッ
辣Ｄ,……智香ちゃん、明日は空いてる？
強面ディレクター,私はバナナなどには屈しない！バナナなどで仕事を依頼したりはしないからな！！
猿Ｐ,キッ
強Ｄ,ば、バナナぁ！バナナ、しゅごいぃ！！バナナしゅごいのぉぉぉ！！！
猿Ｐ,キッキッキッ
強Ｄ,バナナには勝てなかったよ……
凛,……
まゆ,……
かな子,……
凛,プロデューサー
凛担当Ｐ,ん？どうした凛？この大量のバナナは
凛,プロデューサーももっと、バナナを活用するべきだと思う
凛Ｐ,？
まゆ,Ｐさぁん
まゆ担当Ｐ,どうしたまゆ、この大量のバナナは
まゆ,まゆ、いーっぱいお仕事をとってぇ、Ｐさんのお手柄にしてあげますからねぇ
まゆＰ,？
かな子,甘ーい。とろけるー
かな子担当Ｐ,どうしたんだかな子、この大量のバナナは
かな子,いやー、なんだか触発されちゃって……
かな子Ｐ,？
卯月,この夏は、ホント智香ちゃんが席巻した感じだったね
智香,夏や海からパワーをもらって、サバイバルライブもがんばっちゃったよっ☆
猿Ｐ,キキッキッキー
智香,はいっ☆鍛えたオナカとフトモモも、たくさんの人に見てもらえて嬉しいですっ☆
卯月,ホントにいいライブだったよね。暑かったけど、その暑さをわすれちゃうような迫力だったよ
智香,えへへっ☆うん……それにライブの最中もプロデューサーさんの声……聞こえたかもっ////
まゆ,良かったですねぇ
智香,プロデューサーさんとがんばった夏、最高の気分ですっ！
凛,智香はダンスの腕前も、更に上達したと思う
かな子,ほんとだよね
智香,えへへっ☆見ててよっ！。ひゃつほーう☆
かな子,す、すごい
凛,動きとキレが前と全然違う
智香,はっ！
まゆ,……でもぉその足で拍手するのは、止めた方がいいですよぉ？
猿Ｐ,！キキッ
智香,あ、生放送の時間ですね。じゃあ、局に行ってきますっ☆
猿Ｐ,キー
凛,事務所で見てるからね
まゆ,がんばってくださいねぇ
かな子,ファイトだよー
まゆ,あ、そろそろ智香ちゃんの出番ですねぇ
かな子,クイズ！ベギラゴンの生だったよね
凛,智香、がんばってるかな
しげる,はい、司会の八つ裂きしげるです。今日は生ということで、回答者である勇者一同緊張してるねえ
まゆ,あ、始まってますよぉ
しげる,シンデレラガールズ事務所からの勇者は、この娘……
かな子,智香ちゃん、がんばれー！
まゆ,ファイトですよぉ！
凛,……がんばれ。智香
しげる,森久保乃々ちゃん！
凛,あれ？
猿Ｐ,キキッ！？
まゆ,確か、智香ちゃんの出演のはずでしたよねぇ
凛,乃々じゃなかったはず
かな子,もしかして智香ちゃん、なにかあったのかな？
猿Ｐ,キッ
まゆ,あ、智香ちゃんのプロデューサーさぁん！
ちひろ,……
猿Ｐ,キキキッ！
智香,あ、プロデューサーさん……う、うええ……
猿Ｐ,キー……
智香,局に来たら、急に出演は取りやめだって。代わりに乃々ちゃんを出演すって……
猿Ｐ,キー！
熟練ディレクター,あ。猿ちゃん……
猿Ｐ,キキッキー
熟Ｄ,ごめん！ごめんよぉ！！あ、あんたのトコの事務所の新しいプロデューサーってば、強引で！！！
猿Ｐ,キッ？
乃々,終わったからもう帰ってもいいで……
ゴリラＰ,ウホホホホホホッ！！！
乃々,きゃっ！わ、わかりましたから、歯をむき出して胸を叩いて威嚇するのは、やめてください……あぅ
ゴリラＰ,ウッホウホウホウッホッホ
乃々,え……まだこの後にレッスン……そんな……
ゴリラＰ,ウホホホホホホッ！！！
乃々,や、やります！やりますぅ……ううう……
智香,あれ、乃々ちゃんの新しいプロデューサーさんっ？
ちひろ,そうよ。その名もゴリラプロデューサー赤木剛憲よ！
智香,あ、ちひろさん
ちひろ,お猿のプロデューサーさんが好調だったので、さらにパワーアップしてゴリラのプロデューサーさんを誕生させてみました
ゴリラＰ,ウホホホホホホッ！！！
熟Ｄ,ちょ、暴れないでください！し、仕事なら依頼しますから
ゴリラＰ,ウホッ
熟Ｄ,うう……仕事を与えないと、暴れるんですよ……
高垣楓,これが本当のゴリ押しならぬ、ゴリラ押しね……ふふっ
智香,楓さん、いつの間にっ？
ちひろ,乃々ちゃんの前プロデューサーさん、あなたがみつけてきた変なゴリラはシンデレラガールズ事務所に必要なプロデューサーになりましたよ……
ゴリラＰ,ウホッ
ちひろ,さあさあ、どんどんドリンクを飲んでどんどんお仕事をもらってきてくださいね
智香,いや待ってくださいっ！こんなお仕事の取り方って、良くないと思いますっ！！
ちひろ,いいからドーピングよ！
乃々,意味がわかりません……うぅ
猿Ｐ,キキッキー
智香,え？プロデューサーさんなんです……え？
楓,タブレット端末？ネットでゴリラの情報を見ていたのね。ええと……ゴリラは現在保護動物に指定されており、輸出入を含めた国際間の移動は……禁止されている？
智香,えっ？
乃々,えっ？
ちひろ,えっ？
ゴリラＰ,ウホッ？
まゆ,危うくＷＷＦに怒られる所でしたねぇ
ちひろ,まったく、気をつけないといけないわね
凛,連れてきたのは、ちひろさんじゃ……
かな子,すぐに母国へ送り返すことになって、安心したよね
ケイト,ワタシが手続きを手伝いマスね
ちひろ,よろしくお願いするわね
ケイト,まかせてくだサイ！目は青くてもヤマトナデシコですから
乃々,それであの、わたしはこのまま引た……
智香,プロデューサーさんっ！プロデューサーさんが乃々ちゃんも担当してあげてくださいよっ☆
猿Ｐ,キキッ
まゆ,良かったですねぇ
凛,うん。一安心
かな子,これからも乃々ちゃん、がんばろうね
乃々,あ、あの……その……はうぅ……
凛,あと最後に
智香,？
凛,ちひろさんが熱心に動物図鑑を見てるけど、止めた方がいいと思う
ちひろ,次はどの動物をプロデューサーさんに……
智香,ちひろさーんっ！！！。うーんムニャムニャ……あれ？また裕子ちゃん？。えっ？お猿さんの、プロデューサーさんなんですかっ！？。あの、これってユッコちゃんの力じゃなくてっ？。はあ。それでまた用件は、ファミチキですかっ？。えっ？。アタシのプロデュースをしていたって……えっ？じゃあ、今まで一緒にいたお猿さんのプロデューサーさんは！。ど、どうして……。そ、そうだったんですかっ！？じゃあ、プロデューサーさんは入院中もずっと……ずっとアタシ為に……アタシの側に……。えっ？。え、そ、それって、もしかして……まさか……。プロデューサーさん、もしかして……もしかして……。プロデュ……えっ？。えっ？そ、そうなんですか。はいっ！よろしくお願いしますっ☆
まゆ,おはようございますぅ。あ、智香ちゃんのプロデューサーさん、お久しぶりですねぇ
Ｐ,やあ。今日から復帰なんだ
まゆ,良かったですねぇ、智香ちゃん
智香,うんっ☆プロデューサーさん、これまで通りよろしくお願いしますねっ
Ｐ,ああ。一緒にトップアイドルめざそうな
智香,はいっ☆
まゆ,ところでぇ、あのお猿さんのプロデューサーさんはどうしたんですかぁ
智香,あ、ええと、そのっ……
Ｐ,あ、か、彼なら故郷の南米に、か、帰ったよ
まゆ,残念ですねぇ。まゆのＰさんほどじゃないにしてもぉ、優秀なお猿さんでしたからぁ
黒井,な、南米に帰っただとぉ！
ちひろ,黒井社長さん？勝手に入られては……
黒井,ノン！せっかく猿君を陰のプロダクションに入れるために、刺客となるプロデューサーを招いたのに！
智香,残念でしたっ☆
黒井,君ィ、どこだ？南米のどこに猿君はいるんだ！？
Ｐ,え、ええと……ま、マヤの……グリーンヘルだったかなー……
黒井,よおし、今行くぞ猿君！まってておくれーーーっっっ！！！
ちひろ,……行っちゃった。良かったんですかプロデューサーさん、あんなデタラメ言っちゃって
Ｐ,ま、まあ、大丈夫だろ。それより智香、今日もがんばるぞ！
智香,はいっ！アタシの元気で今日もファンのみんなを、元気にしちゃいますねっ☆☆☆
