コミック版,激闘！マジノ戦ですっ！！
アンチョビ,あ゛あ゛あ゛あぁ！！か゛、髪がぁぁ！！
しほ,大変だわー、千代ちゃんとアンチョビさんのツインテールが絡まって大変なことにー
千代,それは、しほちゃんが…か゛あ゛あ゛！！
アンチョビ,千代ざ、あ゛あ゛あ゛あ゛！！！
しほ,仕方ないわー、マジノへは私が行くしかないわねー
千代,し゛ほ゛お゛お゛お゛ォ！！！
しほ,それじゃ！招集コールするわよ！！
好子,いつも皆、遊びに来てくれてありがとうね～
優花里,お、お母さん！///
沙織,ゆかりんのお母さん、お邪魔しています
華,こちらこそ、優花里さんのお宅に押しかけてご迷惑をお掛けしてます
みほ,お邪魔しています
好子,今、お茶とお菓子を持ってくるからね～
麻子,おお、ありがとうございます
沙織,ん？
好子,あら、電話ね。もしもし、はい…
華,どうしました？沙織さん
沙織,あれ、しぽりんからの着メロだよ
みほ,えっ
優花里,そうなんですか、随分と幻想的なメロディですね
沙織,うん、なんでもしぽりんが若かった頃の曲みたいでね。確か、歌いだしがね…えっと…
好子,…わかりました
沙織,私を～後ろから抱き…
好子,フン！！
沙織,ふぇっ！？
麻子,沙織が後ろから羽交い絞めにされた…
好子,西住殿からの招集です…武部殿！！
沙織,よ、よしりん！？い、行かないよ私は！！
好子,そうは行きませんよ～！
華,沙織さん、優花里さんのお母様への呼び方がママさんの時になっているのお気づきなんですかね
優花里,お母さん、今回はどちらへ？
好子,マジノ女学院よ
みほ,今回ババを引いたのはエクレールさんのとこか…
好子,さぁ、武部殿！今、冷泉殿が車でこちらに向かっていますから
麻子,おばあが運転していくのか…
好子,来ましたよ！！あのニッサンのホーミー、冷泉殿です！
久子,迎えに来たぞ
麻子,おばあ、マジノに行くのか？
久子,うん、ちゃんと連絡するから心配するな
麻子,わかった、安全運転でな
久子,まったく心配性だねぇ
麻子,…う、うるさい
華,いつ見てもあの二人は仲がよろしいですわね
沙織,んむー！んむー！
好子,暴れないでくださいー！
優花里,…その微笑ましい後ろで武部殿が猿ぐつわされて青年向けの暴力シーンのように車に無理矢理、乗せられてますけど…
みほ,沙織さん！
沙織,んもみん？
みほ,えっと…私はそっちへ行かな…行けないけどお母さん達の事、よろしくお願いします！
沙織,……
好子,それじゃ、五十鈴殿をお迎えして西住殿とこへ行きますよォ！！
沙織,ままもー！！
華,……。そういえば、今日のお母様は予定があったような…
新三郎,奥様ぁ！どこに行かれるのですかぁ！！
百合,しほさんが…皆さんが呼んでいるのです、行かなくてはなりません
新三郎,で、でも、家の方は…
百合,ええ、ですから新三郎これを…
新三郎,ま、まさか…。……
百合,五十鈴家は任せましたわ
新三郎,あっしがですかい！？
百合,ええ、今日一日貴方は“新百合三郎”です
新三郎,そんな私鉄の駅みたいなノリで…
百合,家の中だから、警察のお世話になる事もないですし、いいでしょ、ね？ね？
新三郎,……
しほ,さぁ！張り切っていくわよォ！！
好子・百合・久子,オー！！！
沙織,やだもー！！
エクレール,うぐぐぐ…。嘘よ…あんなのが西住しほ様だなんて…
ガレット,隊長の胃が大変な事になっていそうね
フォンデュ,無理もないです…憧れていた方が、あんなお姿になってしまって…
沙織,そんなに憧れていたの？
カリソン,うわ！いきなり出て来て驚いたわ
エクレール,これが、当時の西住しほ様ですわ
沙織,うわ！しぽりん、若いし綺麗だし、まともそう！！
しほ(若くない),どういう意味です、沙織さん
エクレール,強さと美しさ、その両方を兼ね備えた、西住しほ様…私が戦車道を始めるきっかけとなった方ですわ。それが…それが、どうして、こんな風に…
フォンデュ,き、きっと、何か不幸な事故があってその時のショックでこんな風になってしまったのかもしれません！
カリソン,坂道で止まらない乳母車から乳児を助けようとして、大岩が直撃したとか？
ガレット,なによ、そのシチュエーション
エクレール,武部沙織さん、西住しほ様に何かあったのでしょうか！！
沙織,え？し、しぽりんに…
しほ(大洗制服),おはようございます、沙織さん！
沙織,最初会った時でもウチの制服着てたから、元々こうなんじゃないかな？
エクレール,いやああああ！！。うう…胃薬を…
フォンデュ,エクレール様、しっかり！
ガレット,コーチに来ただけなのに、エクレールがどんどん追いつめられている…
しほ,エクレールさん
エクレール,ひゃい！
しほ,今回、私達はアンチョビさんのたっての要望でマジノ女学院へと参りました
エクレール,そうだったのですか…
しほ,貴女が直面している悩み、それに対しての答えを導く為にも。試合をしましょう
カルパッチョ,どうしたんですか二人とも！？絡まったバネのおもちゃみたいになって
アンチョビ,た、助けてくれ…
千代,解けないのよぉ～
ペパロニ,そのウィッグ外せばいいじゃないッスか
千代・アンチョビ,地毛だ！！
エクレール,私が西住しほ様と試合
フォンデュ,エクレール様…
しほ,言葉で説明するよりも、実際にぶつかった方が解ることもあります
好子,私達が、ここに集ったのは戦車道の為なんですよ
百合,受ける受けないの決定権はエクレールさんにありますが
ガレット,私達は隊長のエクレール様、貴女に従います
エクレール,ガレット…わかりましたわ。マジノ女学院、戦車道隊長、スペード・ブル(青のスペード)の名において、受けて立ちますわ！
しほ,ええ、よろしくお願いします…。貴女が青のスペード…ならば、私はハートの王様ぁ(キング・オブ・ハート)！！
沙織,し、しぽりん、いつの間に手の甲にトランプマークなんて…
百合,マジノ女学院、本気ですわね、私のジャック・イン・ダイヤの紋章も輝いていますわ！
沙織,百合まで…
久子,ほれ、沙織も手を出せ描いてやるから
沙織,ちょっと！？やめてって！！
エクレール,……
フォンデュ,へ、平常心です、相手のペースに囚われないで下さい…
沙織,これがマジノの戦車服か～
百合,青を基調とした様相…私好みですわ
好子,学生服とは打って変わって凛々しさを強調してますね
久子,このデザイン、どっかで見たな…確か…サイレント…
沙織,サイレントマジョリティー？
しほ,サイレントメビウスね！！
百合・好子・久子,それだ！！
沙織,なにそれ？
エクレール,あ、あの、しほ様…戦車戦をするのはよろしいのですが、お使いになる戦車は？
沙織,そうだよ、しぽりん、今回の戦車はどうするの？
しほ,心配には及びません、私の方で戦車を用意してあります。では…。出ろぉぉ！！サンダース！！！
エクレール,あれは、サンダースの…
好子,Ｃ-5Ｍスーパーギャラクシーです！！(優花里真似)
ケイ,ハーイ！シホ、戦車持ってきたわよ！
久子,おお来たか、サンダース、我が足となって戦えぃ！
沙織,ケイさん！？
ケイ,いきなりシホから戦車貸してってエマージェンシーを受けてね
しほ,無理なお願いでしたが、ありがとうございます
ケイ,気にしないでって、シホ達に頼まれて何もしないなんて、女がすたるってモンよ！
百合,さすがケイさんですわ
ケイ,…と言いたいけど、流石に今、ウチから出せたのはシャーマンの四輌だけどね
しほ,充分です、そちらは何輌出せますか？
フォンデュ,今すぐに走らせられるのは、同じく四輌です
しほ,ふむ…では、こうしましょう。私を除く四人が指揮する四輌とそちらの四輌で４対４で試合を執り行いましょう
エクレール,なっ！？。わ、私達では、しほ様と戦うに値しないとでもおっしゃるのですか？
しほ,そんな事は思っておりません、私は全体を見てみたいという考えでの提案です。それに、ここにいる四人は私が全幅の信頼を置いておりますので、決して貴女方に後れを取ることはないと思ってください
エクレール,そうだったのですか…つまり、この方々はしほ様がお認めになる車長なのですね
沙織,えっ…私は通信手なんだけど…
好子,私は理容店の妻です
百合,五十鈴流、華道の家元でございます
久子,元心臓病だ、戦車道界の三杉君とはアタシの事よ
エクレール,……
しほ,そして、昨日の私は飲みすぎちゃん！！
しほ・好子・百合・久子,ダーハッハッ！！wwww
沙織,しぽりん、少しはお酒控えなよー
エクレール,うぐぐ…
ケイ,エクレール。確かにシホ達五人は一見ただのクレイジーなオバサン達に見えるけど
沙織,あ、あの…ケイさん…
ケイ,甘く見てたら痛い目みるわよ～！
エクレール,け、ケイさんまで…
フォンデュ,もうすでに体の一部は痛い目を見ていると思うのですが…。エクレール様、作戦の方は？
エクレール,も、もちろん…いつも通りですわ
ガレット,大丈夫ですか？
エクレール,相手の出方がわからないのですから、こちらはこちらの戦術を駆使するしかありませんわ
カリソン,いえ、ガレットが言っているのは…
ガレット,カリソン
エクレール,そうよ、私達の戦術を見せつけてあげるのよ…
ガレット,……
カリソン,あっちゃあ…
フォンデュ,エクレール様…
沙織,ねえ、どうするの！？しぽりんはここにいないし！作戦とか！
久子,まぁ、なんとかなるだろ、アタシら三人と沙織がいれば
沙織,そんなぁ～
好子,う～ん、では武部殿は単騎で相手を探してください
沙織,え？で、でも私だけで動いてて見つかったらどうするの！
百合,その時はやられないように、ちょこちょこ逃げ回って下されば結構ですよ
沙織,そんな簡単に言わないでよ…
しほ,ケイさん、戦車だけでなく人員までお借りして申し訳ありません
ケイ,気にしないで、一緒に来たウチのメンバーもしほ達のタクティクスを肌で学べるんで、こっちとしてはサンクスよ！。ところで、シホはサオリ達にはどんな指示を出したの？
しほ,私があれこれ言わなくても沙織さん達ならやってくれると思ってますので特には
ケイ,ワオ！信頼してるのね～
？？？,失礼、こちらに座らせていただいてもよろしいでしょうか？
マドレーヌ,失礼致します
しほ,貴女は…
マドレーヌ,マジノ女学院戦車道、前隊長のマドレーヌと申します
ケイ,ハイ！マドレーヌ、久しぶりね！
マドレーヌ,ケイさんもお変わり無いようで
しほ,はじめましてマドレーヌさん、僭越ではありますが、本日は私達がマジノへお邪魔させてもらっています
マドレーヌ,ありがとうございます、西住流家元のご指導ともなればエクレールもさぞ喜ばれるでしょう
しほ,あ、マドレーヌさん、今回の私は家元ではなく、大洗から来たマジで恋する四十前な女子高生西住しほですので
マドレーヌ,そ、そうですか…
エクレール,ルールは四輌での殲滅戦これでよろしいでしょうか？
好子,ええ、私達は異論ありません
エクレール,では、よろしくお願いしますわ…そちらのリーダーは？
沙織,え…しぽりんいないし、誰が代表によしりんかな…
好子,いえいえ、私達のリーダーは武部殿ですよ
沙織,え？私ぃ！？
百合,ええ、沙織の御頭しかおりませんわ
久子,頼むぞ、大統領！！
好子・百合・久子,よっ！太っ腹！！
沙織,お腹は関係ないでしょ！！やだもー！！
エクレール,…そ、それでは良い勝負にしましょう…
沙織,あ、握手だね、よろしくお願いします！！。…！？
好子,武部殿ぉー、戦車に乗りますよー
沙織,うん、今行く。エクレールさん、すごい汗かいてた…それに震えてたし…大丈夫かなぁ
エクレール,まずは私とフォンデュ、ガレットの三輌で進軍します。索敵、発見後は相手をポイントまで引き入れ…カリソン、狙撃の方は任せますよ
カリソン,了解ですわ
フォンデュ,エクレール様！前方に敵車輌です！
沙織,え？適当に走ってたらいきなり見つかっちゃったよ！
マドレーヌ,どうやら、はぐれた一輌が捕まってしまいそうですわね
ケイ,複数に追い回されるとなると、全国大会の時のウチのアリサと同じね
しほ,さて、沙織さんどう動きますか
沙織,と、とにかく逃げなくちゃ！後退！後退だよ！！
エクレール,まさか、こんなにも早く遭遇するとは…
ガレット,どういたします？
エクレール,まずは、この逃げる獲物を仕留めるとしましょう、周囲に伏兵が潜んでいるなら機動戦に持ち込むとしますわ
フォンデュ,待ってください、エクレール様！逃げる戦車の前方から三輌が突っ込んできます！
エクレール,なんですって！
沙織,みんな！！
好子,武部殿！お待たせしました！！
百合,五十鈴百合、推参ですわ！！
久子,生きてるか、沙織、私はまだ生きてるぞ
沙織,おばあ！そういうこと言わないの！！
ケイ,ヨシコ達の三輌が駆けつけてきたけど…
マドレーヌ,些か、速度が出過ぎではありませんか？
しほ,…ふむ
エクレール,こ、このスピードで向かって来るの！？
フォンデュ,エクレール様！どういたします！
エクレール,ぐ…このまま正面からぶつけられてはひとたまりもありません！。密接して突撃する三輌をやりすごして、後方のカリソンに狙わせるか、もしくは、向こうが反転する前に先んじて攻めて行きます！
ガレット,ウイ！
ケイ,エクレール達は受け流して、反撃に出ようとするみたいね
マドレーヌ,それに対して、御婦人方は構わず直進してますわ…大丈夫なのでしょうか
しほ,アレをやるつもりね
久子,いいかい！ビビッてアクセルを緩めるんじゃないよ！
サンダース生,イエス！マム！
好子,タイミングは私達が指示しますので心配しないでください！
サンダース生,イエス！マム！
百合,勝機は相手との交差直前の一瞬、集中あるのみです！
サンダース生,イエス！マム！
ケイ,くおぉ～！！このままじゃ！
マドレーヌ,ぶつかってしまいますわ！減速しなくては！
しほ,いえ！ここでアクセルを全開です！！
好子・百合・久子,そして、ハンドルを右に！！
サンダース生,イエス！マム！！
エクレール,三輌同時のド、ドリフトぉ！？
フォンデュ,側面を取られた！！
ガレット,しまった！
ケイ,あ、あの動きは…
しほ,本家には劣るかもしれませんが、あの三人が揃えばあれくらい造作もありません
マドレーヌ,確か、あれは…大学選抜戦で見ました…
しほ,ええ、ケイさんには苦い思い出になりますね
ケイ,うぐっ…忘れもしないわ、アレは…
百合,いただきます
ガレット,くぁっ！
フォンデュ,ガレットさん！！
マドレーヌ,大学チームのバミュー…
しほ,ババーダアタックです
マドレーヌ,え？
ケイ,へ？
しほ,ババーダアタックです
エクレール,カリソン、三輌を撃って！一輌でも崩せれば、こちらも押し返せます！
カリソン,ウイ！
久子,ほれほれ、動きについてこれるか～
カリソン,ぐっ…狙いが…定められない！
マドレーヌ,流れるような動きで捕捉ができないようですね
ケイ,あのフォーメーションでナオミも狙いが絞れず撃破されたのよ
しほ,予測もつかない動きと連携で相手を殲滅する、この技の真骨頂です
好子,落とさせてもらいます！
カリソン,うぐっ、申し訳ありません！エクレール様！
エクレール,そんな！？二輌も落とされてしまうなんて！
フォンデュ,ど、どういたしますか！？
エクレール,とにかく、ここを離れて態勢を建て直し…
フォンデュ,あれは！、さっきの逃げていた一輌！？
エクレール,なんですって！！
沙織,す、隙ありだよ！
エクレール,きゃあッ！！
フォンデュ,エクレール様！
エクレール,うぁっ…。…っ。……うぅ
しほ,大丈夫ですか
エクレール,し、しほ様っ！？
しほ,無理に動いてはよくありません、まだ休んでいなさい
エクレール,そ、それより！試合の方は！！
しほ,…残念でしたね
エクレール,あぁ…。！！…うぶっ！
しほ,……
エクレール,…はぁっ…はぁっ…。…ううっ…。何が、サン・シール流戦術よ！何が新しいマジノ女学院よ！！
しほ,……
エクレール,折角来て下さった、西住しほ様に何もお見せできずに…。その上、隊も見届けられず、気絶なんて醜態を…。私なんて…隊長失…
しほ,そこまでです。その先の言葉は許しません
エクレール,し、しほ様…でも、私は…どうしたら…
しほ,今、言葉は必要はありません。我慢しなくてもいい、総てを吐き出しなさい、貴女は今、泣いて…いいのです
エクレール,う…ううっ…。うあぁぁぁぁぁ…！！。！！…うぷっ！！。ぅおぇッ…！
しほ,……
エクレール,…ぶぅおぇッッ！！
しほ,……
エクレール,…ぐぼぉおぇッッッ！！！
しほ,…だ、大丈夫？
マドレーヌ,エクレール…
ケイ,い、行ってあげないの？マドレーヌ
マドレーヌ,行ってあげたいですわ！行って、あの子を抱きしめてあげたいくらいです！！
ケイ,いや、もの凄い勢いで吐いてるけど…介抱しなくて大丈夫なのアレ？
マドレーヌ,エクレールは、いつもあれくらいです
ケイ,そ、そう…
マドレーヌ,それでも行けません…私はあの子にマジノの全てを押し付けて去った身ですから…
ケイ,まぁ、確かに面と向かっては会えないわよね。バット！会えなくても…こういう方法もあるんじゃなくて？
マドレーヌ,これは…全く、サンダースの隊長の人たらしには感服しますわ
ケイ,ウチは大所帯だからね、こういう処世術は色々と覚えちゃうのよ
マドレーヌ,では、お願いしてよろしいですか
ケイ,イエース！まかせて！
エクレール,…ぐすっ
しほ,お、落ち着きましたか？
エクレール,…はい
しほ,じゃあ、少しお話をしましょうか。エクレールさん、戦車道は好きですか？
エクレール,も、もちろんです、もちろん好きです！…けど
しほ,…けど、上手く行かない事ばかりだから、自信を持って好きとは言えなくなってる、かしら？
エクレール,…はい
しほ,その気持ちは当然わかります、それに加えて隊長としての重圧もあるのですから。でも、エクレールさん、貴女は一人で戦車を動かすつもりなんですか？
エクレール,…！！
しほ,演習場の方を見て下さい
エクレール,え。戦車が走っている…
好子,いいですか！副隊長は隊長が次に何をするかを予想し考え、それが行いやすいようにしなくてはいけません！！。ただ付き従えば良いと言うものではないですからね！
フォンデュ,は、はい！！
百合,機動戦での砲撃は集中力だけでなく、動きの中の一瞬の匂いを嗅ぎ分ける事が肝要です
カリソン,か、嗅ぎ分けるコツは？
百合,ん～、反復あるのみですね
カリソン,んな殺生なぁ～
久子,操縦も同じだ、相手との動きを予測して撃ちやすい位置取り、流れを読む。あとは砲弾飛び交う中でも動じない胆力だな
ガレット,わ、わかりました！
久子,すまし顔が戦闘中いつでもできてるくらいになれば上等だぞ
ガレット,くっ…やってやるわよ！！
久子,おー、がんばれ、がんばれ
好子,それでは、心苦しいのですが…実践の為なんです！
百合,お願いするのは不本意なのですが…生贄となってください
久子,マジノ全員で追いかけるから逃げ回れ…止まるんじゃねぇぞ
好子・百合・久子,沙織さん！！
沙織,今回こんなのばっかじゃん！やだもー！！
エクレール,フォンデュ、ガレット、カリソン…皆…
しほ,どうです？マジノの皆さん、貴女の期待に応えようと必死なんですよ
ケイ,ハーイ！お邪魔するわよ！
エクレール,け、ケイさん…見てたのですか…
ケイ,見てたわよ～せっかくの美貌がゲロで台無しじゃない！ほら、これ使って
エクレール,あ、ありがとうございます…これは？
ケイ,そこで親切な人に～水と一緒に渡されてね～
エクレール,！？、このハンカチは…水のペットボトルに何か書いてある…。！！
しほ,エクレールさん。戦車を走らせ操縦するだけなら一人でもできるかもしれません。ですが、戦車が戦車足り得る為には、砲弾を込める装填、中てる為の砲撃、狭く限られた中で情報をまとめる通信…。そして、それらを長が統括して始めて戦車と呼べるのです
エクレール,……
しほ,それに加えて、整備や協会、挙げればキリがないですが、様々な人が関わり繋がりあう事で道ができるのです…それこそが…
ケイ,！！
しほ・ケイ,ザッツ！戦車道なのよ！！
エクレール,……
ケイ,オウ、リアクションがないわね
しほ,ふふっ、どうやら気づいたようですね。そもそも、私達がここへ来たのも、フォンデュさんとガレットさんが貴女を心配しての事だったのよ。まず二人がマジノと付き合いの深いアンツィオを頼り、そして私達へと話が回って来たのです
エクレール,そうだったのですか…あの二人が…そしてアンチョビさんにまで…
ペパロニ,アタシが二人のツインテールの片方を解くから、カルパッチョはもう片方を頼むな
カルパッチョ,わかったわ
アンチョビ,……
千代,……
ペパロニ,姐さん達、もっとくっ付いてくれないと解けないッスよ
アンチョビ,お、おい！バカ！押すな！これ以上近づけると…！！
千代,ちよ、ちょっと、ペパロニちゃん、駄目よ、このまま近付いちゃうと…！
ペパロニ,ゴチャゴチャ言ってないで近付いてくださいー
カルパッチョ,あ
アンチョビ,んむー！！
ペパロニ,おおっ！良いッスよ！姐さんそのままでじっとしててください！
アンチョビ,んむー！！んむー！！
千代,んんっ…////
アンチョビ,んむー！んむー！
ペパロニ,こうして、こうで…よっしゃ！解けたッス！
カルパッチョ,うわ…すごいキス…私も、いつかたかちゃんと…ハァハァ…////
ペパロニ,だぁぁぁ！！カルパッチョ、なに余計に絡ませてるんだよ！！
カルパッチョ,あ、つい二人のキスに見惚れて…手元が
アンチョビ,んむー！！
しほ,ええ、アンチョビさんも、きっと貴女の事を思っているでしょう
エクレール,これほどの方々に想われていたのに気づいていないなんて…。私も隊長として…まだまだですわね。そうですわ！時間はあるのですから、しほ様、引き続きご指導を！
しほ,ふふっ、勿論です
ケイ,オウ！シホ、今度は隊長の発言を制止しないのね
しほ,ええ、今の彼女には自嘲はあっても自棄ではありませんから
ケイ,ハーイ！じゃあ、エクレール！私からもワンポイントいいかしら？
エクレール,け、ケイさん
ケイ,だいたいねー、エクレールは真面目すぎるのよ、隊長がパーフェクトである必要なんてないの
エクレール,そうなんですか
ケイ,そうそう、ウチなんて作戦はアリサ、隊の訓練とかはナオミ達に丸投げしたりしてるわよ
しほ,サンダースほどの規模になると、一人では出来ることも限りがありますからね
ケイ,イエス！隊長なんてのは失敗した時に頭を下げる事だけを真面目にやればいいのよ！
エクレール,そ、そういう考え方もあるのですね…あ、あの、ケイさんは隊長をしていて辛くなることはないのですか？
ケイ,当然あるわよー、確かに色んなことでストレスを感じたりもするし。バット！そんなときはエクレールが胃薬を飲むのとは違って私はストレスを発散させて切り替えてるわよ！
エクレール,ストレス解消ですか、それはどのようなことで？
ケイ,おもいっきり食べる！
エクレール,まぁ
ケイ,カロリーとか何も気にしないで食べて、熱いシャワーを浴びて、ぐっすり寝て気持ちをリセット！。沈んだ気持ちじゃ、出来ることも出来ないからね！
エクレール,なるほど…
ケイ,だから、エクレールも胃薬じゃなくて、今度は私とレッツ！一緒に食べにいくわよ！
エクレール,ぜ、善処いたしますわ
しほ,ケイさんらしいですね、でも私も高校時代の辛い時は同じようにしていました
エクレール,し、しほ様も？
しほ,もちろんです、エクレールさんは昔の映像の中での私しか見ていませんが、同じように泣いたり吐いたりしていたのですよ
エクレール,信じられませんわ
ケイ,その時のシホのストレス解消法ってのは？
しほ,ええ、内容としてはエクレールさんの薬の意味も兼ねていますが…。酒ですね
エクレール,さ…け…？
ケイ,こ、高校生の時の話よね？
しほ,ええ、そうです
エクレール,あの、これとんでも無い事を聞かされたと思うのですが…
ケイ,お、オゥ…私もそう思う
しほ,ああっ、懐かしいわ、そう高校時代の事を…
しほ(高校三年),島田流め！私の高校戦車道、有終の美に水を差して！！
しほ,でも焼酎は水を差さずにストレートで飲んじゃう！！。全国大会三連覇、そして無限軌道杯の優勝で幕を下ろすはずが…くやしい！でも…飲んじゃう！
常夫,あ、あの西住さん…
しほ,あぁ？黒森峰の雇われ整備士さんがなんですかぁ？
常夫,い、いや…その、よくないと…
しほ,あぁん！？
常夫,ひいぃ、怖い…でも飲酒が露見して戦車道が出来なくなったら、職が…食い扶持がなくなる！諌めないと！。に、西住さん！！お酒は飲まないで！！
しほ,うるさいですね…
常夫,体にもよくないし！
しほ,ひゃあッ！！。…な、なんで、私なんかを気遣うんですか
常夫,え？
しほ,聞かせて…ください////
常夫,(この整備士の仕事が)好きだからです
しほ,…え
常夫,だからお酒を飲んでもらったら(仕事として)困るんです！
しほ,そこまで(私を)想っていてくれるなんて…。我慢できない…
常夫,ん？
しほ,我慢できんばい！！整備士さん…確か名前は…常夫さんですよね？
常夫,え、ええ、そうですが
しほ,抱いて下さい
常夫,え。いやいやいや、なんで？なんでそんな話になるの！？
しほ,あんな事言われたら、もう止まれません！！
常夫,こ、こういうのは段階を踏んでからですね…まずは交換日記からとかで…
しほ,交配日記から始めましょう！！
常夫,……。ほ、ほら、ここは戦車倉庫だし人目もあるし、とりあえず日を改めて話し合いを…
しほ,……
ティーガー,……
しほ,ちょうど都合の良い戦車がありますねぇ…。では戦車道らしく、戦車の中で愛し…話し合いをしましょう
常夫,いやぁぁ！離してぇぇッ！！
しほ,西住流から逃げられるという選択肢はありません。さぁ、行きますよ！！
ティーガー,……
しほ,この車内なら人目に付きませんね…ハァハァ…
常夫,だ、駄目だって！こんな事！！
しほ,そうは言いますが、股座が熱うなっておるではないですか
常夫,お止めくだされぇ…西住殿ぉ…
しほ,これより、貴方様にはいのちの精を、西住に精をお注ぎしていただく！！
常夫,あわわわ…
しほ,下着の腰紐が解かれ申したぁぁぁーっ！！
常夫,いやぁぁぁぁっ！！
ティーガー,………。ほあああああああああ！！！
常夫,し、しほちゃん！激しくしないで！！
しほ,うるさいですね。ウプッ…ですが、激しい上下運動でさっきの焼酎が…常夫さん！限界です！出します！
常夫,ひゃあッ！
しほ,…思いだすわぁ
エクレール,うおぇぇぇぇッ！！
ケイ,エクレールゥッ！！
エクレール,げほ…そんな事実知りとうなかったですわ…
ケイ,う～ん…その話に出てきた、シホがダーリンに装填された戦車って…まさか…
しほ,ええ、まほが乗っているティーガーです
ケイ,オゥ…
エクレール,ぶぉぇぇぇッ！！！。聞きたくも知りたくもなかったですわぁぁぁ！！
ケイ,つ、ついでに聞くけど、その時に命中したなんて事は…
エクレール,ケイさん、これ以上ほじくらないでぇぇぇ…
しほ,どこぞのカイザーではありませんからね、一発必中とはいきませんでした
ケイ,確かにマホの誕生日を考えればそうよねー
エクレール,ハハハ…もう滅茶苦茶ですわ…憧れの西住しほ様が、こんな方だったなんて…
しほ,エクレールさん御存じ？憧れは理解から最も遠い感情なのよ(ダージリン真似)
ケイ,藍染惣右介ですね(ペコ真似)
しほ・ケイ,ダァーッハッハッハッ！！
エクレール,ケイさんまで～
ケイ,アーハッハッ…ソーリー、でもこれくらい、おバカしないと隊長なんてやってられないわよ！
エクレール,ちょっと前までの自分でしたら否定していましたけど、今ならなんとなく解ります…
しほ,じゃあ、そんなエクレールさんにバカになれる魔法を教えてあげましょう
エクレール,え？
ケイ,ワオ！シホ！アレをやるのね！！
エクレール,え…なんなのですか…
しほ,貴女に私の“とっておき”をくれてやりましょう
エクレール,襟をわざわざおっ立ててまで言う“とっておき”って…
ダージリン,ひっくっしぃ！
オレンジペコ,くしゅん！
ダージリン,…誰か噂でもしているのかしら？
オレンジペコ,冷えただけですよ、暖かい紅茶をご用意します
ダージリン,なんでしょう…この胸騒ぎは…
エクレール(あんこうスーツ),こ、これが、とっておきなのぉ！？
しほ(あんこうスーツ),ええ、これこそが、私のとっておきです！！
フォンデュ(あんこうスーツ),ああっ、エクレール様が…そうよ！次にエクレール様がどうするか、考えないと…やっぱり嘔吐かしら？
好子(あんこうスーツ),ほらほら、隊長に気取られて踊りがおろそかになってますよ～！
ガレット(あんこうスーツ),この踊りの流れの中に…機動戦のカギがある…？
百合(あんこうスーツ),ええ、そうです、隣のおばあちゃんは言っていましたわ、総ての道はあんこう踊りに繋がっていると
カリソン(あんこうスーツ),んな、わけあるかい！
久子(あんこうスーツ),せやかて、クレソン…アタシらは、この踊りでこれまでやってきたんでんがな
カリソン,カリソンや！あと、その喋り方もやめや！
