モバP,薫ちゃんが頑張ってくれたおかげで、お仕事も早く終わったわね
幹部,逆に、君が素直についてきてくれるのなら……彼らの身の安全は保障しよう
拓海,……アイツらには手ェ出さねえんだな？
幹部,約束しよう
拓海,わかった。アタシを連れてけ
舎弟A,んー！んー！
拓海,心配すんな。大丈夫だから
幹部,さあお前たち。二人の拘束を解いてやれ
黒服A,ほら、さっさとどっか行け
舎弟A,ぷはっ！？この野郎、いい加減にしやがれ！
拓海,やめろ！！！
舎弟B,！
拓海,アタシは大丈夫だ。そんなヤワじゃねえよ……お前らはさっさと行け
舎弟A,でも…！
拓海,アタシは天下無敵の特攻隊長、向井拓海さまだぜ？こんなのヘでもねえよ。オラ、乗ったぞ。さっさと車出せや
黒服B,では行きます
舎弟A,くそっ……
舎弟B,拓海さんが拉致られちまった……
舎弟A,どうにかしてアイツらを追わねえと！
舎弟B,……俺らが行っても何の意味もねえよ。ヤクザモンだぞアイツら
舎弟A,じゃあ指咥えて待ってろって言うのかよ！？
舎弟B,だから別の方法を考えるんだよ！
舎弟A,他の方法って……ん、何だコレ？
舎弟B,名刺……？
舎弟A,拓海さんのポッケから落ちたんじゃねえのか
舎弟B,事務所の住所……！
舎弟A,おい、どこ行くんだよ！
舎弟B,俺達でグダグダしてても仕方ねえだろ。賭けるしかねえ！
舎弟A,おい、待てよ！
P,うーん。そろそろ休憩にしましょうかしら
千川ちひろ,お茶淹れてきますね
薫,かおるも飲みたいー！
村上巴,うちも一杯貰おうかのう
P,ちひろちゃん、4人分お願いしていいかしら？
ちひろ,はーい、わかりましたー！
P,はぁー……落ち着くわね
巴,しかしPの買ってきたせんべいは上手いのう
P,でしょ？これ、テレビ局の人からオススメされたやつなの
薫,おいしい！
巴,茶にもよく合う……
P,やっぱりお茶には煎餅よねぇ……
ちひろ,きゃっ！ど、どちら様ですか！？
舎弟B,ここのプロデューサーって奴は誰だ？
P,プロデューサーなら私だけど
舎弟A,アンタが最近名刺を渡した女のことを覚えてるか？
P,ええもちろん。あんな上玉の女の子を忘れるものですか
舎弟B,頼む！助けてくれ！
P,……何かやっかい事に巻き込まれたのね？
舎弟A,ああ……拓海さんが拉致られちまった。それもとびきりヤベエ奴らに
P,……そいつらの特徴、覚えてる？
舎弟B,一人は高そうなスーツのグラサン、もう二人は黒いスーツだった
舎弟A,黒塗りの高級車に乗ってやがった
P,……オーケー。それだけわかれば十分よ。ちひろちゃん、いいかしら？
ちひろ,はい
P,……午後の予定変更。帰社時間の所、19時に変えてもらっていいかしら？
ちひろ,わかりました。目的はどうしておきますか？
P,スカウト活動。そう書いておいてちょうだい。さて、これだけトランクに入れておけば大丈夫ね
舎弟A,な、なあ！俺達にも手伝わせてくれ
P,ダメよ。貴方たちは帰りなさい。足手まといにしかならないわ
舎弟B,……わかった。拓海さんを頼む
舎弟A,おい！なんでそう薄情なんだよお前は！！
舎弟B,弱いやつが行っても足手まといにしかならねえんだよ
舎弟A,ぐっ……！
P,安心しなさい。必ず五体満足の状態で連れて帰るから
舎弟B,頼みます
舎弟A,……頼む、拓海姐さんを助けてくれ
P,任せときなさい。私、バッドエンドは嫌いなの。それじゃあね。さーてと……マキノちゃん、泉ちゃん、聞こえるかしら？。位置情報を教えてもらえるかしら？。ベッタベタな場所ねぇ……いかにも拉致って感じね。なぁに？。そうねぇ……気が強くて、髪が長くて、強いんだけど……脆い子かしら。多分そうね。間違いないわね。貴女たちとはキャラが被らないから安心してちょうだい♪。さーてと。ここに居るのね。第6ね。了解。お土産も持って帰るわ。どうも～、こんばんはー♪
黒服A,誰だお前は
黒服B,こんな所で何をしている？
P,私の知り合いがちょっとここに遊びに来てるってｋ
黒服A,動くな
黒服B,撃つぞ
P,……あらやだ。冗談も言わせてもらえないのかしら。ちょーっとそこを通してほしいのだけど
黒服A,誰に頼まれて来たかは知らんが帰れ
黒服B,そこから一歩でも動いたら撃つ
P,……じゃあ、交渉決裂ね
黒服A,！
P,おやすみなさい
幹部,強情なのが玉にキズだが、上玉という言葉すら霞むほどの女だな
拓海,……
幹部,風俗に売り飛ばせば、あっという間に富を生むだろうに
拓海,誰が娼女になんかなるかよ。ふざけんじゃねえぞグラサン野郎！
側近,おい、なんて口をきくんだ！
幹部,ふふふ。この状況でそんな口がきけるとは本当に気の強い女だ。まあ別に……風俗に売り飛ばす必要があるわけではないのだがな
拓海,……
幹部,病院送りにした分の落とし前を支払う手段があるのなら構わんが……君にそんなものはないだろう？
拓海,ぐっ……
幹部,ならばその肢体をもって支払ってもらうのは、合理的だと思うがね？
拓海,このヤロォ……！
P,よいしょ、よいしょ……この扉結構重いわね～
拓海,アンタは……！
側近,誰だ貴様は！？
幹部,待て。銃口を下せ
側近,えっ！？
幹部,貴様、どうやってここにたどり着いた。外に見張りが十数人居たはずだが
P,ああ、あの子たち？ちょっとおねんねしてもらったわ
側近,おねんねだとぉ？何をバカなことを
幹部,……なるほど。目的はこの女か
P,そうよ。その子は私が先に目をつけてたのよ？勝手に連れてってもらっちゃ困るわ
幹部,そうか。それは失礼した
P,それじゃあ、交渉の時間にしましょうか。その子を返してちょうだい
幹部,……対価は？
P,入院に追い込まれたチンピラの治療費、全額支払うわ。それでどう？
幹部,成立だな。ちなみに治療費は130万だ
P,ちょっと待ってちょうだい。ひーふーみー……これでいいかしら？
側近,…………確かに130万、丁度だな
幹部,よし。その女は解放してやれ
側近,ほら、さっさと行け
拓海,……よくもやってくれたなこの野ｒ
P,はいストーップ。気持ちは分かるけど抑えなさい
拓海,何しやがんだ！？
P,それじゃあさようならー♪
拓海,オイ、腕引っ張んじゃねえよ！
側近,……よかったんですか？あっさり解放してしまって
幹部,構わん。あの女、思ったよりもヤブヘビだったようだ
側近,……ヤブヘビ？
幹部,ああそうだ。今後はあのグループには手出しするな。全員に通達しておけ
側近,はぁ……わかりました
拓海,……オイ
P,どうしたの？
拓海,何でバカ正直にカネ払ったんだよ
P,貴女を守るためと、貴女の舎弟君たちを守るためよ。これでもうあいつ等は手出ししてこない
拓海,何でそう言い切れる？
P,そうねぇ……オネエの勘、って奴かしら
拓海,……ホント食えねえ奴だなアンタは
P,少しくらいミステリアスな方が魅力的でしょ？
拓海,ハァ……わかったよ、もう。そういうことでいいよ
P,さあ、ウチの事務所に着いたわよ。降りてちょうだい
拓海,……思ったより小せえな
P,小さくても、案外いいものよ？住めば都、って感じかしら
拓海,ふーん……
P,ただ今戻りましたー♪
拓海,……
ちひろ,おかえりなさい、プロデューサーさん
薫,おかえりなさーっ！
P,あら薫ちゃん、まだ残ってたの？
ちひろ,プロデューサーさんのことが心配だって、ずっと待ってたんですよ？
薫,そうだよー？
P,あらあら、心配かけてごめんね
拓海,……そういや、聞きたかったんだけどよ
P,何かしら？
拓海,アタシが拉致られたときに、どうして居場所が分かったんだ？
P,あら、そんなの簡単よ。ほら、そのワッペン
拓海,このワッペンがどうかしたのかよ
P,それ、追跡機能付きの特別なワッペンだから
拓海,……ハァ！？？
P,最初は薫ちゃんが迷子にならないようにー、って作ってもらった奴なんだけどね
拓海,ソレを追って来たワケかよ……
P,ご名答♪
拓海,そういうことかよ……アタシがワッペンつけてなかったらどうするつもりだったんだよ
P,大丈夫よ。貴女は必ずつけててくれると思ったわ。だって、優しい子だもの
拓海,…………優しくなんかねーよ。ばーか
P,さあ、明日もみんな仕事があるし。戸締りして帰りましょうか
ちひろ,台所見てきますねー
薫,かおるは電気みてくるー！
P,じゃあ拓海ちゃん、明日からよろしくね
拓海,オウ、任せとけ！。ん？
P,どうしたの？
拓海,オイ、アタシは何を任されたんだ
P,そりゃあ決まってるでしょ。ウチのアイドルとして活動してもらうわよ
拓海,………………ハァァァァァ！？？
P,慈善事業で人助けしてるわけじゃないのよ？
拓海,そ、そりゃあそうだけどよ……
P,まさかと思うけど……130万踏み倒す気だったのかしら？
拓海,グッ……！
P,ちゃーんと全額支払ってもらうまでは頑張ってもらわないと困るんだから……よろしくね♪
拓海,な、な、な
