藤居朋,おはようございまーす
朋,智絵里ちゃんには何が見えてるの？
智絵里,ここですっ！
朋,おお～、ファンシーで、智絵里ちゃんに似合いそうね！
智絵里,はいっ！
ほたる,私には、こんな明るい色合いはちょっと……
朋,なに言ってるの！ほたるちゃんだってかわいいんだから、似合うわよ！
ほたる,朋さん……
智絵里,ヒューヒュー！
朋,子供か！！！。そうだ！次の撮影は、何かおそろいのアクセサリーを着けない？
智絵里,いいですねっ！
ほたる,はいっ、ステキです！
朋,よし、なにがいいかな？
智絵里,ガスマスク！
朋,アクセサリーって言ったのに！！！
ほたる,ヘルメット……？
朋,何かが降ってくる前提やめて！！！
智絵里,タトゥーシールはどうでしょう
朋,最悪、解雇まで見えるわね
ほたる,お札を顔に貼るのはどうですか？
朋,それで喜ぶのは小梅ちゃんだけだから！
智絵里,モモンガとか！
朋,ミサンガの言い間違いよね！？
ほたる,額に肉マークは
朋,もう大喜利はやめて！！！
智絵里,チョーカーとかいいんじゃないですか？
朋,き、急にマトモな意見がきてもビックリしちゃうわね
ほたる,あ、チョーカーなら、これとかカワイイですよ
朋,わ！かわいい！これにしよ！
智絵里,はいっ！
ほたる,では、私はブラックで
智絵里,わたしはグリーンにしますっ
朋,あたしは……
智絵里,この錆鉄御納戸色がおススメです！
朋,何て言ったの！？。結局、無難にブルーにしちゃった
智絵里,よく似合ってますよ！
朋,そ、そう？ありがと！
ほたる,私のチョーカーは、もしもの時は棺に入れてください
朋,想定しうる最悪の状況！？
智絵里,むしろほたるちゃんはどうやったら死んじゃうのかな？
朋,みんなが思っていることを……！！！
ほたる,心臓を銃で撃ち抜かれた時でも、不治の病に侵された時でも、猛毒のキノコのスープを飲んだ時でもありません
朋,なんか堂々とワ〇ピースをパクリ始めちゃった！
ほたる,人に……忘ららるたときです！
朋,あー、噛んじゃったかー
智絵里,……
朋,泣くほど！？
ほたる,ﾄﾞﾔｯ
朋,ドヤ顔は可愛いけどその効果音はどこから！？。そ、そろそろ戻ろう？撮影の日程とか聞かなきゃ！
智絵里,そうですね！
朋,……？なんか騒がしいね……？
ほたる,ああ、あそこで、マジックショーをやってるみたいですね
朋,へー、あ、ハト出した。すごい……
智絵里,あ、またハトです！次から次へと出てきますね
ほたる,ハト、ハト、ハト……
朋,……多くない？
智絵里,あ、一斉に飛んで……
朋,……こっち、来てない？
智絵里,来てますね
朋,ちょ、逃げなきゃ！もうそこまで
ほたる,
朋,ほたるちゃん！！！！！！！！！
