俵笑平,３６
喪黒,笑平さんはコンポをお持ちなのですか？音響セットは、さぞ高品質なものでしょうなぁ
笑平,はい。でも、最近じゃあ音楽をコンポで聴く機会さえ失われているんですよ
喪黒,なるほど……。あなたの人生も、いろいろ気苦労が多いようですなぁ
笑平,ええ、まあ……。でも、気苦労はそれだけじゃないんですよね
喪黒,まあまあ……。肝心の落語で実力を発揮できれば、周囲の人たちを見返すことができますよ
笑平,しかしながら、俺は自分の本業である落語があまり好きじゃないんです
喪黒,あなたのお好きなことと、落語を関わらせてみるのもいいかもしれませんよ
笑平,悪くなさそうですね、それ……
喪黒,それどころか、もう一度バンド活動を行うのもいいかもしれませんよ
笑平,そ、その手があったか！！
喪黒,詳しい話は、明日行いましょう。ここは、演奏活動ができるレンタルスペースです。もちろん、騒音対策も万全です
笑平,ずいぶん本格的ですね……
喪黒,笑平さん。あなたの昔のバンド仲間もお呼びしましたよ
内田,よお、平太郎……。いや、それとも俵笑平と呼んだ方がいいかな？
テロップ,内田泰明３６
笑平,久しぶりだな、お前ら！
矢沢,お前がもう一度バンド活動をやるって聞いたから、ここへ来たんだよ
テロップ,矢沢亮輔３６
長渕,俺たちがこうやって集まるのは、大学時代以来だな！
テロップ,長渕仁志３６
喪黒,試しに何かを歌ってみてくださいよ
笑平,じゃあ、大学のころに作った曲でやってみるか……
喪黒,歌もうまいし、曲もいいし、なかなか見事なものですねぇ
笑平,でも……、学生時代に作った曲を歌うのは恥ずかしかったですよ
喪黒,このロックに古典的な落語を融合すれば、さぞ素晴らしいものができるでしょうなぁ
笑平,そ、そうですか……
喪黒,私は業界ともコネがありますから……。あなたたちの音楽活動、大いに売り出してあげますよ
笑平,お、俺のためにわざわざここまでしてくださって……。何とお礼を言ったらいいか……
喪黒,なぁに……。これは、笑平さんが落語家として大成することを願う私の気持ちですよ
内田,そうだぞ。俺たちは仲間なんだから
矢沢・長渕,そうだ、そうだ！
笑平,あ、ありがとう……。みんな……
テロップ,ロックグループ大江戸租界
スポーツ新聞記者,あのぅ……、俵笑平さん。私は日新スポーツの者ですけど……
スポーツ紙,落語とロックの融合俵笑平３６
テロップ,翌年――
BAR,魔の巣
喪黒,笑平さん。このところ、八面六臂の活躍を続けていますなぁ
笑平,はい。バンド活動を再開して以来、俺の人生は大きく変わりました
喪黒,この間は、フジロックにもゲストとして参加しましたよねぇ
笑平,憧れだったフジロックにミュージシャンとして参加できるなんて……。いやぁ、夢のようですよ……
喪黒,まさしく……。落語家としてもミュージシャンとしても、笑平さんが周囲から一目置かれている証ですよ
笑平,まあ……。今の俺はメディアから注目されるようになりましたし、若い女性のファンもできたくらいですから……
喪黒,笑平さん。あなたが成功できたのは、落語家として落語とロックの融合を果たしたからです。このことを忘れてはいけません
笑平,え、ええ……。そりゃあ、もう承知していますよ
喪黒,だったら、笑平さん……。あなたには私と約束していただきたいことがあります
笑平,約束！？
喪黒,そうです。あなたの音楽活動は、あくまでも落語家の副業であり続けるべきなのです
笑平,もちろん、それを心がけていますよ
喪黒,歌手の仕事を本業とし、落語と関係のない歌を発表してはいけません。いいですね、約束ですよ！？
笑平,わ、分かりました……。ミュージシャンの活動をしている時に比べると、観客の反応がいまいちだな……。やはり、俺には落語の才能がないのかな……。歌手一本で活動した方がいいかもな
彼の後ろに、音楽事務所,デイベックス
デイベックス関係者,俵笑平さんですね？私、デイベックス株式会社の者ですが……
笑平,デイベックスって、あの有名な音楽事務所の……
デイベックス関係者,そうです。お仕事のことで、笑平さんに話があるんですよ。実は……
笑平,何ですって！？大江戸租界をメジャーデビューさせるんですか！？
デイベックス関係者,はい。あなたの音楽の才能を、落語の世界にとどめておくのは惜しいですから……
笑平,うーーーん……
デイベックス関係者,今までの落語の世界とは違った本格志向のロックで、メジャーデビューしてみませんか？。大江戸租界の音楽活動は、これからもデイベックスが全面的にバックアップしますよ！
笑平,あ、ありがとうございます！！
喪黒,俵笑平さん……。あなた約束を破りましたね
笑平,も、喪黒さん！！
喪黒,私はあなたに言ったはずですよ。歌手の仕事を本業とし、落語と関係のない歌を発表してはいけない……と
笑平,い、いや……。俺はその……
喪黒,私と約束したにも関わらず、あなたは歌手としてメジャーデビューをしようとしていますねぇ……
笑平,す、すみません……！！でも、喪黒さん……。俺にだって悩みがあるんですよ！
喪黒,ねぇ、笑平さん。あなたの成功の理由は、落語家として落語とロックの融合を果たしたことだったはずですよ
笑平,俺にだって、欲があります！デイベックスの関係者も、俺の音楽的な才能を認めてくれたんですよ！！
喪黒,分かりました……。そこまで言うのなら、私はあなたを止めません。ドーーーーーーーーーーーン！！！
笑平・内田・矢沢・長渕,ギャアアアアアアアアア！！！
テロップ,数年後――
テレビ,元落語家の風見平太郎容疑者が、覚醒剤取締法違反で警視庁に逮捕されました
サラリーマンA,こいつ、薬で逮捕されるの3度目だよ。確か、2度目の逮捕の時に一門を破門されたんだってな
サラリーマンB,落語家としても歌手としても大成できず、ただのダメ人間になったか。つくづく、見下げ果てた奴だ
刑事,あなたねぇ……。本当に才能があるなら、薬の力を借りなくても音楽が作れるでしょ
喪黒,どんなに新鮮な芸術作品も、時が経てば普遍的なものとして定着し……。やがては歴史上のものと化していきます
