俺の名前はＰ、ここで新人保育士,＝幼稚園教諭
小鳥,あずさ先生、抜け出してきちゃったんですか？やよいちゃん、こんにちは
やよい,こんいちは
あずさ,とっても気持ちよさそうなお天気だったから、やよいちゃんと日向ぼっこしたくて～
小鳥,あずさ先生はいつでも自由ですねえ……でも、園内にいるだけ良しとしますか
あずさ,この間は大変ご迷惑をお掛けしてしまって申し訳ないです～
小鳥,あそび時間が終わって気付いたら港の見える丘公園にいる、って……あたしいまだにびっくりです
あずさ,ふふ、それが自分でもよくわからなくて～……。そういう音無さんは、どうして外に？
小鳥,それが、冬馬くんがまた抜け出しちゃったみたいで。探していたところなんですよー
やよい,あしょこー
小鳥,ぴよ！いました！
はるか,もう！どーしてそーいうことするの！
とうま,う……ね、ねんちゅうぐみのくせになまいきいうなよー！
はるか,かんけーないもん！ほら、りつこせんせいのめがねかえして！
小鳥,しー……ちょっとだけ、様子を見ましょう
はるか,りつこせんせい、めがねなくてほんとにこまってたよ？
とうま,…………
はるか,あしたから、もうようちえんこれなくなるかも、だって
とうま,え……。そんな……
はるか,だから、かえして
とうま,…………。……！……いやだ、おまえにはかえさない
はるか,！もう、わからずや！
とうま,……ちがう！おれ、じぶんでかえすから
はるか,……ほんと？
とうま,うん……かえす
はるか,ちゃんとあやまるんだよ？
とうま,わかってる…………あ、あまみ
はるか,なあに？
とうま,……す、すまねえ
はるか,そんなあやまりかたじゃだめだよー！
小鳥,…………
あずさ,…………
やよい,……すや、すや……
小鳥,……みんないつの間にか、おっきくなってるんですね
あずさ,ええ……。成長が早すぎて、私なんてすぐ追い抜かれちゃうんじゃないかしら
小鳥,ここに入って来たばかりの頃は、ふたりともただやんちゃなだけだったのに……。……あたし、戻ります
あずさ,あ、音無さん……あの、化粧室に行ってからのほうが……
小鳥,……！い、いやですね。この年になると涙もろくて
あずさ,……私もそろそろ戻ります。やよいちゃんも寝ちゃったみたいですし。こうして私の腕の中で眠るこの子も、いつかは……
Ｐ,よーし、それじゃあ遠足に出発だ！
みんな,は～い！
Ｐ,ちゃんと手繋いでくれよ～まじでな～
はるか,ちはやちゃん、いっしょにいこ！
ちはや,うん。ぷろでゅーさーも……
Ｐ,わかったわかった
まこと,あーずるい！ぷろでゅーさー！こっちのてはボクと！
ゆきほ,ま、まことちゃん……わたしもぷろでゅーさーと……
Ｐ,おっと、信号だ。みんなー、横断歩道ではあわてちゃだめだぞ。車にぶつかるからな
ゆきぽ,ぽぇー……
Ｐ,あれが青になっても、まわりを見ながら、そして手をつなぎながらゆっくりだ。向こうにいる友達に声をかけたりしてもダメだぞー
ちはや,しんごうはきをつける……こえをかけてはだめ……まわりをみてゆっくり……
Ｐ,わかったな、千早？
ちはや,はい！わたし、おとうとにもしっかりおしえてあげます！くるまはぜったいきをつける！
Ｐ,やっと着いたか……。じゃあ、笛でぴーっと鳴らすまであそび時間！そしたらお昼ごはんなー
みんな,は～い！
Ｐ,でも、絶対この広場から出ないよーに！わかりましたかー？
みんな,は～い！
はるか,ふぇえ、とばされたよぉ……
ちはや,は、はるか……だいじょうぶ？
Ｐ,おや、あの子たちは……
あい,りょうさん！えりさん！つぎ、なにしてあそぶっ！？
りょう,そうだねー、じゃあかくれんぼしよーよ。……ってあれ？
えり,ほかのようちえんのこ、たくさん……？
Ｐ,あの割烹着……バンナム幼稚園の子たちか
はるか,あー！あいちゃんだ！
あい,あ！はるかさんっ！
りょう,あいどるようちえんのこたちだったんだ
えり,きぐーだね
あい,はるかさんたちも、いっしょにかくれんぼしませんかっ！？
はるか,もっちろん！ぷろでゅーさーさんも！
Ｐ,わかったわかった……
あい,あたし、ひだかあいです！ねんちゅーぐみですっ！
りょう,あきづきりょうです。……ねんちょうぐみ、いないですよね？
えり,みずたにえりです。あの、よろしくおねがいします……
みんな,じゃん、けん、ぽん！
あい,あー！あたし、おにになっちゃった！
りょう,じゃあやりなおそっか
えり,そうだね
まこと,え！？なんでー！？
あい,がんばるよー！
りょう,だって……
えり,こうかい、するかも……？
ちはや,こうかい？
Ｐ,千早。やめとけばよかったーって思うことだよ
ゆきほ,ぽぇー……こ、こわいですぅ……
あい,だいじょーぶです！じゃあいくよー！いーっち！！にー……。……きゅうじゅきゅっ！ひゃっく！よーっし！！。さいしょはだれがいいかなー！やっぱりはるかさんかなっ！。えーっと……ひろさは、このひろばだけにして……ん、ん。いっくよー！すぅうううう…………
りょう,あ、あいちゃんだめだって！
えり,みみ、ふさがなきゃ……！
Ｐ,！？
はるか・ゆきほ・まこと・ちはや,！？
Ｐ,う、海が揺れている……！
はるか,わたしのなまえ……！？
あい,みみをすませて……えーっと、いちばんどきどきしてるほうは……。！。はるかさーん！いまいくよーっ！！
愛はそのレーダーにより次々とみんなを,無理やりに
ゆきほ,……えぐ、ひっぐ……うぅ……
Ｐ,よしよし。替えのパンツを持ってきてるから、安心しろ
あい,たのしかったねーっ！！
はるか・ちはや・まこと,……
りょう,あの、なんていうか
えり,ごめん、なさい……？
Ｐ,……つぎは俺が鬼やるから。いーっち！。にーい！。……きゅーじゅきゅ！ひゃーっく！よし、みんな隠れたな。全力でいくぞ……！。……おや？あれは……
黒井,ハーッハッハッハ！
ひびき,…………
Ｐ,…………。黒井先生と……我那覇響ちゃんか。この子、外では初めて見たな
黒井,ハンッ！誰かと思えば、弱小７６５組のプロデューサーではないか！惨めな鬼役が良く似合うな！
ひびき,…………
Ｐ,ずっとうつむいている……。かくれんぼの途中ではあるが……これはチャンスかもしれない。こんにちは、黒井先生。こんにちは、我那覇ちゃん
黒井,私は君のような者に挨拶する口など持っていないがね！。しかーしッ！響ちゃん、君はちゃんとこのひとに挨拶しようね？ほら、こんにちはって
ひびき,…………
Ｐ,極度の人見知りなのか？黒井先生の手を握って離さないぞ……
黒井,え、えっと、どうしたのかなァ響ちゃん
Ｐ,無理に挨拶させなくても大丈夫ですよ、黒井先生。ほら、我那覇ちゃん……顔だけでも、見せてくれるか？
ひびき,…………
黒井,響ちゃん……
ひびき,……うぅ……
Ｐ,やっと顔を上げてくれたな。お、これは将来べっぴんさんになるで……
ひびき,…………え！？
Ｐ,ん？俺の顔になにか……
黒井,どうしたのかなァ……って！？。響ちゃんが私の手を……振りほどいただと！？有り得ぬっ！
ひびき,……！
Ｐ,離れていく……やっぱり、あまり知らないひとは苦手なのかな
ひびき,…………
Ｐ,あれ？。助走？こっちに向かって走って……！？。！？。首に、抱きついてきた！？ジャンプだけで！？
ひびき,…………
Ｐ,バランスが……！。だが、負けるかぁああ！！
ひびき,～！～～！
Ｐ,……ぜぇ……はぁ………
ひびき,……にぃに
Ｐ,にぃに？お兄ちゃんのことか？
黒井,私は最近になってようやく手を繋いでもらえたというのに……！この男は一瞬で……！
Ｐ,俺は、我那覇ちゃんのお兄ちゃんに似てるのかな？
ひびき,…………
Ｐ,あまり喋るのは好きじゃないのか？活発そうな見た目に反して、無口な子なのかもしれない
ひびき,あ、あ……えと…………あ……わ
Ｐ,………
ひびき,……わんぬ……ぁ、ぁらん…………ぅ、うぅ！
Ｐ,違う……この子はきっと、本当は無口なわけじゃない
ひびき,……じ、じぶん！……なまえ…………
Ｐ,このイントネーション、沖縄弁か……？これは、つまり……。…………ゆっくりでいいさ
ひびき,……ひびき。がなはちゃん……じゃない、……ぞ
Ｐ,……ああ、響。よく言えたな、偉いぞ。あとから黒井先生に聞いた話では、こうだ。なんで自分はここにいる？なんで言葉が通じない？なんで……兄がいない？
ひびき,にぃに……じぶん……うとぅ……こ、こわく……ない？
Ｐ,！！。……はっはっは、俺が響を怖がるわけないだろ？
ひびき,…………
Ｐ,こういうときはたしか……。響。俺は……えっと、なんくるないさー、……だったか？
ひびき,！！。うん！なぁんくるないさー！！
黒井,私の数ヶ月はいったい
Ｐ,ん？
はるか,ぷろでゅーさーさん……？
あい,どーしたんですかっ！？
Ｐ,黒井先生……響をかくれんぼに参加させてやっていいですか？
黒井,フン……勝手にするがいい！元よりそのつもりでここへ連れて来たのだ！
Ｐ,ありがとうございます。よし、みんなで遊ぼうな！響！
ひびき,うん！くろいせんせーも！
黒井,な、何ィ！？
えり,…………。かくれんぼのとちゅうだけど……。だれもいない……ぬこぬこするなら、いまのうち……？。ぬっこぬこ～……ぬこぬこ、ぬこ……♪
ひびき,えりちん？みっけ！
えり,！？
ひびき,……ぬこ？
えり,…………
ひびき,……ぬっこぬこ～♪
えり,！？
たかね,あなたさま。こよいは、つきがきれいですね
Ｐ,ちょうど昼飯時に何を言っているんだ……ああ、この卵焼きのことか
たかね,なんともめんようなふんいきをかんじます
Ｐ,ほら、一個やるよ
たかね,むぐ、むぐ……これは…………ごくん。たいへんおいしゅうございました
Ｐ,……もう一個やるぞ
たかね,あーん……んむ、んむ…………これは……
Ｐ,かわええ。これだから貴音に餌付けするのやめらんねえんだ
ひびき,はいさぁい！
Ｐ,おっと、響かー！どうしたどうしたー！
ひびき,んふふ……にぃに、わんとまぁじゅん、たべよ？
Ｐ,弁当箱持って隣に座ってきたな。てことは。一緒に食べるのかー？もちろんいいぞ！
たかね,ふふふ……ひびき、きょうはとてもうれしそうですね
ひびき,たかねー！えへへぇ……
Ｐ,あ、これが天国か。天使が見えるもんな。ほおら響。ほっぺにケチャップが付いてるぞぉ
ひびき,んー
？？,みきもいっしょにたべるのー！
みき,ひびき。そこはみきのばしょだよ？。みきははにーのおよめさんになるんだから、ひびきはちがうとこにいったらいいっておもうな
ひびき,ええ！？
たかね,ひびき。これはみきのうそというものですよ
ひびき,ええ！？
みき,うそじゃないもん！やくそくしたもん！ね、はにー？
Ｐ,したっけ。いやしたような気がするな。美希があまりにも可愛いもんだから。ごほん……いいか、よく聞くんだ美希。俺の隣は……もうひとつ空いている……！
みき,！。はにーあったまいーの！じゃあみきはひびきのはんたいね！
Ｐ,左右に美希、響。そして正面に貴音。隙のない布陣が完成したぞ……！
みき,えへへ……はにぃとごっはん♪はにぃとごっはん♪
ひびき,……にぃに。みきとにぃびち、するぬ？
Ｐ,この顔、このトーン。おそらく本当に美希と結婚するのかどうか聞いているんだろうな
たかね,どうなのですか？
Ｐ,……するかもしれないし、しないかもしれない。みんながもーっと大人になって、そのときまだ好きでいてくれる人がいたら、俺はその人と結婚するよ
みき,じゃーやっぱりみきなの！みきはいっしょーはにーのことすきだもん！
ひびき,わ、わんやしがし……き……さ
Ｐ,？
たかね,……あなたさま。ひびきは、こういっているのです……。わたくしだって、あなたさまのことを、いっしょうおしたいします……と
ひびき,あー！たかね！！
Ｐ,クソ、どいつもこいつもかわええ
はるか,くろいせんせい、わたしのくっきーたべる？
黒井,ハンッ！７６５組ごときから施しは受けんぞ！それに私は甘い物が苦手で……
まこと,たべないならボクがもらうー！へへ、やっりぃ！
ゆきほ,あ、いいなぁ……はるかちゃん、わたしもいい？
はるか,もちろん！たべてたべてー！おかあさんといっしょにつくったんだー！
ちはや,もぐもぐ……すごいはるか、おいしい
黒井,…………
はるか,…………
黒井,な、なんだというのだね君ィ……
はるか,くろいせんせい、わたしたちといっしょなの、いや？
黒井,い、いや決してそんなことは……
はるか,うぅ……
まこと,あー！くろいせんせー、はるかなかせたー！
ゆきほ,は、はるかちゃんなかないでぇ……
ちはや,…………
黒井,……クッ！。……天海春香、いや……春香ちゃん
はるか,…………なに？
黒井,このクッキー、ひとついただくよ
はるか,あ……でも、あまいのきらいなんじゃ……
黒井,…………。……うまい。どの高級菓子よりも、美味だ
はるか,……ほんと？。えへへ……くろいせんせい、ずっとあっち９６１ぐみ
黒井,…………
はるか,だから、ちょっとでもこっちがたのしくなったらな、って……
黒井,……？おやぁ、なんだこれは？
はるか,それに、あまいものは、あたまがすっきりするんですよ！
ちはや,…………
黒井,気が付けば……頬に一筋の涙が……
はるか,えへへ……
ちはや,……はるか、こっちにももういっこちょうだい
はるか,うんー！
黒井,これが……団結だというのか！認めん！認めんぞ私はァ！
Ｐ,あずさ先生は今日お休みなんですか？
小鳥,そうみたいですね……風邪を引いてしまったんだとか
Ｐ,風邪ですか……こじらせないといいんだが……
小鳥,律子さんも、今日はそちらに行ってもらうことにしますので
Ｐ,わかりました。音無さんも今日は年長組の遠足ですよね、どうか気を付けてください
小鳥,はい。では、行ってきますね！
Ｐ,というわけで、今日は年中組と年少組の合体保育だ！
あみ,がったいー！
まみ,かっこいー！
黒井,年中組のみんなは、お兄さん、お姉さんらしいところを見せてやるのだぞー！
みんな,は～い！！
Ｐ,さて、無事に終わるといいが。……って、ん？
やよい,…………。ぷろじゅーしゃー
Ｐ,おお、どうしたやよい
やよい,しぇんしぇーは？
Ｐ,それが、いま元気なくてゴホンゴホンしてるんだよ～。でも大丈夫、すぐ帰ってくるからな！。……すぐ治るんだよな？やっぱり心配だ……だが、子供たちの前ではいつも通りの顔でいないと
やよい,…………。……て、かしてくだしゃい
Ｐ,手？こうか？
やよい,はい、た～っち
Ｐ,え？
やよい,いえい！
Ｐ,…………
やよい,ぷろじゅーしゃー、げんきでました？
Ｐ,……！ああ！ありがとうな、やよい！。…………俺としたことが……
ちはや,あ……たかつきさん
やよい,…………
ちはや,……！
Ｐ,見かける度にちょっかい出してたからな……。ち、千早。ほら、あっちで響たちと遊ぼう！
ちはや,……はい
ひびき,ぬっこぬこ～♪
あみ,ぬこぬこ♪
まみ,ぬこ～♪
Ｐ,なんだあれ？ぬこ？初めて見たけど、ああいうのが最近の流行なのか
ちはや,あれといっしょは……はずかしいです
Ｐ,そ、そうだな。やっぱり流行ってるのか！？。なあ、みんなはぬこぬこ体操って知ってるか？
はるか,しってるよー！
まこと,ボクもー！
ゆきほ,わ、わたしも……
ちはや,みんなしってるんだ……わたし、しらなかった
律子,なんでも、とあるネットアイドルが動画をアップしてから爆発的に人気になったんですって
はるか,しかもそのこ、わたしたちとおんなじくらいなんだってー！
Ｐ,つまり、幼稚園児ネットアイドルってことか？はぁ～……世の中色んなアイドルがいるもんだ
律子,最近はわりとあるらしいですよ。ぬこぬこ体操の子以外にも、あと花みたいな名前の子とか……
Ｐ,へ～。まあ、子供たちの間で流行ってる体操なら今度検索してみるかな。はは、意外と身近な人物だったりして！
たかね,ひびき
ひびき,たかねー！ぬっこぬこ～♪
たかね,…………
ひびき,えっ？えっ？
あみ,あーひびきんいっちゃうー
まみ,あーぬこいっちゃうぬこー
ひびき,たかね……？
たかね,……ひびき、そこになおりなさい
ひびき,……うぅ……たかね、おこってからるぬ？
※ウィ、響ちゃんは,たかね、おこってるの？
たかね,…………おこってなどいません
ひびき,えっ？
たかね,ひびき。わたくしは、ひびきのいちばんのおともだちです
ひびき,うん……えへへ
たかね,ですが、わ、わたくしはわるいこです……
ひびき,わるいこ？
たかね,ひびきが、ちかごろみんなとなかよくしているのが……いやだったのです
ひびき,…………
たかね,ひびきが、みんなにとられてしまうのではないかと……
ひびき,……たかね
たかね,だから！た、たかねは……わるいこなのです……
ひびき,……たかね。わんや……ちが、……じ、……じぶん！
たかね,ひびき……？
ひびき,じぶん、たかねの、こと……ひぃばん！んと……いちばん！
たかね,…………
ひびき,だ……だいすき、だぞ！
たかね,……！！
ひびき,えへへ……たかねに、いうためんかい……く、くのことば……れんしゅうしちゃんやさー
たかね,ひびき……！
黒井,…………
Ｐ,黒井先生に連れられて来てみれば……俺はとんでもないものを見てしまったようだ。…………
あみ,にーちゃんどったのー？
まみ,ないてるのー？
Ｐ,ああ、でも悲しいわけじゃないんだ。感動していたんだよ
あみ,かんどー？
まみ,とーほぐー？
いおり,ばかね、かんどうってのは……えっと
Ｐ,嬉しくて嬉しくてしかたないってことさ。そういえばぬこぬこ体操はもうしないのか？
あみ,ひびきんあっちいっちゃったんだもん
まみ,あいどるごっこしたいよー
Ｐ,ちなみに今日は、ホールを開放していないのでアイドルごっこはできない。年少＋年中だからいつもよりみんなハイになってるし、先生方も少ない人数でそこまで見渡せないからな
いおり,ねえねえ。あずさのおみまい、いきたいんだけど
Ｐ,だめだよ、お前たちに悪い菌がうつっちゃうだろ
いおり,けちねー
Ｐ,お見舞いに行きたいだなんて、伊織は優しいなあ……
いおり,や、やさしくなんて！そーいうのあたりまえでしょ！
あみ,あーいおりんてれてるー！
まみ,んっふっふ～、にーちゃんのことすきなのー？
いおり,う……す、すきじゃないもん……
Ｐ,わぁ、泣くな泣くな！ほ～ら高い高い
いおり,……そ、そんなことされたって…………きゃー♪
あみ,あー、いーなー！
まみ,にーちゃんまみにもやってー！
いおり,ひやーん♪
Ｐ,…………たかいたかーい
あみ,あみもー
まみ,まみにもー
Ｐ,……かわいい。よーし伊織、次は肩車だぞっ！
いおり,た、たかいわ……
Ｐ,はっはっは、ちゃんと俺の頭つかんでろよ～
あみ,あーん、にぃちゃーん
まみ,ま、まって～
Ｐ,…………
あみ,……んぐ！
まみ,あ～ころんじゃった……あみ、だいじょぶ～……？
Ｐ,…………
いおり,や、やっとおりれた……
あみ,うぇ、うぇええ……
まみ,あ、あみ……
Ｐ,…………。大丈夫か亜美！！どおーしたぁ！！！
あみ,ふぇ！？
Ｐ,どーした亜美！？転んじゃったか？痛かったな、でも兄ちゃんが治してやるからな！。いたいのいたいの……とんでけっ！変顔
あみ,…………
Ｐ,とんでけっ！裏声
あみ,……ぷぷぷ
Ｐ,もやし裏声
あみ,きゃはは！！
Ｐ,ほぉら肩車だぞ～！
あみ,ひゃーたかーい！！
まみ,ま、まみもー！
Ｐ,ああ、ふたりまとめてやってやる！こい！
あみ,すごーい！
まみ,とぐろきょーだいみたーい！
Ｐ,はっはっは！みんなかわいいなぁ～！。後ほど……。全てを見ていた律子にえらい説教をくらったというのは、また別のお話
小鳥,お見舞いですか？いいんじゃないかしら
Ｐ,え！？
小鳥,さっきあずさ先生から電話があって、病院のお薬飲んでだいぶよくなったって言ってたから。あと少し横になっていれば、明日にでも復帰できるとのことです。だから行ってもきっと大丈夫ですよ
Ｐ,そ、それはなにより
小鳥,あ、でも園児たちだけでいかせないでくださいね。プロデューサーさんが付いてあげてください
Ｐ,り、律子とか音無さんは？それに黒井先生は……ないか
小鳥,あたしはもう遠足帰りでくたくたです～。律子さんも、今日はこのあと大学に行くみたい
Ｐ,……そういうことなら、じゃあ、行ってきます……！
小鳥,ふふ。プロデューサーさん、貸しいち、ですよ。あと、あずさ先生も……
Ｐ,さて、誰を連れて行くか……やっぱりあずさ先生が担当する年少組の子たちかな
あみ,にーちゃんじゃーねー！
まみ,またねー！
Ｐ,はい、さようなら。また明日元気にくるんだぞー！。亜美と真美はちょうど今帰って行ったところか。となるとあと教室にいるのは……
やよい,……♪
いおり,ああ、やよいあぶない……つみきくずれちゃう
Ｐ,伊織、やよい。ふたりはまだ帰らないのか？
いおり,わたしきょうは、やよいのおかーさまがくるまでかえらないの
やよい,……わたしのおかあさん、まっくらになってからくるんでしゅ
Ｐ,そうか……。それなら、あずさ先生のお見舞い、俺と一緒にいかないか？
いおり,いーの！？
やよい,い、いきましゅ！
Ｐ,よーし、決まりだ。さっそく準備を……って、おや？
ちはや,…………
Ｐ,千早……千早も俺たちと一緒にいこうか！
ちはや,……はい！
Ｐ,音無さんからもらったアバウトな地図によると、あずさ先生の家はこのへんか。ちょっとスーパーに寄っていいかな。いろいろ買っていかないと
ちはや,わかりました
やよい,はーい
いおり,このすーぱーようちえんせい、いおりちゃんがえらんであげるわ！
Ｐ,……いおり、お菓子はそんなに食べられないと思うぞ
いおり,あずさはいつもこんくらいへーきよ？
Ｐ,そ、そうなのか
やよい,もやし
Ｐ,……もやし？
やよい,もやし
Ｐ,たしかにもやしは万能食材だ！買っていこう！！
ちはや,かごのなか、もやしとおかしばっかり……
Ｐ,千早、手伝ってくれてありがとうな
ちはや,えへへ……
