姫川友紀,あ、ありがとうございますっ
飛鳥,この景色は、冬へと向かう死の季節によって生み出された滅尽の光景でもある……と、ボクは思う。ボクらは今、枯葉というムクロたちの上で、秋が描く滅びの美を賞味していると言っても過言ではない。そこに感嘆を見出すのは、人間の特権か、あるいは業か…。死に往くモノほど、美しい……これは、誰の言葉だったかな
友紀,…すごい発想だね
飛鳥,……あぁ、すまない。少々刺激の強い言い方だった
友紀,秋のこと、そんな風に考えたこともなかったよ。あたし、もみじきれいだなーとか、食べ物おいしいなーとかばっかり考えてた
飛鳥,普通はそんなものだろう
友紀,でも、そっか。命か…
飛鳥,…あくまでボクの考え方だよ。気にしすぎることはない
友紀,……うん、ちょっとびっくりしちゃった。すごいね。…その本は？
飛鳥,ハイネ。詩集さ
友紀,はいね…。…ですぱいね？
飛鳥,……鷹の主砲は関係ない
友紀,おっ。だんだん反応が鋭くなってきたね？良い傾向だ♪
飛鳥,知らないよ……そうじゃなくて。ドイツの詩人だ。これは、恋の詩
友紀,こ、恋…
飛鳥,手元に何か携えてみろと言われたものでね。たまたま持参していたのが、これだった。見栄え的にも大変効果的だと、カメラマンにも評判だったよ
友紀,確かに。知的な感じ、ばっちりストライクだね
飛鳥,読書にはもってこいの季節さ。…キミも、読むかい
友紀,恋か…。ってうわっ！何だこりゃ、何語？！
飛鳥,何って、ドイツ語。原文だけど
友紀,ひぇぇ……読めるの？
飛鳥,いいや？
友紀,読めないのに持ってるの！？
飛鳥,内容は頭に入っているから。読めなくても、伝わるものはある
友紀,へ、へぇ
飛鳥,逆に……読めないからこそ、目を通して初めて理解ることだってある。想像力を膨らませれば…ね
友紀,…よく分かんないや
飛鳥,残念。……む
友紀,ん？どったの
飛鳥,あぁいや、地べたで仰向けになっていると、後頭部がちょっとね
友紀,痛い？
飛鳥,痛くはない……が、どうも落ち着かなくて。さっきから、何度か頭を置き直しているんだけど
友紀,地面に寝るなんて、なかなか無いからねぇ
飛鳥,落ち葉を集めて枕にでもしようか……だが、それだとあまりに不格好かな……
友紀,…起きれば良いのに
飛鳥,この景色から、今は目を離したくないんだ
友紀,そっか。あたし、何か枕になるもの持ってこようか？
飛鳥,…キミの手を煩わせるほどのことでもないよ
友紀,あっ、上着丸めれば……って、これ撮影用だった…
飛鳥,本当に、大丈夫だから
友紀,でも…
飛鳥,……フム。…そうだ。どうしてもと言うのなら、其処に良いものがある
友紀,おっ、なになに？取ってくるよ
飛鳥,ああ。手ではなく、足を煩わせてもらおうかな
友紀,え？
飛鳥,もうちょっとこっちに…
友紀,……えっ
飛鳥,…うむ、丁度良い。絶妙の高さと柔らかさだ
友紀,え、えぇー…なんで膝枕…？
飛鳥,良い脚をしているね。鍛えているからかな
友紀,あ、ありがとう…？
飛鳥,しばらく借りるよ
友紀,うん…
飛鳥,…
友紀,……
飛鳥,………
友紀,…………。気まずっ。膝枕とか初めてするんだけど…。しかもスカートで。何してんのあたし…。すっごく落ち着かない…寝にくくないかな
飛鳥,……
友紀,特にそんなことはなさそう。大丈夫みたいだ。もしかして、居心地悪いのあたしだけ？。これ、喜ぶべきところなのかな…。…ずっと空見てるや。今、何考えてるんだろ。飛鳥ちゃん…あたしじゃよく分かんないことも、いっぱい考えてるんだよね。難しい言葉もいっぱい知ってるし。頭良いというか、何というか。……。あ、もしかして。このアンニュイな表情……難しいこと考えるのが、秘訣なのかも。あたしもやってみようかな。んー、難しいこと、むずかしいこと…。……せ、世界平和、とか？。えーっと…平和のためには、武器を無くせば良いんだよ。ほら、なんか色々打ち上げてるアレとかソレとか。打ち上げるのは、花火かホームランぐらいにしとけば良いのに。あー…でも、今年もシーズン終わっちゃったから、どっちもしばらく見れなくなっちゃう。キャッツは今年も優勝逃しちゃったし。CSはどうしよう、美玲ちゃんといーぐるすの応援かなぁ。後はドラフト見て、契約更改確認して……。……だ、だめだぁ。全然上手くいってる気がしない。澄まし顔なんて、ハードル高すぎて……やっぱり、あたしには向いてないんじゃ…。どうしたら、こんなに大人しい表情作れるのやら…。……きれいな顔してるなぁ。…。……
飛鳥,…何か
友紀,ふぁ！べ、別に
飛鳥,別にも何もないだろう。そんなに見つめられたら、気になって仕方ない
友紀,ごめんね、ちょっとボーっとしてて
飛鳥,……嫌かな。やっぱり
友紀,そ、そんなことないよ
飛鳥,…そう。まぁ、何か思うことがあるのなら、はっきり言えば良い
友紀,う、うーんと
飛鳥,…。……さっきも言ったけれど
友紀,え？
飛鳥,自然体で、良いと思う
友紀,…
飛鳥,おおかた、撮影のことを考えていたのだろう？
友紀,…そんなところかな
飛鳥,キミの顔、なんだか表情を探すように動いていたから
友紀,み、見てたの？
飛鳥,言葉を選ばず言わせてもらえば……なかなか滑稽だったよ？
友紀,ぅぐ…。そんなに変な顔だったかな…
飛鳥,変というより、百面相でもしてるようだった
友紀,そんなぁ…
飛鳥,表情豊かなのは素晴らしい限りだけどね
友紀,……あたし、慣れてないんだよこういうの。大人しく落ち着いた写真なんて撮ったことないし、服もいつもよりカワイイ感じだし。どうすればいいのか分かんなくてさ
飛鳥,……フム。今回ばかりは、難儀しているみたいだな。さっき、数秒見つめていた時の顔だけど
友紀,？
飛鳥,何を想って見ていたのかは知らないが……そちらの方が、良い顔をしていたように思う
友紀,そう？
飛鳥,あぁ。力みの取れた、自然な表情だった
友紀,そっかぁ
飛鳥,一体何を考えていたのかな。言語化してみることで、何かヒントになるかも
友紀,ヒント…
飛鳥,もし良ければ、聞かせてくれるかい。何も考えていなかったというのなら、それまでの話だけど
友紀,えっとね、。飛鳥ちゃん、やっぱり顔きれいだなーって
飛鳥,……は
友紀,鼻筋とか、まつ毛とか。近くで見て、改めて思った。何だろう、整ってるっていうか…。んー…。どう言えば良いか分かんないや。美形？キレイ系？えーっと…た、たん……れい？淡麗、生？
飛鳥,…端麗、のことだろうか
友紀,とにかくさ。こんなにキリッとした顔の良い子、地元じゃいなかったなぁ
飛鳥,…な、なんだい急に
友紀,何考えてたのか言えって言うから
飛鳥,それはそうだけど……それにしたって、随分ストレートに褒めてくれるじゃないか
友紀,まぁ、普段あんまり言う機会ないからねぇ
飛鳥,…冗談や世辞なら、余計なお世話だよ
友紀,ほんとだって！きれいな顔してると思うよ、うん
飛鳥,……そう
友紀,お、照れた。珍しい～
飛鳥,照れてない
友紀,そう言って、ほっぺが赤いぞー？
飛鳥,周りの紅葉で朱く見えるだけだよ…
友紀,うりうり
飛鳥,……ちょ、つつくな、やめ、
友紀,ぶたばな～
飛鳥,や、やめろっ
友紀,あはは、ゴメンゴメン
飛鳥,全く……何の話をしていたのやら…
友紀,まぁ…飛鳥ちゃん、動揺すると視線が右に逸れるから。すぐ分かるよ？
飛鳥,……えっ
友紀,分かりやすくて良いよね、そういうの
飛鳥,ちょ、ちょっと待って。本当か、それ
友紀,うん
飛鳥,…何時から？
友紀,いつって、ずっと前から？
飛鳥,……うそ
友紀,ふっふっふ。投手のクセを見抜くのも、大事なテクニックだからね
飛鳥,知らなかった…。…どこで知ったんだい
友紀,いや～、ずっと同じ事務所だし。見てれば何となく分かるって
飛鳥,そ、そうか。…よく見ているものだ、全く
友紀,うん？なにか言った？
飛鳥,何でもないよ…
友紀,そっか
飛鳥,……ま、まぁ。今後の課題として、参考にさせてもらうことに…
友紀,あ、ほら。またそっち見た
飛鳥,っ！
友紀,もしかして、自分で気付いてなかった？余計なこと言っちゃったかなぁ
飛鳥,…今度から気を付けよう。……少しだけ、悔しい
友紀,つんつん
飛鳥,やめろ
友紀,えー
飛鳥,表情のアドバイスをしていたつもりだったのに、何が起きた？。いつの間に、何故ボクが逆に指摘されているんだ
友紀,鼻つまんで良い？
飛鳥,良いワケないだろう
友紀,そっかー
飛鳥,やめろってば。…かと言って今膝から離れたら、それこそ敗北宣言のようで。気恥ずかしさから逃げただなんて思われたら、それも癪だ。…む。……友紀、ちょっと
友紀,ん？なに？
飛鳥,ちょっとだけ、顔を近づけてくれないか
友紀,顔……こう？
飛鳥,ああ。…そうだ、もっと
友紀,いやいや、これ以上は
飛鳥,良いから。ほら
友紀,うわ、ちょっ、。手が顔に……てか、近い近い、鼻当たりそう
飛鳥,眼を閉じて…
友紀,っ！？。ちょちょっ、えっ急に何これ、ちょっと……
飛鳥,力を抜いて。大丈夫、一瞬だから
友紀,や、待っ、一瞬って何がっ
飛鳥,……
友紀,うぁっ…。～～～ッ！！
飛鳥,ほら、取れた
友紀,……ふぇ？
飛鳥,葉っぱ、付いてたよ
友紀,…え？あ、あぁ、うん。ありがと
飛鳥,髪飾りにしておくのも悪くないが……着飾った今のキミには、少々ワイルドすぎるアクセサリだ
友紀,うぅ……びっくりした
飛鳥,フフ、顔が朱いね。どうかしたのかい
友紀,べ、別に赤くなんか…。…。…あ！そ、そういうことか
飛鳥,あははっ、さっきのお返しさ
友紀,やられた…
飛鳥,これでイーブンだよ。やられっぱなしは、性に合わないんだ
友紀,思わずクラッときちゃったよ…
飛鳥,フフッ。からかわれる気分はどうだい？
友紀,ま、参りました
飛鳥,そう。ならよし
友紀,その顔で、平気でそういうことするんだもん。ずっるいなぁ
飛鳥,褒め言葉として受け取っておこうか
友紀,褒めてる褒めてる。あたしには、ちょっとできない芸当かな…
飛鳥,ヴィジュアルレッスンでボクに勝とうなんて、６年早いよ
友紀,勝つ？６年…？。…って、年の差じゃん！
飛鳥,そうとも言うね
友紀,６年あっても、あたしじゃ勝てそうにないや。今がこんなんだし
飛鳥,向き不向きは誰にだってあるさ
友紀,そりゃそうだけどさー
飛鳥,ボクはキミより、仮面を被るのが少し得意というだけのこと。もちろん、負けるつもりもないけどね
友紀,別に勝負してるわけじゃないんだけど…
飛鳥,ならば自動的に、ボクの不戦勝だ
友紀,ちぇ、良いよーだ。こっちだって、声の大きさじゃ負けないし
飛鳥,……勝てる気がしないな
友紀,でしょー。へへ
飛鳥,…６年、か
友紀,？
飛鳥,……
友紀,…。…黙っちゃった。また、考えモードかな
飛鳥,……これは、ボクの独り言さ
友紀,おっと
飛鳥,だから、別に聞き流してくれたって構わない。よく、思うことがあるんだ。時が経つことで、視える景色はどう変わるのか……って
友紀,景色？
飛鳥,６年経てば、ボクもハタチだ。４年で選挙、２年すれば結婚だってできる
友紀,結婚？！き、気が早いなぁ
飛鳥,だが事実だろう。もちろん、今は相手なんていないさ
友紀,う、うん
飛鳥,その時、その瞬間において、ボクはどんな視界を以ってセカイを観測しているのかな。こんなに色鮮やかなセカイに、いつまでいることができるかな。同じ場所でこの空を再び目にした時。今と同様に秋色に煌めいているという保証は、果たして何処にあるのかな
友紀,…空見ながら、そんな風に考えてたの？
飛鳥,ああ。さっきキミが来る前から、ずっと
友紀,そうだったんだ…
飛鳥,例えば６年後、キミと同じ年齢になった時。ボクはどんな自分になっているんだろう。相変わらず痛いヤツに思われているだろうか。少しは、オトナになれてるのかな。…以前のように、くすんだ色をした日々を見つめているなんてことが、あったりしないだろうか。考え始めると……少し、怖い
友紀,…こわい
飛鳥,キミはどうだい
友紀,あたし？
飛鳥,時間が経って見えるものが変わったなんて経験、友紀にはあるのかな
友紀,うーん……いっぱいあるような、言われてみればあんまりないような…
飛鳥,フム。自分の主観では認識できない変化というのも、きっとこの世にはたくさんあるんだろうね。そういえば、キミの過去もまだ知らないままだな
友紀,…それは
飛鳥,例えば今のボクと同じく、１４だった頃のキミは…、。……あぁ、これは独り言だった。別に誰かの答えが欲しいワケじゃあないのに
友紀,…
飛鳥,ま、興味があるのはキミだけに限った話でもないけれど。当時のキミが塗るセカイは、一体どんな色をしていたのかな。其処には誰がいて、何があったのだろう。何を想って、何を感じて。今に至って、昔をどう振り返るのか。……何よりも、１番の興味の対象は。それを聞いたボク自身がどう想うだろうということ。仮に、ifの可能性があったとして…ボクがその話を聞いた時、１４のボクと２０のボクで、生まれる感想に違いはあるのだろうか。そこに何の違いがあるのだろう。同じボクから芽生えた感情なのに？…いいや、そもそも未来のボクは、同じボクと言えるのか？では今のボクは、何を以って自分を二宮飛鳥だと言い切れる？
友紀,な、なんか話がむつかしくなってきたね…
飛鳥,はは…ボクも、よく理解らなくなってきた
友紀,へぇ……飛鳥ちゃんにも、分からない時ってあるんだ
飛鳥,あるよ。むしろ理解らないことだらけだ
友紀,ちょっと意外。自分の中でちゃんと、答えを出せてるのかと思ってた
飛鳥,この時期は、いつもこんな具合さ。疑問符は取り留めもなく湧き出てくるのに、真実は浮かばず物思いに耽ってばかり
友紀,ふぅん
飛鳥,思考が漏れてしまっているのは、たまたま。今日は口が良く滑る。結局のところ、将来のボクがどんな彩をしているのか。今と同じか、もしくは変化しているのか。そんなこと、今思い悩んだところで知りようがないんだよ。いつだってそう。理解らないから不安になるし、だからこそ求めずにはいられない。秋の風がそんな悩みに拍車をかけて、ボクの思考を奪っていく。…こんな漠然とした将来の不安なんて、中学生にはまだ早すぎる悩みかな
友紀,……そんなことないと思うよ
飛鳥,だと良いね
友紀,どんな考え事してるのかと思ったら…やっぱりすごいや
飛鳥,キミの昔話も、ボクにはまだ早すぎるのかもしれないけれど。…いつか、話してくれる日が来るといいな
友紀,…うん。その内、気が向いたらね
飛鳥,そう
友紀,飛鳥ちゃんも、
飛鳥,？
友紀,その時の自分がどんな色をしてて、昔と比べてどうなったか。お酒飲みながらとかでも良いから……いつか、あたしにも教えてくれる？
飛鳥,……ああ。気が向いたら
友紀,よし、約束ね
飛鳥,…ふぅ。少し喋りすぎたかな。すっかり脱線してしまった
友紀,たしかに。いっぱい喋ったね
飛鳥,撮影の話をしていたハズなのに、一体何をやっているんだか
友紀,そうだね。ふふ
飛鳥,……話を戻す必要は、もうないか。我ながら、随分乱雑な独り言だったよ。考えがするすると口から漏れるようで…これも秋の憂鬱の仕業かな
友紀,水でも飲む？取ってこようか
飛鳥,……いや、結構さ。キミがいないと、頭の置き処に困る
友紀,か、完全に枕扱いされてる…
飛鳥,フフッ、案外寝心地が良くってね。こんなベッドも、たまには悪くない
友紀,…たまには、にしておいてよ？
飛鳥,どうしようかな
友紀,ちょ、ちょっとー？
飛鳥,さて。ボクはしばらく、口を休めることにしよう
友紀,そっか
飛鳥,足は痛くない？
友紀,平気！
飛鳥,なら…撮影が再開するまで、もう少しこのままで居させてくれるかい
友紀,どうぞどうぞ
飛鳥,ありがとう。何かあったら遠慮なく言ってくれ
友紀,あっ！じゃあさ！
飛鳥,……早速だな
友紀,エクステ、触ってても良い？
飛鳥,……む
友紀,近くにあると思うと気になるんだよね
飛鳥,…気持ちは、理解らなくもないけど
友紀,普段は触らせてもらえないしさ！
飛鳥,…
友紀,お願い！話し相手がいないと、手持ち無沙汰なんだよぉ
飛鳥,……膝を借りている以上、ボクも何か返さないといけないか
友紀,お？
飛鳥,仕方ない。頬をつつかれるよりマシだよ
友紀,やった！
飛鳥,今日は特別。引っ張らないようにさえしてくれれば、後は好きにしてくれても構わない
友紀,はーい
飛鳥,言っておくけど、再開するまでの間だけだぞ？
友紀,分かってるって！。わぁ、サラサラだー
飛鳥,やれやれ…
友紀,……♪
飛鳥,…なんだ。自然な表情、できているじゃないか
