双葉杏,えー、それじゃ暑いじゃん
ほたる,あの、大丈夫ですか。経営が傾いたりしてませんか
Ｐ,安心しろ、今日もうちは順風満帆だよ
ほたる,それは……良かったです
Ｐ,お前が気にするのも分かるが、事務所が不幸になるなんて、そうはないぞ。一々気にかけたりしないで、大丈夫だ
ほたる,ありがとうございます。でも、心配ですから……
Ｐ,まったく、今不幸になるとすれば、せいぜい冷房が壊れるくらいで。え
ほたる,すみません、すみません……私の不幸のせいで……！
鷹富士茄子,おはようございますー。――あら、なにをしてるんですか
Ｐ,おはよう、茄子。いや、これは別にやらせてるわけじゃなくてな
ほたる,はい。私が勝手にやってるだけなんです。……私のせいで、クーラーが壊れてしまってたので
茄子,どんな理由でも、女の子に扇がせたら駄目ですよーっ
Ｐ,すまん。ということで、ほたる、扇ぐのを止めてくれ
ほたる,でも、私のせいですし……扇ぎもしなくなったら、単なる疫病神と思われて
Ｐ,思わない、思わないから
茄子,……本当に、壊れてるんですか。実は動いたりしませんか
Ｐ,いや、俺もさっきからリモコンのボタンをポチポチ押してるけど、電源がつかなくて
茄子,あ、動きましたねっ。ラッキー
Ｐ,え。おはようございます
高峯のあ,遅いわよ、Ｐ……仕事は待ってくれないのだから
Ｐ,のあさんが早いんだ。というか、暑くないか。どうして冷房をつけてないんだ？
のあ,自然の中に身を置く者として、当然の配慮だと思うわ
Ｐ,そのうち、熱中症でぶっ倒れるぞ
のあ,そうなれば……貴方が受け止めてくれるのでしょう？。それも、悪くないわ
Ｐ,汗一つかかず、よく言えるな、その台詞
のあ,恥ずべきことなんて……一つもないもの
Ｐ,……いや、本当に汗をかいてないはずがない！服をめくらせてもらうぞ、のあさん
のあ,――フッ、良いわ。私はその行動力にも、惚れているのだから
Ｐ,その台詞に、俺が冷や汗かかされるよ
前川みく,Ｐチャン、暑い！どうにかしてほしいにゃ
Ｐ,冷房の温度は下げないぞ。猫ならこたつで丸くなれ
みく,この時期にそれをやったら、干乾びちゃうにゃ
Ｐ,自分を曲げなかった結果だろう。さあ
みく,にゃー、Ｐチャンが意地悪する！
Ｐ,違うぞ、みく。これは試練だ。猫アイドルとしての試練と受け取ってくれ
みく,し、試練かにゃ
Ｐ,ああ、俺の試練を受けきったとき、お前はトップアイドルとして君臨しているはずだ
みく,凄いにゃ！……って、君臨する前に干物になるんじゃにゃい？
Ｐ,猫のミイラアイドル――新しいな
みく,新しい以外の魅力が見つからないにゃ。Ｐチャンの馬鹿！
Ｐ,クラリス、暑くないのか
クラリス,おや、どうしてそう思われるのですか
Ｐ,服装に決まってるだろう。こんな暑い日に、長袖を着て
クラリス,女性の肌は、易々と露出して良いものではありませんから。それに、この暑さも主からの贈り物。疎ましくなど、思いませんわ
Ｐ,そこまで言うなら、まあ良いが
クラリス,それはそれとして、Ｐ様
Ｐ,なんだ？
クラリス,教会にはクーラーがないので、事務所に涼みに来たのです。もう少し温度を下げてくれると、ありがたいのですが……
Ｐ,贈り物じゃなかったのかよ
安部菜々,プロデューサーさん、少し冷房の温度を下げ過ぎじゃないですか
Ｐ,むむ、また誰かが勝手に弄くったんだな……って、別に下がってないぞ。二十七度のままだ
菜々,ええ、二十七度でこんなに涼しいんですかっ
Ｐ,外が暑いからなぁ。体感じゃ寒く感じるのかもな
菜々,外が暑いのを抜きにしても、最近の冷房って、効きが良いんですね……
Ｐ,効きが良いって、菜々の家の冷房は、どんなのなんだ？
菜々,うちのですか。うち――う、ウサミン星では、茶色のやつを使ってますよ
Ｐ,ちゃ、茶色？
菜々,え、冷房って普通、茶色じゃありません？
Ｐ,それって、だいぶ古いんじゃ
菜々,……ウサミン星ではそれが普通なんです！
Ｐ,地球と比べると、二十年くらい技術が遅れてるんだな
菜々,な、菜々にはよく分かりません。キャハッ！
Ｐ,外は大雨だが、冷房の除湿機能のおかげで、事務所は快適だな
星輝子,どうしよう……ぷ、プロデューサー
Ｐ,あれ、輝子。いたのか
輝子,はい、ずっといましたよ。それで、そ、その……
Ｐ,どうした、言ってみろ
輝子,エアコンのじ、除湿がかかってから、友達が
Ｐ,……ああ、キノコが萎びてる、と
輝子,こ、このままだと……ボクサーの、げ、減量に使われちゃう……！
Ｐ,お吸い物とかにも使えるから、大丈夫だよ
輝子,だから……除湿の、勢いをよ、弱めてほしくて
Ｐ,でも、そしたら蒸し暑いし
輝子,――ファーッ○！お前はキノコと暑さ、どっちが大事なんだ！？少しくらい我慢すれば、皆幸せだろうがー！
Ｐ,落ち着け
輝子,あ、す、すいません……言い過ぎですよね、はい
大原みちる,フゴフーゴー
Ｐ,飲み込んでから話せ
みちる,フゴ。プロデューサー、除湿をつけませんか
Ｐ,除湿？今はそこまで蒸し暑くないけど
みちる,あははー、暑いわけじゃないですよ！
Ｐ,それじゃあ、なんで？
みちる,このパン、昼食用のパンなんですけど、この湿度だと、たぶん昼までに湿気ちゃうんです
Ｐ,……待て、なんで昼食用のパンを今食べてるんだ？
みちる,湿気ていくパンを見てると、悲しくて空腹でついつい
Ｐ,つまり腹が減っただけだろうが
みちる,あははー！そうとも言います
神崎蘭子,煩わしい……太陽
Ｐ,設定温度は下げないぞ
蘭子,見よ、この生命の雫を！灼熱に身を焦がされ、我より零れたものぞ
Ｐ,そんな真っ黒な服を着てるからだ。もっと涼しげな格好をしてきなさい
蘭子,この衣は、我が魂の一部よ。剥がすことは容易ではないわ。凍てつく波動が足りぬ。我が下僕よ、このままでは我が魔力が……
Ｐ,……分かった。下げてやる
蘭子,さすがは我が下僕だ！
Ｐ,ところで、蘭子。このスケッチブックなんだが
蘭子,げ、下僕よ、それは禁じられし魔道書のはず！
Ｐ,いやぁ、蘭子は意外と絵が上手いんだなぁ
蘭子,下僕、早くそれを――あ、み、見ないで！？
Ｐ,どうした、顔が真っ赤だぞ。温度は下げたのに、そんなに暑いのか
蘭子,下僕のせいよ！
佐々木千枝,プロデューサーさん、この部屋、少し暑いですね
Ｐ,そうか。冷房の温度、下げたほうが良いか
千枝,え、いえ、そこまでじゃないですけど
Ｐ,でも、暑いんだろ？
千枝,暑いには暑いんですけど、えっと
Ｐ,ん？
千枝,あ、暑いなーって
Ｐ,胸元を扇ぐほど暑いんだろ？遠慮しなくて良いんだぞ
千枝,……愛梨さんを見習ったほうが、良いのかな
Ｐ,よく分からんが、脱ぐくらいなら、設定温度は下げていいからな
棟方愛海,プロデューサー、ちょっとクーラーが効き過ぎてると思うんだよね
Ｐ,そうでもないと思うが……二十七度だぞ？
愛海,あー、効き過ぎだよ。レッスンから帰ってきた子なんかが、温度の違いで体を壊しちゃうかも！。……うひひひ、あたしもなんか体調が悪いなぁ。体が熱くなってきちゃったよ
Ｐ,本音は？
愛海,暑かったら、皆薄着になってくれるから、体のラインがよく見えるかなって
Ｐ,お前はぶれないな
愛海,それを賞して？
Ｐ,温度は下げる
愛海,そりゃないよぉ！
Ｐ,うるさい。頭を冷やせ。暑いと、食欲が湧かないよな
海老原菜帆,そうですよねぇ、私も食事が喉を通らないことが多くてー
Ｐ,ああ、夏に入ってから俺は……三キロは痩せたな
菜帆,倒れちゃ嫌ですよ？Ｐさんにはもっと食べてもらわないと
Ｐ,……菜帆、さっきから食べてる物を言ってみろ
菜帆,肉まんですよ。季節外れなのに売られてて、ついつい買ってしまったんですー
Ｐ,食事が喉を通らないんじゃなかったのか
菜帆,嫌ですねー、Ｐさん。これはおやつですから
Ｐ,おやつ……か
菜帆,はい。――あ、Ｐさんも食べますか。私の食べかけですけど
Ｐ,遠慮しとくよ。おやつも喉を通らないからな
菜帆,美味しいのにー
本田未央,いやぁ、外はあっついね！
Ｐ,おう、未央か。お疲れ様
未央,お疲れ様でっす！ねえ、プロデューサー、アイスとか買ってたりしない？
Ｐ,ない
未央,そう思って、未央ちゃんは買っておいたのだっ。プロデューサー君もいるかね？
Ｐ,さすがは事務所のアイドル未央ちゃんだ
未央,事務所だけじゃなく、日本のアイドルだけどね
Ｐ,いずれは世界だな
未央,良いこと言うじゃん！
Ｐ,……未央は普通に良い子だなぁ
未央,はっはっは、そういうのはしまむーに言ってあげなよ
Ｐ,そうだな。未央は無個性だもんな
未央,泣くよっ！？
Ｐ,すまん。ちひろさん
千川ちひろ,なんですか
Ｐ,冷房をつけましょう
ちひろ,駄目です。今月の事務所の予算、かっつかつなんですから
Ｐ,いやいや、これじゃアイドル達がスルメになりますよ
ちひろ,私はなっても海老なので
Ｐ,乾燥海老なんて、小海老しか需要がありませんよ
ちひろ,……
Ｐ,分かりました、ドリンク買いますから。そこから冷房代を捻出してください！
ちひろ,はい。ありがとうございます、プロデューサーさん
Ｐ,こ、この人は……。こうなったら、少しでも冷房代を節約したほうが良いな。よし――。冷房の設定温度は二十七度だ
諸星きらり,Ｐちゃん、遊んでほしいにぃ！
Ｐ,分かった、分かったからいったん離れよう、きらり
きらり,えー、でもねぇ、今なんだか涼しいから、くっついてたほうがハピハピすると思うよー？
Ｐ,涼しいのは冷房のおかげなんだ。今は本当は暑いんだよ。暑いなら、くっつかないほうが良いだろう？
きらり,んー……そうかもっ！でも今は涼しいから、くっついてるにぃ
Ｐ,うん、分かった。Ｐちゃん暑くなってきたから、もう顔とか真っ赤だから。離れような、な？
きらり,わ、本当！Ｐちゃん大丈夫？
Ｐ,きらり……お前はけっこうスタイルが良いんだから、むやみに男に抱きつくんじゃない
きらり,やーん、Ｐちゃんのエッチ！
Ｐ,だから抱きつくなよ！？
