島村卯月,菜々さんの年齢、気になりませんか？
菜々,アイドルを辞めて娘さんを育てている人もいらっしゃいますし…まあナナは自分の意思でアイドルを続けていますけど。アイドルでいる内は若々しく、アイドルを引退したら普通に年を取り生活する。そう考えたら別に悪くはないですよね？
未央,…なんだー！そういう事は先に言ってよー！！！
卯月,はい！むしろメリットにしか感じなくなりました！
凛,うん、なんだか安心した
未央,私ずっとこのままで過ごすのか…とか考えちゃったよ
菜々,まあ、確実にという訳ではないんですけどね。その人だってまた年を取らなくなっているみたいですし。あれ？考えたら別の事務所の事務員さんやプロデューサーさんも、また年を取らなくなってますね
未央,ねー菜々さん！このことを知ってる人って他に誰かいるのー？
菜々,急に元気になりましたね…。んーそうですねー、こずえちゃんと芳乃ちゃんくらいですかね
卯月,へー！芳乃ちゃんって凄いんですねー！
凛,こずえは何かわかる気がする…
菜々,杏ちゃんや比奈ちゃん、奈緒ちゃんなんかは気付きかけてますね
未央,ふーん…ゲームとかアニメが好きな人は気付きやすいのかな
菜々,あー、そうみたいですね。正確には違いますけどループ物に近いですからね。普通の人より馴染み深いんですかね
卯月,はーい！質問です！この部屋に入った時に頭が軽くなった気がしたんですけども
凛,あ、わかる
未央,うん、私もそんな気がした
菜々,ああ、それはこの部屋に張っている結界の影響ですね
未央,結界！？
菜々,はい、早い話がウサミンパワーですね。ナナにもよく解らないんですが、どうやらフィルター？みたいなモノが掛かっているらしく年齢の事に気づかなくしてるんですよね
卯月,え、何か怖くないですか
菜々,そういうわけで、ウサミンパワーによってフィルターを外したので、頭が軽くなったように感じたのでしょうかね
凛,なんか色々ありすぎてウサミンパワーにツッコむ気力も無くなっちゃた…
菜々,とまあ、これがナナのお話しできる事の全てですね。なんでこうなっているのかというのはナナも知りえない事ですし、そう言った理由については残念ながらお答えすることが出来ません
未央,そっかー…何か凄い事を知ってしまったよ…
凛,うん、明日から普通に過ごせるか不安になってきた
菜々,あっ、そこについては心配しないで下さい。皆さんが年齢の事に気づいたのは結界の中の出来事ですので、部屋の外に出たらきれいさっぱり忘れてしまいます
未央,まだ新情報が！？
卯月,えー、全部忘れちゃうんですかー…
菜々,まあ、極たまに覚えたままの人がいますけど…滅多にないことですので
卯月,うーん…そういったことなら仕方ないですね
菜々,あっ3人とも、そろそろレッスンの時間ですよ
未央,おっもうそんな時間か
凛,うん、もう準備して行かないと
卯月,菜々さん、面白いお話ありがとうございました！
菜々,いえいえ～、と言っても部屋を出ると忘れてしまうんですけどね
未央,…あれ？私たち、何してたんだっけ？
凛,んー、なんか頭がボーッとする…
卯月,えっ…？え、あれ？
菜々,3人とも、どうかしましたか？
未央,あ、菜々さん。いや、ここ数時間の記憶が曖昧で…
菜々,3人ともお忙しいですから、疲れてボーッとしてしまったのではないですか？
凛,うーん…そうかな…
卯月,ん…？あれ？…うそ
未央,あっそうだ！今日は菜々さんに年齢を教えてもらう予定だった…って、もうこんな時間！？。2人とも行くよ！菜々さん、また今度教えて下さいね！
凛,ちょっ！ちょっと待ってよ、未央！菜々さんまたね
卯月,…ねえ、菜々さん
菜々,はい、何でしょう？
卯月,菜々さんの年齢って…いくつでしたっけ
菜々,…いやだな～卯月ちゃん、いつも言っているじゃないですか。ナナは永遠の17歳ですよぉっ！キャハっ！
