財前時子,飛鳥になつかれた
時子,あそう、じゃあいくわよこのブタ
モバP,ブッヒィィィ！！
時子,……。ふわぁ…
飛鳥,……！？
時子,…なによ
飛鳥,いや…時子さんがあくびするなんて珍しくてね
時子,昨日遅くまでペットの世話してたのよ、わるい？
飛鳥,え、ペット？初耳だね
時子,あらそう
飛鳥,なにを飼ってるんだい？
時子,……
飛鳥,…？
時子,ま、わからないならいいわ
飛鳥,…？でも昨日の夜はボクと電話してたのにいつの間に世話してたのかな？
時子,あら、自覚がないみたいね
飛鳥,？
時子,そうはもういいわ、背中流してあげるからはやく洗いなさい
飛鳥,うん、おねがいするよ
くるみ,ぐしゅっ……ふぇぇ、くるみもシャワーつかいたいのになかなかでてきてくれないでしゅ…
時子,……
飛鳥,……時子さん？
時子,…なに？
飛鳥,どうしたんだい？いつもの覇気がないよ？
時子,そんなもん別に常日頃から出してないわよ
飛鳥,じゃあ言い方を変えよう、元気がないよ？
時子,…なんでもないわよ
飛鳥,…仕事でミスでもしたのかい？
時子,アンタに関係ないでしょ
飛鳥,関係ない…か。確かにボクには関係ないかもしれないね、でも時子さんが元気がないとボクまで暗い気分になってしまうよ。そう言われて時子さんはうざいと感じると思う、ボクだってあまり他人に干渉されたくない気分の時はあるしね…というよりボクの場合はほとんどそうかもしれないけど。だから時子さんがうざいならすぐにでもボクは消えるからそう言って欲しいんだ、別に傷ついたりしないから遠慮なく言ってくれても大丈夫だから…
時子,うるさい
飛鳥,！！？ちょ、時子さん！？
時子,いちいちごちゃごちゃと訳のわからない理屈でかためる暇があるならさっさと私に抱きしめられてなさい、ちょうどいいサイズなのよアンタは
飛鳥,きょ、今日はいつになく強引だね？
時子,なに、文句でもある？
飛鳥,め、めっそうもないです！！
時子,あー……落ち着く…。……。………。…？
ちひろ,どうしたんですか時子さん、なにか探してるみたいですけど
時子,いえ、別にそういう訳じゃないわ
ちひろ,…飛鳥ちゃんなら今日はオフですよ？
モバP,ぶひぶひぶひ
時子,は、はぁ！？なんで私が飛鳥を探さなきゃいけないのよ、興味ないわよ飛鳥のことなんて
ちひろ,そうなんですか？最近仲が良いみたいだからそう思ったんですけど
モバP,ぶひぶひぶひ
時子,仲が良い？それは違うわよ、アイツとはただなんとなく一緒にいるだけ、むしろいなくて助かるくらいよ
ちひろ,あ、飛鳥ちゃん来たみたいですよ
時子,！！
ちひろ,嘘ですけどね
時子,……
ちひろ,ふふ、さーて仕事仕事！
モバP,ぶひぶひぶひ
飛鳥,やぁ、おはよう皆
時子,！！
ちひろ,あれ？飛鳥ちゃん今日はオフよ？
飛鳥,うん、でも家にいても退屈だからね。だから事務所で時間を潰そうかと思ってね、全く厄介なものだよ時間というものは…無限のように思えて有限なんだからね
モバP,ぶひぶひぶひ！！
時子,……
飛鳥,ん？おやおはよう時子さん、今日もお仕事頑張って…ちょいたいいたいどうして無言でほっぺをつねるんだい時子さん？。ちょっと時子さんいたい痛いよ！？なんだか心なしかどんどん力が強くなって…いふぁいいふぁいいふぁいってば時子さん！！
時子,私に抵抗するんじゃないわよこのつけ髪！！
飛鳥,ごめんなふぁいなんかわからないけどごめんなふぁい勝手に時子さんのプリン食べたから怒ってるの！？
時子,あれは元々アンタのために買っといたのよ！！！
ちひろ,ふふふ、本当に仲良しさんですねぇ
モバP,ぶひぶひ……ぶひ！！
ちひろ,プロデューサーさん、ギャグボールとらないんですか？
モバP,島村卯月の飼い方
