ガヴリール,あれ、今日のヴィーネの弁当変わってるね
サターニャ,ば、バカ悪魔とはなによ！それに全然変な薬じゃないわよ！ただ、ちょっと魔界的に元気になる栄養ドリンクを…
ラフィ,なるほど…おそらくは、その魔界の栄養ドリンクで性的に
ガヴ,なんだクレイジーサイコ力って！？いや、っていうか、そんなことより…もー、どーすんだよ、ヴィーネのやつ！
ラフィ,けど、ガヴちゃん、それが原因なら、話は簡単ですよ。栄養ドリンクの効き目なんてせいぜい一日が限度ですし…明日にはもとに戻っているのでは？
ガヴ,そうか…ラフィエルのいうことも一理あるな…それなら、とりあえず、ほっておいたら、もとにもどるかな
サターニャ,そ、そーよ！私は何も悪くないわ！
ラフィ,ええ、たぶん大丈夫だとおもいます
ガヴ,そ、そっか…それなら、明日またヴィーネに会った時に様子をみればいいか…。ふう…やっと家についた…さーって、今日は限定クエストの日だったな。ただいまー
ヴィーネ,おかえり、ガヴ
ガヴ,！！？？？。…………、ヴぃ、ヴィ、ヴィーネさん
ヴィーネ,…なに玄関につったってんのよ…ほら、早くあがって。御飯できてるから
ガヴ,い、いやいやいや…お、お前…あのまま自分ん家に帰ったんじゃあ…
ヴィーネ,はあ？ああ、もしかしてお昼のこと気にしてるの？まったくもう…ガヴの性格はよくわかってるし…そんなことくらいで怒って帰ったりしないわよ実家になんか
ガヴ,じ、実家ってなに！？
ヴィーネ,もういいから、どうしたのガヴ…今日のガヴなんかおかしいわよ？ふふ…あ、それとも御飯よりお風呂が先のほうがいいのかしら
ガヴ,な、なんか昼よりもヴィーネの様子が輪にかけておかしいような…薬の影響がピークになってるのか…！？。いろいろつっこみたいけど…な、なんかヤバい…なんかヴィーネ…目がレ〇プ目だし…ここは逆らわずに…。あ、ああ…いや…と、とりあえず御飯が先で、いいかな
ヴィーネ,そーいうと思って、もうテーブルに並べてるわ、ほら、早くあがってあがって
ガヴ,う、うん…あ、なんか部屋もすごいきれいになってる…ヴィーネが掃除してくれたのか…。………ん、あ、あれ？ヴぃ、ヴィーネ…さん？
ヴィーネ,え？何よ、ガヴ？
ガヴ,その…私のパソコンが見当たらないんだけど
ヴィーネ,え？ああ、捨てたわよ
ガヴ,！！？？す、捨て、はあ？
ヴィーネ,だってガヴったら、パソコンがあったらすぐネトゲして遊んじゃうでしょ…これからパパになるって人がそれじゃあダメだとおもって…
ガヴ,ぱ、ぱぱぱぱ…パパぁ…！？？いやだから、ヴィーネそれは…ひっ！
ヴィーネ,ん？なにか言ったかしら？
ガヴ,いやいやいやいや、ちょ、ちょっと、ヴぃ、ヴィーネさん…そ、その包丁…あ、あぶないから、ちょっとお、おこうか…ねっ、ねっ
ヴィーネ,ガヴリール…まさかあんた…まだ、私の妊娠のことをどうとかいうつもりなんじゃあないわよね…
ガヴ,ま、まっさっかああ…は…は…そ、そんなわけ、な、ないじゃん…と、とにかく、刃物はだめでしょ、刃物はさあ…
ヴィーネ,………。ふふっ、なーんて冗談よ。まったく…ほら早くテーブルついてガヴ
ガヴ,う、うん…。………。やばい…やばいやばいやばい…今日のヴィーネは、マジにやばい…え、いくら魔界の栄養ドリンクの影響とはいえ…なんで私なの！？サターニャとかのところに行けばいいのにっ！なんで、私なんだよお…！。け、けど、と、とりあえず、今日までの辛抱だ…今日はヴィーネを怒らせないように、おとなしくしておこう…。ご、ごちそうさま…でした
ヴィーネ,はい、おそまつさまでした、それじゃ、ちゃっちゃとお風呂はいっちゃって、ガヴ
ガヴ,う、うん…。……悪夢だ。…風呂あがったら、今日はすぐ寝よう…明日になったらヴィーネも元のヴィーネにもどってるはず…。ん？
ヴィーネ,…………
ガヴ,……え？あ、あの…
ヴィーネ,………おふろ…一緒に……はいっても……
ガヴ,えっ！？
ヴィーネ,いいかしらあ……、ガヴ……私と……久しぶりに……！！
ガヴ,。い、いいいいいや…わ、わた…私…も、もう…あ、あがるからっ！
ヴィーネ,ふふ…何言ってんのよガヴ、あんたまだ体洗ってないでしょ…ほら、背中あらってあげるから
ガヴ,いやいやもう、いいって、いいから…ほんとマジで
ヴィーネ,はやく背中向けて
ガヴ,は、はい…。
ヴィーネ,ねえ…ガヴ……なんで震えてるの…？
ガヴ,え、いやいや…そ、そそそんなこと…ないけど……
ヴィーネ,ふーんもう…ま、いいけど…ほら、次は前ね…前も洗ってあげるから、こっち向いて
ガヴ,はああ！？。ま、ままま前は、だ、だめじゃん…ま、前はその…じ、自分で洗うから…！
ヴィーネ,えー、なによ、もしかして恥ずかしいの、ガヴ…ふふ…何よ今更
ガヴ,いやいやいや今更とか…おかしいから…めちゃくちゃおかしいからってひい！
ヴィーネ,なんで、こっち向いてくれないのガヴリール…ねえ…こっち…向いてよ
ガヴ,いやいや…ヴぃ、ヴぃ、ヴィーネ…あ、あたってる…ちょ、背中越しに抱き着かないでって…み、耳に息あたって
ヴィーネ,ほら、ガヴリール…こっち、向いて…ねえ
ガヴ,～～～～～～！！！
サターニャ,…で
ガヴ,はあ…はあ…はあ…
サターニャ,なんでアンタが急に私の家にいんのよっ！しかも泡まみれの裸の状態でっ！
ガヴ,よ、よかった…下界に来て…はじめて成功した…神足通(じんそくつう
サターニャ,いや、なんで私の家ににげてくんのよっ！
ガヴ,仕方ないだろっ！そもそもお前のせいなんだしっ！私の貞操の危機だったんだぞっ！
ラフィ,あらあら…泡プレイなんて…ガヴちゃんもやりますねえ…
ガヴ,うっさいわっ！！しかもなんで当然のようになんでラフィエルもサターニャの家にいんだよ！
ラフィ,いやあ、なんだかおもしろそうな予感を聞きつけて…。それで、どうするんですかガヴちゃん
ガヴ,当然、ほとぼりが冷めるまでここに潜伏するよ。おいバカ悪魔、今日は泊めろよな
サターニャ,何勝手に決めてんのよガヴリール！
ラフィ,けどヴィーネさん、今頃ガヴちゃんのこと探してるんじゃあ？
ガヴ,ああ…？知らないよそんなの。もう今日は無理だわ…あのヴィーネの相手なんか絶対に。それに私がここにいるなんて、ヴィーネにわかるわけ…。………
ラフィ,………
ガヴ,いやいやいや…ま、まさかあ…
ラフィ,あら～、めっちゃ連打してますねえ
ガヴ,いやいやいやう、うっそだろ…逃げてきてから10分とたってないんですけどっ！ま、まさか、ありえな…
サターニャ,んもう、こんな時間に誰よ…はーい、ちょっと待ってください、今開けますから
ガヴ,あっほかあああ！このバカ悪魔あああ！！お前この状況いい加減把握しろよおお！
サターニャ,は、はああ！？何よガヴリール、一体…へ？
ガヴ,ひっ
ヴィーネ,………
ラフィ,あ、あらあら…ヴィーネさん
サターニャ,ヴぃ、ヴィネット！？……い、いや…ちょっとまって…うちのドア…
ガヴ,な、…なんで…ここが
ヴィーネ,あ、2人もいたんだ。ごめんね、サターニャ。うちのガヴが迷惑かけちゃって…ほんと、ごめん、すぐ連れて帰るから
サターニャ,え…う、…うん…あの…ヴィネット……うちのドア…
ラフィ,あらあら…なんかもう……めっちゃ怖いですね
ガヴ,ひ、ひいいいい！
サターニャ,ん……、ねえ…ガヴリール、ラフィエル…妙だわ…今日のヴィネット…なんか怖いわ…ちょっと様子がおかしいような…
ガヴ,気づくの遅すぎるわああ！このバカ悪魔、頼むから展開についてきてくれよお！
ヴィーネ,ねえ…ガヴ…なんで、サターニャとラフィエルの影に隠れて…出てきてくれないの…？さ…はやく、こっちいらっしゃい
ラフィエル,あら、角生やして、エモノまでもって…ヴィーネさん、完全悪魔モードですね
ガヴ,げええ…。ちょ、ちょ、サターニャ…こ、こうなったのもお前に責任があるんだし…ヴィーネから、私を守ってくれ…ほ、ほんとお願いだからっ！
サターニャ,は、はああ！？よくわかんないけど、私がアンタのためにヴィネットと戦えっていうの！？なんでよ！そんなことできるわけ…
ガヴ,た、頼む！大悪魔様サターニャ様！
サターニャ,。ふうん…アンタがそこまで言うなんて…しかたないわねえ…守ってあげようじゃないのよガヴリール！けどこの借りは高くつくわよ！
ガヴ,サターニャ！
サターニャ,ガヴリール！アンタはとっととここから逃げなさい！戦闘の邪魔よ！
ガヴ,すまない、サターニャ！
ヴィーネ,は、何？サターニャ…
サターニャ,ヴィネット！同郷の悪魔と戦うなんて本意ではないけど…この大悪魔サターニャ様が相手になって……きゅう。
ガヴ,ってよわあ！！…なんだよこのダメ悪魔、1秒もってねーぞ、ほんと使えな…ひっ
ヴィーネ,……
ガヴ,ヴぃ、ヴィヴィ…ヴィーネ…あああ、あの…わ、私…その…
ヴィーネ,………
ガヴ,……あの…
ヴィーネ,……
ガヴ,……………え？
ヴィーネ,ガヴリール………ガヴは……その…私のこと…嫌い？
ガヴ,え……いや、あ、ああああの…き、嫌い…では…ない…かな…
ヴィーネ,じゃあ、………好き？
ガヴ,は、いやいや、きょ、極端すぎるでしょ質問が…いや、けどまあ…好きっちゃ好きというか…いや、けど、あのですね、ライクですよヴィーネさん！あくまで親友として、ね！？ね！？あくまでさあ！
ラフィ,悪魔だけに…ですね！
ガヴ,いたんだラフィエル！ていうか、くだらないこと言うんだったら、ちょっと黙っててくれ……え？
ヴィーネ,ガヴリールぅ…ぐす…
ガヴ,ちょ、ちょっとヴィーネ…い、痛いよ…！、そんな強く抱き着かないでってば…
ヴィーネ,そ、それじゃあ…ガヴ…あのさ…あのね…！私と…ずっと一緒にいてくれる…？ぐす…ぐす…
ガヴ,え……あ、ああ！いるいる！けど、あれだ！あくまでそのずっ友的なあれで…ね！貞操がアレしない…友達として…一緒にって…ね！
ヴィーネ,………
ガヴ,ヴィーネ……？あれ…おーい
ヴィーネ,ううう…ん…
ガヴ,あ、起きた
ヴィーネ,あれ……ガヴ…ラフィエルも…どうしたのよ…私の家で…
ガヴ,ええと…その…具合はどう？
ヴィーネ,なんか…頭がぐらぐらするみたいだけど…え？なに…何かあったの？
ガヴ,ええっと…ヴィーネさん…お腹の赤ちゃんとかどうとかは…
ヴィーネ,……は？何の話？アンタ何言ってんのガヴリール？
ラフィエル,どうやら、もとに戻ってるみたいですね
ガヴ,あー、よかった…まじあせったわ…
ヴィーネ,え、何々、何よ、ホント何かあったの？
ラフィ,ヴィーネさんもひとまず無事みたいだし…私はもう帰りますけど
ガヴ,うん、私はもうすこしヴィーネを診てからいくよ
ヴィーネ,え？
ラフィ,そうですか…それじゃあわたしはこれで。なんだか、昔のガヴちゃんみたいに優しいですねえ…、いや、ヴィーネさんだからなのかなあ…
ガヴ,ええっと、この間、私が買ってきたうどん、まだあるの？よかったら作ってあげるけど
ヴィーネ,え……、何よガヴ…気持ち悪いわね…一体どういうカゼの吹き回しよ
ガヴ,いやあいいからいいから…ヴィーネさんは、そのまま寝ていてくださいよ…私が作りますから
ヴィーネ,いや、何よ…アンタもしかして、また何かしたんじゃないでしょうね…！
ガヴ,なんでそうなるんだよっ！……友達が具合悪い時くらい…私だって看病くらいするよ
ヴィーネ,………、友達……
ガヴ,えっ！なななに！？友達…、友達…だよねっ！私達！？
ヴィーネ,えっ、うん…そうね…いや…ガヴがわざわざそんなこと言うなんて…珍しいなって思っただけだけど…
ガヴ,え…そうかな…
ヴィーネ,そうよ、いつものやさぐれガヴさんらしくないわねえ…けど、ま、そう思ってくれて光栄ね…ふふ
ガヴ,な…なんだよ、それ…
ヴィーネ,まあ、いいわなんでも。それじゃあ、まあ友達のお言葉に甘えて、うどん、作ってもらおうかしらね
ガヴ,えー、やっぱ私がつくるのお…
ヴィーネ,あんたがいいだしたんでしょうがあ！ったく…ほんとギリギリ天使ねアンタ…
ガヴ,へいへい…しかたないなあ……
ヴィーネ,台所、よごさないでね
ガヴ,…ああもう、いちいちうるさいなあ…。………。ま、別にどーでもいーか。一件落着したし、よしとしますか…。ん…あれ…けど……、なにか忘れてるような……
サターニャ,きゅう…
…その翌日、自宅のびていたサターニャは、大家さん,第一発見者
