敢えてタイトルが3じゃないのは続編が増える度に数字が増えていく系SSタイトルは個人的にごちゃごちゃして見づらいなと思ったらからです。,＊めちゃくちゃ個人の意見です。
ガヴリール,ラフィに喜んで貰えるように私達でお笑いコンビを結成しましょうよ
サターニャ,だからそれは却下だって
ガヴリール,えー
サターニャ,なんで私がそんな馬鹿みたいな事をしないといけないのよ
ガヴリール,友とこの国の笑顔の為ですかね？
サターニャ,吐き気がするくらい優しい動機過ぎて胸焼けがするんですけど！！
ガヴリール,大丈夫ですか？
サターニャ,大丈夫じゃない。そして悪魔である、この私はそんな事の為には絶対に動かない
ガヴリール,ですか
サターニャ,そもそもアンタお笑いってどんな事をするのかわかっているの？
ガヴリール,ボケとツッコミですよね。それくらい私にもわかりますよ
サターニャ,じゃあ聞くけどアンタはそのボケとツッコミのどっちが出来るって言うのよ？
ガヴリール,うーん、どちらかと言えばツッコミですかね
サターニャ,アンタがツッコミ？天然ボケのアンタが？冗談はよしなさい。いいこと、ツッコミって言うのはね一見簡単そうに見えてもそれはもうとてつなく高度なテクニックが必要なのよ。それをアンタみたいな頭くるくるパーが出来る訳ないじゃない
ガヴリール,出来ますよ、私だってツッコミくらい
サターニャ,ふーん、ならやってみなさいよ
ガヴリール,わかりました。なんでやねん！。なんで世界は平和にならへんねーん
サターニャ,ツッコミの規模が世界レベル！？。そしてもはやそのツッコミはボケに等しい
ガヴリール,ふっふーん、どうですか？私にだってツッコミくらい出来るんですよお茶の子さいさいです
サターニャ,確かに出来たけどそのドヤ顔がムカつくから面白くはないわね
ガヴリール,そんなぁ。うーん、やっぱりサターニャさんは手厳しいですね。しかし、それでこそ私の相方です！。これからは足りないところをお互い補っていきましょう
サターニャ,誰が相方よ！自然な流れで人を勝手に相方にするな！
ガヴリール,むー、今日のサターニャさんはけちんぼです
サターニャ,誰がケチよ！誰だっていきなり芸人になろうなんて言われたら普通断るに決まってるでしょ。それにそもそも私は芸人になれるほど面白くない
ガヴリール,そんな事ありませんよ、サターニャさんはとてもおもしろい人です
サターニャ,はあー、なにを根拠にそんなこと……
ガヴリール,だって私いつもサターニャさんの顔を見るだけで笑けてきちゃいますよ？
サターニャ,面白い顔で悪かったわね！
ガヴリール,わわわ、そういう意味じゃなくてですね、えっと、サターニャさんごめんなさい
サターニャ,もういいわよ
ガヴリール,ごめんなさい
サターニャ,とにかくお笑いコンビを組みたいんだったら他を当たりなさい。ヴィネットやあんたの後輩天使だったらきっと二つ返事で引き受けてくれるはずよ。それじゃ
ガヴリール,あ、待って下さい。サターニャさん。うぅ、帰っちゃいました
遠くから見守るヴィーネ,あらら、流石に今回のガヴの要求は無理があったかしら。めずらしくサターニャに完全に断られたみたいだし。まぁ、でもガウとサターニャのお喋りはやっぱり……
クラスメイト一同,…………………和む
ガヴリール,でも私は諦めません、きっといつかサターニャさんと……
サターニャ,はーい。この前頼んだ全自動卵割り機がついに届いたようね。うん、休日の朝から調子が良いわ。今日は久しぶりにいい休日になりそう……
タプリス,うぇーん、胡桃沢先輩ぃ～
サターニャ,なんか泣いてる後輩天使が来た！？。とりあえず家に入れたけど……
タプリス,うぅ…ぐすん……
サターニャ,なんか扱いにくい。私が泣かせた訳じゃないのに謎の罪悪感に駆られるし。でもここは一応先輩の私からアクションを起こしていかないと永遠にこう着状態よね…。もういつまで泣いてんのよ、ほらささっと涙とか鼻水とかを拭きなさい
タプリス,…先輩…ありがとうございます……
サターニャ,それで？
タプリス,？
サターニャ,なんでアンタは泣きながら私の家に来たのよ？
タプリス,実は天真先輩とケンカをしてしまいました
サターニャ,アンタとガヴリールがケンカ、本当に？
タプリス,はい
サターニャ,どうしてそんな事になったのよ、気持ち悪いくらい仲良かったでしょアンタ達
タプリス,それは……。ふっふーん、天真先輩が下界に行っている間に私も天界でたくさん勉強や修行をしてたくましい天使になったんですよ
ガヴリール,さすがタプリスです。私がいない間も努力を惜しむ事なくがんばっていたんですね
タプリス,はいっ！
ガヴリール,えらいです、タプリス
タプリス,えへへ～、そんな事…あるかも知れませんね～
ガヴリール,ふふふ、やっぱりタプリスはかわいい後輩ですね
タプリス,む、そんな事はありませんよ。これからの私は天真先輩をお助けする事が出来る頼もしくてカッコいいタプリスなんです
ガヴリール,それでもタプリスは私の中ではかわいい後輩ですよ？
タプリス,違います、今の私は頼もしくてカッコいいタプリスなんです
ガヴリール,いえいえ、タプリスはかわいいですよ
タプリス,むむ、かわいくないですっ！
ガヴリール,かわいいです
タプリス,かわいくないですっ！
ガヴリール,うぬぬ……
タプリス,うぬぬ……。と言う経緯で天真先輩とケンカしてしまいました……
サターニャ,なにその胸焼けしそうなくらい甘ったるい痴話喧嘩は！？。一体どこのバカップルよ
タプリス,か、カップルだなんて…///先輩と私は女の子同士ですから……
サターニャ,そこで照れるな！！。で、なんで私の家に来たのよ？私以外にもヴィネットとかラフィエルみたいな相談に乗ってくれそうな先輩がいるでしょ
タプリス,胡桃沢先輩の家しか場所がわかりませんでした
サターニャ,なんとなくわかってはいたけど、実は第2第3候補で自分の所に来られたとわかると結構傷つくわね
タプリス,私も本当は悪魔の先輩に頼りたくはありませんでした
サターニャ,あんたガヴリールとは違う意味で素直よね、そういうの一周回って嫌いじゃないわ
タプリス,他に行くところもありませんでしたし、それに…。その…天真先輩との仲直りをお手伝いしてもらえたらなっと思って……
サターニャ,………………。はあ、ほんとアンタ達天使はいつも私の平穏な日常を盛大に邪魔してくれるわねー
タプリス,うぅ、すみません…
サターニャ,まあでも？今回だけは、今回だけは特別に私がアンタとガヴリールの仲を取り持ってあげてもいいわ
タプリス,ほんとですか？ありがとうございます
サターニャ,ただの気まぐれよ
タプリス,胡桃沢先輩…
サターニャ,ん？どうしたのよ
タプリス,あの…安心したらお腹が空いてしまって……
サターニャ,はあ、本当に手のかかる後輩ね
タプリス,えへへぇ
ガヴリール,うわーん、ヴィーネ。私は後輩のタプリスを悲しませてしまいました。最低です。私は天使失格です…
ヴィーネ,よーしよし、もう泣かなくてもいいのよガヴ。ガヴが天使失格な訳がないじゃない。ガヴが頑張っている所は私がいつもみているわ。今回の事だって、少し二人の間にすれ違いがあっただけで、話し合えばきっとまた仲直り出来るわ
ガヴリール,…そうですか？
ヴィーネ,そうよ、大丈夫ガヴなら絶対に出来るから。それに私もついてるから、ね？
ガヴリール,ヴィーネ……
ヴィーネ,ほら泣き止んだんだったら顔を拭いて、せっかくの可愛い顔が涙と鼻水でくしゃくしゃじゃない
ガヴリール,ありがとうございます。ヴィーネはやさしいですね
ヴィーネ,これくらい当たり前よ、だって私たち友達じゃない
ガヴリール,はい、ヴィーネは最高のお友達です
ヴィーネ,それじゃあもう千咲ちゃんとも仲直り出来そう？
ガヴリール,それはわかりませんが、タプリスがこんな私を許してくれるならまた仲良くなりたいです。だから私、タプリスに許してもらえるよう努力をしようと思います
ヴィーネ,ふふ、それでこそガヴよ。なら千咲ちゃんの所に行かなきゃね、準備はいい？
ガヴリール,はい！
サターニャ,昨日は色々と忙しくて全然休めなかったし、今日こそはゆっくり休日を満喫する。という訳で日曜日の朝からなんとゲームショップに来てみました。少し前にテキトーにポチって手に入れた最新ゲームハードも結局そんなに触らないまま放置してたから丁度いいわね。今日はなんかテキトーに面白そうなソフトを見繕ってこの休日を楽しむ事にするわ。うーん。それにしても多いわねー、ゲームってこんなに沢山出てるって初めて知った。あ、これ……。ゲルマニウムファンタジー6タイトルだけは知ってるわ。他にもSPECIALMARIKOBROKENロマンシング佐賀XⅣ十異世界海藻物語4ようこそ魔導村……。どうやらここはメジャーなタイトルのゲームが置いてある棚のようね。ふむ、ここから無難な物を手に取るのもいいけど、それじゃあつまらないわね。もっとマイナーでゲテモノっぽいものにこそ掘り出し物があるはず他の棚をみてみましょう。ここは……。TheWorldSwordArtOnlineBTOOOM！GREEDISLANDレジェンダリー・エイジ……。横文字ばっかでわかりづらいけど、恐らくここはクソゲー…それもワゴンセール一歩手前の棚とみたわ！。そもそもタイトルにセンスを感じないのよね、飾りっ気がないというか……もっとデビルとかサタニキアとか名前につければ面白そうなのに………。さすがにこの棚のゲームは嫌ね、もうちょっと丁度よく温そうなゲームを探しましょう。見つけた！。遂に見つかったわ、私に丁度良さそうなゲーム。早速これを買って家で遊びましょう。あー、すみませんって……アンタ！？。ガヴリール！！
ガヴリール,さ、サターニャさん！？
サターニャ,ふーん、まさかあの真面目なガヴリールがゲームなんてやるとは思いもしなかったわ
ガヴリール,うぅ、お恥ずかしい限りです……
サターニャ,別にゲームくらいやってもも恥ずかしいも何もないと思うわよ？。まあアンタがそんな事をしている様な素振りを今まで見せていなかっただけに少し驚いてはいるけど
ガヴリール,はい、その事なんですが……。みんなにはこの事を秘密にして貰えないでしょうか？
サターニャ,なんで？
ガヴリール,だって…実は私がゲーム好きだなんてみんなに知られたら心配をかけてしまうかも知れないじゃないですか
サターニャ,んー、確かにそうかも知れないけど
ガヴリール,それにそんな事を知られれば私に失望するかも知れません。ヴィーネやラフィは私の事を勤勉で真面目な天使だと思ってくれていますし。後輩のタプリスも私を尊敬してお手本にしていると言ってくれています。私はそんなみんなの信頼を裏切る事をしたくないんですよ。お願いします。サターニャさん
サターニャ,………………。わかったわ、別に元から言いふらそうとも思ってなかったし
ガヴリール,本当ですか、ありがとうございます
サターニャ,でもたかだかゲームをするくらいで信頼を裏切るだなんて大袈裟だと思うわよ？
ガヴリール,そんな事はありません
があ,下界でゲームという文化に触れてからというもの私はダメダメな天使になってしまったのです
ガヴリール,言うなればこれは堕天と言っても過言ではないのかも知れません
サターニャ,そんな事を自信満々に言われても……。で、例えばアンタのどこが堕天してるのよ？。側からみたらただのクソ真面目で面倒くさいいつものガヴリールのままなんだけど
ガヴリール,例えば……例えばですね。最近学校の宿題が終わった後の予習復習の時間をゲームに使ってしまう事が多くなってしまったり……。本当は夜の9時に寝ないといけない所を夜中の11時まで夜更かししてしまったり……。この様に昔の私が見る影もないほどにダメダメな天使になってしまいました
サターニャ,いや、その程度で堕天って小学生でもあるまいし。別にそれ位なら気にする事はないと思うわよガヴリール。私を含めて大抵の同世代は予習復習なんてやらないし次の日の朝まで夜更かしなんて当たり前なんだから
ガヴリール,えぇ！？そうなんですか！？
サターニャ,そうよ
ガヴリール,大変です。下界の人々のほとんどがそこまで堕天していたなんて……
サターニャ,まさかのそういう解釈になっちゃう系！？
ガヴリール,はっはーん、解りました、さてはサターニャさん私を慰める為に嘘を言いましたね。このやさしんぼさんめ
サターニャ,誰がやさしんぼよ！誰が。たかがガヴリール一人を慰める為にこの私が嘘なんて言う訳ないでしょ。他の奴らは知らないけど、私にかかればアンタをフォローするくらい事実を言うだけで十分なのよ！
ガヴリール,本当ですか？
サターニャ,本当よ、だからそこまでゲームをする事を悲観しなくていいと思わよ
ガヴリール,ふふ、ありがとうございます。サターニャさん
サターニャ,別にこれくらい大した事じゃないし
ガヴリール,やっぱりサターニャさんは優しいですね
サターニャ,そんな事ないわよ…
ガヴリール,そんな事ありますって。サターニャさんのお陰でまた自分に自信を持つ事が出来ました。まだみんなにこの秘密を打ち明ける勇気はありませんが……。それでも私頑張れそうな気がします！！。サターニャさん、おはようございます
サターニャ,……え、これはなに？新手の嫌がらせ？
ガヴリール,壁ドンと言うものです。なんでも下界の女子の間で流行っている行為だと聞いたので
サターニャ,ふーん
ガヴリール,どうでしたか？ドキドキしましたか？
サターニャ,はぁ？ドキドキ？
ガヴリール,はい、なんでも壁ドンをされた女の子はキュンっとしてドキドキするとか……。なのでサターニャさんも今の壁ドンで私にドキドキしたのではないかと
サターニャ,そんなのする訳ないでしょ
ガヴリール,そ、そんな！！。な、なぜですか？どうしてですか？
サターニャ,そんな事、私に聞かれても……。まあでも、その壁ドン？って言うのがどういうものか良くはわからないけど。多分、アンタの壁ドン間違ってるわよ？
ガヴリール,そうなんですか！？サターニャさんはなにを根拠にそんな事を…
サターニャ,だってあんた、壁ドンの時あからさまに足りない身長をカバーする為にずっと背伸びして足元ぷるぷるしてたし
ガヴリール,ぎく
サターニャ,他にも肝心の壁をドンするのもそれこそ手の長さが足りないせいで、ほぼ抱き合ってる位に身体が密着してたわよ？。正直どっかの国の熱烈過ぎる挨拶かなにかかと思ったし
ガヴリール,うぅ、まさか私の壁ドンが失敗していただなんて……
サターニャ,残念ね、恐らく壁ドンは身長が高い奴がする、もしくは同じ位の身長同士でしないと成立しないのよ
ガヴリール,そんなぁ…
サターニャ,それにそもそも壁ドンが成立した所で壁ドンのどこにドキドキするって言うのよ。まったく意味が解らないわね
ガヴリール,えー、きっとドキドキするんですよ、壁ドンは。偶然私が失敗しただけで
サターニャ,どうだか
ガヴリール,むー。サターニャさん
サターニャ,なによ？
ガヴリール,あそこにラフィがいますよね？
サターニャ,確かに、こっちに来ているわね
ガヴリール,サターニャさん、一回ラフィに壁ドンをしてみて下さいよ
サターニャ,はあ？なんで私が
ガヴリール,最初は壁ドンが本当にドキドキするのかどうかを検証する為に私に壁ドンをして貰おうと思いましたが。それだと反対派のサターニャさんに対する公平性を保つ事ができないので。第三者のラフィに反対派のサターニャさんが壁ドンをすれば完璧な実験が出来るはずなんじゃないかと
サターニャ,確かに
ガヴリール,これで勝負しましょう、サターニャさん。果たして壁ドンはドキドキするのかしないのかを
サターニャ,いいわ、その勝負乗ってあげる。私がラフィエルに壁ドンすればいいのね？
ガヴリール,はい
サターニャ,それじゃあ行ってくるわね
ガヴリール,頑張って下さい
