生っすかのコーナーで漫才,罰ゲーム
美希,はいなの
伊織,がらがらがら
美希,いらっしゃいませ！
伊織,へぇ。こんな所にオニギリ屋さんがオープンしたのねー
美希,本日オープンしたばかりなの！こちらのカウンター席へどうぞ
伊織,ありがとう。それじゃせっかくだから今すぐ何か握ってもらおうかしら
美希,合点承知！
伊織,違う違う
美希,えっ
伊織,誰も私の腕を握れなんて言ってないから
美希,でも、今すぐ何か握れって言ったから…
伊織,いや話の設定で何を握るかくらいわかるでしょ？
美希,あ、そっか！もしかしてこっち首
伊織,ぐえっ！？。殺す気か！！
美希,そんな！大切なお客様を生かす気なんてこれっぽちもないよ！
伊織,殺す気満々じゃないの！！
美希,あいたっ
伊織,私はオニギリを握れって言ってんの！ここはオニギリ屋なんでしょ！？
美希,えっ。もしかしてミキにオニギリを握ってもらいたいの？
伊織,そうね！できればそうしてもらえると助かるんだけど！
美希,はぁ…もーワガママなお客様なの。今回だけだからね
伊織,いや毎回作りなさいよ。なにその顔
美希,へいお待ち！
伊織,やっとオニギリが食べられるわ…
美希,新鮮な食材を使ったミキオリジナル特製オニギリなの！
伊織,へぇ美味しそう。それじゃいただきまーす。あーん
美希,どう？おいしい？
伊織,うーん。なんか変わった味がするオニギリね…
美希,あっ！！ごごごごめんなさいお客様！！
伊織,うっさいわね。今度はなによ？
美希,えっと…！。あれ？なんだっけ
伊織,へっ？。……
美希,……
伊織,……な、なんで握った本人が知らないのよ
美希,たしかに
伊織,いや確かにじゃなくて…
美希,……
伊織,えっ。ちょっと待って美希。アンタもしかして…
美希,どどどどうしようデコちゃん…！。セリフが全部とんじゃったの！
伊織,このおバカァァァァァ！！。まだ尺が残っているのにどーするつもりよ！
美希,全然わかんないよぉ！どーしようデコちゃん！
伊織,デコちゃんいうな！漫才中はおデコちゃんって呼ぶ設定でしょ！
美希,そそそそうだったの！ごめんおデブちゃん！
伊織,誰がおデブちゃんだゴラァ！
美希,えっあれ！？なんて呼べばいいんだっけ！？
伊織,おデコちゃん！
美希,おデコちゃん！
伊織,そう、おデコちゃん！
美希,えっと！そ、それじゃ今からおデコちゃんが面白いショートコントやります！
伊織,ちょ！？
美希,ショートコント。ミミズ
伊織,お願いだからそういう無茶ぶりするのやめてぇぇぇぇ！！。もういいからとりあえず無理やりにでも本筋に戻すわよ！！
美希,ふぇ！？ちょ、ちょっと待ってほｓ
伊織,うーん。なんか変わった味がするオニギリね！
美希,ごごご、ご、ごごごごめ、ごごごめんなさ
伊織,ごごごごごごウルサイ！！
美希,えっと！あの！そ、それは！
伊織,それは！？
美希,待ってデコちゃん！ミキほんと無理なの！なんにも思い出せないんだってばぁ！
伊織,この際なんでもいいから適当に面白いこと言いなさいよ！。ほら！このオニギリは何が入っていたの！？
美希,えっと！こ、このオニギリの中身は新鮮な…
伊織,新鮮な！？
美希,生ゴミなの！
伊織,きったなっ！。よりによってなんで生ゴミ！？バカじゃないの！？
美希,だってそれしか思い浮かばなかったんだもん！
伊織,あーもう！生ゴミでいいから次行くわよ！。げほっ！げほっげほっ！
美希,風邪引いたの？
伊織,むせてる芝居をしてるんでしょうが！！
美希,ちょっとなに言ってるかわからないの
伊織,なんでわからないのよぉ！！どうにかして漫才を続けようとしｔ
美希,あふぅ…
伊織,諦めるなぁぁぁ！！。あーもうやってられない！
美希,はっ！
伊織,こんなオニギリ屋、二度と来ないから！
美希,この流れは間違いなくオチに持っていく流れなの！
伊織,相方のフォローを自ら壊していくスタイルやめて！///
美希,あれ違った？だったらミキもうお手上げなの。諦めよ？デコちゃん
伊織,合ってるわよ！！だから早く次のセリフを言って！！お願いっ！！
美希,待ってよお客様！
伊織,なによ！？
美希,他にも美味しいオニギリがたくさんあるから食べていってほしいの！
伊織,誰がこれ以上アンタの握るオニギリなんて食べるもんですか！
美希,いやいや。握るのはお客様自身なの。なんでミキが握らなきゃなｒ
伊織,帰る
美希,待って待って帰らないでお願い待って
伊織,ちょ！？生ゴミ握った手で触らないでよ！
美希,たぶんお客様はずっと勘違いしてるの！
伊織,はぁ！？この私がいったい何を勘違いしてるって言うの！！言ってみなさいよ！！
美希,ミキのお店、オニギリを握るのはセルフサービスだよ？
伊織,いや初めにそれを言いなさいよ。いい加減にして
美希・伊織,どうもありがとうございましたなの～
いやだから人の話を最後まで聞きなさいよぉぉぉ！！,泣
春香,舞台裏で揉めてないで早くこっちに戻ってきて二人とも！生放送だよ！？
千早,まだ漫才が続いているのかしら？ふふっ
