こちら、アイドルマスターシンデレラガールズの二次創作SS,台本形式
菜帆,ちょっと欲張りすぎちゃいましたかね～
P,あーいやなんつーか……その、ごめんな、ヘタレで
菜帆,いいんですよ～、そういうところもPさんの良いところの一つですから～
P,そ、そう……なんか恥ずかしいな
菜帆,うふふ～♪
P,ごほん！さて、気を取り直して屋台を巡っていきますか
菜帆,はい～♪わあ、とってもいい匂いですね～！
P,この独特の匂い、お祭りって感じがしていいよね
菜帆,私も大好きです～。まずはそこのチョコバナナにしましょう～
P,いいねえ、俺も一本買おうかな
菜帆,あっ、こっちには焼きそばもありますよ～。Pさんも食べますか？
P,んー、もらおうかな(二人で一つを分けるくらいがちょうどいいだろう)
菜帆,すみませ～ん、これ二つください
P,あっ一人で一個食べるのね
菜帆,たい焼きも美味しそうですね～
P,さっきから目に止まったものを迷わず買ってるね……
菜帆,Pさんはどうします～？
P,俺はいいかな……そんな一度に食べらんない
菜帆,あっりんご飴～
P,よしわかった、それでいったん買うのやめようか
菜帆,え～、食べすぎですか～？
P,というより、それ以上持てないでしょ？食べる間もなく次々買ってるから……
菜帆,あ、あら～？
P,どっかに腰落ち着けられるとこないか探そう
菜帆,そうしましょうか～
P,近くに休憩所があって助かったな
菜帆,そうですね〜、食べ物も美味しいです〜
P,こういう屋台の食べ物ってかなり久しぶりに食べた気がするけど、うん、美味しいね
菜帆,はい〜♪
P,しかし、君は本当に美味しそうに食べるねえ
菜帆,そうですか〜？
P,うん。美味しいものが食べられて幸せです、って顔に書いてあるみたい
菜帆,う～ん、でも実際に美味しくて幸せなので、しょうがないですね～
P,しょうがないねえ
菜帆,食べ物も美味しいですけど、桜も綺麗ですね～
P,ほんとにね。気温もちょうどいい暖かさだし……落ち着く
菜帆,それに～……
P,それに？
菜帆,隣にPさんがいてくれますから～
P,お、おう
菜帆,Pさんはどうですか～？
P,え？いや、どうって言われても……
菜帆,じ～っ
P,あー……うん、俺も菜帆が隣にいてくれて、その、嬉しいです、はい
菜帆,そうですか～！
P,ああもう恥ずかしい……
菜帆,うふふ、ご馳走様でした～♪
P,はいはい、お粗末様でした。さて、そろそろ行こうか
菜帆,はい～。と言っても、この先はあんまり屋台がなさそうですね～
P,その先にあるのは……ステージ？
菜帆,誰か踊ってるみたいですね～、行きましょう？
P,ん、ああ……見ていくか、折角だし
菜帆,はい～。あ、あそこの席が空いてますよ～。さっきの人たち、ダンスすごかったですね～
P,……
菜帆,アイドルの振付とは全然違いましたけど、こういったダンスもあるんですね～
P,…………
菜帆,伊吹さんとか聖來さんなら、あんなこともできたりするんでしょうか～
P,………………
菜帆,Pさ～ん？
P,！ああごめん、何？
菜帆,もう、眉間にしわが寄ってますよ～？どうしたんですか？
P,まあ、ちょっと考え事を……
菜帆,お仕事のことですか～？
P,さっきのステージから何かヒントをもらえないかと思ってね……。総選挙も近いし、少しでも菜帆の仕事に繋がれば、
菜帆,Pさん？
P,うおっ、な、何？
菜帆,私のことを考えてくれるのは嬉しいです。けど、今日はせっかくのお休みなんですから～。しかめっ面はなしにしましょう～？
P,うん……そうだね、悪かったよ
菜帆,それと。私なら大丈夫ですよ～
P,？
菜帆,ありのままの私で大丈夫、ってPさんが最初に言ってくれましたから～。Pさんと私、二人のペースでアイドルとしてやっていくのが私は気に入ってるんです～
P,菜帆……
菜帆,確かに、周りと比べたらのんびりかもしれませんけど～。でも、着実に歩みは進んでいっていますから～。ですよね、Pさん？
P,……ああ。菜帆はちゃんと輝いてる。アイドルとして、ファンを虜にできているよ
菜帆,はい～。ですから、二人で頑張りましょう～？
P,そうだね、ありがとう、菜帆
菜帆,いえいえ、どういたしまして～
P,もう夕方になっちゃったか
菜帆,お祭り、満喫しました～
P,俺も楽しかったよ。さて、ちょっと途中までは歩いて帰ろうか
菜帆,いいですけど、なんででしょう～？私、食べすぎましたか～？
P,いやまあ確かにちょっと食べすぎてた気もするけど、そうではなくて。ほら
菜帆,？
P,その、ここならそんなに人通りもないから……。手、繋いで歩こう
菜帆,そういうことでしたら、喜んで～♪。手、あったかいですね～
P,そうだねえ
菜帆,うふふ、Pさんから誘ってもらえるなんて～
P,まあなんだその、たまには、ね？
菜帆,もっと頻繁にでもいいんですよ～？
P,それはまあ、そのうちに
菜帆,期待して待ってますね～。改めてPさん、これからもよろしくお願いします～。
P,こちらこそ！まずは目の前の総選挙、いつも通りに頑張っていこうね
菜帆,はい～♪
