乙倉悠貴,～♪
P,千夏はかわいいというより、色っぽいな
千夏,ふふ……ありがとう
P,……ところで、乃々。お前は智絵里たちと仕事のはずだが
乃々,う……
P,行くぞ
乃々,うぅ……むーりぃ……
悠貴,着替えてきましたっ！
泰葉,かわいいですよ、悠貴さん
悠貴,えへへっ、ありがとうございますっ！……あれっ、乃々さんは？
P,今日、乃々は智絵里たちと仕事なんだ
悠貴,ああっ、それで……ところでこの衣装、なんの動物さんですかっ？シカさん？キツネさん？
P,シカだな。バンビをモチーフにしたらしい
悠貴,シカさんですかっ。かわいい衣装で嬉しいですっ！
P,なかなか似合ってるぞ？
悠貴,ありがとうございますっ！私、バンビになりきっちゃいますよっ
真尋,ふっふっふー、そんなバンビな悠貴ちゃんにはこれだよっ。バン！野菜スティック～っ！
悠貴,えっ！？
泰葉,せっかくバンビになりきってるんですから、思いきって食べちゃいましょう！
千夏,好き嫌いしてはいい女になれないわよ？
悠貴,うっ……はい
芳乃,なにを恐れることがあるのですー。そなたはもう、食することができるではありませんかー
悠貴,そういえばっ……でも、本当に大丈夫なんでしょうかっ？
芳乃,わたくしを信じなされー
悠貴,よ、よーしっ……私、食べますっ！
真尋,おおっ！
P,大丈夫か？無理はしなくていいぞ
悠貴,大丈夫ですっ。うう……
泰葉,大丈夫ですって！思ってるより野菜っておいしいですから！
千夏,バンビになりきってバンビの気持ちでね
真尋,そーれっゆーうーきっ！ゆーうーきっ！
悠貴,ゆ、勇気を出して……
真尋,GOGOゆうき！バンビならイケる！
泰葉・千夏,バンビの気持ちバンビの気持ち！
悠貴,うう～っ……えいっ！ん～、んん～っ
芳乃,でしょうー？
悠貴,はいっ！おいしいですっ
真尋,あれっ？悠貴ちゃん、生野菜嫌いじゃなかったっけ？
悠貴,私、生野菜食べられるようになりましたっ！
泰葉,食べるまえとは、全然違いますね……
千夏,よかったわね、悠貴ちゃん
悠貴,はいっ！
P,まあ、好き嫌いがなくなったのはいいことだ。偉いぞ悠貴
悠貴,えへへっ……ありがとうございますっ！
芳乃,よかったですねー
悠貴,あ……芳乃さん、ありがとうございますっ
芳乃,いえいえー。まだ、願いは叶えられるのでしてー
悠貴,そうなんですかっ……えっと、じゃあ、プロデューサーさん、ちょっとトイレ行ってきますねっ
P,……さっきも行ってたよな？
泰葉,行ってましたね
芳乃,して、今度は何を願うのでしてー？。もう決まりましてー？
悠貴,……すみませんっ、芳乃さん
芳乃,ほ？
悠貴,私、お願いは自分で叶えたいと思うんですっ！
芳乃,……なぜでしてー？
悠貴,うまく言えないですけどっ、夢やお願いって、人に頼るだけじゃダメで……自分の力で叶えるものだと思うんですっ。さっき生野菜は食べられるようになりましたけど、私はなにもしてなくて……みんなを騙してるみたいでイヤだなって
芳乃,しかし、そなたが到底なし得ないことも、なんでも叶えられるのですよー？
悠貴,……確かに、どんなに頑張ってもできないことはあると思いますっ。でも、私は……私は、嘘をついてまで楽したくないなって思ったんですっ
芳乃,……
悠貴,本当にすみませんっ、芳乃さん。せっかくのご好意を……
芳乃,……やはり、わたくしの目に狂いはなかったのでしてー
悠貴,？
芳乃,そなたの気持ちはしかと伝わりましたー。しかし、力を解放しないわけには参りませんー。そこで、そなたの力をすべて解放し、そなたの心からの願いを叶えることにいたしますー
悠貴,いや、でもっ……えっ？
芳乃,ではー……ぶおおーぶおおー。……ぶおおーぶおおー。……ぶおおーぶおおー……ぶおおーぶおおー……
悠貴,――――はっ！？。ゆ、夢……。おはようございますっ！
P,おはよう、悠貴
芳乃,おはようございますー
悠貴,……えっ？芳乃さん……？
芳乃,はいー
P,ん？知り合いなのか？
悠貴,知り合いというか……えっとっ……。……あ、あのっ。どうして芳乃さんがここにいるんですかっ？
P,なんだ、やっぱり知ってるじゃないか。さっきフラッと事務所にやって来てな。話してみたら、なんとアイドルを目指してみたいって言うから……
芳乃,アイドルというのはつまりーみなから崇拝される神様のようなものでしてー……つまりわたくしの天職なのですー
P,……ちょっと変わった子だけど、アイドルやりたいっていうなら大歓迎だよ。悠貴も、よろしく頼むな？
悠貴,は、はいっ……
芳乃,よろしくお願いいたしますー
悠貴,あ、はいっ、よろしくお願いしますっ
P,これからよろしくな。……て言ってて悪いんだけど、これからすぐに仕事があるんだ。手続きとかはそのあとになってしまうが、それでもいいか？
芳乃,ならばー、わたくしは一旦帰ってまた明日来るのでしてー
P,せっかく来てくれたのに、すまないな
芳乃,いえいえー。……ではー
悠貴,よ、芳乃さんっ！
芳乃,はいー？
悠貴,あのっ……その、えっと……
芳乃,……。……天は、自ら助くるものを助くのでしてー
悠貴,えっ？
芳乃,努力を怠らず、そなた自身を信ずれば、自ずと願いは叶うのですー。……あの時の問いにお答えしましょうー。わたくしは、そなたのその正直で、純真な心に惹かれたのですよー
悠貴,……
芳乃,では、わたくしはこれで失礼するのでしてー
P,悠貴、いいのか？なにか言いたいことがあったんじゃ……
悠貴,……いいんですっ。プロデューサーさん、お仕事行きましょうっ！
P,え？あ、ああそうだな。行こうか
芳乃,……そなたの願いが叶うことは、わたくしが保証するのでしてー
P,おう、みんなおはよう
悠貴,おはようございますっ
千夏,おはよう
真尋,おはよーっ！
泰葉,おはようございます。……悠貴さん、なんだか嬉しそうですねっ
悠貴,ふふっ、そうですかっ？
真尋,あ～っ、なにかあったね？ねえねえっ、教えてよ！
悠貴,実はですねっ、今日……
