双葉杏,ねぇプロデューサー、帰っていい？
Ｐ,そうするか。ポチっとな。
音葉,お邪魔します。
美由紀,最後の人ー、ちゃんと錠かってね。
千秋,大丈夫よ、ちゃんとかったわ。
Ｐ,かる？
千夏,鍵はかるものでしょう。
千秋,ね？
杏,うむ。
Ｐ,移動中からカルチャーショックがひどい。
千秋,私達からしたら内地が色々とすごいです。
美由紀,シャケじゃなくてアジが出てきます……
千夏,回転寿司のクオリティがひどかったわ。
杏,でもどの家にもクーラーが基本装備なのは評価するね。
音葉,２重窓じゃないのとフードが無いのは驚きました。
Ｐ,フードって何だ？
千秋,玄関フードですよ。防寒と積雪対策です。
千夏,でも私みたいに積雪少ない地域だとつけている家は少ないわね。
音葉,そうですね……私が住んでいた所は豪雪地帯なので雪はねが大変でした。
Ｐ,雪を……なんだって？
美由紀,雪はねだよ。ママさんダンプでガーっと。
千秋,夜中の除雪車はうるさいわね。
Ｐ,雪は掻くものだろう？
杏,掻くなんてレベルで済めばね。言っておくけど東京人雪道歩くの下手すぎよ。
千夏,冬靴が無いのにはびっくりしたわ。
美由紀,タイヤが一種類しかありません。チェーンって何ですか？
音葉,ちょっとペンを貸してください。……書かさらない……
Ｐ,ん？何だって？
音葉,このボールペン書かさらないですよ。書かさるのありますか？
Ｐ,なんだその三猿にいそうな言い方は。
千夏,え？書かさるは書かさるでしょ？他の言い方が分からないわ。
美由紀,ですよねぇ。
音葉,……このペンはノックが押ささりません……
千秋,ポンコツばかりね。
Ｐ,おかしいなぁ……あ、これなら平気だわ。
音葉,ありがとうございます。
千夏,で、何を書いているの？
音葉,今度の合唱のパート分けなどを、低音と高音でわかれますから。
千夏,申し訳ないけど高音は苦手だわ……
杏,杏はどっちでもいいよ。
美由紀,低い声は出ませんです。
千秋,私もどっちでも。
音葉,では私の直感で。高音を美由紀と杏で、低音を千秋さんと千夏さんです。
Ｐ,大人と子供に別れたな。
杏,地味に異議あり。
音葉,はい、杏。
杏,やっぱり低音やる、そのほうが各家で練習しやすいだろうし。
千夏,考えてるわねー、さすがリーダー。
杏,やめてこしょばゆい。
美由紀,じゃあ杏さんと千秋さんをバクりっこですか？
音葉,そうなるね。千秋さん、異論は？
千秋,無いわ。
音葉,それではこのように。
Ｐ,なぁ美由紀、バクる
美由紀,交換するってことだよ？
Ｐ,なるほど……北海道弁は難しいな。
音葉,私達は標準語のつもりでしたが……
杏,言葉って難しい。
千秋,皆さん今日はありがとうございます！
美由紀,みゆきたちも楽しかったよー！
千夏,また、今度のライブで会いましょう！
音葉,それではまた、次の機会に。
杏,したっけねー！！
Ｐ,お疲れさま！……と言いたいがアンコールが残ってる。
音葉,ではピアノの準備をしてきます。
Ｐ,おう、行ってらっしゃい。
美由紀,ダンスやアッパーな曲オンリーで攻めてきたから落差に驚くかな？
千秋,のどの調子を再度整えておきましょう。
千夏,音葉ちゃん大丈夫かしら？
杏,大丈夫だと思うけど？だからスピーチだって任せたし。
Ｐ,流石リーダーだな、お前みたいなのが従妹で嬉しいよ、うん。
杏,よせやい照れる。
Ｐ,よし、準備も整ったようだな。さて、お前らの新しいカタチを見せて来い！
千夏,了解。感動の渦に落としちゃいましょう。
千秋,新しい試みだからこそ、楽しまなきゃね。
杏,んじゃ行ってくるぜ兄貴ー。
Ｐ,兄貴言うな。ん？美由紀？
美由紀,えぅ……い、行ってきます！お兄ちゃん！
Ｐ,……！？おう！行ってこい！
美由紀,えへへ……
千夏,アンコールありがとう！
杏,ここで、音葉からお話があります。
音葉,では……んん、私達５人は奇しくも全員が北海道出身であるということはご存知だと思います。
杏・千夏,虹の地平をあゆみ出て
千秋・美由紀,町ができる美しい町がが
Ｐ,出身地が同じだとこういう試みも出来るんだな。いい勉強になった。さて、俺も練習するか。
千秋,今日も今日とて、
音葉,お疲れさま。
千夏,でした。
千秋,んー、たまにはお酒もいいかもしれませんね。
千夏,でしょう？
千秋,でもたまには、ですよ。
音葉,そうですそうです。
千夏,まぁ今日は打ち上げなんだし、気にしない気にしない。
音葉,今日はＰさん宅でも打ち上げやってるんですよね？
千秋,そうみたいね……乗り込んじゃいましょうか？
千夏,お、流石正妻。強気だね？
千秋,違いますよ……
音葉,そうですよ、正妻なんているんですか？
千秋,いるのかしら……
千夏,じゃあ乗り込んで確かめちゃいましょう。
音葉,はい…♪
杏,兄貴、話がある。
Ｐ,なんだ改まって。
杏,最近歌の練習してるらしいじゃない。
Ｐ,まぁな。
杏,どうしてさ？
Ｐ,ライブのお前達見てて一緒に歌いたくなったんだよ。
杏,そういうことか。
Ｐ,そういうことだ。
杏,じゃあ、今から歌っちゃいますか。
Ｐ,ええ！？もう夜だぞ！
杏,キーボードの音量最小にして軽く歌えばいいでしょ？
Ｐ,誰がピアノ弾くんだ。
杏,杏が。
Ｐ,お前が？弾けるのか。
杏,多分ねー、一度見たら大体は覚えるし。
Ｐ,なんて奴だ……
杏,みゆきちー！みゆきちー！
美由紀,なぁに？杏さん。
杏,喜べ、兄貴とみゆきちのデュエットだ。
美由紀,ええ！お兄ちゃんと！
Ｐ,まだ呼ばれるとくすぐったいな……
杏,伴奏は杏がするから心配するでない。
みゆき,杏さんピアノ弾けるんだ？すごい……
Ｐ,このやる気を別のところに出して欲しい。
杏,善処してやんよ。
千夏,こんばんわー、あら？
音葉,お邪魔します……キーボード？
Ｐ,おお、いらっしゃい。
杏,おー、今から兄貴とみゆきちのデュエットだ。
千秋,何ですって……
美由紀,お兄ちゃんと歌うのは照れるかも。
音葉,美由紀ちゃんかわいい……
千夏,それで、何を歌うの？
Ｐ,そりゃもちろん
美由紀,あの曲だよ！
千秋,いいなぁ……
千夏,………ふーん？
千秋,あ、いえ何でもないです。
千夏,なんでもないの？
千秋,なんでもないんですっ！
音葉,杏はピアノ弾けるの？
杏,多分大丈夫、運指とリズム覚えたから。
音葉,いつの間に……
Ｐ,俺はプロの前で歌を歌わんといけんのか？
美由紀,お兄ちゃんなら大丈夫だよ、たまにお風呂から聞こえてきた歌声綺麗だったもん。
杏,今更逃げられないぞ兄貴。
千秋,私らとやっていくんだから、歌くらい上手じゃないとね。
千夏,同意見。
音葉,楽しみです……
Ｐ,仕方ない、では聞いてください。
Ｐ・美由紀・杏,虹と雪のバラード
