沙織,カモさんチーム応答してくださーい。おかしいなぁ？
ナカジマ,うわぁ！火ィ吹いた！ストップストップ！
ペコ,ポルシェティーガーは大変みたいですね
ダージリン,そうね…。そうね…。ﾝﾌﾌﾌ
ペコ,…ダージリン様？
ダージリン,な、なんでもないわ
紗希,……。……。……。……。……。……
ボコ,今日のオイラは一味ちがうぜ！。どんな相手もボコボコにしてやるぞー！。誰でもいい！オイラにかかってきやがれー！！
絹代,居たぞ！目標発見！
玉田,発見！
福田,発見であります！
ボコ,！？
細見,隊長指示を！
寺本,突撃の指示を！
絹代,いよぉーし、全員吶喊！！
玉田,吶喊！
福田,突撃であります！
細見,吶喊！！
寺本,とっかぁぁん！！
ボコ,く、くるならきやがれ！。うぎゃあああ！！
愛里寿,今日のボコ凄い！
みほ,いつもより、輝いてるね！
カルパッチョ,ドゥーチェ、もうおしまいなのでオチをつけて下さい
アンチョビ,え゛ぇ゛！？オチなんて急に言われても
ペパロニ,ドゥーチェ！ドゥーチェ！
アンチョビ,ちょっ！？ペパロニ！
カルパッチョ,ドゥーチェ！ドゥーチェ！
アンチョビ,カルパッチョまで…。うぅ…。お、オチまい…
ペパロニ,かわいい
カルパッチョ,かわいい
