本田未央,おっはよー！あ、ふみふみおはよー！
未央,たくみん頑張れー！！
文香Ｐ,がんばえー！！
愛梨,それじゃあ位置について…。よーい……ドンッ！
拓海,うおらあぁぁっ！！！
かな子,ラーイザップ！！ラーイザップ！！
拓海,らああああぁぁっ！！！
かな子,あぁっ！
藍子,やった、勝ったよ！
拓海,さぁ、教えてもらうぜ！文香はどこだ！
かな子,ふ、文香さんの居場所は私にも分からないの……！
拓海,藤堂竜白かよてめーは！！
未央,一体何を聞けというのか！
かな子,ご、ごめんなさい！思わせぶりな事を言っとけば付き合ってくれると思って…！
藍子,……あれ？
杏,あ、それ杏の舐めかけだよ
杏Ｐ,おっマジか
藍子,……ペロッ
拓海,おいなんで舐めた
未央,いや、飴を舐めるのはおかしくないよたくみん
拓海,そうじゃなくて、何ていうか舐め方がエロい
藍子,こ、これはっ！文香さんの唾液っ！？
文香Ｐ,！！
藍子,そして、この痕跡が……行こうっ！
比奈,おおぉぉ、ちょっとモンハンっぽくなってきたっスね！
未央,あーちゃん……こ、ここ？
藍子,う、うん……ここで痕跡は途絶えてるよ
比奈,あれ、そういや文香Ｐはどこ行ったっスか？
文香Ｐ,すまない、杏Ｐから飴玉をもらってた
拓海,暢気なヤツだぜ。ここに文香がいるらしいから、お前がナシ付けてこいよ
文香Ｐ,今日の仕事は片付いたから、ぶっちゃけ俺はもうどうでも良いんだけどね
比奈,この中で文香ちゃんが大変な事になってたらどうすんスか
文香Ｐ,た、大変だぁ、助けに行かなくちゃっ！
拓海,殴るぞお前
美城常務,？どうぞ
文香Ｐ,失礼致します
常務,キミか。呼んだ覚えは無いはずだが？
文香Ｐ,いえ、すぐ終わります。ペロッ
常務,！？
文香Ｐ,ふむ、なるほど……失礼致しました
常務,？……！？！？
拓海,いや、だからなんで舐めんだよ！聞けよ常務に！
比奈,文香ちゃんはLiPPSの事務室にいるかもってコトっスね
未央,よし、じゃあさっそく行ってみよう！
文香Ｐ,俺ちょっと嫌だなぁ。あの人達怖いんだもん、なんか
藍子,文香さんが、LiPPSの人達に怖い目に遭わされてたらどうしますか？
文香Ｐ,とりあえず部屋に電話してみるね
拓海,本当に行きたくねぇんだなコレ
文香Ｐ,……出るなよー、出なきゃ意味ないけど出るなよー。あ、どうもお世話になっております～私、鷺沢文香のプロデューサーの。ぐっほ！！？
未央,えっ何！？どうしたの文香Ｐ、ブッフォン！？
文香Ｐ,み、耳がー！！耳がぁー！！。耳が幸せ☆
拓海,……もしもし。おぉフレデリカか、そっち文香いるか？……。お、そうか、今からそっち行くぜ……あぁ、じゃあな
比奈,どうやらゴールが見えてきたカンジっスかね
拓海,回り道ばっかした気がすっけどな
文香Ｐ,フレちゃんはすごく好きなんだけど、特にＰが怖ぇんだよなー嫌だなー
未央,えっ、そう？美嘉ねぇは優しいし、しゅーこはんもしきにゃんも楽しいじゃん
藍子,奏さんもスタイル良くて綺麗だよねー
拓海,アタシは正直、フレデリカも苦手なんだけどな。里奈と組まれたら手に負えねぇ
比奈,おっ、着いたっスよ
文香Ｐ,あぁぁ比奈ちゃん、一応先輩の部屋だからもっと丁寧かつ慎重に…！
塩見周子,お、来た来た。文香ちゃーん来たよー
未央,しゅーこはん、おいっすー！ってあれ、ふみふみいるの？
宮本フレデリカ,鷺沢文香ですっ☆
一ノ瀬志希,鷺沢文香ですっ♪
城ヶ崎美嘉,さ、鷺沢文香ですっ★
速水奏,速水奏よ
周子,やらんのかーい
比奈,ていうか全体的に似せる気無いっスよね
拓海,おい、フレデリカ、文香いるんだろ？どこだよ
フレ,タクミちゃんが落としたのは、金のフミカちゃん？それともフレちゃんですか？
拓海,何でもいいからさっさと出せや
美嘉,ごめん拓海さん！悪気は無いと思うからどうか穏便にっ！
奏,でも、文香ならすぐそこにいるわよ
一同,えっ？
藍子,……どこに？
文香Ｐ,怖い話？
周子,あーじゃあこっから先はウチのギフテッドが説明するわ
志希,説明ってほどのコトでもないけどねー。まず定義づけしよっか。文香ちゃんとは何ぞやってのをさ
拓海,はぁ？文香は文香だろ
志希,あたしが言ってるのは、文香ちゃんを文香ちゃんたらしめるもの。つまり
LiPPSＰ,ンマッ！アンタ達もうすぐレッスンなのにこんなトコで油売って！
文香Ｐ,げっ、LiPPSＰだ！
LiPPSＰ,！アラァ～、文香Ｐチャン良く来たワネェ～、一緒にお茶しましょお茶っ
文香Ｐ,お茶するオノマトペじゃないよそれ怖い怖い、こっち来んな！！
志希,……というワケ。どう、分かった？
藍子,つまり、文香ちゃんは概念であり、誰でも文香ちゃんになれる
比奈,誰しもの心の中に文香ちゃんはいる、みたいなコトっスか？
志希,せーかい♪
未央,あーなるほどね。って違うでしょ！
美嘉,ヤバイ、拓海さんが放送できない顔になってる……！。あ、アタシが説明するねっ！？えぇと文香さんは…
文香Ｐ,美嘉さぁん！！助けてくれ、あの人に襲われるっ！
美嘉,え、うえぇぇぇっ！？ちょ、うわわ…！
LiPPSＰ,良いオンナに囲まれてると良いオトコに飢えちゃうのヨォ、美嘉チャンそこをお退きヨ
美嘉,ご、ごゆっくり！
文香Ｐ,おうふっ
LiPPSＰ,捕まえたはぁと
奏,……という訳なのよ
拓海,つまり、目に見えないほどすげー速さで動いてるから見えないってか？
未央,あーなるほどね。って違…！
奏,あら、私のは本当よ？
拓海,おい、奏。お前まで人の事舐めてんじゃね…！
周子,まーまー拓海ちゃん、奏ちゃんの言ってる事が本当かどうか。ここは一つ、美嘉ちゃんと綱引きで対決して決めるってのはどう？
拓海,上等じゃねぇか、こちとら既に綱引きで体あっためてんだ
美嘉,な、何でアタシが！？っていうか対決して決めるコトじゃなくない！？
フレ,綱が無かったからスズランテープ持ってきたよー！
未央,30cmくらいでいいかな？
美嘉,長さ絶対足んないし、スズランテープじゃ千切れるし！
藍子,拓海さん頑張って－！
志希,美嘉ちゃーん！呼んだだけー
拓海,おらああああああぁっ！！！
美嘉,ふ、ふんぎぎ……！。……ってだから対決意味無いっつーの！！！
周子,おーこわ。すんごい顔だったよ美嘉ちゃん
美嘉,あのねっ！文香さんなら本当に奏ちゃんの言う通りなのっ
未央,本当なの、美嘉ねぇ！？
奏,嘘だと思うなら、これを
比奈,これは、文香ちゃんのストールっスか？。ふむ、どれどれ……ペロッ
拓海,いやだからなんで舐めんだよ
比奈,こ、これは！………ペロペロ
美嘉,何回舐めてんの！？
拓海,舐めんじゃねぇよ！！。……良かった。アタシだけマトモじゃないのかと内心不安だったぜ
美嘉,伊達にLiPPSの良心やってないから
比奈,これは文香ちゃんのストールっスね
周子,見りゃ分かるのに舐めた意味ー♪
未央,え、それではやみん、これがどういう証明にな…。！？き……！
拓海,ストールが、消えたっ！？
志希,文香ちゃんにとって大事な物であればあるほどすぐに消えマース♪
フレ,フミカちゃんはフミカちゃんたらしだからねー♪
周子,それ言うなら、文香ちゃんたらしめるものやない？
藍子,文香さんを、文香さんたらしめるもの……！。そうか……そうだったんだ
比奈,えっ、藍子ちゃん何が分かったんスか！？
藍子,トイレや収録の現場……常務の部屋に痕跡があったのも……。文香さんのストールが消えるのも……。全ては、文香さんにとって大切な、優先度の高いもので……！。つまり、文香さんは…！
文香Ｐ,くぁｗせｄｒｆｔｇｙふじこｌｐ！！！
LiPPSＰ,ホラホラ頑張ってぇはぁと
文香Ｐ,ふじこっ！！！
藍子,……という訳だったんだよ！
文香,はい……その通りです
未央,うわっ、ふみふみ！
文香,茜さんの書に、感銘を受けたもので……。私も、出来ることから始めようと……ですが、混乱させてしまい、すみません
未央,ううん、いいのいいの！こうしてふみふみが無事だったら何よりだよ！
拓海,やれやれ、一件落着だな
藍子,帰ろう、私達の事務室に
比奈,まぁ、皆担当は別々っスけどね
未央,皆もありがとう！あ、文香Ｐはそのまま置いてくね？
周子,んー、えぇよー
奏,何撮ってるの？
周子,いや、そのテの人達に売れるかなーって
比奈,ところで、一つ気になる事があるっスけど
藍子,ん、何、比奈さん？
比奈,気持ち次第で、そんな目に見えないほど速く動けるんだとしたら…。文香ちゃん、今まで猫被ってたって事っスか？
文香,いえ……そのようなつもりは、ありません。ただ、茜さんの書は、愚鈍な私を、それだけ勇気づけるものでした
拓海,マジかよ。アタシもちょっと読んでみようかな
日野茜,ただしっ！！効果には個人差がありますよっ！！！
未央,個人差で言い尽くせるレベルじゃないと思うよ、茜ちん
茜,そうですっ！！！だからっ！！。個人差は、熱い血燃やして埋めましょうっ！！！！
藍子,茜ちゃんっ……！
未央,一応、私達も目に見えないほど速く動けるようになったけどさ……。あんま使いどころ無いね
藍子,基本的に、見せるのが仕事だからね、私達
比奈,目に見えなかったら意味ないっスね
未央,喜んだのたくみんだけだったね。光速で流せるって
文香,その点も含めて、個人差があるという事なのでしょう
LiPPSＰ,アァン、文香Ｐチャン待ってぇ～
文香Ｐ,うおおおぉぉこっち来んなぁぁっ！！
常務,あの二人まだやってるのか
周子,ハイハイ安いよ安いよー、アホにしか見えない追いかけっこだよー♪
