モバP(以下P),……なぁ、まゆ
P,何でってお前
まゆ,こう、まゆのことを想って是非
P,使えないっつーの
まゆ,何故？
P,何故ってお前……
まゆ,使って、もらえないんですか？
P,うん、使わないね……
まゆ,勇気を出して手に入れたのに……
P,その勇気を別のことにつかってほしいなぁ
まゆ,押し倒す勇気とかですか？
P,アイドル！！！
まゆ,うふふ、冗談ですよぉ
P,まったく……
まゆ,それでも、Pさんの気持ちは分かるんです
P,ほんとか？ほんとにか？
まゆ,本当はこんな道具じゃなくて、まゆで……したい、ですよね？
P,うーん掠りもしない
まゆ,でも、まゆは……するより、されたいんです
P,そうか。そうだな
まゆ,だから……待ってますよぉ
P,待たれてもなぁ……
まゆ,つれないですねぇ……
P,うちのアイドルはどうしてこう……
まゆ,……？。？。？？。？？？
P,いや近い近い近い
まゆ,違うと思うんですけど。もしかして。他にもこういう……？
P,……
まゆ,どこの誰ですか？
P,流石にTENGAEGG渡すアイドルはいないよ
まゆ,やっぱりディープスロートの方なんですかね
P,さては詳しいなお前
まゆ,それとも……あ、ぷにあなとか？
P,お前ここには小学生もいるんだぞ
まゆ,その子達はプレゼントしませんからね……
P,それ以前の問題だわ！
まゆ,その点セブンティーンのボルドーなら……
P,やめろやめろォ！
まゆ,ほら
P,言いたいことはなんとなくわかるがやめろやめろォ！。ともかく！お前くらいだよ！こんなもの渡してくるのは！
まゆ,まゆが特別なんですね……まゆ、嬉しい
P,他はそんなもん寄越さないからな……
まゆ,は？。じゃあ。何を。くれるんですか？
P,近いっつの。ほら。お菓子とかくれるじゃん
まゆ,ダメです
P,お菓子だぞ
まゆ,手作りですよね？
P,……まぁ
まゆ,何が入ってるかわからないじゃないですか
P,何入れるっていうんだよおい
まゆ,言ってもいいんですかぁ？
P,聞きたくない
まゆ,例えば
P,はいやめ！。……まゆも何か入れたりするのか？
まゆ,愛情しか入ってませんよ？
P,本当に？
まゆ,後は、食べられるものしか……信じて、貰えませんか？
P,いや、信じるさ
まゆ,うふふふっ
P,……
まゆ,……
P,案外人間って何でも食べられるからなぁ
まゆ,食べられるものしか、入れてませんよ？
P,その言葉に嘘はないんだろうけどなぁ
まゆ,でもやっぱり、食べ物だとPさんの体に直接届きますからね
P,怖いこと言うなよ
まゆ,Pさんは男子校出身ですよね？
P,まぁな
まゆ,年頃の女の子って……怖いんですよ？
P,今めっちゃ怖いよ
まゆ,……どんなもの、貰ってきました？
P,どんなものってお前……一つずつ言えと？
まゆ,アイドルからの贈り物……勿論、全部覚えていますよね？
P,……メモ帳、メモ帳、と。最近だと……おにぎりだな
まゆ,どこの誰ですかぁ……？
P,早速顔が怖いぞ
まゆ,何触った手か分かりませんから
P,何を触るって言うんだよ
まゆ,言わせるんですか？
P,言わないでほしい
まゆ,フリですか？
P,ふってないから
まゆ,で、その……素手むすび女は誰なんですか？
P,素手むすび女ってお前
まゆ,素手でおむすびを握って。温もりと愛と汗といろんなものを。混ぜ込んだのは一体
P,言い方！
まゆ,答えによってはまゆ、おかしくなっちゃいそう……
P,確かにおかしくなるかもな
まゆ,……。…。
P,怖い近い怖い近い
まゆ,さぁ、はやく……
P,薫
まゆ,薫……
P,そう、龍崎薫
まゆ,…………薫ちゃん、ですか……
P,何が入ってるって？
まゆ,……真心
P,そうだな
まゆ,ごめんなさい、薫ちゃん
P,謝れるのは偉いぞ
まゆ,うふ。でもまゆ、薫ちゃんも油断なりません
P,お前9歳相手に……
まゆ,そろそろ下半身を弄り出す年頃ですから
P,お前！9歳相手に！！！
まゆ,……なんて。薫ちゃんが変なことするとは思ってません、けど
P,その通りだよまったく……
まゆ,一人遊びは時間の問題ですよぉ？
P,……成長を喜ぶべきかどうなのか
まゆ,まゆはPさんと遊びたいです
P,……言葉のまま受け取るよ
まゆ,はぁい
P,あとはお菓子が多い
まゆ,手作りですね？
P,や、既製品も多いけど
まゆ,バレンタインデーは人気者の癖に
P,ありがたい話ですよほんと
まゆ,誰のチョコが一番嬉しかったですか？
P,うーんどう答えても地獄
まゆ,まゆですよね？
P,……同じくらい嬉しかった、かな？
まゆ,そうやってボカすんですね…….
P,そんな目をしないでくれ……
まゆ,……意地悪
P,ごめんな
まゆ,……全員からもらう以上、お菓子を怪しむとキリがないですね
P,そうだな……俺は疑わないけど
まゆ,お人好しだから騙されるんです
P,騙されてんの俺？
まゆ,チョコレートから血の味を感じたことはありませんか？
P,ないわそんなん！
まゆ,甘いはずのお菓子がちょっとしょっぱいな、と思ったことは
P,それもな……いやあるわ
まゆ,。
P,純粋に怖い！何！目！何！
まゆ,どこの誰が何を……！
P,絶対わざとじゃないんだよ！わざとじゃ！
まゆ,女はしたたかなんですよぉ！！！
P,また謝ることになるからな！覚悟しとけよ！！
まゆ,じゃあ言ってみてくださいよ！誰の何がしょっぱかったですって！？
P,後悔すんなよ！！！
まゆ,……
P,……
まゆ,…………
P,……大分前に手作りのプリンを貰ったんだけどな
まゆ,………………
P,本人には言わなかったけどな
まゆ,……………………
P,ちょっと……な
まゆ,……………………変態
P,！？。な、なんで変態って
まゆ,くるみちゃんからもらったものだとしても。体液を疑うのは、ちょっと……
P,お前今の今まで体液疑いまくってただろうが！
まゆ,よくわからないですね
P,こいつッ……
まゆ,まぁ……あの子も要注意です
P,まゆ大丈夫か？注意振り撒きすぎてないか？
まゆ,くるみちゃんは割と意志の強い子ですから。数年後が怖いんです
P,そ、そうか……
まゆ,プロポーションも抜群ですから
P,それは、まぁ、そうだな
まゆ,……変態
P,いやおかしいでしょ！
まゆ,……食べ物はキリがないですねぇ
P,確かになぁ
まゆ,じゃあ、貰ったけどこれ何？みたいなものを教えてください
P,なんだそれは
まゆ,まゆのまゆ、みたいな……
P,唐突な自虐
まゆ,つい突っ込んでしまうようなもの、貰ってますよね
P,……
まゆ,まゆとしては突っ込んで欲しいんですけど
P,何がやねん
まゆ,もっと物理的に
P,ハリセンでいいか？
まゆ,欲しいものなんて言わなくてもわかる癖に……
P,ていっ！
まゆ,！？！？！？！？！？。な、なんでハリセンが！？
P,貰ったけど正直使い道がないから頑張って模索しているシリーズ第5位。難波印のハリセン
まゆ,あのスマイルビューティ……ッ！
P,いきなり叩いたのはごめんな
まゆ,ちょっと気持ちよかったです
P,もう2度としないわ
まゆ,うふ……音が気持ちよかっただけなのに？
P,瑛梨華あたりに使うわ
まゆ,まゆは平手の方が嬉しいかも……
P,手をあげる男は最低だぞ
まゆ,プレイの一環なら
P,はーいアイドル佐久間まゆはプレイとか言いませーんぷー
まゆ,でも実際、芸人の皆さんには……
P,芸人はいないぞ
まゆ,笑いに真剣なアイドルの皆さん
P,そうだ
まゆ,笑いに真剣なアイドルの皆さんにも、注意しないと
P,まゆすごいな。ALS◯Kにでも就職するか？
まゆ,まゆはPさんに永久就職ですから……
P,ハッハッハプロデューサー志望かい？
まゆ,イケズですねぇ、本当に
P,で、何を注意するって？
まゆ,あの人たち、距離が近いんですよ
P,まあ、そうだな
まゆ,あの胸で
P,胸……ああ、ボケの方か
まゆ,ツッコミの人ですら距離感が怖いのに。ボケの人はみんないい胸をしている
P,まぁ……否定はしないよ
まゆ,そしてPさんは胸ばっかり見てる
P,いやいやいやいや待て待てそれは誤解だ
まゆ,紗理奈さんの前でも同じこと言えるんですか？
P,次行こうか
まゆ,……変態
P,第4位は……写真が、と
まゆ,そんなに胸が好きなんですか？
P,これだ
まゆ,Pさん、話を……うわっ
P,智絵里から貰ったクローバーの鉢植えだ
まゆ,クローバーですか？クローバーなんですかこれ？
P,13つ葉らしい
まゆ,なんていうか……禍々しいんです
P,根っこまで丁寧に掘られていたからな、鉢植えは自前で買った
まゆ,クローバーだけ渡してきたんですか？
P,そうだ
まゆ,根っこ付きで？
P,そうだ
まゆ,頭からもクローバー生えてきたんですかね？
P,！？
まゆ,どうせ手首にクローバー描いてるに決まってます
P,そういう噂はまゆの方が聞くが
まゆ,最近は聞かないですよね
P,あの頃は尖ってたからなぁ
まゆ,今の方が愛は深いですよ？
P,素直に受け取っとくよ
まゆ,うふ。……ちなみに。智絵里ちゃんとは仲良くやってますからね
P,心配はしてないよ
まゆ,違いにメンヘラリボン、メンヘラクローバーって言い合う仲です
P,どうしたんだ智絵里……
まゆ,っていうのは半分嘘ですけど
P,半分は本当なのか……
まゆ,女の子の日が重いみたいで……
P,それは聞かなかったことにするわ
まゆ,ちなみにまゆは
P,言わんでいい
まゆ,始まりは来週の
P,言わんでいい！！！。まぁ、貰い物だし育ててるんだけど
まゆ,植木鉢買ってますしね
P,結構生き残っててなぁ
まゆ,……いっそのこと食べるとか
P,食べたいか？
まゆ,いいえ？
P,まぁ、これはこれで可愛いもんだよ
まゆ,ほんと、油断なりませんね……クローバーツインテール……
P,……仲良いんだよな？
まゆ,いいですよ？
P,……そうか
まゆ,……大人しい子って、夜は割と狼だったりするんです
P,一般論として理解しとくよ
まゆ,智絵里ちゃんの夜の一面は……まゆ以上だと思います
P,そうか……そういう仕事もありかなぁ
まゆ,ああいう子の方が性欲が強いんです
P,一般論ね。一般論
まゆ,いつ押し倒してくるか……
P,気のせい。気のせいだからね
まゆ,じこまんぞく……
P,……
まゆ,……うふ。まぁ、実際聞いた話では強いってお話ですよ
P,何聞いてるの本当
まゆ,夜の話です
P,年頃の女の子怖いな……
まゆ,1日3回
P,……飯かな？
まゆ,夜夜夜ですよ？
P,はいはいやめやめ次行こ次。三位もスマホの中なんだけどな……これだ
まゆ,……
P,……どうだ？
まゆ,……シンデレラガールの中でも別格で怖いのが楓さんです。距離の詰め方、はぐらかし方、無敵さ……。流されないでくださいね、Pさん
P,……
まゆ,……
P,……どうすればよかったと思う？
まゆ,……まゆには、わかりませんけど……
P,……昔から変わらないんだなぁ、楓さん……
まゆ,3歳くらいですかね？この頃からクールな表情してますねぇ
P,着ぐるみがぶち壊してるけどな
まゆ,手に持ってるのはなんですかね？うちわ？
P,でかいしゃもじらしい。この頃から米に興味があったとか……
まゆ,ああ、日本酒……
P,……というわけで。三位は、高垣楓幼少期の写真、だ
まゆ,他にもあるんですか？
P,園児服だったり、水着だったり……
まゆ,……
P,寝顔もあるし、泣いてるのもあるな……
まゆ,…………
P,俺をどうしたいんだろうな？
まゆ,まゆも今度、送りますねぇ
P,俺をどうしたいんだ？
まゆ,まゆの全てを知ってほしいんです
P,言われても、なぁ
まゆ,は、恥ずかしい、ですけど……ね
P,なら送らなくてもいいんだぞ？
まゆ,でも送ります
P,そうか……
まゆ,その写真は何かに使っているんですか？
P,……仕事が大変な時にな
まゆ,へぇ？
P,家で娘が待ってる、って思いながら見ることにした
まゆ,！？
P,なんだか……思うと、いる気がしてきてな
まゆ,まゆ、まゆも……まゆも、入れてください
P,楓さん、妹が出来るってよ
まゆ,……妻の方がいいですけど
P,楓さん抱っこしてくれば？
まゆ,そんな無茶な……
P,と言うわけで2位に行こうと思うが。使い道に困ると言っても、案外大したことないんだよな
まゆ,みんないい子ですからねぇ
P,助かっているよ
まゆ,……もっとアダルトなものもあると思ってましたけど
P,使い道に困ることはないからな
まゆ,貰ったんですね？
P,ジョーク、ジョーク
まゆ,今度差し上げますねぇ……
P,ジョークだから！ごめん！許して！
まゆ,女の子は体を武器に出来ますからねぇ……
P,悪かったって
まゆ,いいんですよぉ……うふ
P,……そんな空気を吹き飛ばす、第2位！
まゆ,……
P,……
まゆ,……これは？
P,1/8ヘレンフィギュアだ
まゆ,1/8ヘレンフィギュア
P,これがまたよく出来ていてな
まゆ,うわっ……精巧
P,しかも関節も動く
まゆ,……体柔らかいですねぇ……
P,そして首をひねると。喋る
まゆ,これいります？
P,いると思うか？
まゆ,……でも、まゆのフィギュアを持ってもらうのは悪くない……かも
P,本物がいるのにか？
まゆ,おはようからおやすみまで見つめられますから
P,はいはいyou'remydestiny
まゆ,真っ赤な。絆。アンリミテッド……
P,囁かない！。ヘーイじゃないんだよ
まゆ,素材はなんなんでしょうね
P,地味に柔らかいのがなぁ
まゆ,ヘーイじゃないんですよ
P,胸がまた柔らかいんだよな
まゆ,Pさん？。！？
P,胸にも仕込まれてるんだよな……
まゆ,胸がダンサブルって一体……あ、振ると揺れますね
P,……
まゆ,……
P,振るのやめると止まるんだ……
まゆ,なんのためにこんなものを……
P,連打するとこうなる
まゆ,さては結構遊んでますね？
P,暇つぶしにはなるぞ
まゆ,アイドルのフィギュアで暇を潰す成人男性……
P,家にあと2体いる
まゆ,なんのために？
P,俺に聞くなよ
まゆ,でも、許せる気がします
P,ヘレンだからなぁ
まゆ,他の子のフィギュアはダメですからね
P,貰ったとしてもか？
まゆ,……………ダンサブルしなければ
P,控えめにしようと思う
まゆ,言ったそばから。……ヘレンさんには対策が打てないんですよね
P,そうなのか？
まゆ,迫ってくるヘレンさんに誰かが立ち向かえるとでも？
P,……幼少組ならなんとかならないか？
まゆ,夜になるとひとたまりもないじゃないですか
P,うーん確かに。さて
まゆ,はい
P,ついに一位に行くわけですけど
まゆ,うふ
P,……結局な。いろんなアイドルのプレゼントを話したわけだけどな
まゆ,……？
P,一位は別格で困る物だ
まゆ,困らせてるのは誰、なんですかねぇ……
P,俺が困ってるのは今なんだよなぁ
まゆ,？？
P,一位。TENGAEGG
まゆ,！？！？
P,ハリセンも！クローバーも！写真も！フィギュアも！何だかんだ楽しんでるけど！。どうすんだよこのまゆのまゆ！！！
まゆ,使い道なんて一つしかないじゃないですか！
P,それが嫌なんだよ！
まゆ,なんで！
P,なんでもクソもないよ！
まゆ,結局理由を言ってくれないじゃないですか……
P,何を言えっていうんだ
まゆ,使って、気持ち良くなって、おしまい、なのに……
P,それはそうだけど違うじゃん……
まゆ,……せっかくのプレゼントなのに……まゆ、どうしたら……
P,……そんなに凹まれると、なぁ
まゆ,一所懸命に考えたのに……
P,考えてこれって言うのが俺は悲しいよ
まゆ,……まゆは、まゆは……
P,……でも、なんだ、言いすぎた……かな？すまん
まゆ,既製品なのがいけないんですかね？
P,そういう問題じゃないんだよなぁ！
まゆ,まゆイメージのを作ってもらうしか……
P,アイドル！！！！！
まゆ,アイドルイメージのもありますよ！！
P,ちょっと詳しいのやめて！！！！
まゆ,形を忠実に再現して貰って……
P,法律！条例！16歳！
まゆ,写真も付けるべきでしたね
P,捕まる！捕まるから！
まゆ,もしくは素手ですか？
P,やーめーて！やめて！やーめーて！
まゆ,素手、口からの
P,やめなさい！めっ！
まゆ,まゆだって年頃の女の子なんですよぉ！
P,はしたないこと言わない！
まゆ,みんなこんな感じです！
P,嘘！嘘だと言って！！
まゆ,夢の裏側はこんな感じなんですよぉ！！
P,由愛の裏側！？
まゆ,性の目覚めは平均10歳！
P,それは早い！
まゆ,早くないんですぅ！
P,うちのアイドルはほぼほぼ清純路線！
まゆ,そんなの美嘉さんくらい！
P,裏切らねぇなあいつ！
まゆ,妹の方が進んでますって！
P,どうなってんだよ城ヶ崎！？
まゆ,ふぅー……
P,はぁ、はぁ……
まゆ,……ごめんなさい、言いすぎました
P,そうか……俺もごめんな……
まゆ,多分、1世代に数人は清純な子もいます
P,数人、かぁ……
まゆ,清純派って絶対清純じゃないという説
P,ありうる
まゆ,……
P,……
まゆ,結局……受け取っては、もらえませんか？
P,……いや、受け取ることにはするよ
まゆ,！
P,……使い道は追って考えるけど
まゆ,……
P,中身使ってまゆのまゆでも作ろうかな
まゆ,……この辺りが妥協ラインですかねぇ
P,互いの、な……
まゆ,でも、もし使うことがあれば……
P,ないとは思うけど
まゆ,感想、聞かせてくださいねぇ
P,それも絶対嫌だけど
まゆ,……うふ
P,……はは
まゆ,今度は使い捨てじゃないのを買ってきますね
P,次はないぞ
まゆ,本当に？
P,本当に！
まゆ,それでも受け取ってくれたりは？
P,しない！！
まゆ,……仕方ありませんねぇ
P,ところで……なんでこんなものをくれたんだ？
まゆ,……なんでだと思います？
P,いたずら、かな……
まゆ,誕生日おめでとうございます、プロデューサーさん
P,……え？これ？
まゆ,勿論他にもありますけど。まゆ、お返しが欲しいな、って……
P,そりゃするつもりだけど
まゆ,プロデューサーさんからセクハラ返し、されないかな、って
P,セクハラの自覚ありかよ
まゆ,まゆとしては本物がいいんですけど
P,偽物ってなんだよ
まゆ,言わせるんですか？
P,分からないけど言わせないわ
まゆ,実物に近い形状の方が嬉しいです
P,……あー
まゆ,うふ
P,あったとして使うのか？
まゆ,初めては本物がいいですね
P,……
まゆ,……待ってますから
P,待たなくていいから
まゆ,今ですか！？
P,一生待っててくれ
まゆ,一種の告白では？
P,うるせえうるせえ！
まゆ,……うふふ
P,……とんだ誕生日だ、ほんと
まゆ,楽しく、なかったですか？
P,楽しかったけど、さぁ……
まゆ,うふふ。それなら良かったです
P,はぁ、まったく……
まゆ,……勿論、まともなものも用意してますからねぇ
P,そっちを出さんかいそっちを……
まゆ,うふ、それはまた後で、ですよぉ
P,……ああ、もうこんな時間か
まゆ,そろそろ行かないと、行けませんからね
P,……じゃ、この辺にしておくか
まゆ,はぁい
