橘ありす,ふぅ……、久々の学校ですね……
フレデリカ,じ、冗談！冗談だよ！
ありす,……で、国語の何をやるんですか
フレデリカ,敬語ーーー！！！！！
ありす,あ？
フレデリカ,ごめんなさい。みんな、敬語はわかるよね？今日はその中の丁寧語についてだよー
ありす,丁寧語……
フレデリカ,といっても、丁寧語はとりあえず最後に"です/ます"をくっつければどうにかなるみたい！
ありす,また適当なことを……
フレデリカ,というわけで、みんな、フレちゃんに続けて言ってみて！。いっくよ！宮本でごぜーます
ありす,なぜ仁奈さん式！？
フレデリカ,え？ちゃんと"ます"ってついてるよ？
ありす,それが許されるのは仁奈さんだけです！
フレデリカ,しょーがないなーじゃ、次ね！宮本でございますです
ありす,なぜ誰も疑問を持たないんですか！？
フレデリカ,あれー？あとは"宮本でしてー"とかもあったんだけど……
ありす,丁寧さのカケラもないですよ
フレデリカ,じゃ、漢字やろ！漢字！
ありす,行き当たりばったりで授業を進めないでください！
フレデリカ,これからフレちゃんが黒板に書く漢字を読んでね！
ありす,みなさん適応能力高いですね……
フレデリカ,……。はい！
ありす,チョイスが不穏！！！
フレデリカ,次はカタカナを漢字にしてねー♪
ありす,目まぐるしい授業ですね……
フレデリカ,～♪。はーい！
ありす,ダブルミーニング！？。前後の文脈が気になりすぎて問題が頭に入ってこない！！。漢字は！？！？！？
フレデリカ,いやー、いい授業だったね……
ありす,どんだけポジティブなんですか……
フレデリカ,あ！人という字は日本人とフランス人が支えあってるんだよ！
ありす,せっかくの名言をそんな雑に
フレデリカ,じゃ、フレちゃんが問題を読むから、みんなは考えてね！
ありす,不安ですね……。人選に既視感
フレデリカ,池の円周は1000メートル、大原さんは分速200メートルで、椎名さんは分速150メートルです。さて、10分で2人は何回すれ違うでしょー？
ありす,うわ、案外ちゃんとした問題ですね、えっと……
フレデリカ,ただし2人はすれ違う度に、この池がエンゼルクリームに似てるかアンパンに似てるかで3時間言い争います
ありす,せっかくいい問題だったのに！！！。3分くらいで出会ってずっと言い争いですよ！
フレデリカ,困った2人だねー？
ありす,なに他人事みたいに言ってるんですか
フレデリカ,はい次！
ありす,教師への尊敬が全く生まれない授業ですね
フレデリカ,大坪さんは、マシュマロを投げています
ありす,何の話ですか？
フレデリカ,豚まんはおいしいです
ありす,何の話ですか？
フレデリカ,さて、翌日、体重計に乗った三村さんの目から落ちる涙は何リットルでしょう？
ありす,何の話ですか？？？
フレデリカ,じゃあ分数の問題とか？
ありす,いや、単元がダメなのではなく……
フレデリカ,龍崎さんの年齢は、安部さんの3分の1で
ありす,ストーーーーーップ！！！！！
フレデリカ,高森さんのバストは、如月さんの72分の73で
ありす,どうしてそんな敵を作りそうな問題ばかり！！！
フレデリカ,フレちゃんの月収は、ありすちゃんの何分の何ですか？
ありす,知りませんけど！？
フレデリカ,実際、6年生の算数ってどんな感じなのー？
ありす,ちょくちょくギャンブラー混ざってません！？
フレデリカ,ふふふ～！音楽の時間だよ！
ありす,他の教科よりはまあ……
フレデリカ,じゃ、さっそく発声練習しよっか！。ドー♪。レー♪。ミー♪。ファーｗｗｗｗｗｗｗｗｗｗ
ありす,なんで！？。やらなくていいですから！！！
フレデリカ,いい感じに温まってきたね！
ありす,アイドルがみんなアレやってると思われるのは問題ですが
フレデリカ,そういえば、そろそろ合唱コンクールが近いって聞いたんだけど……
ありす,……
フレデリカ,あれ？このクラスは何を歌うの？
ありす,……です
フレデリカ,へー！(恥ずかしがってるけどちょっと嬉しそうだねー！)
ありす,その……皆さんが……どうしても歌いたいらしいので……
フレデリカ,ふむふむ！じゃあ、ありすちゃんは頑張んなきゃね！
ありす,それは……イヤでもというか……
フレデリカ,？？？どーいうことかな？。わお！なるほど！最初とか？。出ずっぱりだね！？。それほとんどありすちゃんのライブなんじゃないのかな！？
ありす,私は……みんなで歌いたいんですが……
フレデリカ,！
ありす,……
フレデリカ,なるほどねー？。……みんなー！……ありすちゃんはさ！普段アイドルとして歌ってるからサボりたいんだって！
ありす,えっ……ちょ……
フレデリカ,だからさ、やっぱりソロとかじゃなくてみんなで歌うのはどうかなー？。あ、……よし！。しょーがない！じゃあ、フレちゃんが特別にここでスペシャルライブをしてあげる！それで満足したらいいでしょー？アイドルなんて一生見なくていい！ってくらいのパフォーマンスを見せちゃうよ！
ありす,そ、そんな……、そこまでしなくても……
フレデリカ,ありすちゃん
ありす,は、はい
フレデリカ,フレちゃんはね？フレちゃんが歌いたいから歌うんだよ♪
ありす,！
フレデリカ,たまにはアイドルっぽいとこ見せないとねー？
ありす,……
フレデリカ,……
みんな,……
ありす,音源も、マイクもない。……でも
フレデリカ,……
ありす,その瞬間、確かに空気が変わりました
フレデリカ,さあunedeuxtroisのリズムでっ♪この街を歩いてく♪
ありす,その眼差しは真剣で、でも歌い始めると笑顔になって
フレデリカ,いつだって気分はヒロインな～の～♪
ありす,誰もが圧倒されて。終わった時には、一瞬の静寂と。鳴りやまない拍手
フレデリカ,ありがとー♪。ありすちゃん！どうだった？たまには、褒めてくれてもいいんだよ～？
ありす,……最高の……ライブでした。本当に……。ありがとうございます
フレデリカ,！！！……うんっ！あ、でも、みんなを責めちゃダメだよー？みんな、ありすちゃんが好きすぎてちょーっと強引になっちゃっただけだから！
ありす,も、もちろんですっ
フレデリカ,そういえば、隣のクラスは何を歌うの？。マッチアップえぐいね！？は、反対側の隣のクラスは？。この学校大丈夫！？。はろー♪英語の時間だよー！
ありす,髪が金なので、英語は少し似合いますね
フレデリカ,ホントはフランス語をやりたかったんだけどね！
ありす,小学校でフランス語なんて聞いたことないですが
フレデリカ,もんかしょーのがくしゅーしどーよーりょーには外国語活動としか書いてなかったから"イケる！"って思ったんだけど、よく読んだら英語を取り扱うことを原則とするって……
ありす,フレデリカさんの口から学習指導要領って言葉が出てくるとは思いませんでした
フレデリカ,じゃ、早速、日常で使えるフレーズを紹介するよ！りぴーとあふたーみー！。ノーアイアムノットサカナクンいいえ、私はさかなクンではありません
ありす,それ日常で使います！？
フレデリカ,イエス！アイアムキリコショクニン！はい、私は切り子職人です
ありす,さっきから日本語訳も別にいらないですし！。というか、もう少し英語っぽい文章はないんですか？
フレデリカ,むむむ！じゃあ、フレちゃんの本気を見せちゃうよ！。Nonoknowsnono'snoseisn'tknown.ノノノウズノノズノーズイズントノウン
ありす,ののののうるさいなあ！！！！
フレデリカ,あ、ありすちゃん！キャラ！。knowsの後のthatが省略されているのがポイントで……
ありす,この文を真面目に解説するんですか！？
フレデリカ,落ち着いて？フランス生まれ日本育ちだよ？英語なんてできるわけないよ？？？
ありす,ここで自己弁護に入られても……。というか、小学生なんですから文法とかいらないですし……
フレデリカ,え！そうなの！？じゃあ、曜日とか？
ありす,そうです、そういうとこからでいいんですよ
フレデリカ,サンデイ！！！。マンデイ……
ありす,日曜と月曜のテンションの差
フレデリカ,中略
ありす,中略！？
フレデリカ,サッタデー！！！
ありす,うわ無理やり休日持ってきた！
フレデリカ,というかもうお昼だよ！はやくランチをイートしようよ！
ありす,完全に小学生側の思考回路じゃないですか
フレデリカ,今日の給食は何かなー？。この学校大丈夫！？。よかったー、普通のご飯！。じゃ、いただきまーす！。さて、今回は30分で何杯のご飯を食べれるかを競ってもらいます
ありす,なにテレビチャンピオンみたいなこと言ってるんですか
フレデリカ,うわ！このお味噌汁美味しい！シェフを呼べー！
ありす,黙って食べれないんですか！？
フレデリカ,余ったプリン食べたい人しゅーごー！じゃんけんしよー！
ありす,まあ案外、向いているような気もしますが……
フレデリカ,あれ？ありすちゃんはいいの？
ありす,私は大丈夫です
フレデリカ,えー！今なら第1シードにしてあげるのに……
ありす,そんな本格的に競うんですか！？
フレデリカ,じゃあジョコビッチが順当に第1シードになるね！
ありす,誰！？！？
フレデリカ,さて、今日最後の授業だよー♪お昼の後で眠いかもしれないけど、ちゃんと聞いてねー！
ありす,フレデリカさんに……道徳を教わる…･･･！？だ、大丈夫なんですか！？
フレデリカ,Zzz……
ありす,言ってるそばから！！！
フレデリカ,じゃあ教科書を開いてー！今日やるのは銀の燭台ってお話！
ありす,聞いたことないですね……
フレデリカ,いやいや、きっとありすちゃんなら聞いたことあるよ！
ありす,？
フレデリカ,もとのタイトルは、レ・ミゼラブル……フランスの人が書いた、フランスのお話だよ
ありす,あ……
フレデリカ,日本語タイトルは……、なんだっけ？ああ常務？
ありす,ああ無情です！！！
フレデリカ,19年だって！長いねー！菜々ちゃんなら……、ま、いっか♪
ありす,何言おうとしたんですか。で、でも、ジャンは泥棒ですし……
フレデリカ,うんうん、どっちの気持ちもわかるよ～。じゃ、続きね
ありす,なんかコールみたいになってますけど。酷いですね
フレデリカ,みんながミリエルさんだったら、何て言うかな？
ありす,ストーーーップ！！！。え……
フレデリカ,すごいよね！フレちゃんならできるかな～？？？。みんななら、できるかな……？
ありす,で、でも、だからといって泥棒は……！
フレデリカ,そう！泥棒は悪いこと！でもでも、時には、自分が損をしても、許すことが大切な時もあるんだよ～ってことなの！
ありす,……
フレデリカ,……フレちゃんもね？よく怒られるんだー。もうついていけないとか！テキトーだもんね～
ありす,……
フレデリカ,みんながみんな、そんな人たちだったら、フレちゃんはきっと、もっとおとなしいヒトになってたと思う。……もっと、つまんないヒトに。……でもね？フレちゃんの周りには、優しい人がたーっくさんいるの！どんなにテキトーなことを言ってもそばにいてくれて、どんなに迷惑をかけても見捨てないでいてくれる人が！
ありす,！
フレデリカ,だから、フレちゃんの毎日はとっても！とーっても楽しい！みんなにも、ダメなとこを許しあって、楽しく過ごしてほしいなーって思うんだよー！
ありす,……フレデリカさん
フレデリカ,ふふふー！いつもテキトーだから、たまに真面目なことを言うとなんかいい感じに聴こえるでしょ？
ありす,そういうこと、言わなくていいですよ……、まったく……
フレデリカ,短かったけど、これでフレちゃんの授業は終わり！ありがとーね！
ありす,まあ、悪くはなかったんじゃないですか？ねえ？みなさ――。ガン泣き！？感受性どうなってるんですか！？
フレデリカ,フレちゃんが恋しいなら！全国のCDショップで発売中のき・ま・ぐ・れ☆Cafeaulait!を買ってね♪
ありす,宣伝しない！！！
フレデリカ,じゃ、明日は何の授業をしよっか？
ありす,今日だけじゃなかったんですか！？
